,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.4062,3.4062,3.4062,3.4062,49.46,2020-02-10 15:00:00
1,1581343200000,3.358,3.4267,3.358,3.4267,243.26,2020-02-10 14:00:00
2,1581339600000,3.3755,3.3765,3.3528,3.357,264.27,2020-02-10 13:00:00
3,1581336000000,3.3128,3.3629,3.3091,3.342,1377.74,2020-02-10 12:00:00
4,1581332400000,3.3214,3.3214,3.2897,3.3196,2012.78,2020-02-10 11:00:00
5,1581328800000,3.33,3.362,3.3289,3.3363,1080.11,2020-02-10 10:00:00
6,1581325200000,3.3777,3.3777,3.2882,3.2957,1849.24,2020-02-10 09:00:00
7,1581321600000,3.4298,3.4299,3.3556,3.3941,1710.86,2020-02-10 08:00:00
8,1581318000000,3.4375,3.4645,3.4348,3.4369,2061.84,2020-02-10 07:00:00
9,1581314400000,3.3463,3.4252,3.3463,3.4247,640.95,2020-02-10 06:00:00
10,1581310800000,3.3834,3.3834,3.3052,3.3509,1865.86,2020-02-10 05:00:00
11,1581307200000,3.3749,3.3891,3.3694,3.3831,443.06,2020-02-10 04:00:00
12,1581303600000,3.4132,3.4132,3.3823,3.3823,2444.89,2020-02-10 03:00:00
13,1581300000000,3.4344,3.4344,3.4009,3.4217,4357.32,2020-02-10 02:00:00
14,1581296400000,3.475,3.475,3.4168,3.4299,2458.53,2020-02-10 01:00:00
15,1581292800000,3.4916,3.4916,3.4499,3.4793,1073.37,2020-02-10 00:00:00
16,1581289200000,3.3888,3.504,3.3887,3.5039,2828.59,2020-02-09 23:00:00
17,1581285600000,3.3111,3.3757,3.3111,3.3757,92.01,2020-02-09 22:00:00
18,1581282000000,3.2913,3.2913,3.2913,3.2913,0.0,2020-02-09 21:00:00
19,1581278400000,3.3157,3.3157,3.2913,3.2913,87.34,2020-02-09 20:00:00
20,1581274800000,3.3103,3.3103,3.3103,3.3103,6.0,2020-02-09 19:00:00
21,1581271200000,3.3501,3.3501,3.3053,3.3329,838.72,2020-02-09 18:00:00
22,1581267600000,3.3517,3.3559,3.3378,3.3378,883.04,2020-02-09 17:00:00
23,1581264000000,3.3141,3.3309,3.3141,3.3309,163.7,2020-02-09 16:00:00
24,1581260400000,3.3089,3.3128,3.2648,3.3069,1094.5,2020-02-09 15:00:00
25,1581256800000,3.3575,3.3575,3.3575,3.3575,0.0,2020-02-09 14:00:00
26,1581253200000,3.3611,3.3611,3.3575,3.3575,237.76,2020-02-09 13:00:00
27,1581249600000,3.3458,3.3989,3.3458,3.3814,1012.9,2020-02-09 12:00:00
28,1581246000000,3.3648,3.3648,3.3385,3.3385,699.66,2020-02-09 11:00:00
29,1581242400000,3.3407,3.3407,3.3293,3.3293,757.99,2020-02-09 10:00:00
30,1581238800000,3.3502,3.3607,3.3453,3.3579,1975.75,2020-02-09 09:00:00
31,1581235200000,3.4003,3.4003,3.3718,3.3718,2594.28,2020-02-09 08:00:00
32,1581231600000,3.4011,3.4148,3.4011,3.4139,262.97,2020-02-09 07:00:00
33,1581228000000,3.4047,3.4047,3.3896,3.3937,1391.06,2020-02-09 06:00:00
34,1581224400000,3.3927,3.3927,3.3927,3.3927,100.0,2020-02-09 05:00:00
35,1581220800000,3.3888,3.3888,3.3603,3.3603,2222.77,2020-02-09 04:00:00
36,1581217200000,3.4214,3.4214,3.3502,3.4005,2564.69,2020-02-09 03:00:00
37,1581210000000,3.4288,3.4288,3.4288,3.4288,0.0,2020-02-09 01:00:00
38,1581206400000,3.4288,3.4288,3.4288,3.4288,45.06,2020-02-09 00:00:00
39,1581202800000,3.438,3.438,3.4249,3.4249,109.97,2020-02-08 23:00:00
40,1581199200000,3.407,3.4366,3.407,3.4309,144.02,2020-02-08 22:00:00
41,1581195600000,3.4634,3.4649,3.4287,3.4287,170.87,2020-02-08 21:00:00
42,1581192000000,3.4109,3.415,3.3786,3.3786,213.91,2020-02-08 20:00:00
43,1581188400000,3.4305,3.4305,3.43,3.43,43.75,2020-02-08 19:00:00
44,1581184800000,3.4176,3.435,3.4176,3.435,510.81,2020-02-08 18:00:00
45,1581181200000,3.387,3.4807,3.387,3.4352,3198.91,2020-02-08 17:00:00
46,1581177600000,3.3404,3.3613,3.3404,3.3613,847.8,2020-02-08 16:00:00
47,1581174000000,3.3365,3.3365,3.3163,3.3282,199.14,2020-02-08 15:00:00
48,1581170400000,3.2897,3.292,3.2623,3.292,443.19,2020-02-08 14:00:00
49,1581166800000,3.2974,3.2974,3.2707,3.2707,452.01,2020-02-08 13:00:00
50,1581163200000,3.3358,3.3418,3.3109,3.3109,133.45,2020-02-08 12:00:00
51,1581159600000,3.2983,3.3454,3.2983,3.3454,275.77,2020-02-08 11:00:00
52,1581156000000,3.3194,3.3286,3.3166,3.3286,343.93,2020-02-08 10:00:00
53,1581152400000,3.3391,3.3548,3.3104,3.3445,265.16,2020-02-08 09:00:00
54,1581148800000,3.277,3.3737,3.277,3.3102,2165.65,2020-02-08 08:00:00
55,1581145200000,3.2377,3.2694,3.2377,3.2694,432.58,2020-02-08 07:00:00
56,1581141600000,3.2518,3.2518,3.2518,3.2518,168.86,2020-02-08 06:00:00
57,1581138000000,3.2085,3.2085,3.1863,3.1863,193.78,2020-02-08 05:00:00
58,1581134400000,3.2076,3.2076,3.1899,3.1899,925.69,2020-02-08 04:00:00
59,1581130800000,3.187,3.1873,3.1311,3.1814,2883.73,2020-02-08 03:00:00
60,1581127200000,3.2856,3.2856,3.1817,3.1817,2004.85,2020-02-08 02:00:00
61,1581123600000,3.2876,3.3001,3.2596,3.2596,1743.07,2020-02-08 01:00:00
62,1581120000000,3.314,3.3851,3.3073,3.3073,1603.57,2020-02-08 00:00:00
63,1581116400000,3.3119,3.3305,3.2866,3.3073,430.9,2020-02-07 23:00:00
64,1581112800000,3.2501,3.3168,3.2501,3.3168,478.67,2020-02-07 22:00:00
65,1581109200000,3.2339,3.2815,3.2339,3.2664,588.66,2020-02-07 21:00:00
66,1581105600000,3.2757,3.2757,3.2442,3.2442,637.92,2020-02-07 20:00:00
67,1581102000000,3.279,3.3228,3.279,3.3228,53.87,2020-02-07 19:00:00
68,1581098400000,3.3272,3.3435,3.2965,3.2965,1600.37,2020-02-07 18:00:00
69,1581094800000,3.2699,3.3624,3.2699,3.359,2454.61,2020-02-07 17:00:00
70,1581091200000,3.2268,3.2547,3.2108,3.2547,678.19,2020-02-07 16:00:00
71,1581087600000,3.2246,3.2246,3.194,3.2197,177.02,2020-02-07 15:00:00
72,1581084000000,3.2286,3.2502,3.2125,3.2242,890.61,2020-02-07 14:00:00
73,1581080400000,3.1384,3.214,3.1289,3.214,1899.31,2020-02-07 13:00:00
74,1581076800000,3.1854,3.2077,3.1376,3.1463,1276.58,2020-02-07 12:00:00
75,1581073200000,3.2454,3.2454,3.179,3.2014,2510.86,2020-02-07 11:00:00
76,1581069600000,3.2455,3.2584,3.2146,3.2172,1296.18,2020-02-07 10:00:00
77,1581066000000,3.2976,3.3142,3.2419,3.2434,1740.18,2020-02-07 09:00:00
78,1581062400000,3.2721,3.2983,3.2053,3.2676,5199.47,2020-02-07 08:00:00
79,1581058800000,3.1329,3.3281,3.1323,3.3281,13329.11,2020-02-07 07:00:00
80,1581055200000,3.0604,3.1168,3.0604,3.1168,231.53,2020-02-07 06:00:00
81,1581051600000,3.0873,3.1133,3.0671,3.0671,180.05,2020-02-07 05:00:00
82,1581048000000,3.034,3.1304,3.034,3.0673,3348.12,2020-02-07 04:00:00
83,1581044400000,2.9404,3.0379,2.9404,3.0087,5736.45,2020-02-07 03:00:00
84,1581040800000,2.9178,2.9364,2.9178,2.9364,369.56,2020-02-07 02:00:00
85,1581037200000,2.9134,2.9183,2.9116,2.9116,135.11,2020-02-07 01:00:00
86,1581033600000,2.9017,2.9058,2.9017,2.9058,26.78,2020-02-07 00:00:00
87,1581030000000,2.8735,2.8866,2.8735,2.8866,43.64,2020-02-06 23:00:00
88,1581026400000,2.8997,2.8997,2.879,2.879,847.44,2020-02-06 22:00:00
89,1581022800000,2.9043,2.9043,2.8971,2.8971,460.11,2020-02-06 21:00:00
90,1581019200000,2.9132,2.9132,2.9036,2.9036,40.33,2020-02-06 20:00:00
91,1581015600000,2.9183,2.9183,2.9127,2.9127,21.18,2020-02-06 19:00:00
92,1581012000000,2.9017,2.9017,2.9017,2.9017,1.32,2020-02-06 18:00:00
93,1581008400000,2.9017,2.9017,2.8756,2.8756,105.77,2020-02-06 17:00:00
94,1581004800000,2.8687,2.8875,2.8687,2.8875,19.46,2020-02-06 16:00:00
95,1581001200000,2.9005,2.9005,2.8795,2.8795,167.18,2020-02-06 15:00:00
96,1580997600000,2.8583,2.9298,2.8546,2.9005,2097.03,2020-02-06 14:00:00
97,1580994000000,2.9117,2.9117,2.8356,2.8687,301.25,2020-02-06 13:00:00
98,1580990400000,2.925,2.925,2.925,2.925,59.04,2020-02-06 12:00:00
99,1580986800000,2.8724,2.9348,2.8724,2.9051,15250.33,2020-02-06 11:00:00
100,1580983200000,2.8564,2.8687,2.8564,2.8687,178.5,2020-02-06 10:00:00
101,1580979600000,2.8521,2.8521,2.8365,2.8365,187.21,2020-02-06 09:00:00
102,1580976000000,2.8758,2.8758,2.8758,2.8758,0.0,2020-02-06 08:00:00
103,1580972400000,2.8669,2.8758,2.8669,2.8758,73.26,2020-02-06 07:00:00
104,1580968800000,2.8575,2.8575,2.8481,2.8481,170.99,2020-02-06 06:00:00
105,1580965200000,2.8687,2.8687,2.8687,2.8687,6.23,2020-02-06 05:00:00
106,1580961600000,2.8527,2.8635,2.8527,2.8635,32.9,2020-02-06 04:00:00
107,1580958000000,2.8356,2.8521,2.8356,2.8521,12.46,2020-02-06 03:00:00
108,1580954400000,2.8261,2.8261,2.8191,2.8191,90.57,2020-02-06 02:00:00
109,1580950800000,2.8061,2.8356,2.8061,2.8356,56.57,2020-02-06 01:00:00
110,1580947200000,2.8356,2.8356,2.7986,2.8191,394.91,2020-02-06 00:00:00
111,1580943600000,2.8328,2.8521,2.8328,2.8441,134.74,2020-02-05 23:00:00
