,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.4146,3.4146,3.3835,3.3835,113.46,2020-02-10 15:00:00
1,1581343200000,3.3697,3.4147,3.3697,3.4147,62.2,2020-02-10 14:00:00
2,1581339600000,3.3883,3.3884,3.3665,3.3665,304.02,2020-02-10 13:00:00
3,1581336000000,3.3037,3.3037,3.3032,3.3032,194.29,2020-02-10 12:00:00
4,1581332400000,3.3032,3.3162,3.2938,3.3162,171.11,2020-02-10 11:00:00
5,1581328800000,3.3615,3.3615,3.3349,3.3349,19.06,2020-02-10 10:00:00
6,1581325200000,3.3786,3.3786,3.3137,3.3231,195.74,2020-02-10 09:00:00
7,1581321600000,3.4243,3.4499,3.3567,3.39,387.28,2020-02-10 08:00:00
8,1581318000000,3.4537,3.4537,3.4273,3.4527,148.52,2020-02-10 07:00:00
9,1581314400000,3.3353,3.446,3.3353,3.4213,223.5,2020-02-10 06:00:00
10,1581310800000,3.347,3.347,3.3353,3.3353,97.72,2020-02-10 05:00:00
11,1581307200000,3.4129,3.4129,3.4129,3.4129,5.09,2020-02-10 04:00:00
12,1581303600000,3.4029,3.4029,3.4029,3.4029,97.0,2020-02-10 03:00:00
13,1581300000000,3.4243,3.4243,3.4243,3.4243,0.0,2020-02-10 02:00:00
14,1581296400000,3.4824,3.4824,3.4243,3.4243,177.65,2020-02-10 01:00:00
15,1581292800000,3.4503,3.4697,3.4489,3.4697,189.95,2020-02-10 00:00:00
16,1581289200000,3.4524,3.5045,3.4524,3.4721,226.26,2020-02-09 23:00:00
17,1581285600000,3.2908,3.2908,3.2908,3.2908,0.0,2020-02-09 22:00:00
18,1581282000000,3.2908,3.2908,3.2908,3.2908,0.0,2020-02-09 21:00:00
19,1581278400000,3.3264,3.3264,3.2908,3.2908,15.49,2020-02-09 20:00:00
20,1581274800000,3.3255,3.3255,3.3255,3.3255,30.0,2020-02-09 19:00:00
21,1581271200000,3.3238,3.3238,3.3238,3.3238,12.53,2020-02-09 18:00:00
22,1581267600000,3.3438,3.3438,3.3438,3.3438,416.93,2020-02-09 17:00:00
23,1581264000000,3.2908,3.2908,3.2908,3.2908,0.0,2020-02-09 16:00:00
24,1581260400000,3.2959,3.3022,3.2826,3.2908,171.81,2020-02-09 15:00:00
25,1581256800000,3.3832,3.3832,3.3832,3.3832,0.0,2020-02-09 14:00:00
26,1581253200000,3.3832,3.3832,3.3832,3.3832,0.0,2020-02-09 13:00:00
27,1581249600000,3.3982,3.3982,3.3832,3.3832,21.39,2020-02-09 12:00:00
28,1581246000000,3.346,3.346,3.346,3.346,12.78,2020-02-09 11:00:00
29,1581242400000,3.3276,3.3545,3.3188,3.346,127.47,2020-02-09 10:00:00
30,1581238800000,3.3473,3.3473,3.3473,3.3473,15.81,2020-02-09 09:00:00
31,1581235200000,3.3958,3.3958,3.365,3.3748,643.81,2020-02-09 08:00:00
32,1581231600000,3.3806,3.4271,3.3806,3.4271,20.48,2020-02-09 07:00:00
33,1581228000000,3.4094,3.4094,3.4094,3.4094,0.0,2020-02-09 06:00:00
34,1581224400000,3.4094,3.4094,3.4094,3.4094,3.0,2020-02-09 05:00:00
35,1581220800000,3.3769,3.3769,3.3769,3.3769,60.0,2020-02-09 04:00:00
36,1581217200000,3.4256,3.4493,3.3529,3.3923,258.39,2020-02-09 03:00:00
37,1581210000000,3.4493,3.4493,3.4493,3.4493,3.26,2020-02-09 01:00:00
38,1581206400000,3.4042,3.4042,3.4042,3.4042,0.0,2020-02-09 00:00:00
39,1581202800000,3.4042,3.4042,3.4042,3.4042,0.0,2020-02-08 23:00:00
40,1581199200000,3.4495,3.4496,3.4042,3.4042,309.26,2020-02-08 22:00:00
41,1581195600000,3.4494,3.4494,3.4494,3.4494,13.04,2020-02-08 21:00:00
42,1581192000000,3.4477,3.4477,3.4477,3.4477,0.0,2020-02-08 20:00:00
43,1581188400000,3.4477,3.4477,3.4477,3.4477,86.76,2020-02-08 19:00:00
44,1581184800000,3.4318,3.4318,3.4318,3.4318,0.0,2020-02-08 18:00:00
45,1581181200000,3.3893,3.4668,3.3893,3.4318,414.56,2020-02-08 17:00:00
46,1581177600000,3.3396,3.3542,3.3396,3.3542,27.22,2020-02-08 16:00:00
47,1581174000000,3.3395,3.3395,3.3146,3.3146,46.22,2020-02-08 15:00:00
48,1581170400000,3.3071,3.3071,3.3071,3.3071,27.56,2020-02-08 14:00:00
49,1581166800000,3.2874,3.2874,3.2748,3.2748,46.36,2020-02-08 13:00:00
50,1581163200000,3.3472,3.3472,3.3083,3.3083,478.64,2020-02-08 12:00:00
51,1581159600000,3.3036,3.3472,3.2974,3.3472,526.11,2020-02-08 11:00:00
52,1581156000000,3.3272,3.3272,3.3272,3.3272,0.0,2020-02-08 10:00:00
53,1581152400000,3.3272,3.3272,3.3272,3.3272,0.0,2020-02-08 09:00:00
54,1581148800000,3.3375,3.3569,3.3272,3.3272,127.42,2020-02-08 08:00:00
55,1581145200000,3.272,3.272,3.272,3.272,56.0,2020-02-08 07:00:00
56,1581141600000,3.1839,3.1839,3.1839,3.1839,0.0,2020-02-08 06:00:00
57,1581138000000,3.1839,3.1839,3.1839,3.1839,0.0,2020-02-08 05:00:00
58,1581134400000,3.1839,3.1839,3.1839,3.1839,0.0,2020-02-08 04:00:00
59,1581130800000,3.1684,3.1839,3.1684,3.1839,46.67,2020-02-08 03:00:00
60,1581127200000,3.2092,3.2339,3.1876,3.1876,1248.7,2020-02-08 02:00:00
61,1581123600000,3.2869,3.2869,3.2595,3.2595,72.25,2020-02-08 01:00:00
62,1581120000000,3.3546,3.3546,3.2784,3.2784,137.52,2020-02-08 00:00:00
63,1581116400000,3.2981,3.2981,3.2981,3.2981,0.0,2020-02-07 23:00:00
64,1581112800000,3.2978,3.2981,3.2978,3.2981,87.69,2020-02-07 22:00:00
65,1581109200000,3.2425,3.2425,3.2159,3.2159,104.9,2020-02-07 21:00:00
66,1581105600000,3.3141,3.3141,3.3141,3.3141,0.0,2020-02-07 20:00:00
67,1581102000000,3.3018,3.3165,3.3018,3.3141,1122.23,2020-02-07 19:00:00
68,1581098400000,3.3365,3.3566,3.2943,3.2943,584.38,2020-02-07 18:00:00
69,1581094800000,3.2558,3.3365,3.2558,3.3365,98.39,2020-02-07 17:00:00
70,1581091200000,3.2563,3.2563,3.2563,3.2563,15.97,2020-02-07 16:00:00
71,1581087600000,3.1684,3.1684,3.1684,3.1684,0.0,2020-02-07 15:00:00
72,1581084000000,3.1684,3.1684,3.1684,3.1684,0.0,2020-02-07 14:00:00
73,1581080400000,3.1684,3.1684,3.1684,3.1684,0.0,2020-02-07 13:00:00
74,1581076800000,3.1332,3.1774,3.1332,3.1684,38.81,2020-02-07 12:00:00
75,1581073200000,3.2213,3.2213,3.2213,3.2213,11.07,2020-02-07 11:00:00
76,1581069600000,3.2672,3.2673,3.2092,3.2218,490.04,2020-02-07 10:00:00
77,1581066000000,3.2274,3.257,3.2098,3.2098,95.38,2020-02-07 09:00:00
78,1581062400000,3.2858,3.3,3.2858,3.3,270.78,2020-02-07 08:00:00
79,1581058800000,3.1659,3.2494,3.1659,3.2494,1649.94,2020-02-07 07:00:00
80,1581055200000,3.1142,3.1142,3.1142,3.1142,0.0,2020-02-07 06:00:00
81,1581051600000,3.1142,3.1142,3.1142,3.1142,0.0,2020-02-07 05:00:00
82,1581048000000,3.0586,3.1142,3.0586,3.1142,506.25,2020-02-07 04:00:00
83,1581044400000,2.9474,3.0616,2.9474,3.0616,232.52,2020-02-07 03:00:00
84,1581040800000,2.935,2.9351,2.925,2.925,74.73,2020-02-07 02:00:00
85,1581037200000,2.9233,2.9233,2.9233,2.9233,25.0,2020-02-07 01:00:00
86,1581033600000,2.8879,2.8879,2.8879,2.8879,0.0,2020-02-07 00:00:00
87,1581030000000,2.8712,2.8879,2.8712,2.8879,34.04,2020-02-06 23:00:00
88,1581026400000,2.9008,2.9008,2.9008,2.9008,8.0,2020-02-06 22:00:00
89,1581022800000,2.9033,2.9033,2.901,2.901,69.62,2020-02-06 21:00:00
90,1581019200000,2.923,2.923,2.8994,2.8994,880.87,2020-02-06 20:00:00
91,1581015600000,2.8935,2.8935,2.8935,2.8935,0.0,2020-02-06 19:00:00
92,1581012000000,2.8935,2.8935,2.8935,2.8935,16.93,2020-02-06 18:00:00
