,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.42,3.42,3.3865,3.4014,1211.48,2020-02-10 15:00:00
1,1581343200000,3.3586,3.4354,3.3479,3.4247,838.05,2020-02-10 14:00:00
2,1581339600000,3.3755,3.3861,3.3477,3.3477,704.67,2020-02-10 13:00:00
3,1581336000000,3.3046,3.3755,3.3046,3.3572,1072.42,2020-02-10 12:00:00
4,1581332400000,3.3227,3.3227,3.2828,3.3046,3347.19,2020-02-10 11:00:00
5,1581328800000,3.34,3.3647,3.3206,3.3353,2637.2,2020-02-10 10:00:00
6,1581325200000,3.37,3.3703,3.2898,3.3299,3227.86,2020-02-10 09:00:00
7,1581321600000,3.4234,3.4234,3.3479,3.3894,2178.23,2020-02-10 08:00:00
8,1581318000000,3.4219,3.4594,3.4219,3.448,233.46,2020-02-10 07:00:00
9,1581314400000,3.3559,3.4277,3.3559,3.4008,1310.39,2020-02-10 06:00:00
10,1581310800000,3.3755,3.3755,3.3101,3.338,3854.71,2020-02-10 05:00:00
11,1581307200000,3.4233,3.4233,3.3685,3.3708,643.31,2020-02-10 04:00:00
12,1581303600000,3.4055,3.41,3.3797,3.3874,1198.5,2020-02-10 03:00:00
13,1581300000000,3.4248,3.4248,3.3981,3.412,2173.75,2020-02-10 02:00:00
14,1581296400000,3.4862,3.4862,3.41,3.4384,3011.85,2020-02-10 01:00:00
15,1581292800000,3.4929,3.5043,3.455,3.49,2018.12,2020-02-10 00:00:00
16,1581289200000,3.3861,3.5044,3.3787,3.5044,8698.41,2020-02-09 23:00:00
17,1581285600000,3.306,3.3755,3.306,3.3755,518.08,2020-02-09 22:00:00
18,1581282000000,3.2833,3.3143,3.2833,3.3143,459.08,2020-02-09 21:00:00
19,1581278400000,3.3199,3.3199,3.2684,3.283,2184.52,2020-02-09 20:00:00
20,1581274800000,3.3217,3.3217,3.3068,3.3068,73.09,2020-02-09 19:00:00
21,1581271200000,3.347,3.347,3.3023,3.3217,447.55,2020-02-09 18:00:00
22,1581267600000,3.3319,3.3571,3.318,3.3483,3037.3,2020-02-09 17:00:00
23,1581264000000,3.2939,3.3338,3.2939,3.3338,2353.72,2020-02-09 16:00:00
