,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.4204,3.4256,3.3862,3.3987,127458.02,2020-02-10 15:00:00
1,1581343200000,3.3542,3.4389,3.3507,3.4177,261438.52,2020-02-10 14:00:00
2,1581339600000,3.3623,3.3929,3.3446,3.3532,200626.37,2020-02-10 13:00:00
3,1581336000000,3.316,3.3814,3.305,3.3594,336508.98,2020-02-10 12:00:00
4,1581332400000,3.3316,3.3317,3.2848,3.316,437361.48,2020-02-10 11:00:00
5,1581328800000,3.3343,3.3799,3.3116,3.3304,364783.51,2020-02-10 10:00:00
6,1581325200000,3.3894,3.39,3.2806,3.3325,432398.28,2020-02-10 09:00:00
7,1581321600000,3.4263,3.4305,3.35,3.3895,383926.13,2020-02-10 08:00:00
8,1581318000000,3.4393,3.4681,3.4215,3.4257,454489.62,2020-02-10 07:00:00
9,1581314400000,3.3577,3.44,3.3394,3.4387,492579.95,2020-02-10 06:00:00
10,1581310800000,3.3795,3.388,3.3113,3.3649,268740.44,2020-02-10 05:00:00
11,1581307200000,3.4042,3.4256,3.3647,3.3805,247788.97,2020-02-10 04:00:00
12,1581303600000,3.4197,3.4207,3.3789,3.4043,172184.67,2020-02-10 03:00:00
13,1581300000000,3.4346,3.4399,3.395,3.4214,292804.9,2020-02-10 02:00:00
14,1581296400000,3.475,3.4812,3.4099,3.435,389723.86,2020-02-10 01:00:00
15,1581292800000,3.4927,3.4972,3.4315,3.4753,405228.73,2020-02-10 00:00:00
16,1581289200000,3.385,3.4984,3.385,3.4945,734084.67,2020-02-09 23:00:00
17,1581285600000,3.3124,3.3857,3.3036,3.385,222174.69,2020-02-09 22:00:00
18,1581282000000,3.2883,3.3171,3.285,3.3105,116788.28,2020-02-09 21:00:00
19,1581278400000,3.3117,3.318,3.2682,3.2884,255824.01,2020-02-09 20:00:00
20,1581274800000,3.3337,3.3346,3.3001,3.3117,151148.09,2020-02-09 19:00:00
21,1581271200000,3.3505,3.3562,3.3044,3.3337,263115.02,2020-02-09 18:00:00
22,1581267600000,3.3362,3.3659,3.32,3.3503,259388.3,2020-02-09 17:00:00
23,1581264000000,3.2941,3.3381,3.2936,3.3381,240859.0,2020-02-09 16:00:00
24,1581260400000,3.3399,3.3422,3.233,3.2921,647985.62,2020-02-09 15:00:00
25,1581256800000,3.3355,3.372,3.33,3.3402,134176.43,2020-02-09 14:00:00
26,1581253200000,3.3716,3.3787,3.3356,3.338,175317.14,2020-02-09 13:00:00
27,1581249600000,3.335,3.4039,3.3348,3.3714,298263.55,2020-02-09 12:00:00
28,1581246000000,3.3328,3.3638,3.3295,3.3347,221664.18,2020-02-09 11:00:00
29,1581242400000,3.3445,3.3483,3.313,3.3328,342075.47,2020-02-09 10:00:00
30,1581238800000,3.3572,3.3741,3.3371,3.3482,323348.07,2020-02-09 09:00:00
31,1581235200000,3.3984,3.4096,3.3501,3.3549,300836.4,2020-02-09 08:00:00
32,1581231600000,3.3913,3.4197,3.3894,3.3985,148037.35,2020-02-09 07:00:00
33,1581228000000,3.409,3.4097,3.3831,3.3913,122167.86,2020-02-09 06:00:00
34,1581224400000,3.3968,3.4107,3.3855,3.409,114538.48,2020-02-09 05:00:00
35,1581220800000,3.3991,3.4049,3.3511,3.398,280161.66,2020-02-09 04:00:00
36,1581217200000,3.4286,3.4325,3.3371,3.4004,627434.28,2020-02-09 03:00:00
37,1581210000000,3.4316,3.4398,3.4252,3.4346,53325.26,2020-02-09 01:00:00
38,1581206400000,3.4179,3.44,3.4159,3.4318,118311.75,2020-02-09 00:00:00
39,1581202800000,3.4217,3.44,3.4151,3.4171,128587.96,2020-02-08 23:00:00
40,1581199200000,3.4294,3.4479,3.3975,3.4218,244151.79,2020-02-08 22:00:00
41,1581195600000,3.4163,3.47,3.4156,3.4296,336878.6,2020-02-08 21:00:00
42,1581192000000,3.4274,3.4298,3.3813,3.4168,277639.69,2020-02-08 20:00:00
43,1581188400000,3.4354,3.4493,3.4225,3.428,181367.91,2020-02-08 19:00:00
44,1581184800000,3.4374,3.4407,3.411,3.4334,250489.92,2020-02-08 18:00:00
45,1581181200000,3.3647,3.4865,3.3516,3.4399,1457998.91,2020-02-08 17:00:00
46,1581177600000,3.3154,3.365,3.3115,3.3621,195103.78,2020-02-08 16:00:00
47,1581174000000,3.2999,3.3435,3.2999,3.3138,267518.79,2020-02-08 15:00:00
48,1581170400000,3.2841,3.3092,3.2651,3.2994,260824.72,2020-02-08 14:00:00
49,1581166800000,3.3082,3.3122,3.26,3.2846,347321.25,2020-02-08 13:00:00
50,1581163200000,3.3345,3.3575,3.3062,3.3066,347850.98,2020-02-08 12:00:00
51,1581159600000,3.3026,3.35,3.2881,3.3318,385520.9,2020-02-08 11:00:00
52,1581156000000,3.3302,3.35,3.3026,3.3081,256791.77,2020-02-08 10:00:00
53,1581152400000,3.3222,3.3548,3.307,3.329,347274.57,2020-02-08 09:00:00
54,1581148800000,3.2834,3.38,3.281,3.3223,836188.72,2020-02-08 08:00:00
55,1581145200000,3.2647,3.2898,3.2356,3.2834,218259.25,2020-02-08 07:00:00
56,1581141600000,3.2152,3.265,3.211,3.2632,274322.35,2020-02-08 06:00:00
57,1581138000000,3.2149,3.2262,3.1837,3.2161,327416.18,2020-02-08 05:00:00
58,1581134400000,3.1975,3.2223,3.1879,3.215,348413.16,2020-02-08 04:00:00
59,1581130800000,3.1881,3.2,3.131,3.1995,677357.84,2020-02-08 03:00:00
60,1581127200000,3.2954,3.3113,3.1777,3.1882,628014.19,2020-02-08 02:00:00
61,1581123600000,3.3172,3.3176,3.255,3.2966,571269.94,2020-02-08 01:00:00
62,1581120000000,3.3071,3.395,3.3001,3.316,893197.38,2020-02-08 00:00:00
63,1581116400000,3.3199,3.3435,3.287,3.3072,324604.64,2020-02-07 23:00:00
64,1581112800000,3.2705,3.3267,3.2461,3.318,357709.22,2020-02-07 22:00:00
65,1581109200000,3.2603,3.2958,3.234,3.2709,275447.96,2020-02-07 21:00:00
66,1581105600000,3.313,3.3237,3.2407,3.2611,391019.94,2020-02-07 20:00:00
67,1581102000000,3.2984,3.335,3.2759,3.3135,322475.81,2020-02-07 19:00:00
68,1581098400000,3.3243,3.3549,3.2971,3.2984,654296.76,2020-02-07 18:00:00
69,1581094800000,3.28,3.3682,3.262,3.3244,1143602.93,2020-02-07 17:00:00
70,1581091200000,3.2259,3.28,3.2001,3.28,574054.31,2020-02-07 16:00:00
71,1581087600000,3.2224,3.2373,3.19,3.2259,359121.17,2020-02-07 15:00:00
72,1581084000000,3.2243,3.2616,3.2133,3.2216,493075.31,2020-02-07 14:00:00
73,1581080400000,3.149,3.23,3.1456,3.2243,668755.16,2020-02-07 13:00:00
74,1581076800000,3.1946,3.2205,3.139,3.1468,845728.62,2020-02-07 12:00:00
75,1581073200000,3.2587,3.2587,3.1761,3.1926,590771.11,2020-02-07 11:00:00
76,1581069600000,3.2456,3.2776,3.2111,3.259,523897.63,2020-02-07 10:00:00
77,1581066000000,3.2776,3.3274,3.236,3.2459,832877.31,2020-02-07 09:00:00
78,1581062400000,3.2755,3.3266,3.2029,3.2746,1574952.81,2020-02-07 08:00:00
79,1581058800000,3.1163,3.2772,3.1147,3.2772,1461456.58,2020-02-07 07:00:00
80,1581055200000,3.0698,3.1243,3.06,3.1165,500922.64,2020-02-07 06:00:00
81,1581051600000,3.0805,3.125,3.0657,3.07,370834.05,2020-02-07 05:00:00
82,1581048000000,3.0146,3.1326,3.014,3.0793,1072961.46,2020-02-07 04:00:00
83,1581044400000,2.9342,3.05,2.9342,3.0148,974690.85,2020-02-07 03:00:00
84,1581040800000,2.9189,2.9429,2.9189,2.9344,139140.89,2020-02-07 02:00:00
85,1581037200000,2.9117,2.9373,2.9074,2.9184,255787.69,2020-02-07 01:00:00
86,1581033600000,2.89,2.921,2.8882,2.9114,131978.89,2020-02-07 00:00:00
87,1581030000000,2.8812,2.8973,2.8726,2.89,98566.62,2020-02-06 23:00:00
88,1581026400000,2.9089,2.91,2.8811,2.8821,97077.73,2020-02-06 22:00:00
89,1581022800000,2.9142,2.9212,2.8992,2.9073,122517.04,2020-02-06 21:00:00
90,1581019200000,2.9171,2.9247,2.9069,2.9137,115288.16,2020-02-06 20:00:00
91,1581015600000,2.9077,2.928,2.9053,2.9171,93393.54,2020-02-06 19:00:00
92,1581012000000,2.8914,2.9197,2.8877,2.9081,134871.78,2020-02-06 18:00:00
93,1581008400000,2.894,2.9081,2.8771,2.8913,116262.34,2020-02-06 17:00:00
94,1581004800000,2.8852,2.9031,2.8622,2.8948,119493.81,2020-02-06 16:00:00
95,1581001200000,2.9066,2.909,2.8711,2.8864,173723.76,2020-02-06 15:00:00
96,1580997600000,2.8767,2.93,2.8551,2.9049,260574.75,2020-02-06 14:00:00
