,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.57e-06,2.65e-06,2.48e-06,2.49e-06,8938361.0,2020-02-10 15:00:00
1,1581343200000,2.46e-06,2.58e-06,2.46e-06,2.57e-06,3500988.0,2020-02-10 14:00:00
2,1581339600000,2.46e-06,2.48e-06,2.46e-06,2.47e-06,280616.0,2020-02-10 13:00:00
3,1581336000000,2.47e-06,2.47e-06,2.42e-06,2.47e-06,672806.0,2020-02-10 12:00:00
4,1581332400000,2.49e-06,2.51e-06,2.46e-06,2.47e-06,1312563.0,2020-02-10 11:00:00
5,1581328800000,2.39e-06,2.51e-06,2.38e-06,2.49e-06,4698249.0,2020-02-10 10:00:00
6,1581325200000,2.41e-06,2.44e-06,2.38e-06,2.39e-06,1092694.0,2020-02-10 09:00:00
7,1581321600000,2.41e-06,2.44e-06,2.41e-06,2.43e-06,380854.0,2020-02-10 08:00:00
8,1581318000000,2.42e-06,2.43e-06,2.41e-06,2.43e-06,297695.0,2020-02-10 07:00:00
9,1581314400000,2.39e-06,2.42e-06,2.37e-06,2.41e-06,432166.0,2020-02-10 06:00:00
10,1581310800000,2.42e-06,2.44e-06,2.39e-06,2.41e-06,958725.0,2020-02-10 05:00:00
11,1581307200000,2.44e-06,2.44e-06,2.42e-06,2.42e-06,418451.0,2020-02-10 04:00:00
12,1581303600000,2.44e-06,2.45e-06,2.43e-06,2.43e-06,95033.0,2020-02-10 03:00:00
13,1581300000000,2.44e-06,2.45e-06,2.42e-06,2.44e-06,330089.0,2020-02-10 02:00:00
14,1581296400000,2.42e-06,2.43e-06,2.41e-06,2.43e-06,465180.0,2020-02-10 01:00:00
15,1581292800000,2.41e-06,2.43e-06,2.39e-06,2.42e-06,474831.0,2020-02-10 00:00:00
16,1581289200000,2.4e-06,2.44e-06,2.4e-06,2.41e-06,555107.0,2020-02-09 23:00:00
17,1581285600000,2.41e-06,2.42e-06,2.4e-06,2.4e-06,529787.0,2020-02-09 22:00:00
18,1581282000000,2.41e-06,2.44e-06,2.4e-06,2.41e-06,598181.0,2020-02-09 21:00:00
19,1581278400000,2.43e-06,2.45e-06,2.4e-06,2.41e-06,405252.0,2020-02-09 20:00:00
20,1581274800000,2.44e-06,2.46e-06,2.41e-06,2.44e-06,1806699.0,2020-02-09 19:00:00
21,1581271200000,2.47e-06,2.49e-06,2.41e-06,2.42e-06,1731766.0,2020-02-09 18:00:00
22,1581267600000,2.35e-06,2.47e-06,2.35e-06,2.46e-06,3080248.0,2020-02-09 17:00:00
23,1581264000000,2.32e-06,2.37e-06,2.32e-06,2.35e-06,994403.0,2020-02-09 16:00:00
24,1581260400000,2.36e-06,2.37e-06,2.33e-06,2.33e-06,643224.0,2020-02-09 15:00:00
25,1581256800000,2.37e-06,2.37e-06,2.35e-06,2.36e-06,1519941.0,2020-02-09 14:00:00
26,1581253200000,2.38e-06,2.4e-06,2.36e-06,2.37e-06,1179337.0,2020-02-09 13:00:00
27,1581249600000,2.37e-06,2.39e-06,2.37e-06,2.38e-06,574243.0,2020-02-09 12:00:00
28,1581246000000,2.38e-06,2.38e-06,2.35e-06,2.37e-06,259325.0,2020-02-09 11:00:00
29,1581242400000,2.37e-06,2.39e-06,2.36e-06,2.37e-06,540730.0,2020-02-09 10:00:00
30,1581238800000,2.35e-06,2.37e-06,2.34e-06,2.37e-06,497818.0,2020-02-09 09:00:00
31,1581235200000,2.35e-06,2.38e-06,2.34e-06,2.36e-06,485919.0,2020-02-09 08:00:00
32,1581231600000,2.36e-06,2.38e-06,2.33e-06,2.34e-06,1608098.0,2020-02-09 07:00:00
33,1581228000000,2.37e-06,2.39e-06,2.28e-06,2.36e-06,1851959.0,2020-02-09 06:00:00
34,1581224400000,2.37e-06,2.4e-06,2.36e-06,2.37e-06,371921.0,2020-02-09 05:00:00
35,1581220800000,2.39e-06,2.4e-06,2.33e-06,2.38e-06,1201325.0,2020-02-09 04:00:00
36,1581217200000,2.4e-06,2.43e-06,2.38e-06,2.4e-06,714934.0,2020-02-09 03:00:00
37,1581210000000,2.45e-06,2.46e-06,2.37e-06,2.42e-06,2012719.0,2020-02-09 01:00:00
38,1581206400000,2.48e-06,2.5e-06,2.43e-06,2.45e-06,1268766.0,2020-02-09 00:00:00
39,1581202800000,2.48e-06,2.49e-06,2.46e-06,2.47e-06,415852.0,2020-02-08 23:00:00
40,1581199200000,2.45e-06,2.5e-06,2.45e-06,2.47e-06,712956.0,2020-02-08 22:00:00
41,1581195600000,2.58e-06,2.6e-06,2.41e-06,2.45e-06,2869605.0,2020-02-08 21:00:00
42,1581192000000,2.61e-06,2.63e-06,2.58e-06,2.58e-06,518588.0,2020-02-08 20:00:00
43,1581188400000,2.57e-06,2.65e-06,2.56e-06,2.61e-06,962488.0,2020-02-08 19:00:00
44,1581184800000,2.57e-06,2.59e-06,2.55e-06,2.57e-06,661347.0,2020-02-08 18:00:00
