,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00016716,0.00016829,0.00016672,0.00016829,17765.0,2020-02-10 15:00:00
1,1581343200000,0.00016874,0.00016903,0.0001669,0.00016748,57981.0,2020-02-10 14:00:00
2,1581339600000,0.00017007,0.00017047,0.00016962,0.00017047,8965.0,2020-02-10 13:00:00
3,1581336000000,0.00017097,0.00017097,0.00017023,0.00017045,15066.0,2020-02-10 12:00:00
4,1581332400000,0.00017032,0.00017216,0.00016986,0.0001716,79161.0,2020-02-10 11:00:00
5,1581328800000,0.00017283,0.00017297,0.0001704,0.0001704,75018.0,2020-02-10 10:00:00
6,1581325200000,0.00017376,0.00017391,0.00017068,0.00017072,54888.0,2020-02-10 09:00:00
7,1581321600000,0.00017293,0.00017391,0.00017171,0.00017171,73756.0,2020-02-10 08:00:00
8,1581318000000,0.00017045,0.00017297,0.00017039,0.00017293,58596.0,2020-02-10 07:00:00
9,1581314400000,0.00017039,0.00017281,0.00016656,0.00017281,183857.0,2020-02-10 06:00:00
10,1581310800000,0.00016622,0.00017177,0.00016431,0.0001704,192722.0,2020-02-10 05:00:00
11,1581307200000,0.00016825,0.0001695,0.0001663,0.00016785,61439.0,2020-02-10 04:00:00
12,1581303600000,0.00016887,0.00016949,0.0001684,0.00016949,6444.0,2020-02-10 03:00:00
13,1581300000000,0.0001683,0.00016884,0.00016771,0.00016771,20711.0,2020-02-10 02:00:00
14,1581296400000,0.00016753,0.00016831,0.00016753,0.00016831,35559.0,2020-02-10 01:00:00
15,1581292800000,0.00016845,0.0001685,0.00016845,0.0001685,6616.0,2020-02-10 00:00:00
16,1581289200000,0.00016924,0.00016944,0.00016748,0.00016847,23800.0,2020-02-09 23:00:00
17,1581285600000,0.00016822,0.00016923,0.00016822,0.00016923,27388.0,2020-02-09 22:00:00
18,1581282000000,0.00016852,0.00016887,0.00016801,0.00016849,5500.0,2020-02-09 21:00:00
19,1581278400000,0.00016753,0.00016951,0.00016736,0.00016891,23046.0,2020-02-09 20:00:00
20,1581274800000,0.00016505,0.00016747,0.00016498,0.00016657,36622.0,2020-02-09 19:00:00
21,1581271200000,0.00016594,0.00016622,0.00016536,0.00016618,9827.0,2020-02-09 18:00:00
22,1581267600000,0.00016361,0.00016557,0.00016361,0.00016556,8207.0,2020-02-09 17:00:00
23,1581264000000,0.0001643,0.00016465,0.0001643,0.00016436,14542.0,2020-02-09 16:00:00
24,1581260400000,0.0001653,0.0001653,0.00016303,0.00016427,65291.0,2020-02-09 15:00:00
25,1581256800000,0.00016451,0.0001649,0.00016404,0.0001649,108962.0,2020-02-09 14:00:00
26,1581253200000,0.00016459,0.00016557,0.0001641,0.00016448,2447.0,2020-02-09 13:00:00
27,1581249600000,0.00016365,0.00016365,0.00016365,0.00016365,0.0,2020-02-09 12:00:00
28,1581246000000,0.00016333,0.00016453,0.00016264,0.00016365,52230.0,2020-02-09 11:00:00
