,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.010565,0.010786,0.010411,0.010438,14131.24,2020-02-10 15:00:00
1,1581343200000,0.010498,0.010586,0.009882,0.010586,27509.38,2020-02-10 14:00:00
2,1581339600000,0.010937,0.010982,0.010229,0.010498,20168.6,2020-02-10 13:00:00
3,1581336000000,0.011334,0.011336,0.010937,0.010985,14870.18,2020-02-10 12:00:00
4,1581332400000,0.011378,0.011449,0.011003,0.011333,18798.62,2020-02-10 11:00:00
5,1581328800000,0.010807,0.011769,0.010706,0.011395,23513.95,2020-02-10 10:00:00
6,1581325200000,0.01087,0.011158,0.010489,0.010807,13281.13,2020-02-10 09:00:00
7,1581321600000,0.010573,0.011288,0.010552,0.01087,28293.46,2020-02-10 08:00:00
8,1581318000000,0.010336,0.011022,0.010205,0.010663,29659.8,2020-02-10 07:00:00
9,1581314400000,0.009669,0.010428,0.009565,0.010242,40732.71,2020-02-10 06:00:00
10,1581310800000,0.011124,0.011266,0.009677,0.009774,55180.54,2020-02-10 05:00:00
11,1581307200000,0.010242,0.0128,0.01023,0.011135,61916.17,2020-02-10 04:00:00
12,1581303600000,0.009776,0.010326,0.009726,0.010238,14202.64,2020-02-10 03:00:00
13,1581300000000,0.009578,0.0099,0.009313,0.009822,5499.86,2020-02-10 02:00:00
14,1581296400000,0.009253,0.009584,0.009224,0.009584,5781.18,2020-02-10 01:00:00
15,1581292800000,0.008914,0.009347,0.008762,0.009252,10439.47,2020-02-10 00:00:00
16,1581289200000,0.009122,0.00918,0.008808,0.00891,11166.88,2020-02-09 23:00:00
17,1581285600000,0.009477,0.009616,0.009048,0.009115,7597.47,2020-02-09 22:00:00
18,1581282000000,0.009338,0.009637,0.009049,0.009373,17154.82,2020-02-09 21:00:00
19,1581278400000,0.008769,0.009782,0.008769,0.00934,64287.35,2020-02-09 20:00:00
20,1581274800000,0.008693,0.008762,0.008594,0.008722,4629.27,2020-02-09 19:00:00
21,1581271200000,0.008612,0.00871,0.008371,0.008709,8008.16,2020-02-09 18:00:00
22,1581267600000,0.008302,0.008621,0.008254,0.008621,7094.1,2020-02-09 17:00:00
23,1581264000000,0.008274,0.008498,0.008096,0.008314,6693.06,2020-02-09 16:00:00
24,1581260400000,0.008342,0.008381,0.008114,0.008261,18188.49,2020-02-09 15:00:00
