,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.994,3.003,2.974,2.974,381.072,2020-02-10 15:00:00
1,1581343200000,2.945,3.002,2.945,2.994,1245.198,2020-02-10 14:00:00
2,1581339600000,2.982,2.982,2.922,2.942,986.068,2020-02-10 13:00:00
3,1581336000000,2.993,3.006,2.953,2.988,339.96,2020-02-10 12:00:00
4,1581332400000,2.972,3.021,2.963,3.001,597.195,2020-02-10 11:00:00
5,1581328800000,2.999,3.051,2.973,2.973,546.684,2020-02-10 10:00:00
6,1581325200000,2.945,3.01,2.94,2.998,833.772,2020-02-10 09:00:00
7,1581321600000,3.031,3.031,2.871,2.946,2104.07,2020-02-10 08:00:00
8,1581318000000,3.043,3.054,3.017,3.035,168.428,2020-02-10 07:00:00
9,1581314400000,3.185,3.186,3.015,3.035,924.213,2020-02-10 06:00:00
10,1581310800000,3.16,3.184,3.135,3.169,166.051,2020-02-10 05:00:00
11,1581307200000,3.17,3.17,3.137,3.164,90.981,2020-02-10 04:00:00
12,1581303600000,3.18,3.187,3.155,3.171,361.002,2020-02-10 03:00:00
13,1581300000000,3.161,3.21,3.159,3.181,436.347,2020-02-10 02:00:00
14,1581296400000,3.181,3.181,3.145,3.161,561.506,2020-02-10 01:00:00
15,1581292800000,3.163,3.205,3.161,3.186,457.955,2020-02-10 00:00:00
16,1581289200000,3.227,3.241,3.164,3.164,520.484,2020-02-09 23:00:00
17,1581285600000,3.178,3.227,3.177,3.223,584.009,2020-02-09 22:00:00
18,1581282000000,3.188,3.2,3.166,3.172,85.74,2020-02-09 21:00:00
19,1581278400000,3.206,3.208,3.176,3.191,404.574,2020-02-09 20:00:00
20,1581274800000,3.238,3.25,3.19,3.206,100.061,2020-02-09 19:00:00
21,1581271200000,3.218,3.248,3.211,3.248,79.248,2020-02-09 18:00:00
22,1581267600000,3.228,3.231,3.186,3.212,414.52,2020-02-09 17:00:00
23,1581264000000,3.268,3.273,3.204,3.233,838.697,2020-02-09 16:00:00
24,1581260400000,3.309,3.32,3.253,3.268,294.86,2020-02-09 15:00:00
25,1581256800000,3.341,3.342,3.301,3.31,114.943,2020-02-09 14:00:00
26,1581253200000,3.344,3.361,3.331,3.331,174.468,2020-02-09 13:00:00
27,1581249600000,3.353,3.372,3.344,3.356,124.151,2020-02-09 12:00:00
28,1581246000000,3.371,3.372,3.347,3.354,53.389,2020-02-09 11:00:00
29,1581242400000,3.35,3.385,3.348,3.366,56.249,2020-02-09 10:00:00
30,1581238800000,3.366,3.373,3.349,3.355,278.001,2020-02-09 09:00:00
31,1581235200000,3.353,3.39,3.338,3.38,268.031,2020-02-09 08:00:00
32,1581231600000,3.333,3.357,3.329,3.353,128.33,2020-02-09 07:00:00
33,1581228000000,3.318,3.332,3.305,3.332,53.537,2020-02-09 06:00:00
34,1581224400000,3.313,3.335,3.297,3.321,65.177,2020-02-09 05:00:00
35,1581220800000,3.313,3.349,3.281,3.316,466.533,2020-02-09 04:00:00
36,1581217200000,3.479,3.493,3.313,3.313,716.929,2020-02-09 03:00:00
37,1581210000000,3.49,3.496,3.475,3.481,110.064,2020-02-09 01:00:00
38,1581206400000,3.51,3.522,3.486,3.494,194.918,2020-02-09 00:00:00
39,1581202800000,3.54,3.54,3.505,3.519,173.058,2020-02-08 23:00:00
40,1581199200000,3.555,3.555,3.522,3.54,86.408,2020-02-08 22:00:00
41,1581195600000,3.563,3.563,3.539,3.55,17.805,2020-02-08 21:00:00
42,1581192000000,3.56,3.579,3.55,3.567,44.084,2020-02-08 20:00:00
43,1581188400000,3.559,3.573,3.549,3.572,377.646,2020-02-08 19:00:00
44,1581184800000,3.576,3.591,3.542,3.561,123.386,2020-02-08 18:00:00
45,1581181200000,3.544,3.577,3.525,3.575,414.239,2020-02-08 17:00:00
46,1581177600000,3.495,3.557,3.47,3.557,667.779,2020-02-08 16:00:00
47,1581174000000,3.463,3.498,3.458,3.495,199.377,2020-02-08 15:00:00
48,1581170400000,3.446,3.474,3.437,3.465,342.548,2020-02-08 14:00:00
49,1581166800000,3.454,3.483,3.431,3.438,177.919,2020-02-08 13:00:00
50,1581163200000,3.475,3.484,3.448,3.448,398.412,2020-02-08 12:00:00
51,1581159600000,3.438,3.475,3.435,3.475,417.337,2020-02-08 11:00:00
52,1581156000000,3.448,3.457,3.428,3.435,162.113,2020-02-08 10:00:00
53,1581152400000,3.413,3.449,3.408,3.443,96.997,2020-02-08 09:00:00
54,1581148800000,3.414,3.474,3.407,3.408,566.127,2020-02-08 08:00:00
55,1581145200000,3.382,3.416,3.382,3.4,452.582,2020-02-08 07:00:00
56,1581141600000,3.372,3.389,3.364,3.372,39.009,2020-02-08 06:00:00
57,1581138000000,3.375,3.404,3.366,3.366,101.832,2020-02-08 05:00:00
58,1581134400000,3.376,3.392,3.364,3.375,81.444,2020-02-08 04:00:00
59,1581130800000,3.408,3.438,3.377,3.377,166.49,2020-02-08 03:00:00
60,1581127200000,3.412,3.435,3.393,3.407,302.323,2020-02-08 02:00:00
