,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,74.46,75.24,74.46,74.79,1009.63982,2020-02-10 15:00:00
1,1581343200000,73.44,74.59,73.44,74.41,612.92424,2020-02-10 14:00:00
2,1581339600000,73.8,74.06,73.27,73.37,435.16958,2020-02-10 13:00:00
3,1581336000000,73.13,73.81,72.78,73.76,966.37798,2020-02-10 12:00:00
4,1581332400000,73.15,73.5,72.71,73.04,371.01201,2020-02-10 11:00:00
5,1581328800000,73.16,73.71,72.76,73.32,501.95047,2020-02-10 10:00:00
6,1581325200000,73.75,73.82,72.35,73.14,1147.39674,2020-02-10 09:00:00
7,1581321600000,75.07,75.07,73.15,73.77,1283.12058,2020-02-10 08:00:00
8,1581318000000,74.92,75.58,74.91,75.15,578.34413,2020-02-10 07:00:00
9,1581314400000,74.5,75.5,74.06,74.82,806.16528,2020-02-10 06:00:00
10,1581310800000,75.25,75.95,73.47,74.07,730.76855,2020-02-10 05:00:00
11,1581307200000,75.78,75.83,74.74,75.31,518.60119,2020-02-10 04:00:00
12,1581303600000,76.4,76.4,75.35,75.73,496.17838,2020-02-10 03:00:00
13,1581300000000,76.39,76.61,75.79,76.46,350.04945,2020-02-10 02:00:00
14,1581296400000,77.24,77.24,76.27,76.38,338.32239,2020-02-10 01:00:00
15,1581292800000,77.15,77.52,77.04,77.28,212.24688,2020-02-10 00:00:00
16,1581289200000,77.07,77.32,76.74,77.08,271.38237,2020-02-09 23:00:00
17,1581285600000,76.28,77.0,76.28,77.0,121.01377,2020-02-09 22:00:00
18,1581282000000,75.92,76.42,75.8,76.15,167.90306,2020-02-09 21:00:00
19,1581278400000,76.14,76.23,75.65,75.79,123.09562,2020-02-09 20:00:00
20,1581274800000,76.51,76.53,76.16,76.35,29.86517,2020-02-09 19:00:00
21,1581271200000,76.8,76.8,76.3,76.33,300.27958,2020-02-09 18:00:00
22,1581267600000,76.91,77.3,76.72,76.77,181.08479,2020-02-09 17:00:00
23,1581264000000,76.13,76.91,76.13,76.51,148.48438,2020-02-09 16:00:00
24,1581260400000,76.07,76.26,75.11,76.16,236.4912,2020-02-09 15:00:00
25,1581256800000,76.32,76.93,75.84,76.0,537.32214,2020-02-09 14:00:00
26,1581253200000,77.09,77.19,76.18,76.49,361.40539,2020-02-09 13:00:00
27,1581249600000,77.12,77.58,77.09,77.14,266.54494,2020-02-09 12:00:00
28,1581246000000,77.35,77.38,76.9,77.07,427.68578,2020-02-09 11:00:00
29,1581242400000,76.95,77.35,76.75,77.29,664.29096,2020-02-09 10:00:00
30,1581238800000,77.48,77.67,76.93,77.07,1209.738,2020-02-09 09:00:00
31,1581235200000,77.99,78.29,77.3,77.48,3380.76999,2020-02-09 08:00:00
32,1581231600000,77.74,78.48,77.74,77.97,1132.07687,2020-02-09 07:00:00
33,1581228000000,77.42,77.81,77.29,77.73,453.67575,2020-02-09 06:00:00
34,1581224400000,77.23,77.47,76.96,77.47,296.05561,2020-02-09 05:00:00
35,1581220800000,77.65,77.65,76.94,77.29,59.34573,2020-02-09 04:00:00
36,1581217200000,77.25,77.89,76.95,77.47,261.17641,2020-02-09 03:00:00
37,1581210000000,77.2,77.42,77.07,77.24,320.49662,2020-02-09 01:00:00
38,1581206400000,76.65,77.51,76.6,77.34,486.36708,2020-02-09 00:00:00
39,1581202800000,77.23,77.24,76.48,76.63,561.76232,2020-02-08 23:00:00
40,1581199200000,77.25,77.29,76.54,77.28,424.50312,2020-02-08 22:00:00
41,1581195600000,77.45,77.76,77.12,77.27,692.6222,2020-02-08 21:00:00
42,1581192000000,77.47,77.6,77.33,77.44,648.04586,2020-02-08 20:00:00
43,1581188400000,77.2,77.58,77.05,77.49,641.82267,2020-02-08 19:00:00
44,1581184800000,77.21,77.26,76.91,77.16,617.52702,2020-02-08 18:00:00
45,1581181200000,77.54,77.92,76.75,77.18,899.11504,2020-02-08 17:00:00
46,1581177600000,75.91,77.57,75.69,77.57,752.51987,2020-02-08 16:00:00
47,1581174000000,75.9,75.97,75.68,75.94,416.93993,2020-02-08 15:00:00
48,1581170400000,75.21,76.05,75.06,75.89,893.63747,2020-02-08 14:00:00
49,1581166800000,75.56,76.58,74.76,75.27,1302.13117,2020-02-08 13:00:00
50,1581163200000,76.08,76.29,75.53,75.68,590.65712,2020-02-08 12:00:00
51,1581159600000,75.2,75.95,75.18,75.95,673.58709,2020-02-08 11:00:00
52,1581156000000,75.69,76.02,75.32,75.32,735.50949,2020-02-08 10:00:00
53,1581152400000,75.44,75.99,75.2,75.6,703.88959,2020-02-08 09:00:00
54,1581148800000,74.07,76.03,74.07,75.41,1025.48647,2020-02-08 08:00:00
55,1581145200000,73.47,74.18,73.47,74.01,468.63011,2020-02-08 07:00:00
56,1581141600000,73.49,74.03,73.35,73.47,280.68857,2020-02-08 06:00:00
57,1581138000000,73.03,73.85,72.7,73.4,590.45038,2020-02-08 05:00:00
58,1581134400000,72.06,73.27,71.97,72.99,1106.57712,2020-02-08 04:00:00
59,1581130800000,71.99,72.25,71.51,72.11,1101.50411,2020-02-08 03:00:00
60,1581127200000,73.63,73.63,71.7,72.06,198.23239,2020-02-08 02:00:00
61,1581123600000,73.57,73.68,73.2,73.44,135.81579,2020-02-08 01:00:00
62,1581120000000,74.3,74.49,73.47,73.47,128.21686,2020-02-08 00:00:00
63,1581116400000,73.92,74.42,73.92,74.23,13.38739,2020-02-07 23:00:00
64,1581112800000,73.36,73.83,73.36,73.83,31.0,2020-02-07 22:00:00
65,1581109200000,73.17,73.62,73.12,73.42,246.06435,2020-02-07 21:00:00
66,1581105600000,73.65,73.68,73.23,73.29,369.0608,2020-02-07 20:00:00
67,1581102000000,73.9,73.9,73.43,73.66,154.54624,2020-02-07 19:00:00
68,1581098400000,73.49,74.03,73.44,73.84,112.92921,2020-02-07 18:00:00
69,1581094800000,73.56,73.7,73.23,73.56,506.91592,2020-02-07 17:00:00
70,1581091200000,73.31,73.79,73.01,73.41,741.9578,2020-02-07 16:00:00
71,1581087600000,73.83,73.83,73.2,73.26,446.49582,2020-02-07 15:00:00
72,1581084000000,73.45,74.12,73.34,73.7,787.98309,2020-02-07 14:00:00
73,1581080400000,73.03,73.66,73.0,73.42,774.13498,2020-02-07 13:00:00
74,1581076800000,73.84,74.11,72.76,73.04,1265.26056,2020-02-07 12:00:00
75,1581073200000,74.25,74.82,73.76,73.76,704.58662,2020-02-07 11:00:00
76,1581069600000,73.72,74.64,73.72,74.13,553.12477,2020-02-07 10:00:00
77,1581066000000,73.43,73.87,73.43,73.73,428.06976,2020-02-07 09:00:00
78,1581062400000,73.79,74.07,73.35,73.44,418.31812,2020-02-07 08:00:00
79,1581058800000,73.63,73.86,73.44,73.83,286.42427,2020-02-07 07:00:00
80,1581055200000,73.63,73.75,73.4,73.54,427.90433,2020-02-07 06:00:00
81,1581051600000,73.62,73.98,73.34,73.36,610.25196,2020-02-07 05:00:00
82,1581048000000,73.86,73.97,72.99,73.49,1656.89617,2020-02-07 04:00:00
83,1581044400000,74.71,75.1,73.77,73.88,1387.82664,2020-02-07 03:00:00
84,1581040800000,74.56,75.37,74.5,74.73,1063.32634,2020-02-07 02:00:00
85,1581037200000,73.92,74.62,73.91,74.4,382.13584,2020-02-07 01:00:00
86,1581033600000,73.5,74.06,73.46,73.95,300.7784,2020-02-07 00:00:00
87,1581030000000,72.69,73.44,72.55,73.37,307.50145,2020-02-06 23:00:00
88,1581026400000,73.22,73.33,72.83,72.83,132.65846,2020-02-06 22:00:00
89,1581022800000,73.17,73.44,73.13,73.24,375.2697,2020-02-06 21:00:00
90,1581019200000,73.0,73.28,72.65,73.18,537.28865,2020-02-06 20:00:00
91,1581015600000,73.24,73.24,72.85,73.01,9.32751,2020-02-06 19:00:00
92,1581012000000,73.14,73.14,72.65,73.13,97.30784,2020-02-06 18:00:00
93,1581008400000,73.31,73.83,73.04,73.15,108.85109,2020-02-06 17:00:00
94,1581004800000,73.83,73.92,72.69,73.1,236.1674,2020-02-06 16:00:00
95,1581001200000,73.79,74.03,73.1,73.58,210.19411,2020-02-06 15:00:00
96,1580997600000,72.44,74.23,71.8,73.68,447.03546,2020-02-06 14:00:00
97,1580994000000,74.62,74.95,70.89,72.5,326.01641,2020-02-06 13:00:00
98,1580990400000,74.43,74.82,73.79,74.51,255.75513,2020-02-06 12:00:00
99,1580986800000,73.44,74.9,73.42,74.54,165.45302,2020-02-06 11:00:00
100,1580983200000,73.04,73.63,72.92,73.63,43.06739,2020-02-06 10:00:00
101,1580979600000,73.24,73.44,72.85,73.11,116.5727,2020-02-06 09:00:00
