,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.33353,0.33488,0.33292,0.33292,434.606,2020-02-10 15:00:00
1,1581343200000,0.33478,0.33586,0.33312,0.33312,974.273,2020-02-10 14:00:00
2,1581339600000,0.33568,0.33622,0.334,0.3343,164.412,2020-02-10 13:00:00
3,1581336000000,0.33478,0.33621,0.33462,0.3352,98.968,2020-02-10 12:00:00
4,1581332400000,0.33261,0.33567,0.33225,0.33478,204.555,2020-02-10 11:00:00
5,1581328800000,0.33416,0.3354,0.33282,0.33282,96.342,2020-02-10 10:00:00
6,1581325200000,0.3339,0.33605,0.33152,0.33363,666.541,2020-02-10 09:00:00
7,1581321600000,0.33515,0.33515,0.33179,0.33341,1010.294,2020-02-10 08:00:00
8,1581318000000,0.33585,0.33702,0.33477,0.33606,75.282,2020-02-10 07:00:00
9,1581314400000,0.33724,0.3375,0.33314,0.33573,285.491,2020-02-10 06:00:00
10,1581310800000,0.3355,0.33758,0.33438,0.33685,166.426,2020-02-10 05:00:00
11,1581307200000,0.33598,0.33775,0.33491,0.3354,138.735,2020-02-10 04:00:00
12,1581303600000,0.33734,0.33747,0.33445,0.33619,262.658,2020-02-10 03:00:00
13,1581300000000,0.33695,0.33822,0.33695,0.33771,39.028,2020-02-10 02:00:00
14,1581296400000,0.33688,0.33718,0.33553,0.3361,138.113,2020-02-10 01:00:00
15,1581292800000,0.33655,0.33891,0.33654,0.33735,368.663,2020-02-10 00:00:00
16,1581289200000,0.33747,0.3384,0.33605,0.3371,122.336,2020-02-09 23:00:00
17,1581285600000,0.33749,0.33854,0.33693,0.33747,129.894,2020-02-09 22:00:00
18,1581282000000,0.33764,0.33863,0.33681,0.33749,83.655,2020-02-09 21:00:00
19,1581278400000,0.33697,0.3379,0.33606,0.3379,132.042,2020-02-09 20:00:00
20,1581274800000,0.3385,0.3387,0.33571,0.33622,160.066,2020-02-09 19:00:00
21,1581271200000,0.33812,0.33963,0.33721,0.3385,180.168,2020-02-09 18:00:00
22,1581267600000,0.33712,0.33914,0.33699,0.33888,187.908,2020-02-09 17:00:00
23,1581264000000,0.33483,0.3387,0.33483,0.33686,180.495,2020-02-09 16:00:00
24,1581260400000,0.33622,0.33634,0.33369,0.33541,396.726,2020-02-09 15:00:00
25,1581256800000,0.33586,0.33758,0.33509,0.33668,384.805,2020-02-09 14:00:00
26,1581253200000,0.33755,0.33811,0.33587,0.33657,341.513,2020-02-09 13:00:00
27,1581249600000,0.33853,0.33913,0.33673,0.33719,153.419,2020-02-09 12:00:00
28,1581246000000,0.33784,0.33851,0.33701,0.3381,272.164,2020-02-09 11:00:00
29,1581242400000,0.33772,0.33909,0.33724,0.33771,66.082,2020-02-09 10:00:00
30,1581238800000,0.33773,0.3392,0.33744,0.33774,61.585,2020-02-09 09:00:00
31,1581235200000,0.33928,0.34009,0.33775,0.33884,86.317,2020-02-09 08:00:00
32,1581231600000,0.34031,0.34265,0.33857,0.33925,376.193,2020-02-09 07:00:00
33,1581228000000,0.33861,0.34031,0.33779,0.34029,281.334,2020-02-09 06:00:00
34,1581224400000,0.33918,0.34017,0.339,0.33906,230.829,2020-02-09 05:00:00
35,1581220800000,0.33954,0.33964,0.33794,0.33909,152.63,2020-02-09 04:00:00
36,1581217200000,0.34122,0.34144,0.33829,0.33957,287.529,2020-02-09 03:00:00
37,1581210000000,0.34118,0.34286,0.34081,0.34081,106.704,2020-02-09 01:00:00
38,1581206400000,0.343,0.34409,0.34106,0.34106,208.186,2020-02-09 00:00:00
39,1581202800000,0.3446,0.3446,0.3419,0.34303,111.856,2020-02-08 23:00:00
40,1581199200000,0.34611,0.34685,0.34334,0.34468,432.434,2020-02-08 22:00:00
41,1581195600000,0.34652,0.34692,0.3456,0.3466,160.51,2020-02-08 21:00:00
42,1581192000000,0.34497,0.34687,0.34414,0.34637,452.219,2020-02-08 20:00:00
43,1581188400000,0.34598,0.34599,0.34369,0.34419,168.414,2020-02-08 19:00:00
44,1581184800000,0.34401,0.34624,0.34337,0.34602,155.933,2020-02-08 18:00:00
45,1581181200000,0.34406,0.34652,0.34279,0.34482,1050.628,2020-02-08 17:00:00
