,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,74.79,75.2,74.79,74.88,31.30263,2020-02-10 15:00:00
1,1581343200000,73.52,74.52,73.49,74.52,53.40031,2020-02-10 14:00:00
2,1581339600000,73.85,74.0,73.39,73.39,15.88704,2020-02-10 13:00:00
3,1581336000000,72.88,73.75,72.88,73.65,9.89844,2020-02-10 12:00:00
4,1581332400000,72.99,72.99,72.73,72.9,41.95058,2020-02-10 11:00:00
5,1581328800000,73.11,73.63,73.11,73.36,38.79014,2020-02-10 10:00:00
6,1581325200000,73.51,73.51,72.62,73.19,158.11786,2020-02-10 09:00:00
7,1581321600000,75.07,75.07,73.39,73.83,136.90315,2020-02-10 08:00:00
8,1581318000000,75.29,75.55,75.02,75.41,175.84097,2020-02-10 07:00:00
9,1581314400000,74.13,75.44,74.13,74.91,221.63172,2020-02-10 06:00:00
10,1581310800000,75.86,75.86,73.58,74.8,52.61791,2020-02-10 05:00:00
11,1581307200000,75.35,75.44,74.91,75.43,241.94161,2020-02-10 04:00:00
12,1581303600000,75.87,75.87,75.64,75.69,101.04275,2020-02-10 03:00:00
13,1581300000000,76.6,76.61,76.6,76.61,5.39008,2020-02-10 02:00:00
14,1581296400000,77.02,77.02,76.27,76.27,120.58411,2020-02-10 01:00:00
15,1581292800000,77.15,77.22,77.08,77.22,17.47333,2020-02-10 00:00:00
16,1581289200000,77.0,77.19,76.77,77.08,49.83903,2020-02-09 23:00:00
17,1581285600000,76.91,77.0,76.91,77.0,28.66948,2020-02-09 22:00:00
18,1581282000000,76.14,76.22,76.14,76.22,16.49941,2020-02-09 21:00:00
19,1581278400000,76.1,76.1,76.09,76.09,0.4451,2020-02-09 20:00:00
20,1581274800000,76.63,76.64,76.63,76.64,1.0,2020-02-09 19:00:00
21,1581271200000,76.45,76.79,76.29,76.51,67.50278,2020-02-09 18:00:00
22,1581267600000,77.06,77.06,76.69,76.69,5.93473,2020-02-09 17:00:00
23,1581264000000,76.35,77.03,76.35,77.03,200.38759,2020-02-09 16:00:00
