,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,74.48,75.27,74.48,74.87,1236.85021,2020-02-10 15:00:00
1,1581343200000,73.76,74.52,73.5,74.44,300.63211,2020-02-10 14:00:00
2,1581339600000,73.64,73.98,73.41,73.41,227.9952,2020-02-10 13:00:00
3,1581336000000,73.09,73.91,72.84,73.49,91.53713,2020-02-10 12:00:00
4,1581332400000,73.05,73.38,72.71,73.05,267.5823,2020-02-10 11:00:00
5,1581328800000,73.1,73.53,72.75,73.26,190.9808,2020-02-10 10:00:00
6,1581325200000,73.42,73.42,72.35,73.2,1956.67153,2020-02-10 09:00:00
7,1581321600000,75.14,75.14,73.43,73.82,1528.52836,2020-02-10 08:00:00
8,1581318000000,74.87,75.52,74.87,75.17,1953.66725,2020-02-10 07:00:00
9,1581314400000,74.15,75.5,74.09,74.79,3170.92737,2020-02-10 06:00:00
10,1581310800000,75.29,75.88,72.8,74.46,566.05622,2020-02-10 05:00:00
11,1581307200000,75.19,75.4,74.67,75.34,336.05956,2020-02-10 04:00:00
12,1581303600000,76.32,76.32,75.31,75.8,167.15964,2020-02-10 03:00:00
13,1581300000000,76.45,76.52,76.05,76.44,146.96368,2020-02-10 02:00:00
14,1581296400000,77.19,77.19,76.38,76.39,180.91977,2020-02-10 01:00:00
15,1581292800000,77.04,77.39,77.04,77.12,349.67688,2020-02-10 00:00:00
16,1581289200000,76.99,77.25,76.77,77.05,572.68599,2020-02-09 23:00:00
17,1581285600000,76.2,76.84,76.13,76.84,88.42264,2020-02-09 22:00:00
18,1581282000000,76.13,76.32,76.09,76.28,89.9193,2020-02-09 21:00:00
19,1581278400000,76.3,76.3,75.7,76.02,101.04541,2020-02-09 20:00:00
20,1581274800000,76.52,76.52,76.3,76.3,54.17459,2020-02-09 19:00:00
21,1581271200000,76.65,76.69,76.32,76.52,10.88892,2020-02-09 18:00:00
22,1581267600000,76.74,77.0,76.74,76.77,516.9498,2020-02-09 17:00:00
23,1581264000000,76.42,76.98,76.26,76.66,1110.27882,2020-02-09 16:00:00
24,1581260400000,76.25,76.25,75.21,76.17,382.88643,2020-02-09 15:00:00
25,1581256800000,76.3,76.96,75.8,76.07,782.10384,2020-02-09 14:00:00
26,1581253200000,77.11,77.11,76.37,76.57,144.65676,2020-02-09 13:00:00
27,1581249600000,77.32,77.57,77.07,77.07,43.35995,2020-02-09 12:00:00
28,1581246000000,77.0,77.34,77.0,77.15,111.52012,2020-02-09 11:00:00
29,1581242400000,76.78,77.26,76.77,77.26,118.80666,2020-02-09 10:00:00
30,1581238800000,77.0,77.31,76.9,77.15,330.05897,2020-02-09 09:00:00
31,1581235200000,78.12,78.15,77.42,77.42,624.93701,2020-02-09 08:00:00
32,1581231600000,78.0,78.5,77.04,78.01,532.2303,2020-02-09 07:00:00
33,1581228000000,77.34,77.71,77.34,77.43,348.53898,2020-02-09 06:00:00
34,1581224400000,77.02,77.47,76.95,77.47,183.26655,2020-02-09 05:00:00
35,1581220800000,77.62,77.62,76.91,77.29,359.10708,2020-02-09 04:00:00
36,1581217200000,77.3,77.78,76.92,77.59,236.47846,2020-02-09 03:00:00
37,1581210000000,77.29,77.39,77.15,77.15,22.83,2020-02-09 01:00:00
38,1581206400000,76.66,77.5,76.66,77.29,74.99203,2020-02-09 00:00:00
39,1581202800000,77.09,77.24,76.54,76.54,137.37072,2020-02-08 23:00:00
40,1581199200000,76.92,77.07,76.6,76.7,255.49938,2020-02-08 22:00:00
41,1581195600000,77.52,77.52,77.21,77.21,25.04653,2020-02-08 21:00:00
42,1581192000000,77.41,77.6,77.26,77.51,97.89612,2020-02-08 20:00:00
43,1581188400000,77.22,77.71,77.02,77.48,5.73372,2020-02-08 19:00:00
44,1581184800000,76.96,77.24,76.86,77.16,48.70393,2020-02-08 18:00:00
45,1581181200000,77.63,77.8,76.75,76.91,110.85538,2020-02-08 17:00:00
46,1581177600000,76.05,77.46,75.67,77.46,601.4877,2020-02-08 16:00:00
47,1581174000000,75.94,76.08,75.81,75.9,779.61553,2020-02-08 15:00:00
48,1581170400000,75.38,76.0,75.38,75.86,572.28913,2020-02-08 14:00:00
49,1581166800000,75.56,76.56,74.5,75.3,311.10346,2020-02-08 13:00:00
50,1581163200000,76.05,76.23,75.76,75.83,299.76129,2020-02-08 12:00:00
51,1581159600000,75.25,75.96,75.25,75.96,451.12432,2020-02-08 11:00:00
52,1581156000000,75.75,75.89,75.35,75.35,238.61693,2020-02-08 10:00:00
53,1581152400000,75.79,75.84,75.16,75.44,355.2385,2020-02-08 09:00:00
54,1581148800000,74.19,76.0,74.1,75.34,678.67917,2020-02-08 08:00:00
55,1581145200000,73.74,74.14,73.59,73.96,251.51992,2020-02-08 07:00:00
56,1581141600000,73.5,73.87,73.42,73.69,202.10398,2020-02-08 06:00:00
57,1581138000000,72.76,73.73,72.76,73.54,211.63538,2020-02-08 05:00:00
58,1581134400000,72.39,73.08,72.39,73.02,147.78342,2020-02-08 04:00:00
59,1581130800000,71.73,72.2,71.73,72.2,48.28772,2020-02-08 03:00:00
60,1581127200000,73.46,73.46,71.87,72.01,255.22465,2020-02-08 02:00:00
61,1581123600000,73.6,73.64,73.2,73.46,209.23077,2020-02-08 01:00:00
62,1581120000000,74.25,74.5,73.66,73.66,350.91273,2020-02-08 00:00:00
63,1581116400000,74.0,74.51,74.0,74.25,231.2787,2020-02-07 23:00:00
64,1581112800000,73.47,73.75,73.47,73.75,31.21325,2020-02-07 22:00:00
65,1581109200000,73.21,73.46,73.16,73.46,4.43428,2020-02-07 21:00:00
66,1581105600000,73.58,73.69,73.2,73.2,86.81866,2020-02-07 20:00:00
67,1581102000000,73.91,73.91,73.33,73.67,656.26811,2020-02-07 19:00:00
68,1581098400000,73.44,73.96,73.36,73.91,125.67628,2020-02-07 18:00:00
69,1581094800000,73.44,73.6,73.22,73.59,92.51399,2020-02-07 17:00:00
70,1581091200000,73.69,73.69,73.19,73.44,52.96154,2020-02-07 16:00:00
71,1581087600000,73.73,73.78,73.1,73.1,77.25126,2020-02-07 15:00:00
72,1581084000000,73.63,73.84,73.35,73.73,175.53767,2020-02-07 14:00:00
