,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,74.64,75.25,74.64,74.99,1303.10263,2020-02-10 15:00:00
1,1581343200000,73.71,74.61,73.53,74.47,391.4935,2020-02-10 14:00:00
2,1581339600000,73.9,74.0,73.38,73.38,125.28813,2020-02-10 13:00:00
3,1581336000000,72.92,73.82,72.87,73.51,1168.7327,2020-02-10 12:00:00
4,1581332400000,73.25,73.5,72.71,73.03,150.7582,2020-02-10 11:00:00
5,1581328800000,73.28,73.66,72.76,73.5,1175.26512,2020-02-10 10:00:00
6,1581325200000,73.76,73.87,72.37,73.09,426.2954,2020-02-10 09:00:00
7,1581321600000,75.07,75.07,73.15,73.76,280.22388,2020-02-10 08:00:00
8,1581318000000,75.19,75.5,74.95,75.22,102.54443,2020-02-10 07:00:00
9,1581314400000,74.49,75.5,74.11,75.19,133.24157,2020-02-10 06:00:00
10,1581310800000,75.29,75.9,73.51,73.88,903.44665,2020-02-10 05:00:00
11,1581307200000,75.77,75.77,74.65,75.52,1405.71325,2020-02-10 04:00:00
12,1581303600000,76.34,76.36,75.3,75.82,1846.38936,2020-02-10 03:00:00
13,1581300000000,76.47,76.63,76.09,76.46,1519.45919,2020-02-10 02:00:00
14,1581296400000,77.18,77.18,76.28,76.45,631.9236,2020-02-10 01:00:00
15,1581292800000,77.17,77.56,77.0,77.15,115.40796,2020-02-10 00:00:00
16,1581289200000,77.0,77.34,76.81,77.19,241.44292,2020-02-09 23:00:00
17,1581285600000,76.21,76.92,76.21,76.92,65.39065,2020-02-09 22:00:00
18,1581282000000,75.79,76.3,75.79,76.15,135.74352,2020-02-09 21:00:00
19,1581278400000,76.2,76.2,75.68,75.96,22.41682,2020-02-09 20:00:00
20,1581274800000,76.46,76.5,76.15,76.15,24.66539,2020-02-09 19:00:00
21,1581271200000,76.57,76.74,76.28,76.47,142.63904,2020-02-09 18:00:00
22,1581267600000,76.91,77.19,76.7,76.86,102.83835,2020-02-09 17:00:00
23,1581264000000,76.34,76.87,76.16,76.87,77.22083,2020-02-09 16:00:00
24,1581260400000,76.16,76.28,75.09,76.1,372.38005,2020-02-09 15:00:00
25,1581256800000,76.31,77.0,75.79,75.88,159.71258,2020-02-09 14:00:00
26,1581253200000,77.13,77.13,76.15,76.59,247.14803,2020-02-09 13:00:00
27,1581249600000,77.46,77.5,77.13,77.13,52.65932,2020-02-09 12:00:00
28,1581246000000,77.34,77.34,76.99,77.01,36.77504,2020-02-09 11:00:00
29,1581242400000,76.9,77.11,76.83,77.09,29.47572,2020-02-09 10:00:00
30,1581238800000,77.14,77.5,76.87,77.15,495.90021,2020-02-09 09:00:00
31,1581235200000,77.89,78.21,77.31,77.31,255.58163,2020-02-09 08:00:00
32,1581231600000,77.85,78.45,77.81,77.94,315.95147,2020-02-09 07:00:00
33,1581228000000,77.41,77.81,77.33,77.81,147.02661,2020-02-09 06:00:00
34,1581224400000,77.1,77.5,76.96,77.5,401.17905,2020-02-09 05:00:00
35,1581220800000,77.6,77.6,77.0,77.34,104.27487,2020-02-09 04:00:00
36,1581217200000,77.27,77.77,76.93,77.39,387.9964,2020-02-09 03:00:00
37,1581210000000,77.47,77.49,77.16,77.16,539.5447,2020-02-09 01:00:00
38,1581206400000,77.0,77.53,77.0,77.41,60.17072,2020-02-09 00:00:00
39,1581202800000,77.32,77.32,76.5,76.65,29.30921,2020-02-08 23:00:00
40,1581199200000,77.13,77.13,76.54,77.0,534.80475,2020-02-08 22:00:00
41,1581195600000,77.68,77.8,77.17,77.26,182.22955,2020-02-08 21:00:00
