,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,74.46,75.37,74.41,74.79,27152.26492,2020-02-10 15:00:00
1,1581343200000,73.46,74.64,73.37,74.41,32598.59114,2020-02-10 14:00:00
2,1581339600000,73.92,74.17,73.29,73.48,23528.68052,2020-02-10 13:00:00
3,1581336000000,73.24,73.92,72.84,73.92,27422.08098,2020-02-10 12:00:00
4,1581332400000,73.27,73.59,72.78,73.24,25112.31692,2020-02-10 11:00:00
5,1581328800000,73.24,73.76,72.75,73.26,37919.80613,2020-02-10 10:00:00
6,1581325200000,73.63,73.73,72.21,73.24,75399.63306,2020-02-10 09:00:00
7,1581321600000,75.1,75.16,73.01,73.66,66423.95227,2020-02-10 08:00:00
8,1581318000000,74.84,75.56,74.82,75.1,22531.23557,2020-02-10 07:00:00
9,1581314400000,74.48,75.58,74.02,74.86,60349.6618,2020-02-10 06:00:00
10,1581310800000,75.29,75.99,73.25,74.48,50552.1387,2020-02-10 05:00:00
11,1581307200000,75.75,75.89,74.56,75.29,41678.47595,2020-02-10 04:00:00
12,1581303600000,76.44,76.45,75.28,75.72,37727.91642,2020-02-10 03:00:00
13,1581300000000,76.37,76.73,76.04,76.46,16890.19849,2020-02-10 02:00:00
14,1581296400000,77.21,77.21,76.23,76.35,15372.86069,2020-02-10 01:00:00
15,1581292800000,76.99,77.48,76.94,77.22,18129.96276,2020-02-10 00:00:00
16,1581289200000,76.98,77.3,76.65,77.0,14814.62991,2020-02-09 23:00:00
17,1581285600000,76.16,76.98,76.13,76.98,10666.47595,2020-02-09 22:00:00
18,1581282000000,75.93,76.47,75.79,76.15,7495.66769,2020-02-09 21:00:00
19,1581278400000,76.37,76.37,75.61,75.93,15389.11095,2020-02-09 20:00:00
20,1581274800000,76.57,76.62,76.13,76.33,6398.07324,2020-02-09 19:00:00
21,1581271200000,76.66,76.85,76.21,76.55,12184.16078,2020-02-09 18:00:00
22,1581267600000,76.74,77.31,76.59,76.66,25264.03491,2020-02-09 17:00:00
23,1581264000000,76.04,76.91,75.99,76.81,20010.63489,2020-02-09 16:00:00
24,1581260400000,76.09,76.3,75.0,76.04,48431.89304,2020-02-09 15:00:00
25,1581256800000,76.37,76.99,75.65,76.08,34127.99561,2020-02-09 14:00:00
26,1581253200000,77.03,77.24,76.09,76.37,25415.56695,2020-02-09 13:00:00
27,1581249600000,77.08,77.59,76.96,77.03,19209.6336,2020-02-09 12:00:00
28,1581246000000,77.3,77.42,76.83,77.07,13557.75887,2020-02-09 11:00:00
29,1581242400000,77.01,77.38,76.7,77.3,19225.22793,2020-02-09 10:00:00
30,1581238800000,77.48,77.7,76.87,77.03,21399.82632,2020-02-09 09:00:00
31,1581235200000,77.89,78.29,77.2,77.47,27019.43015,2020-02-09 08:00:00
32,1581231600000,77.66,78.43,77.65,77.92,42357.65859,2020-02-09 07:00:00
33,1581228000000,77.42,77.77,77.24,77.65,17502.51183,2020-02-09 06:00:00
34,1581224400000,77.3,77.46,76.89,77.4,12433.04064,2020-02-09 05:00:00
35,1581220800000,77.52,77.7,76.89,77.3,19814.27614,2020-02-09 04:00:00
36,1581217200000,77.0,77.78,76.8,77.51,36473.41124,2020-02-09 03:00:00
37,1581210000000,77.26,77.39,76.94,77.05,9762.78626,2020-02-09 01:00:00
38,1581206400000,76.56,77.5,76.53,77.27,16716.83513,2020-02-09 00:00:00
39,1581202800000,77.22,77.28,76.41,76.56,16374.11202,2020-02-08 23:00:00
40,1581199200000,77.19,77.28,76.48,77.22,13819.88883,2020-02-08 22:00:00
41,1581195600000,77.37,77.78,77.01,77.22,19624.57834,2020-02-08 21:00:00
42,1581192000000,77.5,77.64,77.28,77.41,12230.4773,2020-02-08 20:00:00
43,1581188400000,77.14,77.65,77.0,77.51,12740.61688,2020-02-08 19:00:00
44,1581184800000,77.19,77.29,76.85,77.15,16639.08215,2020-02-08 18:00:00
45,1581181200000,77.58,77.94,76.67,77.19,42204.09205,2020-02-08 17:00:00
46,1581177600000,75.82,77.63,75.61,77.6,33080.65902,2020-02-08 16:00:00
47,1581174000000,75.89,76.0,75.61,75.8,9772.81494,2020-02-08 15:00:00
48,1581170400000,75.27,76.07,75.07,75.89,21162.84237,2020-02-08 14:00:00
49,1581166800000,75.63,76.62,74.56,75.27,64587.52501,2020-02-08 13:00:00
50,1581163200000,76.01,76.31,75.44,75.63,29822.57035,2020-02-08 12:00:00
51,1581159600000,75.29,76.06,75.12,76.01,26477.25589,2020-02-08 11:00:00
52,1581156000000,75.71,76.1,75.27,75.3,26074.31419,2020-02-08 10:00:00
