,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0001208,0.0001209,0.00012,0.0001207,993.65,2020-02-10 15:00:00
1,1581343200000,0.0001209,0.0001209,0.0001195,0.0001208,5444.97,2020-02-10 14:00:00
2,1581339600000,0.0001213,0.0001217,0.0001197,0.000121,7342.56,2020-02-10 13:00:00
3,1581336000000,0.0001199,0.000123,0.0001193,0.0001213,28062.26,2020-02-10 12:00:00
4,1581332400000,0.0001183,0.00012,0.0001175,0.00012,21115.54,2020-02-10 11:00:00
5,1581328800000,0.0001159,0.0001183,0.0001159,0.0001178,2946.6,2020-02-10 10:00:00
6,1581325200000,0.0001166,0.0001167,0.0001159,0.0001159,2216.94,2020-02-10 09:00:00
7,1581321600000,0.0001164,0.0001167,0.000116,0.0001166,961.67,2020-02-10 08:00:00
8,1581318000000,0.0001165,0.0001165,0.0001157,0.0001162,1149.36,2020-02-10 07:00:00
9,1581314400000,0.000117,0.000117,0.0001155,0.0001162,3158.04,2020-02-10 06:00:00
10,1581310800000,0.0001164,0.000117,0.0001164,0.0001165,976.5,2020-02-10 05:00:00
11,1581307200000,0.0001168,0.0001171,0.0001159,0.0001164,3482.75,2020-02-10 04:00:00
12,1581303600000,0.000117,0.000117,0.0001166,0.0001169,363.94,2020-02-10 03:00:00
13,1581300000000,0.000117,0.000117,0.0001166,0.0001169,2124.23,2020-02-10 02:00:00
14,1581296400000,0.000118,0.000118,0.0001166,0.000117,6715.45,2020-02-10 01:00:00
15,1581292800000,0.0001181,0.0001181,0.0001173,0.0001179,801.56,2020-02-10 00:00:00
16,1581289200000,0.0001171,0.0001181,0.0001169,0.0001181,2158.08,2020-02-09 23:00:00
17,1581285600000,0.0001169,0.0001173,0.0001168,0.0001169,2596.31,2020-02-09 22:00:00
18,1581282000000,0.0001153,0.0001175,0.0001144,0.0001168,11739.07,2020-02-09 21:00:00
19,1581278400000,0.0001141,0.0001153,0.000114,0.0001153,3577.19,2020-02-09 20:00:00
20,1581274800000,0.0001146,0.0001146,0.0001138,0.000114,1517.1,2020-02-09 19:00:00
21,1581271200000,0.0001149,0.0001151,0.0001143,0.0001145,2966.08,2020-02-09 18:00:00
22,1581267600000,0.0001135,0.000115,0.0001133,0.0001149,3056.97,2020-02-09 17:00:00
23,1581264000000,0.0001125,0.0001135,0.0001125,0.0001129,2157.66,2020-02-09 16:00:00
