,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,5.66e-06,5.77e-06,5.66e-06,5.73e-06,856175.0,2020-02-10 15:00:00
1,1581343200000,5.81e-06,5.82e-06,5.61e-06,5.67e-06,4442265.0,2020-02-10 14:00:00
2,1581339600000,5.9e-06,5.92e-06,5.78e-06,5.79e-06,1500295.0,2020-02-10 13:00:00
3,1581336000000,5.83e-06,5.96e-06,5.82e-06,5.91e-06,2090745.0,2020-02-10 12:00:00
4,1581332400000,5.8e-06,5.86e-06,5.76e-06,5.83e-06,2276458.0,2020-02-10 11:00:00
5,1581328800000,5.73e-06,5.82e-06,5.68e-06,5.8e-06,1795668.0,2020-02-10 10:00:00
6,1581325200000,5.76e-06,5.78e-06,5.68e-06,5.73e-06,1638729.0,2020-02-10 09:00:00
7,1581321600000,5.89e-06,5.9e-06,5.7e-06,5.75e-06,3582449.0,2020-02-10 08:00:00
8,1581318000000,5.94e-06,5.96e-06,5.85e-06,5.9e-06,2055224.0,2020-02-10 07:00:00
9,1581314400000,5.85e-06,5.94e-06,5.75e-06,5.93e-06,3352033.0,2020-02-10 06:00:00
10,1581310800000,5.85e-06,5.88e-06,5.81e-06,5.83e-06,2686676.0,2020-02-10 05:00:00
11,1581307200000,5.87e-06,5.93e-06,5.83e-06,5.84e-06,1854740.0,2020-02-10 04:00:00
12,1581303600000,5.99e-06,6.03e-06,5.86e-06,5.87e-06,1679376.0,2020-02-10 03:00:00
13,1581300000000,6.03e-06,6.05e-06,5.85e-06,5.98e-06,4418721.0,2020-02-10 02:00:00
14,1581296400000,6.24e-06,6.24e-06,6.01e-06,6.03e-06,3952147.0,2020-02-10 01:00:00
15,1581292800000,6.39e-06,6.44e-06,6.21e-06,6.24e-06,1562552.0,2020-02-10 00:00:00
16,1581289200000,6.42e-06,6.44e-06,6.37e-06,6.38e-06,1854796.0,2020-02-09 23:00:00
17,1581285600000,6.36e-06,6.48e-06,6.32e-06,6.41e-06,1305346.0,2020-02-09 22:00:00
