,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.14e-06,2.15e-06,2.12e-06,2.14e-06,12418944.0,2020-02-10 15:00:00
1,1581343200000,2.13e-06,2.14e-06,2.12e-06,2.14e-06,4740790.0,2020-02-10 14:00:00
2,1581339600000,2.13e-06,2.15e-06,2.12e-06,2.13e-06,14594465.0,2020-02-10 13:00:00
3,1581336000000,2.11e-06,2.13e-06,2.1e-06,2.12e-06,19453442.0,2020-02-10 12:00:00
4,1581332400000,2.13e-06,2.15e-06,2.11e-06,2.12e-06,23050385.0,2020-02-10 11:00:00
5,1581328800000,2.15e-06,2.16e-06,2.13e-06,2.13e-06,14721610.0,2020-02-10 10:00:00
6,1581325200000,2.17e-06,2.18e-06,2.1e-06,2.14e-06,35023188.0,2020-02-10 09:00:00
7,1581321600000,2.17e-06,2.19e-06,2.16e-06,2.17e-06,17906783.0,2020-02-10 08:00:00
8,1581318000000,2.17e-06,2.18e-06,2.15e-06,2.16e-06,11809405.0,2020-02-10 07:00:00
9,1581314400000,2.16e-06,2.18e-06,2.16e-06,2.16e-06,18558946.0,2020-02-10 06:00:00
10,1581310800000,2.2e-06,2.21e-06,2.15e-06,2.16e-06,21580064.0,2020-02-10 05:00:00
11,1581307200000,2.17e-06,2.22e-06,2.17e-06,2.2e-06,19269296.0,2020-02-10 04:00:00
12,1581303600000,2.18e-06,2.18e-06,2.16e-06,2.18e-06,11338912.0,2020-02-10 03:00:00
13,1581300000000,2.18e-06,2.18e-06,2.16e-06,2.17e-06,5702521.0,2020-02-10 02:00:00
14,1581296400000,2.16e-06,2.18e-06,2.15e-06,2.17e-06,6371823.0,2020-02-10 01:00:00
15,1581292800000,2.16e-06,2.18e-06,2.15e-06,2.16e-06,8010049.0,2020-02-10 00:00:00
16,1581289200000,2.16e-06,2.17e-06,2.15e-06,2.16e-06,8824331.0,2020-02-09 23:00:00
17,1581285600000,2.16e-06,2.18e-06,2.16e-06,2.16e-06,6939319.0,2020-02-09 22:00:00
18,1581282000000,2.18e-06,2.18e-06,2.16e-06,2.17e-06,8277807.0,2020-02-09 21:00:00
19,1581278400000,2.19e-06,2.2e-06,2.18e-06,2.18e-06,9351232.0,2020-02-09 20:00:00
20,1581274800000,2.19e-06,2.21e-06,2.17e-06,2.18e-06,18391440.0,2020-02-09 19:00:00
21,1581271200000,2.16e-06,2.21e-06,2.16e-06,2.2e-06,27254903.0,2020-02-09 18:00:00
22,1581267600000,2.13e-06,2.17e-06,2.12e-06,2.17e-06,14961022.0,2020-02-09 17:00:00
23,1581264000000,2.14e-06,2.15e-06,2.11e-06,2.13e-06,27508077.0,2020-02-09 16:00:00
24,1581260400000,2.15e-06,2.16e-06,2.12e-06,2.14e-06,14714220.0,2020-02-09 15:00:00
25,1581256800000,2.16e-06,2.16e-06,2.14e-06,2.15e-06,11188619.0,2020-02-09 14:00:00
26,1581253200000,2.13e-06,2.16e-06,2.12e-06,2.15e-06,10549783.0,2020-02-09 13:00:00
27,1581249600000,2.17e-06,2.17e-06,2.12e-06,2.14e-06,19586019.0,2020-02-09 12:00:00
28,1581246000000,2.14e-06,2.17e-06,2.14e-06,2.17e-06,7626382.0,2020-02-09 11:00:00
29,1581242400000,2.16e-06,2.17e-06,2.14e-06,2.15e-06,13326444.0,2020-02-09 10:00:00
30,1581238800000,2.14e-06,2.16e-06,2.12e-06,2.16e-06,14511893.0,2020-02-09 09:00:00
31,1581235200000,2.14e-06,2.15e-06,2.13e-06,2.14e-06,7007162.0,2020-02-09 08:00:00
32,1581231600000,2.16e-06,2.16e-06,2.12e-06,2.13e-06,19831008.0,2020-02-09 07:00:00
33,1581228000000,2.11e-06,2.17e-06,2.09e-06,2.16e-06,21730394.0,2020-02-09 06:00:00
34,1581224400000,2.09e-06,2.13e-06,2.08e-06,2.12e-06,20246777.0,2020-02-09 05:00:00
35,1581220800000,2.07e-06,2.1e-06,2.07e-06,2.09e-06,21527901.0,2020-02-09 04:00:00
36,1581217200000,2.14e-06,2.15e-06,2.06e-06,2.08e-06,60069933.0,2020-02-09 03:00:00
37,1581210000000,2.13e-06,2.16e-06,2.13e-06,2.14e-06,8499769.0,2020-02-09 01:00:00
38,1581206400000,2.14e-06,2.15e-06,2.12e-06,2.13e-06,10177725.0,2020-02-09 00:00:00
