,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,8.259e-05,8.271e-05,8.2e-05,8.229e-05,19329.0,2020-02-10 15:00:00
1,1581343200000,8.29e-05,8.306e-05,8.182e-05,8.234e-05,24914.0,2020-02-10 14:00:00
2,1581339600000,8.245e-05,8.352e-05,8.2e-05,8.291e-05,90101.0,2020-02-10 13:00:00
3,1581336000000,8.218e-05,8.289e-05,8.21e-05,8.243e-05,24211.0,2020-02-10 12:00:00
4,1581332400000,8.288e-05,8.306e-05,8.218e-05,8.218e-05,22692.0,2020-02-10 11:00:00
5,1581328800000,8.23e-05,8.291e-05,8.2e-05,8.288e-05,12060.0,2020-02-10 10:00:00
6,1581325200000,8.335e-05,8.342e-05,8.167e-05,8.23e-05,33126.0,2020-02-10 09:00:00
7,1581321600000,8.301e-05,8.55e-05,8.259e-05,8.302e-05,291447.0,2020-02-10 08:00:00
8,1581318000000,8.016e-05,8.333e-05,7.947e-05,8.3e-05,166522.0,2020-02-10 07:00:00
9,1581314400000,8.003e-05,8.04e-05,7.94e-05,8.021e-05,41821.0,2020-02-10 06:00:00
10,1581310800000,7.95e-05,8.031e-05,7.939e-05,7.969e-05,62315.0,2020-02-10 05:00:00
11,1581307200000,8.058e-05,8.101e-05,7.935e-05,7.95e-05,68753.0,2020-02-10 04:00:00
12,1581303600000,8.067e-05,8.103e-05,8.057e-05,8.057e-05,5197.0,2020-02-10 03:00:00
13,1581300000000,8.119e-05,8.119e-05,8.065e-05,8.067e-05,3546.0,2020-02-10 02:00:00
14,1581296400000,8.044e-05,8.118e-05,8.025e-05,8.118e-05,10631.0,2020-02-10 01:00:00
15,1581292800000,8.071e-05,8.1e-05,8.015e-05,8.044e-05,29491.0,2020-02-10 00:00:00
16,1581289200000,8.157e-05,8.192e-05,8.052e-05,8.1e-05,22865.0,2020-02-09 23:00:00
17,1581285600000,8.17e-05,8.238e-05,8.137e-05,8.157e-05,18064.0,2020-02-09 22:00:00
18,1581282000000,8.16e-05,8.196e-05,8.122e-05,8.17e-05,16659.0,2020-02-09 21:00:00
19,1581278400000,8.277e-05,8.306e-05,8.157e-05,8.158e-05,29143.0,2020-02-09 20:00:00
20,1581274800000,8.263e-05,8.332e-05,8.221e-05,8.288e-05,35799.0,2020-02-09 19:00:00
21,1581271200000,8.22e-05,8.35e-05,8.219e-05,8.263e-05,43161.0,2020-02-09 18:00:00
22,1581267600000,8.124e-05,8.256e-05,8.062e-05,8.25e-05,70971.0,2020-02-09 17:00:00
23,1581264000000,8.134e-05,8.163e-05,8.067e-05,8.16e-05,43319.0,2020-02-09 16:00:00
24,1581260400000,8.14e-05,8.142e-05,8e-05,8.108e-05,54260.0,2020-02-09 15:00:00
25,1581256800000,8.039e-05,8.142e-05,8.007e-05,8.14e-05,54004.0,2020-02-09 14:00:00
