,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.89e-05,3.89e-05,3.85e-05,3.86e-05,266087.0,2020-02-10 15:00:00
1,1581343200000,3.91e-05,3.93e-05,3.91e-05,3.93e-05,144825.0,2020-02-10 14:00:00
2,1581339600000,3.89e-05,3.91e-05,3.85e-05,3.89e-05,323013.0,2020-02-10 13:00:00
3,1581336000000,3.98e-05,3.99e-05,3.88e-05,3.91e-05,396239.0,2020-02-10 12:00:00
4,1581332400000,4.11e-05,4.12e-05,3.97e-05,3.97e-05,741500.0,2020-02-10 11:00:00
5,1581328800000,4.13e-05,4.17e-05,4.08e-05,4.08e-05,81460.0,2020-02-10 10:00:00
6,1581325200000,4.07e-05,4.16e-05,4.07e-05,4.09e-05,129061.0,2020-02-10 09:00:00
7,1581321600000,4.08e-05,4.09e-05,3.97e-05,4.09e-05,738904.0,2020-02-10 08:00:00
8,1581318000000,4.07e-05,4.11e-05,4.04e-05,4.11e-05,117104.0,2020-02-10 07:00:00
9,1581314400000,4.3e-05,4.3e-05,4.03e-05,4.09e-05,392927.0,2020-02-10 06:00:00
10,1581310800000,4.22e-05,4.31e-05,4.22e-05,4.24e-05,496242.0,2020-02-10 05:00:00
11,1581307200000,4.23e-05,4.23e-05,4.23e-05,4.23e-05,2887.0,2020-02-10 04:00:00
12,1581303600000,4.22e-05,4.24e-05,4.22e-05,4.22e-05,121830.0,2020-02-10 03:00:00
13,1581300000000,4.24e-05,4.25e-05,4.23e-05,4.25e-05,26562.0,2020-02-10 02:00:00
14,1581296400000,4.19e-05,4.28e-05,4.18e-05,4.21e-05,118560.0,2020-02-10 01:00:00
15,1581292800000,4.19e-05,4.24e-05,4.19e-05,4.24e-05,36406.0,2020-02-10 00:00:00
16,1581289200000,4.25e-05,4.25e-05,4.21e-05,4.21e-05,194051.0,2020-02-09 23:00:00
17,1581285600000,4.26e-05,4.28e-05,4.24e-05,4.28e-05,52132.0,2020-02-09 22:00:00
18,1581282000000,4.28e-05,4.28e-05,4.26e-05,4.26e-05,20307.0,2020-02-09 21:00:00
19,1581278400000,4.31e-05,4.31e-05,4.31e-05,4.31e-05,3367.0,2020-02-09 20:00:00
20,1581274800000,4.33e-05,4.33e-05,4.28e-05,4.31e-05,830635.0,2020-02-09 19:00:00
21,1581271200000,4.32e-05,4.32e-05,4.32e-05,4.32e-05,22228.0,2020-02-09 18:00:00
22,1581267600000,4.33e-05,4.33e-05,4.3e-05,4.31e-05,218931.0,2020-02-09 17:00:00
23,1581264000000,4.46e-05,4.46e-05,4.33e-05,4.33e-05,291315.0,2020-02-09 16:00:00
24,1581260400000,4.56e-05,4.56e-05,4.46e-05,4.46e-05,86923.0,2020-02-09 15:00:00
25,1581256800000,4.51e-05,4.54e-05,4.51e-05,4.54e-05,165280.0,2020-02-09 14:00:00
26,1581253200000,4.58e-05,4.58e-05,4.58e-05,4.58e-05,0.0,2020-02-09 13:00:00
27,1581249600000,4.48e-05,4.6e-05,4.48e-05,4.58e-05,207878.0,2020-02-09 12:00:00
28,1581246000000,4.51e-05,4.51e-05,4.49e-05,4.49e-05,171744.0,2020-02-09 11:00:00
29,1581242400000,4.55e-05,4.69e-05,4.54e-05,4.54e-05,382452.0,2020-02-09 10:00:00
30,1581238800000,4.44e-05,4.69e-05,4.44e-05,4.53e-05,353796.0,2020-02-09 09:00:00
31,1581235200000,4.42e-05,4.53e-05,4.42e-05,4.49e-05,362819.0,2020-02-09 08:00:00
32,1581231600000,4.36e-05,4.41e-05,4.33e-05,4.41e-05,67124.0,2020-02-09 07:00:00
33,1581228000000,4.36e-05,4.36e-05,4.33e-05,4.33e-05,5728.0,2020-02-09 06:00:00
34,1581224400000,4.34e-05,4.39e-05,4.34e-05,4.39e-05,173802.0,2020-02-09 05:00:00
35,1581220800000,4.31e-05,4.35e-05,4.24e-05,4.34e-05,434501.0,2020-02-09 04:00:00
36,1581217200000,4.5e-05,4.51e-05,4.31e-05,4.31e-05,549833.0,2020-02-09 03:00:00
37,1581210000000,4.51e-05,4.51e-05,4.51e-05,4.51e-05,17091.0,2020-02-09 01:00:00
38,1581206400000,4.58e-05,4.58e-05,4.58e-05,4.58e-05,41058.0,2020-02-09 00:00:00
39,1581202800000,4.54e-05,4.54e-05,4.54e-05,4.54e-05,0.0,2020-02-08 23:00:00
40,1581199200000,4.54e-05,4.54e-05,4.54e-05,4.54e-05,0.0,2020-02-08 22:00:00
41,1581195600000,4.56e-05,4.56e-05,4.52e-05,4.54e-05,42602.0,2020-02-08 21:00:00
42,1581192000000,4.56e-05,4.56e-05,4.56e-05,4.56e-05,5787.0,2020-02-08 20:00:00
43,1581188400000,4.59e-05,4.59e-05,4.57e-05,4.57e-05,39690.0,2020-02-08 19:00:00
44,1581184800000,4.63e-05,4.63e-05,4.61e-05,4.63e-05,105375.0,2020-02-08 18:00:00
45,1581181200000,4.54e-05,4.61e-05,4.54e-05,4.61e-05,111043.0,2020-02-08 17:00:00
46,1581177600000,4.59e-05,4.59e-05,4.53e-05,4.57e-05,200756.0,2020-02-08 16:00:00
47,1581174000000,4.62e-05,4.63e-05,4.62e-05,4.63e-05,62359.0,2020-02-08 15:00:00
48,1581170400000,4.52e-05,4.61e-05,4.52e-05,4.59e-05,448102.0,2020-02-08 14:00:00
49,1581166800000,4.53e-05,4.53e-05,4.53e-05,4.53e-05,8627.0,2020-02-08 13:00:00
50,1581163200000,4.55e-05,4.55e-05,4.51e-05,4.51e-05,29787.0,2020-02-08 12:00:00
51,1581159600000,4.55e-05,4.56e-05,4.55e-05,4.56e-05,15158.0,2020-02-08 11:00:00
52,1581156000000,4.52e-05,4.52e-05,4.48e-05,4.48e-05,111618.0,2020-02-08 10:00:00
53,1581152400000,4.51e-05,4.53e-05,4.51e-05,4.51e-05,36705.0,2020-02-08 09:00:00
54,1581148800000,4.52e-05,4.57e-05,4.48e-05,4.48e-05,50709.0,2020-02-08 08:00:00
55,1581145200000,4.53e-05,4.56e-05,4.53e-05,4.56e-05,23063.0,2020-02-08 07:00:00
56,1581141600000,4.48e-05,4.53e-05,4.48e-05,4.53e-05,116096.0,2020-02-08 06:00:00
57,1581138000000,4.55e-05,4.56e-05,4.42e-05,4.48e-05,186731.0,2020-02-08 05:00:00
58,1581134400000,4.57e-05,4.57e-05,4.56e-05,4.56e-05,15330.0,2020-02-08 04:00:00
59,1581130800000,4.66e-05,4.67e-05,4.59e-05,4.59e-05,28416.0,2020-02-08 03:00:00
60,1581127200000,4.59e-05,4.62e-05,4.54e-05,4.61e-05,155225.0,2020-02-08 02:00:00
61,1581123600000,4.64e-05,4.65e-05,4.58e-05,4.58e-05,163552.0,2020-02-08 01:00:00
62,1581120000000,4.55e-05,4.67e-05,4.55e-05,4.64e-05,198401.0,2020-02-08 00:00:00
63,1581116400000,4.53e-05,4.53e-05,4.52e-05,4.52e-05,52250.0,2020-02-07 23:00:00
64,1581112800000,4.59e-05,4.59e-05,4.59e-05,4.59e-05,4483.0,2020-02-07 22:00:00
65,1581109200000,4.57e-05,4.63e-05,4.53e-05,4.53e-05,54600.0,2020-02-07 21:00:00
66,1581105600000,4.59e-05,4.59e-05,4.59e-05,4.59e-05,3526.0,2020-02-07 20:00:00
67,1581102000000,4.62e-05,4.63e-05,4.55e-05,4.55e-05,40922.0,2020-02-07 19:00:00
68,1581098400000,4.63e-05,4.65e-05,4.62e-05,4.62e-05,58470.0,2020-02-07 18:00:00
69,1581094800000,4.51e-05,4.64e-05,4.51e-05,4.56e-05,121415.0,2020-02-07 17:00:00
70,1581091200000,4.6e-05,4.6e-05,4.49e-05,4.54e-05,305416.0,2020-02-07 16:00:00
71,1581087600000,4.58e-05,4.65e-05,4.51e-05,4.59e-05,267393.0,2020-02-07 15:00:00
72,1581084000000,4.59e-05,4.64e-05,4.49e-05,4.54e-05,678727.0,2020-02-07 14:00:00
73,1581080400000,4.71e-05,4.71e-05,4.61e-05,4.61e-05,484927.0,2020-02-07 13:00:00
74,1581076800000,4.7e-05,4.89e-05,4.67e-05,4.72e-05,1311556.0,2020-02-07 12:00:00
75,1581073200000,4.62e-05,4.78e-05,4.52e-05,4.69e-05,1203278.0,2020-02-07 11:00:00
76,1581069600000,4.82e-05,4.82e-05,4.61e-05,4.63e-05,7890515.0,2020-02-07 10:00:00
77,1581066000000,4.88e-05,4.88e-05,4.82e-05,4.84e-05,96175.0,2020-02-07 09:00:00
78,1581062400000,4.81e-05,4.93e-05,4.81e-05,4.89e-05,946338.0,2020-02-07 08:00:00
79,1581058800000,5.23e-05,5.23e-05,4.52e-05,4.89e-05,4188991.0,2020-02-07 07:00:00
80,1581055200000,5.24e-05,5.3e-05,5.23e-05,5.3e-05,262101.0,2020-02-07 06:00:00
81,1581051600000,5.16e-05,5.28e-05,5.15e-05,5.23e-05,325523.0,2020-02-07 05:00:00
82,1581048000000,5.12e-05,5.22e-05,5.12e-05,5.13e-05,144738.0,2020-02-07 04:00:00
83,1581044400000,5.08e-05,5.13e-05,5.03e-05,5.11e-05,195466.0,2020-02-07 03:00:00
84,1581040800000,4.86e-05,5.2e-05,4.86e-05,5.04e-05,3189001.0,2020-02-07 02:00:00
85,1581037200000,4.89e-05,4.89e-05,4.87e-05,4.87e-05,149550.0,2020-02-07 01:00:00
86,1581033600000,4.95e-05,5.02e-05,4.9e-05,4.9e-05,231348.0,2020-02-07 00:00:00
87,1581030000000,4.94e-05,4.99e-05,4.94e-05,4.99e-05,119459.0,2020-02-06 23:00:00
88,1581026400000,4.88e-05,4.9e-05,4.84e-05,4.9e-05,154604.0,2020-02-06 22:00:00
89,1581022800000,4.86e-05,4.96e-05,4.86e-05,4.91e-05,51923.0,2020-02-06 21:00:00
90,1581019200000,4.85e-05,4.88e-05,4.83e-05,4.86e-05,104796.0,2020-02-06 20:00:00
91,1581015600000,4.91e-05,4.96e-05,4.86e-05,4.96e-05,1060676.0,2020-02-06 19:00:00
92,1581012000000,4.8e-05,4.91e-05,4.8e-05,4.87e-05,209290.0,2020-02-06 18:00:00
93,1581008400000,4.8e-05,4.81e-05,4.78e-05,4.78e-05,172770.0,2020-02-06 17:00:00
94,1581004800000,4.84e-05,4.85e-05,4.8e-05,4.8e-05,231680.0,2020-02-06 16:00:00
95,1581001200000,4.9e-05,4.91e-05,4.86e-05,4.86e-05,121705.0,2020-02-06 15:00:00
96,1580997600000,4.94e-05,4.99e-05,4.89e-05,4.9e-05,347907.0,2020-02-06 14:00:00
97,1580994000000,4.85e-05,5.07e-05,4.73e-05,4.96e-05,3952243.0,2020-02-06 13:00:00
98,1580990400000,4.97e-05,4.99e-05,4.86e-05,4.86e-05,322391.0,2020-02-06 12:00:00
99,1580986800000,4.96e-05,5.06e-05,4.94e-05,4.99e-05,259464.0,2020-02-06 11:00:00
100,1580983200000,4.93e-05,4.93e-05,4.84e-05,4.93e-05,450030.0,2020-02-06 10:00:00
101,1580979600000,5.03e-05,5.03e-05,4.93e-05,4.93e-05,400156.0,2020-02-06 09:00:00
102,1580976000000,4.99e-05,5.04e-05,4.99e-05,5.04e-05,314654.0,2020-02-06 08:00:00
103,1580972400000,5.08e-05,5.08e-05,4.98e-05,4.99e-05,983041.0,2020-02-06 07:00:00
104,1580968800000,5.14e-05,5.18e-05,5.07e-05,5.1e-05,452726.0,2020-02-06 06:00:00
105,1580965200000,5.22e-05,5.27e-05,5.15e-05,5.15e-05,1252224.0,2020-02-06 05:00:00
106,1580961600000,5.18e-05,5.25e-05,5.17e-05,5.22e-05,1088321.0,2020-02-06 04:00:00
107,1580958000000,5.11e-05,5.25e-05,5.1e-05,5.18e-05,238334.0,2020-02-06 03:00:00
108,1580954400000,4.96e-05,5.24e-05,4.96e-05,5.11e-05,1130255.0,2020-02-06 02:00:00
109,1580950800000,4.87e-05,4.96e-05,4.83e-05,4.96e-05,945067.0,2020-02-06 01:00:00
110,1580947200000,4.97e-05,4.97e-05,4.83e-05,4.94e-05,191999.0,2020-02-06 00:00:00
111,1580943600000,4.94e-05,4.95e-05,4.94e-05,4.94e-05,9817.0,2020-02-05 23:00:00
112,1580940000000,4.93e-05,5e-05,4.87e-05,4.88e-05,155979.0,2020-02-05 22:00:00
113,1580936400000,4.8e-05,5.08e-05,4.79e-05,4.93e-05,1309526.0,2020-02-05 21:00:00
114,1580932800000,4.86e-05,4.86e-05,4.86e-05,4.86e-05,10493.0,2020-02-05 20:00:00
115,1580929200000,4.75e-05,4.86e-05,4.75e-05,4.86e-05,127623.0,2020-02-05 19:00:00
116,1580925600000,4.76e-05,4.79e-05,4.75e-05,4.75e-05,383036.0,2020-02-05 18:00:00
117,1580922000000,4.76e-05,4.8e-05,4.73e-05,4.76e-05,186120.0,2020-02-05 17:00:00
118,1580918400000,4.79e-05,4.81e-05,4.78e-05,4.78e-05,193653.0,2020-02-05 16:00:00
119,1580914800000,4.78e-05,4.78e-05,4.75e-05,4.78e-05,335923.0,2020-02-05 15:00:00
120,1580911200000,4.75e-05,4.83e-05,4.74e-05,4.83e-05,1244962.0,2020-02-05 14:00:00
121,1580907600000,4.69e-05,4.74e-05,4.69e-05,4.73e-05,73478.0,2020-02-05 13:00:00
122,1580904000000,4.64e-05,4.7e-05,4.62e-05,4.7e-05,94437.0,2020-02-05 12:00:00
123,1580900400000,4.79e-05,4.79e-05,4.57e-05,4.64e-05,1455489.0,2020-02-05 11:00:00
124,1580896800000,4.92e-05,4.96e-05,4.79e-05,4.79e-05,816025.0,2020-02-05 10:00:00
125,1580893200000,4.87e-05,4.98e-05,4.84e-05,4.92e-05,548193.0,2020-02-05 09:00:00
126,1580889600000,5.01e-05,5.01e-05,4.87e-05,4.91e-05,2003073.0,2020-02-05 08:00:00
127,1580886000000,5.06e-05,5.06e-05,4.98e-05,5.05e-05,641400.0,2020-02-05 07:00:00
128,1580882400000,5.26e-05,5.26e-05,4.8e-05,5.03e-05,8172417.0,2020-02-05 06:00:00
129,1580878800000,5.1e-05,5.39e-05,5.1e-05,5.31e-05,1715819.0,2020-02-05 05:00:00
130,1580875200000,5.14e-05,5.16e-05,5.05e-05,5.11e-05,577592.0,2020-02-05 04:00:00
131,1580871600000,5.09e-05,5.11e-05,5.05e-05,5.1e-05,233921.0,2020-02-05 03:00:00
132,1580868000000,5.04e-05,5.04e-05,4.98e-05,4.98e-05,425109.0,2020-02-05 02:00:00
133,1580864400000,5.21e-05,5.21e-05,5.04e-05,5.09e-05,217668.0,2020-02-05 01:00:00
134,1580860800000,5.09e-05,5.29e-05,5.06e-05,5.12e-05,1694880.0,2020-02-05 00:00:00
135,1580857200000,5.03e-05,5.06e-05,4.99e-05,4.99e-05,165019.0,2020-02-04 23:00:00
136,1580853600000,5.07e-05,5.14e-05,4.93e-05,5.02e-05,1477423.0,2020-02-04 22:00:00
137,1580850000000,4.84e-05,5.16e-05,4.81e-05,5.07e-05,3357151.0,2020-02-04 21:00:00
138,1580846400000,4.62e-05,4.89e-05,4.62e-05,4.89e-05,2898381.0,2020-02-04 20:00:00
139,1580842800000,4.64e-05,4.64e-05,4.64e-05,4.64e-05,0.0,2020-02-04 19:00:00
140,1580839200000,4.64e-05,4.64e-05,4.64e-05,4.64e-05,0.0,2020-02-04 18:00:00
141,1580835600000,4.59e-05,4.64e-05,4.59e-05,4.64e-05,62899.0,2020-02-04 17:00:00
142,1580832000000,4.58e-05,4.58e-05,4.58e-05,4.58e-05,184716.0,2020-02-04 16:00:00
143,1580828400000,4.6e-05,4.66e-05,4.6e-05,4.66e-05,86190.0,2020-02-04 15:00:00
