,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.03899,0.03899,0.03827,0.03858,1138.0,2020-02-10 15:00:00
1,1581343200000,0.03901,0.03941,0.03891,0.03899,939.1,2020-02-10 14:00:00
2,1581339600000,0.03884,0.03911,0.03835,0.03906,175.8,2020-02-10 13:00:00
3,1581336000000,0.03847,0.03898,0.03824,0.03868,259.7,2020-02-10 12:00:00
4,1581332400000,0.03821,0.03874,0.03821,0.03858,44.0,2020-02-10 11:00:00
5,1581328800000,0.03818,0.03884,0.03805,0.0383,471.3,2020-02-10 10:00:00
6,1581325200000,0.03772,0.03872,0.03772,0.03788,526.3,2020-02-10 09:00:00
7,1581321600000,0.03904,0.03904,0.03724,0.03772,1418.0,2020-02-10 08:00:00
8,1581318000000,0.03838,0.03895,0.03809,0.03891,1644.7,2020-02-10 07:00:00
9,1581314400000,0.04065,0.04065,0.03833,0.03862,4041.5,2020-02-10 06:00:00
10,1581310800000,0.04023,0.04076,0.04017,0.04042,655.4,2020-02-10 05:00:00
11,1581307200000,0.04031,0.04048,0.04018,0.04047,318.9,2020-02-10 04:00:00
12,1581303600000,0.04043,0.04055,0.04042,0.0405,168.5,2020-02-10 03:00:00
13,1581300000000,0.04029,0.04096,0.04029,0.04071,382.9,2020-02-10 02:00:00
14,1581296400000,0.03993,0.04029,0.03992,0.04029,30.7,2020-02-10 01:00:00
15,1581292800000,0.03967,0.04013,0.03961,0.04012,208.8,2020-02-10 00:00:00
16,1581289200000,0.04085,0.04096,0.0397,0.03971,992.7,2020-02-09 23:00:00
17,1581285600000,0.04012,0.04085,0.04012,0.04085,245.9,2020-02-09 22:00:00
18,1581282000000,0.03967,0.04027,0.03953,0.04011,1741.3,2020-02-09 21:00:00
19,1581278400000,0.04043,0.04048,0.03935,0.03992,9335.1,2020-02-09 20:00:00
20,1581274800000,0.04102,0.04102,0.04001,0.04034,2125.3,2020-02-09 19:00:00
21,1581271200000,0.0409,0.04122,0.0409,0.04108,140.3,2020-02-09 18:00:00
22,1581267600000,0.04064,0.04104,0.04044,0.04104,1571.8,2020-02-09 17:00:00
23,1581264000000,0.04219,0.04219,0.0402,0.0405,48108.6,2020-02-09 16:00:00
24,1581260400000,0.04314,0.04314,0.04188,0.04188,554.6,2020-02-09 15:00:00
25,1581256800000,0.04315,0.04315,0.0427,0.04308,314.6,2020-02-09 14:00:00
26,1581253200000,0.04307,0.04368,0.04304,0.04304,871.5,2020-02-09 13:00:00
27,1581249600000,0.04276,0.04341,0.04274,0.04294,2915.5,2020-02-09 12:00:00
28,1581246000000,0.04192,0.04316,0.04192,0.04279,4372.3,2020-02-09 11:00:00
