,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.004363,0.004386,0.004303,0.004303,3094.97,2020-02-10 15:00:00
1,1581343200000,0.004418,0.004418,0.00435,0.004354,1476.4,2020-02-10 14:00:00
2,1581339600000,0.004354,0.004438,0.004354,0.004419,3735.53,2020-02-10 13:00:00
3,1581336000000,0.004311,0.00437,0.004298,0.004338,839.1,2020-02-10 12:00:00
4,1581332400000,0.004287,0.00431,0.004287,0.00431,397.89,2020-02-10 11:00:00
5,1581328800000,0.004235,0.004283,0.004235,0.004283,233.72,2020-02-10 10:00:00
6,1581325200000,0.004279,0.004322,0.004211,0.004244,6700.32,2020-02-10 09:00:00
7,1581321600000,0.00433,0.004343,0.004267,0.004271,725.41,2020-02-10 08:00:00
8,1581318000000,0.004248,0.004326,0.004232,0.004326,4946.55,2020-02-10 07:00:00
9,1581314400000,0.004303,0.00434,0.004222,0.004248,2131.08,2020-02-10 06:00:00
10,1581310800000,0.004293,0.004353,0.004285,0.004308,9798.87,2020-02-10 05:00:00
11,1581307200000,0.004274,0.004325,0.004264,0.004282,548.78,2020-02-10 04:00:00
12,1581303600000,0.004308,0.004313,0.004274,0.004284,1529.47,2020-02-10 03:00:00
13,1581300000000,0.004271,0.004317,0.004271,0.004308,1721.87,2020-02-10 02:00:00
14,1581296400000,0.004253,0.00428,0.004253,0.00428,1579.13,2020-02-10 01:00:00
15,1581292800000,0.004222,0.004254,0.004222,0.00424,4737.07,2020-02-10 00:00:00
16,1581289200000,0.004271,0.004271,0.004222,0.004222,4404.31,2020-02-09 23:00:00
17,1581285600000,0.00426,0.00428,0.004234,0.00428,2276.88,2020-02-09 22:00:00
18,1581282000000,0.004217,0.004289,0.004197,0.00426,2181.13,2020-02-09 21:00:00
19,1581278400000,0.004253,0.004262,0.004194,0.004217,2289.61,2020-02-09 20:00:00
20,1581274800000,0.004285,0.004285,0.004226,0.004244,2633.81,2020-02-09 19:00:00
21,1581271200000,0.0043,0.004308,0.004285,0.004285,23180.3,2020-02-09 18:00:00
22,1581267600000,0.004242,0.004308,0.004242,0.004308,4278.54,2020-02-09 17:00:00
23,1581264000000,0.004308,0.00434,0.00423,0.004242,8651.04,2020-02-09 16:00:00
24,1581260400000,0.004372,0.004382,0.004307,0.004317,830.69,2020-02-09 15:00:00
25,1581256800000,0.004336,0.004377,0.0043,0.004363,5908.85,2020-02-09 14:00:00
26,1581253200000,0.004354,0.004394,0.004336,0.004336,2185.4,2020-02-09 13:00:00
27,1581249600000,0.004317,0.004361,0.004306,0.004354,4531.88,2020-02-09 12:00:00
28,1581246000000,0.00422,0.00435,0.00422,0.004308,3773.94,2020-02-09 11:00:00
29,1581242400000,0.004207,0.00423,0.004181,0.004207,2917.56,2020-02-09 10:00:00
30,1581238800000,0.004192,0.004207,0.004164,0.004207,824.06,2020-02-09 09:00:00
