,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.9755,0.9755,0.9661,0.9664,20212.57,2020-02-10 15:00:00
1,1581343200000,0.9739,0.9756,0.9661,0.974,13311.45,2020-02-10 14:00:00
2,1581339600000,0.9594,0.9791,0.9594,0.9727,41881.16,2020-02-10 13:00:00
3,1581336000000,0.9416,0.9594,0.9364,0.9594,30259.42,2020-02-10 12:00:00
4,1581332400000,0.9401,0.942,0.9363,0.9416,20664.97,2020-02-10 11:00:00
5,1581328800000,0.9343,0.9434,0.9221,0.9431,9234.4,2020-02-10 10:00:00
6,1581325200000,0.9425,0.9443,0.9197,0.9273,27752.71,2020-02-10 09:00:00
7,1581321600000,0.9695,0.9703,0.9436,0.9436,15875.37,2020-02-10 08:00:00
8,1581318000000,0.9458,0.9652,0.9443,0.9574,11254.53,2020-02-10 07:00:00
9,1581314400000,0.9501,0.9647,0.9376,0.9494,50989.57,2020-02-10 06:00:00
10,1581310800000,0.964,0.9708,0.9465,0.947,23919.83,2020-02-10 05:00:00
11,1581307200000,0.9617,0.9662,0.96,0.961,22911.09,2020-02-10 04:00:00
12,1581303600000,0.9762,0.9771,0.9643,0.9643,6646.99,2020-02-10 03:00:00
13,1581300000000,0.9707,0.9771,0.966,0.9771,9827.49,2020-02-10 02:00:00
14,1581296400000,0.9721,0.9739,0.9688,0.9707,3971.01,2020-02-10 01:00:00
15,1581292800000,0.967,0.9717,0.965,0.9684,13050.11,2020-02-10 00:00:00
16,1581289200000,0.9757,0.9771,0.9586,0.9693,17712.75,2020-02-09 23:00:00
17,1581285600000,0.9621,0.9758,0.9597,0.9758,14553.71,2020-02-09 22:00:00
18,1581282000000,0.9481,0.9621,0.9458,0.9621,10231.02,2020-02-09 21:00:00
19,1581278400000,0.965,0.965,0.9457,0.9458,27888.8,2020-02-09 20:00:00
20,1581274800000,0.969,0.969,0.9561,0.965,31736.07,2020-02-09 19:00:00
21,1581271200000,0.9788,0.9793,0.9669,0.9675,11731.88,2020-02-09 18:00:00
22,1581267600000,0.9669,0.9806,0.9669,0.9798,11788.01,2020-02-09 17:00:00
23,1581264000000,0.9772,0.9875,0.9636,0.9646,32497.8,2020-02-09 16:00:00
24,1581260400000,0.9862,0.9926,0.9658,0.977,49796.76,2020-02-09 15:00:00
25,1581256800000,0.985,0.9944,0.9765,0.9862,40693.23,2020-02-09 14:00:00
26,1581253200000,0.995,1.0027,0.9876,0.9898,67064.0,2020-02-09 13:00:00
27,1581249600000,0.9895,1.0,0.9835,0.9959,70586.97,2020-02-09 12:00:00
28,1581246000000,0.9644,0.9899,0.962,0.9823,55148.57,2020-02-09 11:00:00
29,1581242400000,0.9557,0.9651,0.9557,0.9644,15188.72,2020-02-09 10:00:00
30,1581238800000,0.9589,0.9603,0.9557,0.9563,8306.82,2020-02-09 09:00:00
31,1581235200000,0.9522,0.96,0.9522,0.9558,13371.12,2020-02-09 08:00:00
32,1581231600000,0.9531,0.9542,0.9424,0.9492,57641.16,2020-02-09 07:00:00
33,1581228000000,0.9305,0.9542,0.9279,0.95,35984.1,2020-02-09 06:00:00
34,1581224400000,0.9237,0.933,0.9202,0.93,14172.66,2020-02-09 05:00:00
35,1581220800000,0.9318,0.9336,0.9217,0.923,32643.35,2020-02-09 04:00:00
36,1581217200000,0.9294,0.9318,0.9183,0.9318,21315.43,2020-02-09 03:00:00
37,1581210000000,0.922,0.9301,0.922,0.9276,3144.82,2020-02-09 01:00:00
38,1581206400000,0.9126,0.9311,0.9126,0.9218,11465.78,2020-02-09 00:00:00
39,1581202800000,0.9192,0.9192,0.9119,0.9126,5511.49,2020-02-08 23:00:00
40,1581199200000,0.9165,0.9201,0.9085,0.9193,4733.82,2020-02-08 22:00:00
41,1581195600000,0.9176,0.9183,0.9085,0.9138,18363.39,2020-02-08 21:00:00
42,1581192000000,0.9152,0.918,0.9133,0.9175,4480.49,2020-02-08 20:00:00
43,1581188400000,0.9169,0.9272,0.915,0.9152,5373.4,2020-02-08 19:00:00
44,1581184800000,0.9108,0.9157,0.9097,0.9156,20702.61,2020-02-08 18:00:00
45,1581181200000,0.9203,0.9203,0.9104,0.9164,5776.04,2020-02-08 17:00:00
46,1581177600000,0.9235,0.9235,0.9169,0.9215,6399.26,2020-02-08 16:00:00
47,1581174000000,0.9253,0.9277,0.922,0.9275,7968.03,2020-02-08 15:00:00
48,1581170400000,0.9203,0.9257,0.9178,0.9235,3449.15,2020-02-08 14:00:00
49,1581166800000,0.9251,0.93,0.9132,0.9203,5724.79,2020-02-08 13:00:00
50,1581163200000,0.9252,0.9302,0.9252,0.9266,2872.44,2020-02-08 12:00:00
51,1581159600000,0.9214,0.9252,0.9176,0.9252,8063.95,2020-02-08 11:00:00
52,1581156000000,0.9225,0.9303,0.9214,0.9247,13860.84,2020-02-08 10:00:00
53,1581152400000,0.9289,0.929,0.9135,0.9219,38120.5,2020-02-08 09:00:00
54,1581148800000,0.9284,0.9321,0.9249,0.9249,31237.77,2020-02-08 08:00:00
55,1581145200000,0.9257,0.9287,0.9249,0.9284,8228.41,2020-02-08 07:00:00
56,1581141600000,0.9164,0.9286,0.9164,0.9257,17775.67,2020-02-08 06:00:00
57,1581138000000,0.9194,0.9215,0.9113,0.9158,9255.7,2020-02-08 05:00:00
58,1581134400000,0.905,0.9194,0.9001,0.9194,12375.25,2020-02-08 04:00:00
59,1581130800000,0.8983,0.9112,0.84,0.9112,94363.08,2020-02-08 03:00:00
60,1581127200000,0.9147,0.9161,0.8965,0.9,16991.86,2020-02-08 02:00:00
61,1581123600000,0.9347,0.9347,0.908,0.9147,43484.9,2020-02-08 01:00:00
62,1581120000000,0.9399,0.9404,0.931,0.931,36375.64,2020-02-08 00:00:00
63,1581116400000,0.9346,0.9399,0.9307,0.9395,30703.5,2020-02-07 23:00:00
64,1581112800000,0.9437,0.9462,0.9306,0.9347,39165.41,2020-02-07 22:00:00
65,1581109200000,0.95,0.9572,0.9398,0.946,29536.37,2020-02-07 21:00:00
66,1581105600000,0.959,0.9648,0.95,0.95,17817.35,2020-02-07 20:00:00
67,1581102000000,0.9548,0.959,0.9508,0.9557,12407.27,2020-02-07 19:00:00
68,1581098400000,0.9507,0.9548,0.95,0.9548,14966.72,2020-02-07 18:00:00
69,1581094800000,0.9547,0.9606,0.9507,0.9507,23226.63,2020-02-07 17:00:00
70,1581091200000,0.9542,0.9616,0.95,0.953,14445.43,2020-02-07 16:00:00
71,1581087600000,0.967,0.9703,0.9512,0.9542,14968.8,2020-02-07 15:00:00
72,1581084000000,0.954,0.9661,0.954,0.9661,13690.65,2020-02-07 14:00:00
73,1581080400000,0.9558,0.9721,0.9504,0.9511,29927.58,2020-02-07 13:00:00
74,1581076800000,0.9564,0.9639,0.95,0.9505,38084.22,2020-02-07 12:00:00
75,1581073200000,0.9771,0.9801,0.9503,0.9564,42421.48,2020-02-07 11:00:00
76,1581069600000,0.9733,0.982,0.9721,0.9771,13979.94,2020-02-07 10:00:00
77,1581066000000,0.9726,0.9783,0.97,0.9733,9132.51,2020-02-07 09:00:00
78,1581062400000,0.9829,0.9872,0.9739,0.9739,17648.85,2020-02-07 08:00:00
79,1581058800000,0.9742,0.9841,0.9695,0.9841,15074.48,2020-02-07 07:00:00
80,1581055200000,0.9726,0.9742,0.9695,0.9742,6549.08,2020-02-07 06:00:00
81,1581051600000,0.98,0.991,0.9686,0.9741,13566.87,2020-02-07 05:00:00
82,1581048000000,0.9879,0.9879,0.9744,0.98,11000.36,2020-02-07 04:00:00
83,1581044400000,0.9985,1.0004,0.9855,0.9905,13477.43,2020-02-07 03:00:00
84,1581040800000,1.0,1.0186,0.9897,0.9992,51268.66,2020-02-07 02:00:00
85,1581037200000,0.989,1.0,0.9851,0.9999,41202.3,2020-02-07 01:00:00
86,1581033600000,0.9767,0.989,0.9732,0.9853,11876.49,2020-02-07 00:00:00
87,1581030000000,0.9704,0.9767,0.9639,0.9749,5964.83,2020-02-06 23:00:00
88,1581026400000,0.9799,0.9866,0.9704,0.9704,10315.64,2020-02-06 22:00:00
89,1581022800000,0.9766,0.989,0.9729,0.9881,15658.26,2020-02-06 21:00:00
90,1581019200000,0.9657,0.9825,0.9657,0.9786,20751.01,2020-02-06 20:00:00
91,1581015600000,0.9775,0.9775,0.961,0.9641,10900.88,2020-02-06 19:00:00
92,1581012000000,0.9734,0.989,0.9712,0.9775,13031.16,2020-02-06 18:00:00
93,1581008400000,0.9759,0.9799,0.9598,0.9733,17629.28,2020-02-06 17:00:00
94,1581004800000,0.9738,0.9856,0.9719,0.9758,13547.25,2020-02-06 16:00:00
95,1581001200000,0.9617,0.9762,0.9539,0.9719,8465.75,2020-02-06 15:00:00
96,1580997600000,0.9531,0.9725,0.9404,0.9574,18677.04,2020-02-06 14:00:00
97,1580994000000,0.9652,0.9748,0.9307,0.95,35576.18,2020-02-06 13:00:00
98,1580990400000,0.9736,0.9815,0.9569,0.968,39726.27,2020-02-06 12:00:00
99,1580986800000,0.99,0.9947,0.9715,0.9733,24456.22,2020-02-06 11:00:00
100,1580983200000,0.971,0.99,0.9664,0.9899,18909.91,2020-02-06 10:00:00
101,1580979600000,0.9867,0.9954,0.9671,0.9759,30716.66,2020-02-06 09:00:00
102,1580976000000,0.9478,0.9871,0.9477,0.9868,45161.71,2020-02-06 08:00:00
103,1580972400000,0.9401,0.9597,0.9401,0.9478,29379.11,2020-02-06 07:00:00
104,1580968800000,0.9361,0.9445,0.9302,0.9445,6980.88,2020-02-06 06:00:00
105,1580965200000,0.9462,0.9519,0.9369,0.9369,17102.98,2020-02-06 05:00:00
106,1580961600000,0.9361,0.95,0.9361,0.9452,12100.41,2020-02-06 04:00:00
107,1580958000000,0.9228,0.9353,0.9218,0.9349,13990.45,2020-02-06 03:00:00
108,1580954400000,0.919,0.9298,0.917,0.9267,3128.76,2020-02-06 02:00:00
109,1580950800000,0.9188,0.92,0.9155,0.919,6613.39,2020-02-06 01:00:00
110,1580947200000,0.925,0.9304,0.914,0.914,7646.75,2020-02-06 00:00:00
111,1580943600000,0.9289,0.9289,0.9127,0.925,20132.97,2020-02-05 23:00:00
112,1580940000000,0.9284,0.9346,0.924,0.929,10524.89,2020-02-05 22:00:00
113,1580936400000,0.9405,0.9432,0.9219,0.9266,22761.57,2020-02-05 21:00:00
114,1580932800000,0.9078,0.9493,0.9072,0.9383,19941.27,2020-02-05 20:00:00
