,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.02409,0.02409,0.02402,0.02402,15.4,2020-02-10 15:00:00
1,1581343200000,0.02415,0.0242,0.02369,0.02409,155.9,2020-02-10 14:00:00
2,1581339600000,0.02384,0.02409,0.02349,0.02409,89.0,2020-02-10 13:00:00
3,1581336000000,0.0238,0.02393,0.02352,0.02393,510.1,2020-02-10 12:00:00
4,1581332400000,0.0237,0.02396,0.02367,0.02377,209.7,2020-02-10 11:00:00
5,1581328800000,0.02393,0.02409,0.02369,0.02377,471.1,2020-02-10 10:00:00
6,1581325200000,0.02391,0.0242,0.02332,0.02377,874.1,2020-02-10 09:00:00
7,1581321600000,0.02405,0.02405,0.02317,0.02365,2622.3,2020-02-10 08:00:00
8,1581318000000,0.02391,0.02412,0.02378,0.02412,163.6,2020-02-10 07:00:00
9,1581314400000,0.02454,0.02454,0.02379,0.02397,1219.9,2020-02-10 06:00:00
10,1581310800000,0.02505,0.02505,0.02461,0.02461,476.6,2020-02-10 05:00:00
11,1581307200000,0.02497,0.02512,0.02497,0.02512,22.5,2020-02-10 04:00:00
12,1581303600000,0.02525,0.02525,0.0248,0.0248,352.7,2020-02-10 03:00:00
13,1581300000000,0.02498,0.02553,0.02498,0.02528,761.6,2020-02-10 02:00:00
14,1581296400000,0.02535,0.02535,0.02496,0.02498,1569.1,2020-02-10 01:00:00
15,1581292800000,0.02504,0.0256,0.02504,0.02521,838.3,2020-02-10 00:00:00
16,1581289200000,0.02515,0.02527,0.02504,0.02504,223.5,2020-02-09 23:00:00
17,1581285600000,0.02486,0.02529,0.02486,0.02529,297.1,2020-02-09 22:00:00
18,1581282000000,0.02512,0.02512,0.02474,0.02486,299.0,2020-02-09 21:00:00
19,1581278400000,0.02518,0.02528,0.02496,0.02496,803.0,2020-02-09 20:00:00
20,1581274800000,0.02553,0.02553,0.02516,0.02525,247.2,2020-02-09 19:00:00
21,1581271200000,0.02536,0.02548,0.02536,0.02548,468.4,2020-02-09 18:00:00
22,1581267600000,0.02517,0.02531,0.02514,0.02531,115.0,2020-02-09 17:00:00
23,1581264000000,0.02554,0.02554,0.0251,0.02517,389.6,2020-02-09 16:00:00
24,1581260400000,0.02561,0.02578,0.02505,0.02561,2338.0,2020-02-09 15:00:00
25,1581256800000,0.02608,0.02608,0.02561,0.02561,1344.9,2020-02-09 14:00:00
26,1581253200000,0.02633,0.02648,0.02613,0.02613,40.5,2020-02-09 13:00:00
27,1581249600000,0.02615,0.02628,0.02615,0.02628,14.0,2020-02-09 12:00:00
28,1581246000000,0.0261,0.02628,0.0261,0.02621,327.3,2020-02-09 11:00:00
