,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,6.05e-05,6.12e-05,6.04e-05,6.08e-05,18009.34,2020-02-10 15:00:00
1,1581343200000,6.07e-05,6.1e-05,6e-05,6.08e-05,9432.6,2020-02-10 14:00:00
2,1581339600000,6.05e-05,6.1e-05,6.01e-05,6.07e-05,8329.96,2020-02-10 13:00:00
3,1581336000000,5.92e-05,6.05e-05,5.88e-05,6.03e-05,9791.31,2020-02-10 12:00:00
4,1581332400000,5.95e-05,5.96e-05,5.86e-05,5.92e-05,7508.39,2020-02-10 11:00:00
5,1581328800000,5.93e-05,5.95e-05,5.84e-05,5.94e-05,17853.98,2020-02-10 10:00:00
6,1581325200000,5.95e-05,6.02e-05,5.79e-05,5.93e-05,38503.17,2020-02-10 09:00:00
7,1581321600000,6e-05,6.03e-05,5.92e-05,5.97e-05,25619.76,2020-02-10 08:00:00
8,1581318000000,5.93e-05,6e-05,5.9e-05,5.98e-05,8503.97,2020-02-10 07:00:00
9,1581314400000,5.87e-05,5.96e-05,5.83e-05,5.91e-05,14598.3,2020-02-10 06:00:00
10,1581310800000,5.93e-05,5.94e-05,5.84e-05,5.89e-05,22563.85,2020-02-10 05:00:00
11,1581307200000,5.91e-05,5.96e-05,5.89e-05,5.96e-05,8602.37,2020-02-10 04:00:00
12,1581303600000,5.98e-05,6.02e-05,5.85e-05,5.89e-05,17224.6,2020-02-10 03:00:00
13,1581300000000,5.97e-05,6.02e-05,5.93e-05,5.99e-05,3991.57,2020-02-10 02:00:00
14,1581296400000,6.03e-05,6.03e-05,5.95e-05,5.96e-05,21647.39,2020-02-10 01:00:00
15,1581292800000,6e-05,6.06e-05,5.99e-05,6.04e-05,12832.83,2020-02-10 00:00:00
16,1581289200000,5.96e-05,5.99e-05,5.93e-05,5.99e-05,6165.76,2020-02-09 23:00:00
17,1581285600000,5.9e-05,5.96e-05,5.86e-05,5.96e-05,7805.41,2020-02-09 22:00:00
18,1581282000000,5.91e-05,5.93e-05,5.88e-05,5.91e-05,5140.9,2020-02-09 21:00:00
19,1581278400000,5.94e-05,5.97e-05,5.87e-05,5.9e-05,3390.79,2020-02-09 20:00:00
20,1581274800000,5.97e-05,5.98e-05,5.91e-05,5.96e-05,17252.19,2020-02-09 19:00:00
21,1581271200000,5.97e-05,5.99e-05,5.96e-05,5.99e-05,5945.53,2020-02-09 18:00:00
22,1581267600000,5.93e-05,6.03e-05,5.93e-05,5.98e-05,15992.85,2020-02-09 17:00:00
23,1581264000000,5.9e-05,5.98e-05,5.9e-05,5.92e-05,9129.73,2020-02-09 16:00:00
24,1581260400000,5.85e-05,5.91e-05,5.77e-05,5.89e-05,30809.42,2020-02-09 15:00:00
25,1581256800000,5.91e-05,5.95e-05,5.84e-05,5.85e-05,24955.48,2020-02-09 14:00:00
26,1581253200000,5.97e-05,5.99e-05,5.92e-05,5.93e-05,1868.81,2020-02-09 13:00:00
27,1581249600000,5.94e-05,5.97e-05,5.92e-05,5.97e-05,6497.4,2020-02-09 12:00:00
28,1581246000000,5.95e-05,5.99e-05,5.93e-05,5.94e-05,10379.59,2020-02-09 11:00:00
29,1581242400000,5.91e-05,5.96e-05,5.84e-05,5.94e-05,36014.73,2020-02-09 10:00:00
30,1581238800000,6.03e-05,6.05e-05,5.84e-05,5.89e-05,89575.38,2020-02-09 09:00:00
31,1581235200000,6.05e-05,6.06e-05,6e-05,6.03e-05,3961.67,2020-02-09 08:00:00
32,1581231600000,6.09e-05,6.09e-05,6.06e-05,6.06e-05,1039.84,2020-02-09 07:00:00
33,1581228000000,6.13e-05,6.13e-05,6.09e-05,6.12e-05,5697.36,2020-02-09 06:00:00
34,1581224400000,6.15e-05,6.23e-05,6.09e-05,6.1e-05,27410.36,2020-02-09 05:00:00
35,1581220800000,6.07e-05,6.16e-05,5.93e-05,6.14e-05,15227.67,2020-02-09 04:00:00
36,1581217200000,5.92e-05,6.1e-05,5.87e-05,6.07e-05,41840.94,2020-02-09 03:00:00
37,1581210000000,5.87e-05,5.95e-05,5.86e-05,5.93e-05,5860.23,2020-02-09 01:00:00
38,1581206400000,5.9e-05,5.9e-05,5.83e-05,5.85e-05,14043.94,2020-02-09 00:00:00
39,1581202800000,5.87e-05,5.94e-05,5.85e-05,5.91e-05,5266.59,2020-02-08 23:00:00
40,1581199200000,5.84e-05,5.91e-05,5.83e-05,5.9e-05,6178.91,2020-02-08 22:00:00
41,1581195600000,5.97e-05,5.98e-05,5.85e-05,5.85e-05,9963.68,2020-02-08 21:00:00
42,1581192000000,6.01e-05,6.02e-05,5.97e-05,5.97e-05,462.2,2020-02-08 20:00:00
43,1581188400000,6.01e-05,6.01e-05,6.01e-05,6.01e-05,769.0,2020-02-08 19:00:00
44,1581184800000,5.98e-05,6.02e-05,5.97e-05,6.01e-05,1914.28,2020-02-08 18:00:00
45,1581181200000,6.02e-05,6.02e-05,5.97e-05,5.98e-05,8595.74,2020-02-08 17:00:00
46,1581177600000,6.05e-05,6.06e-05,5.95e-05,6.02e-05,6972.09,2020-02-08 16:00:00
47,1581174000000,6.07e-05,6.07e-05,6.03e-05,6.03e-05,814.04,2020-02-08 15:00:00
48,1581170400000,6.07e-05,6.07e-05,6.02e-05,6.07e-05,7909.77,2020-02-08 14:00:00
49,1581166800000,6.07e-05,6.11e-05,6.03e-05,6.07e-05,29405.23,2020-02-08 13:00:00
50,1581163200000,6.06e-05,6.08e-05,6e-05,6.08e-05,15448.39,2020-02-08 12:00:00
51,1581159600000,6.04e-05,6.05e-05,5.98e-05,6.05e-05,43745.39,2020-02-08 11:00:00
52,1581156000000,6.06e-05,6.07e-05,6e-05,6.07e-05,14394.02,2020-02-08 10:00:00
53,1581152400000,6.12e-05,6.12e-05,6.01e-05,6.04e-05,15717.21,2020-02-08 09:00:00
54,1581148800000,6.14e-05,6.14e-05,6.06e-05,6.09e-05,13158.62,2020-02-08 08:00:00
55,1581145200000,6.03e-05,6.14e-05,6.01e-05,6.1e-05,15762.81,2020-02-08 07:00:00
56,1581141600000,5.98e-05,6.09e-05,5.98e-05,6.04e-05,12516.61,2020-02-08 06:00:00
57,1581138000000,6.04e-05,6.04e-05,5.91e-05,5.97e-05,12552.3,2020-02-08 05:00:00
58,1581134400000,5.95e-05,6.07e-05,5.89e-05,6e-05,25187.66,2020-02-08 04:00:00
59,1581130800000,5.91e-05,5.98e-05,5.76e-05,5.94e-05,90588.69,2020-02-08 03:00:00
60,1581127200000,6.1e-05,6.12e-05,5.89e-05,5.9e-05,67133.24,2020-02-08 02:00:00
61,1581123600000,6.18e-05,6.18e-05,6.08e-05,6.1e-05,7807.15,2020-02-08 01:00:00
62,1581120000000,6.22e-05,6.23e-05,6.1e-05,6.19e-05,24295.3,2020-02-08 00:00:00
63,1581116400000,6.23e-05,6.23e-05,6.19e-05,6.19e-05,4498.98,2020-02-07 23:00:00
64,1581112800000,6.13e-05,6.24e-05,6.12e-05,6.22e-05,21768.52,2020-02-07 22:00:00
65,1581109200000,6.1e-05,6.13e-05,6.08e-05,6.13e-05,1348.21,2020-02-07 21:00:00
66,1581105600000,6.24e-05,6.27e-05,6.06e-05,6.1e-05,44275.38,2020-02-07 20:00:00
67,1581102000000,6.1e-05,6.23e-05,6.09e-05,6.23e-05,28970.49,2020-02-07 19:00:00
68,1581098400000,6.04e-05,6.11e-05,6.04e-05,6.1e-05,3917.04,2020-02-07 18:00:00
69,1581094800000,6e-05,6.1e-05,5.99e-05,6.05e-05,16991.5,2020-02-07 17:00:00
70,1581091200000,5.91e-05,6e-05,5.9e-05,6e-05,23359.27,2020-02-07 16:00:00
71,1581087600000,5.91e-05,5.94e-05,5.83e-05,5.9e-05,16159.64,2020-02-07 15:00:00
72,1581084000000,5.85e-05,5.97e-05,5.85e-05,5.93e-05,33205.33,2020-02-07 14:00:00
73,1581080400000,5.78e-05,5.86e-05,5.76e-05,5.85e-05,15543.74,2020-02-07 13:00:00
74,1581076800000,5.81e-05,5.85e-05,5.75e-05,5.79e-05,9975.47,2020-02-07 12:00:00
75,1581073200000,5.94e-05,5.98e-05,5.79e-05,5.83e-05,59063.71,2020-02-07 11:00:00
76,1581069600000,5.82e-05,5.96e-05,5.82e-05,5.93e-05,21637.39,2020-02-07 10:00:00
77,1581066000000,5.87e-05,5.87e-05,5.81e-05,5.85e-05,39328.66,2020-02-07 09:00:00
78,1581062400000,5.87e-05,5.95e-05,5.87e-05,5.91e-05,12481.29,2020-02-07 08:00:00
79,1581058800000,5.88e-05,5.88e-05,5.84e-05,5.84e-05,4892.65,2020-02-07 07:00:00
80,1581055200000,5.85e-05,5.97e-05,5.82e-05,5.88e-05,78487.99,2020-02-07 06:00:00
81,1581051600000,5.86e-05,5.86e-05,5.82e-05,5.85e-05,6302.49,2020-02-07 05:00:00
