,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.17e-05,1.186e-05,1.162e-05,1.178e-05,63230.0,2020-02-10 15:00:00
1,1581343200000,1.159e-05,1.17e-05,1.159e-05,1.17e-05,8828.0,2020-02-10 14:00:00
2,1581339600000,1.153e-05,1.167e-05,1.15e-05,1.159e-05,103557.0,2020-02-10 13:00:00
3,1581336000000,1.136e-05,1.162e-05,1.136e-05,1.153e-05,115266.0,2020-02-10 12:00:00
4,1581332400000,1.133e-05,1.143e-05,1.125e-05,1.133e-05,108838.0,2020-02-10 11:00:00
5,1581328800000,1.133e-05,1.133e-05,1.124e-05,1.133e-05,40211.0,2020-02-10 10:00:00
6,1581325200000,1.156e-05,1.156e-05,1.128e-05,1.137e-05,35449.0,2020-02-10 09:00:00
7,1581321600000,1.144e-05,1.159e-05,1.137e-05,1.156e-05,57932.0,2020-02-10 08:00:00
8,1581318000000,1.14e-05,1.15e-05,1.136e-05,1.144e-05,31330.0,2020-02-10 07:00:00
9,1581314400000,1.148e-05,1.149e-05,1.127e-05,1.14e-05,82594.0,2020-02-10 06:00:00
10,1581310800000,1.151e-05,1.152e-05,1.145e-05,1.15e-05,18613.0,2020-02-10 05:00:00
11,1581307200000,1.156e-05,1.17e-05,1.147e-05,1.151e-05,54094.0,2020-02-10 04:00:00
12,1581303600000,1.15e-05,1.162e-05,1.146e-05,1.151e-05,13754.0,2020-02-10 03:00:00
13,1581300000000,1.154e-05,1.155e-05,1.146e-05,1.146e-05,21503.0,2020-02-10 02:00:00
14,1581296400000,1.155e-05,1.156e-05,1.152e-05,1.155e-05,9364.0,2020-02-10 01:00:00
15,1581292800000,1.157e-05,1.16e-05,1.155e-05,1.155e-05,11926.0,2020-02-10 00:00:00
16,1581289200000,1.154e-05,1.156e-05,1.15e-05,1.156e-05,41596.0,2020-02-09 23:00:00
17,1581285600000,1.154e-05,1.165e-05,1.152e-05,1.156e-05,41111.0,2020-02-09 22:00:00
18,1581282000000,1.162e-05,1.162e-05,1.154e-05,1.154e-05,15882.0,2020-02-09 21:00:00
19,1581278400000,1.17e-05,1.176e-05,1.164e-05,1.164e-05,6992.0,2020-02-09 20:00:00
20,1581274800000,1.163e-05,1.17e-05,1.157e-05,1.168e-05,10148.0,2020-02-09 19:00:00
21,1581271200000,1.171e-05,1.176e-05,1.158e-05,1.17e-05,81488.0,2020-02-09 18:00:00
22,1581267600000,1.179e-05,1.182e-05,1.169e-05,1.17e-05,90657.0,2020-02-09 17:00:00
23,1581264000000,1.192e-05,1.203e-05,1.172e-05,1.172e-05,88760.0,2020-02-09 16:00:00
24,1581260400000,1.193e-05,1.207e-05,1.173e-05,1.191e-05,87721.0,2020-02-09 15:00:00
25,1581256800000,1.186e-05,1.204e-05,1.182e-05,1.198e-05,51817.0,2020-02-09 14:00:00
26,1581253200000,1.167e-05,1.198e-05,1.166e-05,1.194e-05,158189.0,2020-02-09 13:00:00
27,1581249600000,1.16e-05,1.174e-05,1.155e-05,1.166e-05,81925.0,2020-02-09 12:00:00
28,1581246000000,1.16e-05,1.171e-05,1.16e-05,1.167e-05,68938.0,2020-02-09 11:00:00
29,1581242400000,1.16e-05,1.171e-05,1.144e-05,1.16e-05,63780.0,2020-02-09 10:00:00
30,1581238800000,1.179e-05,1.182e-05,1.154e-05,1.167e-05,67906.0,2020-02-09 09:00:00
31,1581235200000,1.16e-05,1.181e-05,1.156e-05,1.176e-05,45668.0,2020-02-09 08:00:00
32,1581231600000,1.139e-05,1.177e-05,1.139e-05,1.162e-05,83291.0,2020-02-09 07:00:00
33,1581228000000,1.134e-05,1.144e-05,1.128e-05,1.134e-05,33503.0,2020-02-09 06:00:00
34,1581224400000,1.126e-05,1.131e-05,1.118e-05,1.13e-05,63650.0,2020-02-09 05:00:00
35,1581220800000,1.123e-05,1.129e-05,1.12e-05,1.126e-05,64002.0,2020-02-09 04:00:00
36,1581217200000,1.155e-05,1.155e-05,1.12e-05,1.123e-05,262200.0,2020-02-09 03:00:00
37,1581210000000,1.167e-05,1.167e-05,1.152e-05,1.155e-05,18004.0,2020-02-09 01:00:00
38,1581206400000,1.173e-05,1.173e-05,1.164e-05,1.164e-05,10190.0,2020-02-09 00:00:00
39,1581202800000,1.165e-05,1.19e-05,1.165e-05,1.178e-05,85728.0,2020-02-08 23:00:00
40,1581199200000,1.145e-05,1.166e-05,1.14e-05,1.162e-05,68562.0,2020-02-08 22:00:00
41,1581195600000,1.176e-05,1.193e-05,1.144e-05,1.152e-05,88642.0,2020-02-08 21:00:00
42,1581192000000,1.186e-05,1.198e-05,1.16e-05,1.172e-05,233966.0,2020-02-08 20:00:00
43,1581188400000,1.183e-05,1.195e-05,1.173e-05,1.186e-05,106196.0,2020-02-08 19:00:00
44,1581184800000,1.179e-05,1.211e-05,1.168e-05,1.183e-05,406464.0,2020-02-08 18:00:00
45,1581181200000,1.218e-05,1.222e-05,1.161e-05,1.17e-05,314270.0,2020-02-08 17:00:00
46,1581177600000,1.244e-05,1.252e-05,1.194e-05,1.218e-05,185400.0,2020-02-08 16:00:00
47,1581174000000,1.224e-05,1.25e-05,1.214e-05,1.243e-05,121473.0,2020-02-08 15:00:00
48,1581170400000,1.273e-05,1.279e-05,1.205e-05,1.214e-05,268711.0,2020-02-08 14:00:00
49,1581166800000,1.345e-05,1.355e-05,1.244e-05,1.273e-05,915349.0,2020-02-08 13:00:00
50,1581163200000,1.296e-05,1.448e-05,1.295e-05,1.345e-05,2281742.0,2020-02-08 12:00:00
51,1581159600000,1.257e-05,1.314e-05,1.257e-05,1.295e-05,194186.0,2020-02-08 11:00:00
52,1581156000000,1.254e-05,1.276e-05,1.233e-05,1.258e-05,100294.0,2020-02-08 10:00:00
53,1581152400000,1.276e-05,1.282e-05,1.229e-05,1.25e-05,300252.0,2020-02-08 09:00:00
54,1581148800000,1.195e-05,1.279e-05,1.195e-05,1.278e-05,258979.0,2020-02-08 08:00:00
55,1581145200000,1.196e-05,1.196e-05,1.187e-05,1.195e-05,29858.0,2020-02-08 07:00:00
56,1581141600000,1.194e-05,1.205e-05,1.192e-05,1.196e-05,14640.0,2020-02-08 06:00:00
57,1581138000000,1.203e-05,1.203e-05,1.174e-05,1.194e-05,97224.0,2020-02-08 05:00:00
58,1581134400000,1.196e-05,1.204e-05,1.196e-05,1.201e-05,21871.0,2020-02-08 04:00:00
59,1581130800000,1.198e-05,1.203e-05,1.188e-05,1.194e-05,142091.0,2020-02-08 03:00:00
60,1581127200000,1.214e-05,1.216e-05,1.198e-05,1.198e-05,65713.0,2020-02-08 02:00:00
61,1581123600000,1.235e-05,1.237e-05,1.208e-05,1.214e-05,48463.0,2020-02-08 01:00:00
62,1581120000000,1.235e-05,1.242e-05,1.231e-05,1.235e-05,6499.0,2020-02-08 00:00:00
63,1581116400000,1.25e-05,1.25e-05,1.237e-05,1.237e-05,14225.0,2020-02-07 23:00:00
64,1581112800000,1.246e-05,1.259e-05,1.232e-05,1.252e-05,122112.0,2020-02-07 22:00:00
65,1581109200000,1.245e-05,1.255e-05,1.244e-05,1.245e-05,145141.0,2020-02-07 21:00:00
66,1581105600000,1.23e-05,1.246e-05,1.224e-05,1.245e-05,228150.0,2020-02-07 20:00:00
67,1581102000000,1.191e-05,1.245e-05,1.191e-05,1.23e-05,448094.0,2020-02-07 19:00:00
68,1581098400000,1.182e-05,1.204e-05,1.182e-05,1.193e-05,53109.0,2020-02-07 18:00:00
69,1581094800000,1.169e-05,1.182e-05,1.169e-05,1.182e-05,10028.0,2020-02-07 17:00:00
70,1581091200000,1.199e-05,1.202e-05,1.165e-05,1.175e-05,46108.0,2020-02-07 16:00:00
71,1581087600000,1.186e-05,1.205e-05,1.186e-05,1.195e-05,41660.0,2020-02-07 15:00:00
72,1581084000000,1.198e-05,1.199e-05,1.166e-05,1.192e-05,97765.0,2020-02-07 14:00:00
73,1581080400000,1.165e-05,1.206e-05,1.165e-05,1.201e-05,85350.0,2020-02-07 13:00:00
74,1581076800000,1.208e-05,1.209e-05,1.166e-05,1.167e-05,131656.0,2020-02-07 12:00:00
75,1581073200000,1.178e-05,1.236e-05,1.17e-05,1.208e-05,735297.0,2020-02-07 11:00:00
76,1581069600000,1.158e-05,1.183e-05,1.144e-05,1.178e-05,223489.0,2020-02-07 10:00:00
77,1581066000000,1.15e-05,1.158e-05,1.15e-05,1.158e-05,29450.0,2020-02-07 09:00:00
78,1581062400000,1.15e-05,1.156e-05,1.141e-05,1.15e-05,59927.0,2020-02-07 08:00:00
79,1581058800000,1.144e-05,1.151e-05,1.14e-05,1.151e-05,12456.0,2020-02-07 07:00:00
80,1581055200000,1.13e-05,1.155e-05,1.127e-05,1.142e-05,96476.0,2020-02-07 06:00:00
81,1581051600000,1.116e-05,1.129e-05,1.113e-05,1.127e-05,94663.0,2020-02-07 05:00:00
82,1581048000000,1.131e-05,1.131e-05,1.093e-05,1.116e-05,108956.0,2020-02-07 04:00:00
83,1581044400000,1.131e-05,1.135e-05,1.115e-05,1.13e-05,108414.0,2020-02-07 03:00:00
84,1581040800000,1.134e-05,1.147e-05,1.124e-05,1.135e-05,44916.0,2020-02-07 02:00:00
85,1581037200000,1.137e-05,1.137e-05,1.132e-05,1.135e-05,14894.0,2020-02-07 01:00:00
86,1581033600000,1.147e-05,1.149e-05,1.137e-05,1.137e-05,23661.0,2020-02-07 00:00:00
87,1581030000000,1.147e-05,1.162e-05,1.138e-05,1.149e-05,91288.0,2020-02-06 23:00:00
88,1581026400000,1.153e-05,1.173e-05,1.146e-05,1.149e-05,144522.0,2020-02-06 22:00:00
89,1581022800000,1.138e-05,1.155e-05,1.128e-05,1.155e-05,94639.0,2020-02-06 21:00:00
90,1581019200000,1.13e-05,1.145e-05,1.13e-05,1.138e-05,54338.0,2020-02-06 20:00:00
91,1581015600000,1.124e-05,1.151e-05,1.114e-05,1.125e-05,165278.0,2020-02-06 19:00:00
92,1581012000000,1.129e-05,1.135e-05,1.122e-05,1.124e-05,7882.0,2020-02-06 18:00:00
93,1581008400000,1.113e-05,1.131e-05,1.111e-05,1.124e-05,27852.0,2020-02-06 17:00:00
94,1581004800000,1.116e-05,1.12e-05,1.11e-05,1.117e-05,4441.0,2020-02-06 16:00:00
95,1581001200000,1.113e-05,1.116e-05,1.11e-05,1.116e-05,7912.0,2020-02-06 15:00:00
96,1580997600000,1.108e-05,1.117e-05,1.108e-05,1.111e-05,11682.0,2020-02-06 14:00:00
97,1580994000000,1.112e-05,1.112e-05,1.1e-05,1.108e-05,31913.0,2020-02-06 13:00:00
98,1580990400000,1.119e-05,1.121e-05,1.106e-05,1.112e-05,96802.0,2020-02-06 12:00:00
99,1580986800000,1.132e-05,1.132e-05,1.118e-05,1.125e-05,10818.0,2020-02-06 11:00:00
100,1580983200000,1.127e-05,1.132e-05,1.119e-05,1.132e-05,35412.0,2020-02-06 10:00:00
101,1580979600000,1.117e-05,1.13e-05,1.114e-05,1.127e-05,34077.0,2020-02-06 09:00:00
102,1580976000000,1.108e-05,1.116e-05,1.108e-05,1.116e-05,4067.0,2020-02-06 08:00:00
103,1580972400000,1.111e-05,1.115e-05,1.101e-05,1.108e-05,46756.0,2020-02-06 07:00:00
104,1580968800000,1.109e-05,1.127e-05,1.103e-05,1.111e-05,146456.0,2020-02-06 06:00:00
105,1580965200000,1.099e-05,1.111e-05,1.093e-05,1.107e-05,24113.0,2020-02-06 05:00:00
106,1580961600000,1.097e-05,1.1e-05,1.097e-05,1.1e-05,11240.0,2020-02-06 04:00:00
107,1580958000000,1.091e-05,1.091e-05,1.091e-05,1.091e-05,0.0,2020-02-06 03:00:00
108,1580954400000,1.09e-05,1.098e-05,1.09e-05,1.091e-05,1052.0,2020-02-06 02:00:00
109,1580950800000,1.091e-05,1.092e-05,1.084e-05,1.088e-05,5657.0,2020-02-06 01:00:00
110,1580947200000,1.094e-05,1.097e-05,1.09e-05,1.097e-05,5592.0,2020-02-06 00:00:00
111,1580943600000,1.091e-05,1.107e-05,1.087e-05,1.097e-05,7441.0,2020-02-05 23:00:00
112,1580940000000,1.087e-05,1.101e-05,1.081e-05,1.098e-05,14053.0,2020-02-05 22:00:00
113,1580936400000,1.081e-05,1.087e-05,1.079e-05,1.079e-05,18568.0,2020-02-05 21:00:00
114,1580932800000,1.081e-05,1.085e-05,1.079e-05,1.079e-05,1341.0,2020-02-05 20:00:00
115,1580929200000,1.078e-05,1.09e-05,1.074e-05,1.074e-05,65541.0,2020-02-05 19:00:00
116,1580925600000,1.103e-05,1.103e-05,1.076e-05,1.081e-05,146493.0,2020-02-05 18:00:00
117,1580922000000,1.097e-05,1.104e-05,1.097e-05,1.103e-05,39221.0,2020-02-05 17:00:00
118,1580918400000,1.11e-05,1.11e-05,1.097e-05,1.098e-05,28947.0,2020-02-05 16:00:00
119,1580914800000,1.11e-05,1.117e-05,1.1e-05,1.106e-05,31832.0,2020-02-05 15:00:00
120,1580911200000,1.116e-05,1.117e-05,1.106e-05,1.11e-05,33288.0,2020-02-05 14:00:00
121,1580907600000,1.102e-05,1.115e-05,1.101e-05,1.115e-05,19494.0,2020-02-05 13:00:00
122,1580904000000,1.089e-05,1.104e-05,1.08e-05,1.103e-05,80617.0,2020-02-05 12:00:00
123,1580900400000,1.085e-05,1.098e-05,1.081e-05,1.089e-05,95092.0,2020-02-05 11:00:00
124,1580896800000,1.129e-05,1.13e-05,1.08e-05,1.084e-05,128759.0,2020-02-05 10:00:00
125,1580893200000,1.131e-05,1.136e-05,1.128e-05,1.128e-05,34421.0,2020-02-05 09:00:00
126,1580889600000,1.119e-05,1.135e-05,1.117e-05,1.124e-05,27577.0,2020-02-05 08:00:00
127,1580886000000,1.118e-05,1.122e-05,1.117e-05,1.117e-05,10273.0,2020-02-05 07:00:00
128,1580882400000,1.124e-05,1.128e-05,1.117e-05,1.117e-05,18610.0,2020-02-05 06:00:00
129,1580878800000,1.127e-05,1.136e-05,1.119e-05,1.12e-05,66543.0,2020-02-05 05:00:00
130,1580875200000,1.135e-05,1.135e-05,1.126e-05,1.126e-05,3995.0,2020-02-05 04:00:00
131,1580871600000,1.126e-05,1.135e-05,1.126e-05,1.126e-05,10833.0,2020-02-05 03:00:00
132,1580868000000,1.137e-05,1.137e-05,1.119e-05,1.129e-05,49435.0,2020-02-05 02:00:00
133,1580864400000,1.134e-05,1.144e-05,1.13e-05,1.137e-05,7158.0,2020-02-05 01:00:00
134,1580860800000,1.138e-05,1.144e-05,1.128e-05,1.134e-05,4466.0,2020-02-05 00:00:00
135,1580857200000,1.119e-05,1.152e-05,1.119e-05,1.139e-05,146803.0,2020-02-04 23:00:00
136,1580853600000,1.114e-05,1.119e-05,1.112e-05,1.119e-05,2168.0,2020-02-04 22:00:00
137,1580850000000,1.121e-05,1.125e-05,1.115e-05,1.115e-05,40213.0,2020-02-04 21:00:00
138,1580846400000,1.129e-05,1.13e-05,1.112e-05,1.123e-05,90465.0,2020-02-04 20:00:00
139,1580842800000,1.133e-05,1.138e-05,1.126e-05,1.133e-05,66430.0,2020-02-04 19:00:00
140,1580839200000,1.129e-05,1.144e-05,1.122e-05,1.134e-05,72007.0,2020-02-04 18:00:00
141,1580835600000,1.145e-05,1.148e-05,1.13e-05,1.13e-05,105709.0,2020-02-04 17:00:00
142,1580832000000,1.132e-05,1.145e-05,1.12e-05,1.145e-05,99114.0,2020-02-04 16:00:00
143,1580828400000,1.143e-05,1.147e-05,1.116e-05,1.132e-05,375202.0,2020-02-04 15:00:00
144,1580824800000,1.106e-05,1.148e-05,1.097e-05,1.136e-05,295805.0,2020-02-04 14:00:00
145,1580821200000,1.1e-05,1.104e-05,1.096e-05,1.104e-05,29591.0,2020-02-04 13:00:00
146,1580817600000,1.097e-05,1.104e-05,1.092e-05,1.1e-05,4937.0,2020-02-04 12:00:00
147,1580814000000,1.089e-05,1.103e-05,1.089e-05,1.098e-05,42620.0,2020-02-04 11:00:00
148,1580810400000,1.087e-05,1.102e-05,1.087e-05,1.095e-05,64208.0,2020-02-04 10:00:00
149,1580806800000,1.11e-05,1.115e-05,1.08e-05,1.087e-05,68508.0,2020-02-04 09:00:00
150,1580803200000,1.099e-05,1.109e-05,1.095e-05,1.109e-05,43980.0,2020-02-04 08:00:00
151,1580799600000,1.092e-05,1.1e-05,1.089e-05,1.097e-05,8610.0,2020-02-04 07:00:00
152,1580796000000,1.09e-05,1.099e-05,1.082e-05,1.092e-05,16926.0,2020-02-04 06:00:00
153,1580792400000,1.088e-05,1.094e-05,1.085e-05,1.094e-05,9261.0,2020-02-04 05:00:00
154,1580788800000,1.096e-05,1.103e-05,1.086e-05,1.086e-05,36510.0,2020-02-04 04:00:00
155,1580785200000,1.093e-05,1.094e-05,1.092e-05,1.092e-05,2158.0,2020-02-04 03:00:00
156,1580781600000,1.103e-05,1.103e-05,1.092e-05,1.097e-05,7161.0,2020-02-04 02:00:00
157,1580778000000,1.09e-05,1.103e-05,1.09e-05,1.099e-05,10574.0,2020-02-04 01:00:00
158,1580774400000,1.089e-05,1.101e-05,1.086e-05,1.09e-05,30028.0,2020-02-04 00:00:00
159,1580770800000,1.088e-05,1.09e-05,1.088e-05,1.088e-05,19377.0,2020-02-03 23:00:00
160,1580767200000,1.083e-05,1.09e-05,1.081e-05,1.084e-05,9595.0,2020-02-03 22:00:00
161,1580763600000,1.083e-05,1.083e-05,1.081e-05,1.083e-05,2532.0,2020-02-03 21:00:00
162,1580760000000,1.075e-05,1.084e-05,1.072e-05,1.084e-05,9310.0,2020-02-03 20:00:00
163,1580756400000,1.086e-05,1.086e-05,1.072e-05,1.075e-05,10056.0,2020-02-03 19:00:00
164,1580752800000,1.094e-05,1.094e-05,1.057e-05,1.088e-05,304493.0,2020-02-03 18:00:00
165,1580749200000,1.096e-05,1.107e-05,1.094e-05,1.094e-05,28729.0,2020-02-03 17:00:00
166,1580745600000,1.096e-05,1.102e-05,1.095e-05,1.096e-05,13935.0,2020-02-03 16:00:00
167,1580742000000,1.1e-05,1.103e-05,1.095e-05,1.096e-05,22021.0,2020-02-03 15:00:00
168,1580738400000,1.084e-05,1.107e-05,1.076e-05,1.093e-05,71807.0,2020-02-03 14:00:00
169,1580734800000,1.079e-05,1.086e-05,1.077e-05,1.086e-05,6362.0,2020-02-03 13:00:00
170,1580731200000,1.077e-05,1.088e-05,1.074e-05,1.081e-05,30099.0,2020-02-03 12:00:00
171,1580727600000,1.075e-05,1.09e-05,1.065e-05,1.077e-05,72612.0,2020-02-03 11:00:00
172,1580724000000,1.086e-05,1.086e-05,1.06e-05,1.075e-05,43732.0,2020-02-03 10:00:00
173,1580720400000,1.11e-05,1.11e-05,1.078e-05,1.085e-05,191612.0,2020-02-03 09:00:00
174,1580716800000,1.063e-05,1.118e-05,1.059e-05,1.11e-05,404415.0,2020-02-03 08:00:00
175,1580713200000,1.063e-05,1.064e-05,1.063e-05,1.063e-05,2148.0,2020-02-03 07:00:00
176,1580709600000,1.059e-05,1.059e-05,1.058e-05,1.059e-05,7834.0,2020-02-03 06:00:00
177,1580706000000,1.059e-05,1.063e-05,1.059e-05,1.059e-05,10727.0,2020-02-03 05:00:00
178,1580702400000,1.06e-05,1.06e-05,1.059e-05,1.059e-05,1060.0,2020-02-03 04:00:00
179,1580698800000,1.057e-05,1.063e-05,1.051e-05,1.054e-05,55993.0,2020-02-03 03:00:00
180,1580695200000,1.053e-05,1.061e-05,1.052e-05,1.056e-05,2809.0,2020-02-03 02:00:00
181,1580691600000,1.056e-05,1.062e-05,1.05e-05,1.056e-05,65790.0,2020-02-03 01:00:00
182,1580688000000,1.05e-05,1.06e-05,1.048e-05,1.056e-05,2744.0,2020-02-03 00:00:00
183,1580684400000,1.047e-05,1.059e-05,1.047e-05,1.049e-05,8778.0,2020-02-02 23:00:00
184,1580680800000,1.053e-05,1.059e-05,1.047e-05,1.047e-05,22617.0,2020-02-02 22:00:00
185,1580677200000,1.057e-05,1.058e-05,1.05e-05,1.053e-05,24723.0,2020-02-02 21:00:00
186,1580673600000,1.071e-05,1.071e-05,1.051e-05,1.056e-05,78730.0,2020-02-02 20:00:00
187,1580670000000,1.073e-05,1.08e-05,1.07e-05,1.07e-05,7458.0,2020-02-02 19:00:00
188,1580666400000,1.067e-05,1.075e-05,1.063e-05,1.073e-05,20182.0,2020-02-02 18:00:00
189,1580662800000,1.076e-05,1.08e-05,1.064e-05,1.068e-05,30074.0,2020-02-02 17:00:00
190,1580659200000,1.082e-05,1.084e-05,1.073e-05,1.084e-05,44722.0,2020-02-02 16:00:00
191,1580655600000,1.068e-05,1.081e-05,1.066e-05,1.081e-05,47888.0,2020-02-02 15:00:00
192,1580652000000,1.079e-05,1.088e-05,1.066e-05,1.066e-05,97753.0,2020-02-02 14:00:00
193,1580648400000,1.06e-05,1.09e-05,1.054e-05,1.079e-05,214463.0,2020-02-02 13:00:00
194,1580644800000,1.066e-05,1.071e-05,1.06e-05,1.06e-05,27878.0,2020-02-02 12:00:00
195,1580641200000,1.065e-05,1.075e-05,1.061e-05,1.07e-05,20862.0,2020-02-02 11:00:00
