,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.03341,0.03393,0.03283,0.03318,934.2,2020-02-10 15:00:00
1,1581343200000,0.03379,0.03447,0.03355,0.03366,1295.7,2020-02-10 14:00:00
2,1581339600000,0.03385,0.03447,0.03325,0.03331,2019.7,2020-02-10 13:00:00
3,1581336000000,0.03485,0.0354,0.0335,0.0335,2176.8,2020-02-10 12:00:00
4,1581332400000,0.03556,0.03619,0.0347,0.03485,2245.0,2020-02-10 11:00:00
5,1581328800000,0.03701,0.03775,0.03555,0.03621,3231.0,2020-02-10 10:00:00
6,1581325200000,0.0342,0.0378,0.03411,0.03692,5174.2,2020-02-10 09:00:00
7,1581321600000,0.03452,0.03493,0.033,0.03351,813.2,2020-02-10 08:00:00
8,1581318000000,0.03412,0.03477,0.03361,0.03414,595.3,2020-02-10 07:00:00
9,1581314400000,0.03661,0.03666,0.03328,0.03421,7465.4,2020-02-10 06:00:00
10,1581310800000,0.03624,0.04016,0.03581,0.03661,18132.7,2020-02-10 05:00:00
11,1581307200000,0.03421,0.03792,0.03378,0.03641,3636.2,2020-02-10 04:00:00
12,1581303600000,0.03421,0.03472,0.03325,0.03438,1010.3,2020-02-10 03:00:00
13,1581300000000,0.03349,0.03476,0.03349,0.03456,2389.8,2020-02-10 02:00:00
14,1581296400000,0.03312,0.03421,0.03272,0.03344,452.1,2020-02-10 01:00:00
15,1581292800000,0.03234,0.03312,0.03234,0.03281,529.3,2020-02-10 00:00:00
16,1581289200000,0.03221,0.03221,0.03216,0.03221,275.9,2020-02-09 23:00:00
17,1581285600000,0.03173,0.03221,0.03173,0.03221,129.3,2020-02-09 22:00:00
18,1581282000000,0.03251,0.03293,0.0313,0.03135,1790.8,2020-02-09 21:00:00
19,1581278400000,0.03191,0.03205,0.03162,0.03205,241.9,2020-02-09 20:00:00
20,1581274800000,0.0328,0.0328,0.03165,0.03191,741.2,2020-02-09 19:00:00
21,1581271200000,0.0324,0.03349,0.03198,0.03273,2104.0,2020-02-09 18:00:00
22,1581267600000,0.03106,0.0322,0.03076,0.03178,834.8,2020-02-09 17:00:00
23,1581264000000,0.03147,0.03195,0.03105,0.03195,245.5,2020-02-09 16:00:00
24,1581260400000,0.03216,0.0324,0.03167,0.03169,463.1,2020-02-09 15:00:00
25,1581256800000,0.031,0.03236,0.031,0.03215,757.8,2020-02-09 14:00:00
26,1581253200000,0.03097,0.03097,0.03069,0.03087,3701.4,2020-02-09 13:00:00
27,1581249600000,0.03081,0.03171,0.03019,0.031,1110.7,2020-02-09 12:00:00
28,1581246000000,0.03117,0.03117,0.03031,0.03048,9338.6,2020-02-09 11:00:00
29,1581242400000,0.03091,0.03185,0.03086,0.03117,123.3,2020-02-09 10:00:00
30,1581238800000,0.03152,0.03187,0.03088,0.03105,514.9,2020-02-09 09:00:00
31,1581235200000,0.0316,0.03209,0.03158,0.03158,1419.9,2020-02-09 08:00:00
32,1581231600000,0.03152,0.0317,0.03045,0.03122,1478.6,2020-02-09 07:00:00
33,1581228000000,0.03,0.03154,0.02969,0.03107,2422.3,2020-02-09 06:00:00
34,1581224400000,0.02963,0.03034,0.02946,0.03034,371.7,2020-02-09 05:00:00
35,1581220800000,0.03034,0.03034,0.02937,0.02969,2856.8,2020-02-09 04:00:00
36,1581217200000,0.03209,0.03209,0.03026,0.03041,1865.6,2020-02-09 03:00:00
37,1581210000000,0.03213,0.0325,0.03199,0.03199,110.0,2020-02-09 01:00:00
38,1581206400000,0.03246,0.03288,0.03213,0.03287,204.5,2020-02-09 00:00:00
39,1581202800000,0.0329,0.0329,0.03219,0.03239,736.3,2020-02-08 23:00:00
40,1581199200000,0.03285,0.03324,0.03248,0.03296,406.3,2020-02-08 22:00:00
41,1581195600000,0.03424,0.03448,0.03172,0.03263,2250.6,2020-02-08 21:00:00
42,1581192000000,0.03499,0.03499,0.03361,0.03416,2385.3,2020-02-08 20:00:00
43,1581188400000,0.03554,0.03554,0.03499,0.03499,578.2,2020-02-08 19:00:00
44,1581184800000,0.03581,0.03584,0.03568,0.03568,211.0,2020-02-08 18:00:00
45,1581181200000,0.03497,0.03562,0.03497,0.03556,319.6,2020-02-08 17:00:00
46,1581177600000,0.03594,0.03659,0.03483,0.03485,1716.9,2020-02-08 16:00:00
47,1581174000000,0.03586,0.03613,0.03574,0.03613,242.4,2020-02-08 15:00:00
48,1581170400000,0.0354,0.03607,0.03521,0.03607,497.5,2020-02-08 14:00:00
49,1581166800000,0.03685,0.03685,0.03483,0.0354,1964.5,2020-02-08 13:00:00
50,1581163200000,0.0372,0.03721,0.0372,0.03721,119.6,2020-02-08 12:00:00
51,1581159600000,0.03661,0.0372,0.03661,0.0372,324.1,2020-02-08 11:00:00
52,1581156000000,0.03661,0.03661,0.0356,0.03661,624.3,2020-02-08 10:00:00
53,1581152400000,0.03591,0.03701,0.03582,0.03701,1978.4,2020-02-08 09:00:00
54,1581148800000,0.03501,0.03624,0.03494,0.03624,1216.3,2020-02-08 08:00:00
55,1581145200000,0.03433,0.03501,0.03433,0.03487,310.7,2020-02-08 07:00:00
56,1581141600000,0.03406,0.03419,0.03406,0.03419,29.0,2020-02-08 06:00:00
57,1581138000000,0.03448,0.03448,0.03411,0.03411,205.2,2020-02-08 05:00:00
58,1581134400000,0.03452,0.03465,0.03443,0.03453,103.9,2020-02-08 04:00:00
59,1581130800000,0.03513,0.03513,0.03432,0.03475,463.6,2020-02-08 03:00:00
60,1581127200000,0.03582,0.03582,0.03488,0.03499,1797.9,2020-02-08 02:00:00
61,1581123600000,0.03628,0.03701,0.03586,0.03586,848.8,2020-02-08 01:00:00
62,1581120000000,0.03493,0.03649,0.03493,0.03614,1748.6,2020-02-08 00:00:00
63,1581116400000,0.0358,0.0358,0.03475,0.0354,1099.5,2020-02-07 23:00:00
64,1581112800000,0.03659,0.03659,0.0358,0.03585,610.9,2020-02-07 22:00:00
65,1581109200000,0.03652,0.03659,0.03652,0.03652,520.2,2020-02-07 21:00:00
66,1581105600000,0.03597,0.03689,0.03591,0.03652,576.0,2020-02-07 20:00:00
67,1581102000000,0.03618,0.03661,0.0359,0.03597,573.4,2020-02-07 19:00:00
68,1581098400000,0.03701,0.03718,0.03614,0.03614,575.7,2020-02-07 18:00:00
69,1581094800000,0.03658,0.03701,0.03581,0.03694,3203.4,2020-02-07 17:00:00
70,1581091200000,0.03742,0.0375,0.03651,0.03665,324.7,2020-02-07 16:00:00
71,1581087600000,0.03741,0.0375,0.03658,0.03701,992.0,2020-02-07 15:00:00
72,1581084000000,0.0396,0.04065,0.03697,0.03781,3566.1,2020-02-07 14:00:00
73,1581080400000,0.03936,0.04242,0.03875,0.04,3490.5,2020-02-07 13:00:00
74,1581076800000,0.03741,0.04339,0.03692,0.03891,6037.7,2020-02-07 12:00:00
75,1581073200000,0.03591,0.03741,0.03513,0.03741,3609.3,2020-02-07 11:00:00
76,1581069600000,0.03715,0.03715,0.03591,0.03591,2551.2,2020-02-07 10:00:00
77,1581066000000,0.03757,0.03848,0.03708,0.03708,2346.1,2020-02-07 09:00:00
78,1581062400000,0.03775,0.03792,0.03709,0.03749,825.9,2020-02-07 08:00:00
79,1581058800000,0.03822,0.03824,0.0376,0.03767,874.6,2020-02-07 07:00:00
