,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,8.463e-05,8.463e-05,8.316e-05,8.392e-05,29171.0,2020-02-10 15:00:00
1,1581343200000,8.49e-05,8.721e-05,8.364e-05,8.463e-05,44724.0,2020-02-10 14:00:00
2,1581339600000,8.436e-05,8.818e-05,8.428e-05,8.49e-05,74065.0,2020-02-10 13:00:00
3,1581336000000,8.652e-05,8.772e-05,8.435e-05,8.436e-05,81787.0,2020-02-10 12:00:00
4,1581332400000,9.04e-05,9.049e-05,8.605e-05,8.661e-05,76943.0,2020-02-10 11:00:00
5,1581328800000,9.142e-05,9.329e-05,8.714e-05,9.047e-05,117588.0,2020-02-10 10:00:00
6,1581325200000,8.45e-05,9.318e-05,8.444e-05,9.142e-05,216019.0,2020-02-10 09:00:00
7,1581321600000,8.508e-05,8.671e-05,8.305e-05,8.45e-05,71182.0,2020-02-10 08:00:00
8,1581318000000,8.468e-05,8.698e-05,8.311e-05,8.507e-05,118946.0,2020-02-10 07:00:00
9,1581314400000,8.731e-05,8.776e-05,8.25e-05,8.473e-05,275580.0,2020-02-10 06:00:00
10,1581310800000,8.8e-05,9.54e-05,8.402e-05,8.741e-05,495125.0,2020-02-10 05:00:00
11,1581307200000,8.097e-05,8.985e-05,7.999e-05,8.783e-05,190451.0,2020-02-10 04:00:00
12,1581303600000,8.191e-05,8.216e-05,7.897e-05,8.054e-05,45091.0,2020-02-10 03:00:00
13,1581300000000,7.954e-05,8.199e-05,7.901e-05,8.14e-05,30697.0,2020-02-10 02:00:00
14,1581296400000,7.89e-05,8.113e-05,7.707e-05,7.943e-05,58234.0,2020-02-10 01:00:00
15,1581292800000,7.632e-05,7.89e-05,7.55e-05,7.89e-05,20772.0,2020-02-10 00:00:00
16,1581289200000,7.59e-05,7.719e-05,7.527e-05,7.646e-05,24694.0,2020-02-09 23:00:00
17,1581285600000,7.536e-05,7.614e-05,7.53e-05,7.612e-05,4768.0,2020-02-09 22:00:00
18,1581282000000,7.6e-05,7.6e-05,7.406e-05,7.535e-05,29128.0,2020-02-09 21:00:00
19,1581278400000,7.48e-05,7.68e-05,7.48e-05,7.6e-05,36150.0,2020-02-09 20:00:00
20,1581274800000,7.725e-05,7.725e-05,7.47e-05,7.48e-05,32338.0,2020-02-09 19:00:00
21,1581271200000,7.626e-05,7.9e-05,7.546e-05,7.728e-05,80423.0,2020-02-09 18:00:00
22,1581267600000,7.305e-05,7.685e-05,7.217e-05,7.626e-05,33152.0,2020-02-09 17:00:00
23,1581264000000,7.338e-05,7.407e-05,7.202e-05,7.353e-05,49868.0,2020-02-09 16:00:00
24,1581260400000,7.277e-05,7.391e-05,7.212e-05,7.338e-05,20119.0,2020-02-09 15:00:00
25,1581256800000,7.025e-05,7.341e-05,7.024e-05,7.341e-05,46072.0,2020-02-09 14:00:00
26,1581253200000,7.045e-05,7.137e-05,6.95e-05,7.026e-05,26908.0,2020-02-09 13:00:00
27,1581249600000,6.961e-05,7.152e-05,6.82e-05,7.045e-05,53656.0,2020-02-09 12:00:00
28,1581246000000,7.117e-05,7.117e-05,6.85e-05,6.961e-05,70209.0,2020-02-09 11:00:00
29,1581242400000,7.097e-05,7.141e-05,7.048e-05,7.117e-05,19463.0,2020-02-09 10:00:00
30,1581238800000,7.188e-05,7.249e-05,7.021e-05,7.119e-05,38145.0,2020-02-09 09:00:00
31,1581235200000,7.191e-05,7.27e-05,7.187e-05,7.188e-05,12405.0,2020-02-09 08:00:00
32,1581231600000,7.187e-05,7.333e-05,7.04e-05,7.19e-05,62705.0,2020-02-09 07:00:00
33,1581228000000,6.953e-05,7.3e-05,6.85e-05,7.205e-05,123853.0,2020-02-09 06:00:00
34,1581224400000,6.854e-05,6.987e-05,6.8e-05,6.959e-05,28516.0,2020-02-09 05:00:00
35,1581220800000,7.059e-05,7.059e-05,6.84e-05,6.854e-05,54162.0,2020-02-09 04:00:00
36,1581217200000,7.156e-05,7.168e-05,7e-05,7.059e-05,19746.0,2020-02-09 03:00:00
37,1581210000000,7.188e-05,7.199e-05,7.14e-05,7.163e-05,6929.0,2020-02-09 01:00:00
38,1581206400000,7.176e-05,7.286e-05,7.149e-05,7.192e-05,22342.0,2020-02-09 00:00:00
39,1581202800000,7.279e-05,7.279e-05,7.099e-05,7.15e-05,45042.0,2020-02-08 23:00:00
40,1581199200000,7.178e-05,7.324e-05,7.152e-05,7.283e-05,33798.0,2020-02-08 22:00:00
41,1581195600000,7.585e-05,7.593e-05,7.043e-05,7.152e-05,100822.0,2020-02-08 21:00:00
42,1581192000000,7.734e-05,7.737e-05,7.412e-05,7.585e-05,72260.0,2020-02-08 20:00:00
43,1581188400000,7.817e-05,7.901e-05,7.678e-05,7.678e-05,24378.0,2020-02-08 19:00:00
44,1581184800000,7.831e-05,7.902e-05,7.77e-05,7.835e-05,11656.0,2020-02-08 18:00:00
45,1581181200000,7.766e-05,7.879e-05,7.766e-05,7.831e-05,17331.0,2020-02-08 17:00:00
46,1581177600000,7.933e-05,8.123e-05,7.696e-05,7.749e-05,22761.0,2020-02-08 16:00:00
47,1581174000000,7.936e-05,8.027e-05,7.883e-05,7.892e-05,14527.0,2020-02-08 15:00:00
48,1581170400000,7.883e-05,8e-05,7.826e-05,7.982e-05,19220.0,2020-02-08 14:00:00
49,1581166800000,8.216e-05,8.289e-05,7.75e-05,7.889e-05,47946.0,2020-02-08 13:00:00
50,1581163200000,8.237e-05,8.338e-05,8.2e-05,8.2e-05,15307.0,2020-02-08 12:00:00
51,1581159600000,8.198e-05,8.311e-05,8.176e-05,8.282e-05,19295.0,2020-02-08 11:00:00
52,1581156000000,8.266e-05,8.266e-05,7.98e-05,8.198e-05,38643.0,2020-02-08 10:00:00
53,1581152400000,8.199e-05,8.317e-05,8.08e-05,8.304e-05,62124.0,2020-02-08 09:00:00
54,1581148800000,7.779e-05,8.215e-05,7.753e-05,8.199e-05,65805.0,2020-02-08 08:00:00
55,1581145200000,7.619e-05,7.823e-05,7.6e-05,7.78e-05,40747.0,2020-02-08 07:00:00
56,1581141600000,7.617e-05,7.645e-05,7.611e-05,7.615e-05,9546.0,2020-02-08 06:00:00
57,1581138000000,7.655e-05,7.717e-05,7.537e-05,7.617e-05,17428.0,2020-02-08 05:00:00
58,1581134400000,7.595e-05,7.69e-05,7.576e-05,7.654e-05,19587.0,2020-02-08 04:00:00
59,1581130800000,7.634e-05,7.69e-05,7.469e-05,7.644e-05,71378.0,2020-02-08 03:00:00
60,1581127200000,7.886e-05,7.925e-05,7.552e-05,7.626e-05,80254.0,2020-02-08 02:00:00
61,1581123600000,7.955e-05,8.044e-05,7.827e-05,7.885e-05,29486.0,2020-02-08 01:00:00
62,1581120000000,7.96e-05,8.044e-05,7.86e-05,8e-05,39081.0,2020-02-08 00:00:00
63,1581116400000,8.071e-05,8.089e-05,7.854e-05,7.96e-05,42550.0,2020-02-07 23:00:00
64,1581112800000,8.249e-05,8.338e-05,8e-05,8.071e-05,84470.0,2020-02-07 22:00:00
65,1581109200000,8.283e-05,8.338e-05,8.203e-05,8.249e-05,7604.0,2020-02-07 21:00:00
66,1581105600000,8.216e-05,8.338e-05,8.216e-05,8.325e-05,18601.0,2020-02-07 20:00:00
67,1581102000000,8.142e-05,8.261e-05,8.08e-05,8.216e-05,29428.0,2020-02-07 19:00:00
68,1581098400000,8.278e-05,8.279e-05,8.081e-05,8.09e-05,33534.0,2020-02-07 18:00:00
69,1581094800000,8.154e-05,8.295e-05,8e-05,8.278e-05,93974.0,2020-02-07 17:00:00
70,1581091200000,8.309e-05,8.388e-05,8.127e-05,8.233e-05,33414.0,2020-02-07 16:00:00
71,1581087600000,8.437e-05,8.485e-05,8.16e-05,8.309e-05,70800.0,2020-02-07 15:00:00
72,1581084000000,8.978e-05,9.2e-05,8.308e-05,8.437e-05,122961.0,2020-02-07 14:00:00
73,1581080400000,8.766e-05,9.35e-05,8.648e-05,8.932e-05,143379.0,2020-02-07 13:00:00
74,1581076800000,8.388e-05,9.09e-05,8.22e-05,8.796e-05,151853.0,2020-02-07 12:00:00
75,1581073200000,8.13e-05,8.406e-05,8.048e-05,8.388e-05,63734.0,2020-02-07 11:00:00
76,1581069600000,8.169e-05,8.245e-05,8.014e-05,8.13e-05,56655.0,2020-02-07 10:00:00
77,1581066000000,8.215e-05,8.499e-05,8.128e-05,8.229e-05,50519.0,2020-02-07 09:00:00
78,1581062400000,8.287e-05,8.32e-05,8.102e-05,8.215e-05,66357.0,2020-02-07 08:00:00
79,1581058800000,8.369e-05,8.395e-05,8.25e-05,8.328e-05,30509.0,2020-02-07 07:00:00
80,1581055200000,8.337e-05,8.634e-05,8.284e-05,8.361e-05,45680.0,2020-02-07 06:00:00
81,1581051600000,8.2e-05,8.341e-05,8.07e-05,8.34e-05,61774.0,2020-02-07 05:00:00
82,1581048000000,8.406e-05,8.525e-05,8.2e-05,8.216e-05,53117.0,2020-02-07 04:00:00
83,1581044400000,8.8e-05,8.859e-05,8.35e-05,8.498e-05,133401.0,2020-02-07 03:00:00
84,1581040800000,8.209e-05,9.1e-05,7.998e-05,8.8e-05,840641.0,2020-02-07 02:00:00
85,1581037200000,8.07e-05,8.242e-05,8.003e-05,8.214e-05,62644.0,2020-02-07 01:00:00
86,1581033600000,8.55e-05,8.55e-05,8.007e-05,8.07e-05,99082.0,2020-02-07 00:00:00
87,1581030000000,8.532e-05,8.7e-05,8.449e-05,8.618e-05,48948.0,2020-02-06 23:00:00
88,1581026400000,8.606e-05,9.022e-05,8.294e-05,8.5e-05,242261.0,2020-02-06 22:00:00
89,1581022800000,9.578e-05,9.58e-05,8.521e-05,8.605e-05,349474.0,2020-02-06 21:00:00
90,1581019200000,9.437e-05,9.705e-05,9.3e-05,9.58e-05,298917.0,2020-02-06 20:00:00
91,1581015600000,9.003e-05,0.000105,8.535e-05,9.439e-05,1443436.83,2020-02-06 19:00:00
92,1581012000000,9.233e-05,9.39e-05,8.7e-05,9.003e-05,419009.0,2020-02-06 18:00:00
93,1581008400000,8.707e-05,9.625e-05,8.4e-05,9.247e-05,695158.43,2020-02-06 17:00:00
94,1581004800000,8.416e-05,8.8e-05,8.305e-05,8.768e-05,238427.0,2020-02-06 16:00:00
95,1581001200000,8.041e-05,8.7e-05,7.995e-05,8.459e-05,212327.0,2020-02-06 15:00:00
96,1580997600000,8.057e-05,8.47e-05,7.806e-05,8e-05,144535.0,2020-02-06 14:00:00
97,1580994000000,8.153e-05,8.7e-05,7.887e-05,8.055e-05,299550.0,2020-02-06 13:00:00
98,1580990400000,8.16e-05,8.374e-05,8.042e-05,8.1e-05,125986.0,2020-02-06 12:00:00
99,1580986800000,8.459e-05,8.625e-05,8.127e-05,8.155e-05,162412.0,2020-02-06 11:00:00
100,1580983200000,8.2e-05,8.6e-05,8.198e-05,8.462e-05,162140.0,2020-02-06 10:00:00
101,1580979600000,8.554e-05,8.597e-05,8.16e-05,8.2e-05,261117.0,2020-02-06 09:00:00
102,1580976000000,8.439e-05,8.95e-05,8.411e-05,8.547e-05,205202.0,2020-02-06 08:00:00
103,1580972400000,8.361e-05,8.692e-05,8.361e-05,8.466e-05,123149.0,2020-02-06 07:00:00
104,1580968800000,8.404e-05,8.7e-05,8.3e-05,8.413e-05,143582.0,2020-02-06 06:00:00
105,1580965200000,8.919e-05,9.056e-05,8.364e-05,8.416e-05,365421.0,2020-02-06 05:00:00
106,1580961600000,7.901e-05,9.419e-05,7.901e-05,8.919e-05,1846191.38,2020-02-06 04:00:00
107,1580958000000,7.874e-05,8.012e-05,7.827e-05,7.902e-05,44624.0,2020-02-06 03:00:00
108,1580954400000,8.342e-05,8.343e-05,7.8e-05,7.874e-05,249646.0,2020-02-06 02:00:00
109,1580950800000,8.168e-05,8.343e-05,8.05e-05,8.342e-05,55974.0,2020-02-06 01:00:00
110,1580947200000,8.696e-05,8.799e-05,8.051e-05,8.178e-05,835709.0,2020-02-06 00:00:00
111,1580943600000,8.034e-05,8.7e-05,7.6e-05,8.697e-05,906002.0,2020-02-05 23:00:00
