,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.003741,0.003747,0.00367,0.003736,2580.82,2020-02-10 15:00:00
1,1581343200000,0.003796,0.003891,0.00374,0.003745,8406.39,2020-02-10 14:00:00
2,1581339600000,0.003833,0.003945,0.003764,0.003797,8692.15,2020-02-10 13:00:00
3,1581336000000,0.003935,0.003989,0.003777,0.00378,4891.41,2020-02-10 12:00:00
4,1581332400000,0.004,0.00403,0.00386,0.003923,5589.12,2020-02-10 11:00:00
5,1581328800000,0.0041,0.004188,0.003944,0.00404,5640.53,2020-02-10 10:00:00
6,1581325200000,0.003787,0.0042,0.003787,0.0041,22311.59,2020-02-10 09:00:00
7,1581321600000,0.003797,0.003862,0.003736,0.003787,775.14,2020-02-10 08:00:00
8,1581318000000,0.003783,0.003876,0.003706,0.003797,1194.8,2020-02-10 07:00:00
9,1581314400000,0.003936,0.003936,0.003691,0.003797,29462.88,2020-02-10 06:00:00
10,1581310800000,0.003921,0.004263,0.0038,0.003892,36039.08,2020-02-10 05:00:00
11,1581307200000,0.003622,0.004013,0.003585,0.003956,16916.26,2020-02-10 04:00:00
12,1581303600000,0.003678,0.00385,0.00353,0.003642,2528.75,2020-02-10 03:00:00
13,1581300000000,0.003588,0.0038,0.003566,0.003652,1178.76,2020-02-10 02:00:00
14,1581296400000,0.003504,0.003646,0.003445,0.003548,1752.92,2020-02-10 01:00:00
15,1581292800000,0.003404,0.003516,0.003404,0.003512,14293.55,2020-02-10 00:00:00
16,1581289200000,0.00336,0.003423,0.00335,0.003404,759.25,2020-02-09 23:00:00
17,1581285600000,0.003386,0.003392,0.003386,0.003392,6.77,2020-02-09 22:00:00
18,1581282000000,0.003385,0.003442,0.003319,0.003388,1710.54,2020-02-09 21:00:00
19,1581278400000,0.003325,0.003452,0.003325,0.003452,493.59,2020-02-09 20:00:00
20,1581274800000,0.003404,0.003447,0.003325,0.003325,1353.04,2020-02-09 19:00:00
21,1581271200000,0.003419,0.003518,0.003364,0.003433,3822.62,2020-02-09 18:00:00
22,1581267600000,0.003277,0.003424,0.003247,0.003421,1094.71,2020-02-09 17:00:00
23,1581264000000,0.003286,0.003309,0.003228,0.003244,1338.15,2020-02-09 16:00:00
24,1581260400000,0.003259,0.003293,0.003214,0.003286,2157.98,2020-02-09 15:00:00
25,1581256800000,0.003161,0.003259,0.00315,0.003259,948.86,2020-02-09 14:00:00
26,1581253200000,0.003126,0.003195,0.003086,0.003132,3972.05,2020-02-09 13:00:00
27,1581249600000,0.003061,0.003164,0.003021,0.003126,3019.46,2020-02-09 12:00:00
28,1581246000000,0.003139,0.003155,0.003022,0.003056,7101.22,2020-02-09 11:00:00
29,1581242400000,0.003144,0.003163,0.003112,0.003162,408.49,2020-02-09 10:00:00
30,1581238800000,0.003158,0.003215,0.003106,0.003127,855.71,2020-02-09 09:00:00
31,1581235200000,0.0032,0.003216,0.003163,0.003196,355.69,2020-02-09 08:00:00
32,1581231600000,0.003191,0.003287,0.003078,0.003144,8254.22,2020-02-09 07:00:00
33,1581228000000,0.003087,0.003222,0.003034,0.00317,5329.36,2020-02-09 06:00:00
34,1581224400000,0.003026,0.003088,0.00302,0.003088,266.03,2020-02-09 05:00:00
35,1581220800000,0.003091,0.003091,0.003017,0.003033,7703.23,2020-02-09 04:00:00
36,1581217200000,0.00314,0.00314,0.003076,0.003091,2004.56,2020-02-09 03:00:00
37,1581210000000,0.003156,0.003168,0.003156,0.003167,70.37,2020-02-09 01:00:00
38,1581206400000,0.003192,0.003223,0.003142,0.00315,1321.31,2020-02-09 00:00:00
39,1581202800000,0.003239,0.003239,0.003142,0.003173,2611.13,2020-02-08 23:00:00
40,1581199200000,0.003204,0.003247,0.003173,0.003239,1173.19,2020-02-08 22:00:00
41,1581195600000,0.003349,0.003349,0.003106,0.003183,6387.36,2020-02-08 21:00:00
42,1581192000000,0.003373,0.003387,0.003259,0.003335,7604.93,2020-02-08 20:00:00
43,1581188400000,0.003424,0.003461,0.003375,0.003375,2521.91,2020-02-08 19:00:00
44,1581184800000,0.00346,0.003462,0.003427,0.003442,278.88,2020-02-08 18:00:00
45,1581181200000,0.003399,0.00346,0.003398,0.003435,382.9,2020-02-08 17:00:00
46,1581177600000,0.003472,0.003549,0.003367,0.003383,4367.51,2020-02-08 16:00:00
47,1581174000000,0.003462,0.003478,0.003438,0.00346,684.67,2020-02-08 15:00:00
48,1581170400000,0.003417,0.003469,0.00341,0.003451,888.71,2020-02-08 14:00:00
49,1581166800000,0.003582,0.003609,0.00337,0.003417,3772.37,2020-02-08 13:00:00
50,1581163200000,0.003583,0.003583,0.003565,0.003565,23.95,2020-02-08 12:00:00
51,1581159600000,0.003557,0.003601,0.003557,0.003566,983.43,2020-02-08 11:00:00
52,1581156000000,0.003615,0.003615,0.003454,0.003557,1508.89,2020-02-08 10:00:00
53,1581152400000,0.003554,0.0037,0.003538,0.003631,2740.81,2020-02-08 09:00:00
54,1581148800000,0.003461,0.003565,0.003421,0.003565,5892.1,2020-02-08 08:00:00
55,1581145200000,0.003387,0.00346,0.003387,0.00346,500.86,2020-02-08 07:00:00
