,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.5409,0.544,0.5357,0.5401,105.88,2020-02-10 15:00:00
1,1581343200000,0.5374,0.5433,0.5342,0.5421,537.0,2020-02-10 14:00:00
2,1581339600000,0.5412,0.5453,0.5345,0.5357,636.63,2020-02-10 13:00:00
3,1581336000000,0.545,0.5458,0.5318,0.5397,1535.93,2020-02-10 12:00:00
4,1581332400000,0.5431,0.5481,0.5427,0.5476,289.31,2020-02-10 11:00:00
5,1581328800000,0.5491,0.5571,0.5414,0.5445,157.98,2020-02-10 10:00:00
6,1581325200000,0.5428,0.556,0.5428,0.5481,337.76,2020-02-10 09:00:00
7,1581321600000,0.5579,0.5579,0.5318,0.5419,730.1,2020-02-10 08:00:00
8,1581318000000,0.5535,0.5607,0.5526,0.5579,243.22,2020-02-10 07:00:00
9,1581314400000,0.576,0.5771,0.5477,0.5519,639.88,2020-02-10 06:00:00
10,1581310800000,0.5826,0.5835,0.5704,0.5781,152.15,2020-02-10 05:00:00
11,1581307200000,0.5827,0.5848,0.5752,0.5848,43.78,2020-02-10 04:00:00
12,1581303600000,0.5843,0.5843,0.5805,0.5841,44.21,2020-02-10 03:00:00
13,1581300000000,0.5789,0.5905,0.5789,0.5848,75.03,2020-02-10 02:00:00
14,1581296400000,0.5814,0.5831,0.5756,0.577,522.15,2020-02-10 01:00:00
15,1581292800000,0.5835,0.5909,0.579,0.5834,289.32,2020-02-10 00:00:00
16,1581289200000,0.586,0.5877,0.5805,0.5805,267.82,2020-02-09 23:00:00
17,1581285600000,0.579,0.5874,0.579,0.5865,213.06,2020-02-09 22:00:00
18,1581282000000,0.578,0.5792,0.5755,0.5789,19.83,2020-02-09 21:00:00
19,1581278400000,0.5848,0.5865,0.578,0.5796,273.13,2020-02-09 20:00:00
20,1581274800000,0.586,0.5877,0.5787,0.5848,204.73,2020-02-09 19:00:00
21,1581271200000,0.5771,0.586,0.5757,0.586,133.16,2020-02-09 18:00:00
22,1581267600000,0.5855,0.5899,0.5764,0.5801,1067.13,2020-02-09 17:00:00
23,1581264000000,0.5762,0.585,0.5678,0.585,536.64,2020-02-09 16:00:00
24,1581260400000,0.5742,0.5771,0.5719,0.5725,502.03,2020-02-09 15:00:00
25,1581256800000,0.575,0.5761,0.5722,0.5754,340.38,2020-02-09 14:00:00
26,1581253200000,0.5722,0.5819,0.5722,0.5736,157.29,2020-02-09 13:00:00
27,1581249600000,0.5771,0.5774,0.5727,0.5741,108.73,2020-02-09 12:00:00
