,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,13.47,13.576,13.469,13.576,508.904,2020-02-10 15:00:00
1,1581343200000,13.375,13.375,13.375,13.375,0.0,2020-02-10 14:00:00
2,1581339600000,13.438,13.573,13.358,13.375,1368.273,2020-02-10 13:00:00
3,1581336000000,13.281,13.281,13.221,13.243,24.325,2020-02-10 12:00:00
4,1581332400000,13.4,13.4,13.29,13.352,686.482,2020-02-10 11:00:00
5,1581328800000,13.367,13.374,13.367,13.374,75.828,2020-02-10 10:00:00
6,1581325200000,13.479,13.479,13.246,13.404,845.42,2020-02-10 09:00:00
7,1581321600000,13.806,13.822,13.631,13.631,72.449,2020-02-10 08:00:00
8,1581318000000,13.581,13.908,13.581,13.893,904.315,2020-02-10 07:00:00
9,1581314400000,13.501,13.754,13.483,13.673,2031.916,2020-02-10 06:00:00
10,1581310800000,13.885,13.928,13.461,13.461,1518.884,2020-02-10 05:00:00
11,1581307200000,13.958,13.958,13.7,13.883,760.902,2020-02-10 04:00:00
12,1581303600000,14.01,14.01,13.885,13.918,679.506,2020-02-10 03:00:00
13,1581300000000,13.902,14.079,13.874,14.079,455.492,2020-02-10 02:00:00
14,1581296400000,14.106,14.106,13.957,13.997,179.219,2020-02-10 01:00:00
15,1581292800000,14.23,14.398,14.058,14.099,1080.006,2020-02-10 00:00:00
16,1581289200000,14.0,14.181,13.976,14.181,1185.037,2020-02-09 23:00:00
17,1581285600000,13.908,13.942,13.908,13.942,72.252,2020-02-09 22:00:00
18,1581282000000,13.805,13.805,13.805,13.805,18.524,2020-02-09 21:00:00
19,1581278400000,13.935,13.935,13.701,13.75,248.47,2020-02-09 20:00:00
20,1581274800000,13.848,13.952,13.848,13.94,240.357,2020-02-09 19:00:00
21,1581271200000,13.728,13.819,13.669,13.819,765.499,2020-02-09 18:00:00
22,1581267600000,13.911,14.095,13.777,13.866,2918.752,2020-02-09 17:00:00
23,1581264000000,13.436,13.896,13.39,13.896,1507.596,2020-02-09 16:00:00
24,1581260400000,13.235,13.386,13.11,13.378,902.143,2020-02-09 15:00:00
25,1581256800000,13.24,13.24,13.195,13.195,24.02,2020-02-09 14:00:00
26,1581253200000,13.217,13.369,13.196,13.196,954.559,2020-02-09 13:00:00
27,1581249600000,13.205,13.205,13.183,13.183,72.933,2020-02-09 12:00:00
28,1581246000000,13.19,13.269,13.19,13.217,76.09,2020-02-09 11:00:00
29,1581242400000,13.1,13.232,13.024,13.232,496.956,2020-02-09 10:00:00
30,1581238800000,13.235,13.252,13.027,13.045,896.09,2020-02-09 09:00:00
31,1581235200000,13.394,13.394,13.271,13.327,304.251,2020-02-09 08:00:00
32,1581231600000,13.436,13.534,13.425,13.481,195.89,2020-02-09 07:00:00
33,1581228000000,13.549,13.568,13.368,13.381,694.744,2020-02-09 06:00:00
34,1581224400000,13.059,13.553,13.059,13.501,1426.62,2020-02-09 05:00:00
35,1581220800000,12.973,13.044,12.889,12.984,1669.136,2020-02-09 04:00:00
36,1581217200000,12.961,12.973,12.827,12.973,280.041,2020-02-09 03:00:00
37,1581210000000,12.922,12.922,12.91,12.91,69.127,2020-02-09 01:00:00
38,1581206400000,12.796,12.864,12.796,12.864,183.56,2020-02-09 00:00:00
39,1581202800000,12.678,12.715,12.678,12.689,1534.096,2020-02-08 23:00:00
40,1581199200000,12.767,12.767,12.68,12.68,265.674,2020-02-08 22:00:00
41,1581195600000,12.923,12.931,12.733,12.733,1101.56,2020-02-08 21:00:00
42,1581192000000,12.891,12.891,12.852,12.866,143.262,2020-02-08 20:00:00
43,1581188400000,12.839,12.839,12.839,12.839,0.811,2020-02-08 19:00:00
44,1581184800000,12.814,12.825,12.776,12.802,341.163,2020-02-08 18:00:00
45,1581181200000,12.786,12.836,12.748,12.836,1327.965,2020-02-08 17:00:00
46,1581177600000,12.825,12.957,12.825,12.957,1327.603,2020-02-08 16:00:00
47,1581174000000,12.941,12.941,12.88,12.88,129.928,2020-02-08 15:00:00
48,1581170400000,12.876,12.936,12.876,12.897,82.16,2020-02-08 14:00:00
49,1581166800000,12.904,12.946,12.842,12.842,384.94,2020-02-08 13:00:00
50,1581163200000,12.983,12.983,12.916,12.926,236.165,2020-02-08 12:00:00
51,1581159600000,12.859,12.867,12.859,12.866,50.884,2020-02-08 11:00:00
52,1581156000000,12.913,12.913,12.893,12.893,124.37,2020-02-08 10:00:00
53,1581152400000,12.993,12.993,12.993,12.993,0.0,2020-02-08 09:00:00
54,1581148800000,12.768,13.012,12.747,12.993,951.749,2020-02-08 08:00:00
55,1581145200000,12.753,12.755,12.753,12.755,150.0,2020-02-08 07:00:00
56,1581141600000,12.666,12.755,12.649,12.649,1679.47,2020-02-08 06:00:00
57,1581138000000,12.51,12.699,12.51,12.652,182.719,2020-02-08 05:00:00
58,1581134400000,12.442,12.562,12.442,12.562,209.515,2020-02-08 04:00:00
59,1581130800000,12.309,12.419,12.136,12.419,1857.097,2020-02-08 03:00:00
60,1581127200000,12.439,12.439,12.427,12.427,31.382,2020-02-08 02:00:00
61,1581123600000,12.653,12.673,12.6,12.673,813.979,2020-02-08 01:00:00
62,1581120000000,12.822,12.822,12.729,12.729,281.885,2020-02-08 00:00:00
63,1581116400000,12.816,12.843,12.756,12.791,936.834,2020-02-07 23:00:00
64,1581112800000,12.756,12.814,12.693,12.814,1676.286,2020-02-07 22:00:00
65,1581109200000,12.696,12.726,12.696,12.726,547.209,2020-02-07 21:00:00
66,1581105600000,12.863,12.863,12.741,12.747,589.666,2020-02-07 20:00:00
67,1581102000000,12.832,12.87,12.832,12.855,378.566,2020-02-07 19:00:00
68,1581098400000,12.776,12.848,12.776,12.848,378.496,2020-02-07 18:00:00
69,1581094800000,12.753,12.828,12.753,12.82,576.214,2020-02-07 17:00:00
70,1581091200000,12.858,12.858,12.783,12.783,175.051,2020-02-07 16:00:00
71,1581087600000,12.866,12.906,12.734,12.775,717.339,2020-02-07 15:00:00
72,1581084000000,12.945,12.945,12.849,12.93,2347.885,2020-02-07 14:00:00
73,1581080400000,12.869,12.902,12.772,12.862,3067.854,2020-02-07 13:00:00
74,1581076800000,12.981,12.981,12.739,12.739,1419.648,2020-02-07 12:00:00
75,1581073200000,13.123,13.145,13.037,13.037,371.289,2020-02-07 11:00:00
76,1581069600000,13.08,13.166,13.08,13.123,678.688,2020-02-07 10:00:00
77,1581066000000,12.976,13.104,12.976,13.07,1625.76,2020-02-07 09:00:00
78,1581062400000,13.046,13.176,12.943,12.943,1722.409,2020-02-07 08:00:00
79,1581058800000,12.924,12.977,12.891,12.977,2200.894,2020-02-07 07:00:00
80,1581055200000,12.915,12.923,12.889,12.923,472.257,2020-02-07 06:00:00
81,1581051600000,12.983,13.002,12.983,13.002,27.608,2020-02-07 05:00:00
82,1581048000000,12.907,12.975,12.898,12.968,990.463,2020-02-07 04:00:00
83,1581044400000,13.092,13.124,13.042,13.093,3089.825,2020-02-07 03:00:00
84,1581040800000,13.184,13.244,13.157,13.172,1498.74,2020-02-07 02:00:00
85,1581037200000,13.125,13.133,13.109,13.112,1236.597,2020-02-07 01:00:00
86,1581033600000,12.93,13.057,12.93,13.007,1121.127,2020-02-07 00:00:00
87,1581030000000,12.883,12.89,12.823,12.823,782.211,2020-02-06 23:00:00
88,1581026400000,12.805,12.805,12.805,12.805,1.064,2020-02-06 22:00:00
89,1581022800000,12.89,12.89,12.89,12.89,7.796,2020-02-06 21:00:00
90,1581019200000,12.893,12.893,12.874,12.89,164.385,2020-02-06 20:00:00
91,1581015600000,12.905,12.905,12.896,12.896,73.079,2020-02-06 19:00:00
92,1581012000000,12.865,12.865,12.793,12.812,1337.098,2020-02-06 18:00:00
93,1581008400000,12.921,12.99,12.907,12.972,138.796,2020-02-06 17:00:00
94,1581004800000,13.031,13.031,12.886,12.886,64.441,2020-02-06 16:00:00
