,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,13.5,13.591,13.5,13.578,173.653,2020-02-10 15:00:00
1,1581343200000,13.35,13.497,13.35,13.497,582.09,2020-02-10 14:00:00
2,1581339600000,13.402,13.501,13.353,13.353,394.141,2020-02-10 13:00:00
3,1581336000000,13.216,13.216,13.216,13.216,2.0,2020-02-10 12:00:00
4,1581332400000,13.34,13.34,13.193,13.311,472.535,2020-02-10 11:00:00
5,1581328800000,13.325,13.405,13.322,13.405,368.656,2020-02-10 10:00:00
6,1581325200000,13.538,13.631,13.302,13.405,815.718,2020-02-10 09:00:00
7,1581321600000,13.862,13.862,13.538,13.538,166.119,2020-02-10 08:00:00
8,1581318000000,13.57,13.913,13.57,13.864,678.032,2020-02-10 07:00:00
9,1581314400000,13.553,13.748,13.216,13.57,291.561,2020-02-10 06:00:00
10,1581310800000,13.945,13.945,13.405,13.58,179.763,2020-02-10 05:00:00
11,1581307200000,13.856,13.856,13.706,13.843,343.006,2020-02-10 04:00:00
12,1581303600000,13.988,14.109,13.88,13.902,330.798,2020-02-10 03:00:00
13,1581300000000,13.865,14.075,13.865,14.075,452.271,2020-02-10 02:00:00
14,1581296400000,13.989,14.039,13.929,13.929,96.044,2020-02-10 01:00:00
15,1581292800000,14.15,14.262,14.121,14.121,302.97,2020-02-10 00:00:00
16,1581289200000,13.965,14.238,13.965,14.238,170.103,2020-02-09 23:00:00
17,1581285600000,13.934,13.981,13.901,13.976,25.095,2020-02-09 22:00:00
18,1581282000000,13.759,13.88,13.759,13.823,128.021,2020-02-09 21:00:00
19,1581278400000,13.881,13.885,13.696,13.82,142.164,2020-02-09 20:00:00
20,1581274800000,13.84,13.843,13.84,13.843,12.723,2020-02-09 19:00:00
21,1581271200000,13.787,13.843,13.696,13.843,159.566,2020-02-09 18:00:00
22,1581267600000,13.985,14.2,13.768,13.934,603.38,2020-02-09 17:00:00
23,1581264000000,13.399,13.913,13.399,13.913,1043.411,2020-02-09 16:00:00
24,1581260400000,13.298,13.311,13.1,13.311,490.753,2020-02-09 15:00:00
25,1581256800000,13.244,13.25,13.15,13.15,226.236,2020-02-09 14:00:00
26,1581253200000,13.297,13.402,13.122,13.216,428.275,2020-02-09 13:00:00
27,1581249600000,13.189,13.189,13.162,13.162,158.328,2020-02-09 12:00:00
28,1581246000000,13.3,13.3,13.174,13.174,66.643,2020-02-09 11:00:00
29,1581242400000,13.037,13.25,13.032,13.25,266.461,2020-02-09 10:00:00
30,1581238800000,13.216,13.25,13.027,13.114,528.738,2020-02-09 09:00:00
31,1581235200000,13.405,13.405,13.224,13.296,613.542,2020-02-09 08:00:00
32,1581231600000,13.476,13.535,13.37,13.534,224.707,2020-02-09 07:00:00
33,1581228000000,13.534,13.55,13.378,13.499,406.664,2020-02-09 06:00:00
34,1581224400000,13.04,13.595,13.04,13.533,650.361,2020-02-09 05:00:00
35,1581220800000,12.97,13.027,12.97,13.027,50.775,2020-02-09 04:00:00
36,1581217200000,12.95,12.955,12.814,12.95,303.94,2020-02-09 03:00:00
37,1581210000000,12.91,12.933,12.91,12.933,116.017,2020-02-09 01:00:00
38,1581206400000,12.768,12.911,12.768,12.844,352.223,2020-02-09 00:00:00
39,1581202800000,12.725,12.736,12.701,12.701,125.026,2020-02-08 23:00:00
40,1581199200000,12.72,12.723,12.63,12.66,230.753,2020-02-08 22:00:00
41,1581195600000,12.901,12.94,12.733,12.733,637.976,2020-02-08 21:00:00
42,1581192000000,12.897,12.9,12.897,12.9,21.922,2020-02-08 20:00:00
43,1581188400000,12.899,12.899,12.899,12.899,0.0,2020-02-08 19:00:00
