,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0001775,0.0001797,0.0001773,0.0001793,43401024.0,2020-02-10 15:00:00
1,1581343200000,0.0001757,0.0001775,0.0001755,0.0001773,70778322.0,2020-02-10 14:00:00
2,1581339600000,0.0001752,0.0001762,0.0001746,0.0001757,98328634.0,2020-02-10 13:00:00
3,1581336000000,0.0001752,0.0001752,0.0001741,0.0001752,73785832.0,2020-02-10 12:00:00
4,1581332400000,0.000176,0.0001764,0.0001742,0.0001753,109984945.0,2020-02-10 11:00:00
5,1581328800000,0.0001743,0.0001761,0.00017,0.000176,141838025.0,2020-02-10 10:00:00
6,1581325200000,0.0001757,0.0001757,0.0001725,0.0001743,150265639.0,2020-02-10 09:00:00
7,1581321600000,0.0001768,0.0001779,0.0001746,0.0001755,128029626.0,2020-02-10 08:00:00
8,1581318000000,0.0001769,0.0001775,0.0001764,0.0001773,51776504.0,2020-02-10 07:00:00
9,1581314400000,0.0001763,0.0001791,0.0001751,0.0001768,249295729.0,2020-02-10 06:00:00
10,1581310800000,0.0001795,0.0001805,0.0001761,0.0001761,129294490.0,2020-02-10 05:00:00
11,1581307200000,0.0001827,0.0001829,0.0001785,0.0001795,129872983.0,2020-02-10 04:00:00
12,1581303600000,0.0001846,0.0001849,0.0001823,0.0001823,40906645.0,2020-02-10 03:00:00
13,1581300000000,0.0001852,0.0001852,0.0001842,0.0001846,22847178.0,2020-02-10 02:00:00
14,1581296400000,0.0001849,0.0001851,0.000184,0.0001851,20496723.0,2020-02-10 01:00:00
15,1581292800000,0.0001844,0.000186,0.0001837,0.0001849,41585844.0,2020-02-10 00:00:00
16,1581289200000,0.0001853,0.0001855,0.0001838,0.0001844,20545608.0,2020-02-09 23:00:00
17,1581285600000,0.0001843,0.0001856,0.0001842,0.0001853,23904000.0,2020-02-09 22:00:00
18,1581282000000,0.0001843,0.0001847,0.0001838,0.0001838,11171985.0,2020-02-09 21:00:00
19,1581278400000,0.0001852,0.0001857,0.000183,0.0001844,62755630.0,2020-02-09 20:00:00
20,1581274800000,0.000185,0.0001856,0.0001841,0.0001852,32510366.0,2020-02-09 19:00:00
21,1581271200000,0.0001863,0.0001867,0.000184,0.000185,70234593.0,2020-02-09 18:00:00
22,1581267600000,0.0001892,0.0001904,0.000184,0.000186,190587624.0,2020-02-09 17:00:00
23,1581264000000,0.0001884,0.0001903,0.0001876,0.000189,83439794.0,2020-02-09 16:00:00
24,1581260400000,0.0001895,0.0001909,0.0001881,0.0001884,78828873.0,2020-02-09 15:00:00
25,1581256800000,0.0001874,0.0001913,0.0001868,0.000189,114213579.0,2020-02-09 14:00:00
26,1581253200000,0.0001944,0.0001944,0.0001863,0.0001872,228902347.0,2020-02-09 13:00:00
27,1581249600000,0.000185,0.0001956,0.000185,0.0001946,276329893.0,2020-02-09 12:00:00
28,1581246000000,0.0001852,0.0001859,0.0001846,0.000185,49279858.0,2020-02-09 11:00:00
29,1581242400000,0.0001824,0.0001855,0.0001823,0.0001855,61876106.0,2020-02-09 10:00:00
30,1581238800000,0.0001858,0.0001879,0.0001824,0.0001826,135030356.0,2020-02-09 09:00:00
31,1581235200000,0.000185,0.0001869,0.0001848,0.0001861,42464742.0,2020-02-09 08:00:00
32,1581231600000,0.0001808,0.0001858,0.0001808,0.000185,36142840.0,2020-02-09 07:00:00
33,1581228000000,0.0001821,0.0001831,0.0001805,0.000181,58921935.0,2020-02-09 06:00:00
34,1581224400000,0.0001808,0.0001822,0.00018,0.0001816,19949869.0,2020-02-09 05:00:00
35,1581220800000,0.0001793,0.0001815,0.0001793,0.0001813,36265840.0,2020-02-09 04:00:00
36,1581217200000,0.0001791,0.0001799,0.0001774,0.0001797,79243928.0,2020-02-09 03:00:00
37,1581210000000,0.0001781,0.0001793,0.000178,0.0001791,62056525.0,2020-02-09 01:00:00
38,1581206400000,0.0001792,0.0001793,0.0001775,0.000178,87213691.0,2020-02-09 00:00:00
39,1581202800000,0.0001791,0.0001793,0.0001786,0.0001786,26888988.0,2020-02-08 23:00:00
40,1581199200000,0.0001804,0.0001804,0.0001787,0.0001791,69961701.0,2020-02-08 22:00:00
41,1581195600000,0.000181,0.000181,0.0001799,0.0001805,15488129.0,2020-02-08 21:00:00
42,1581192000000,0.0001809,0.0001822,0.0001805,0.000181,58586397.0,2020-02-08 20:00:00
43,1581188400000,0.0001823,0.0001823,0.0001798,0.000181,84335741.0,2020-02-08 19:00:00
44,1581184800000,0.0001815,0.0001833,0.0001805,0.0001823,127848166.0,2020-02-08 18:00:00
45,1581181200000,0.0001817,0.0001829,0.0001814,0.0001814,78934505.0,2020-02-08 17:00:00
46,1581177600000,0.0001902,0.0001902,0.0001798,0.0001817,473418172.0,2020-02-08 16:00:00
47,1581174000000,0.0001786,0.0001912,0.0001777,0.0001902,567034879.0,2020-02-08 15:00:00
48,1581170400000,0.0001771,0.0001787,0.000174,0.0001787,129706855.0,2020-02-08 14:00:00
49,1581166800000,0.0001769,0.0001784,0.0001735,0.0001773,203226850.0,2020-02-08 13:00:00
50,1581163200000,0.000178,0.0001785,0.0001762,0.0001769,153646129.0,2020-02-08 12:00:00
51,1581159600000,0.0001773,0.0001779,0.0001743,0.0001779,105427558.0,2020-02-08 11:00:00
52,1581156000000,0.0001764,0.0001773,0.000176,0.0001773,26390134.0,2020-02-08 10:00:00
53,1581152400000,0.0001764,0.0001771,0.0001753,0.0001763,22205776.0,2020-02-08 09:00:00
54,1581148800000,0.0001741,0.0001772,0.000174,0.0001772,56286625.0,2020-02-08 08:00:00
55,1581145200000,0.0001745,0.0001759,0.0001736,0.0001742,79617894.0,2020-02-08 07:00:00
56,1581141600000,0.0001735,0.0001749,0.0001735,0.0001749,156854636.0,2020-02-08 06:00:00
57,1581138000000,0.0001722,0.0001735,0.0001713,0.0001735,67366836.0,2020-02-08 05:00:00
58,1581134400000,0.00017,0.0001742,0.0001696,0.0001725,73414044.0,2020-02-08 04:00:00
59,1581130800000,0.0001714,0.0001721,0.0001683,0.00017,123029439.0,2020-02-08 03:00:00
60,1581127200000,0.000175,0.0001755,0.0001715,0.0001715,101687594.0,2020-02-08 02:00:00
61,1581123600000,0.0001788,0.0001788,0.0001748,0.0001748,79811939.0,2020-02-08 01:00:00
62,1581120000000,0.0001831,0.0001841,0.0001783,0.0001791,105867196.0,2020-02-08 00:00:00
63,1581116400000,0.0001818,0.0001835,0.0001814,0.0001832,13804352.0,2020-02-07 23:00:00
64,1581112800000,0.0001818,0.0001827,0.0001806,0.000182,87194052.0,2020-02-07 22:00:00
65,1581109200000,0.0001818,0.0001859,0.0001801,0.0001818,300966895.0,2020-02-07 21:00:00
