,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.01409,0.01409,0.01398,0.01403,190.5,2020-02-10 15:00:00
1,1581343200000,0.01399,0.01412,0.01393,0.01412,268.7,2020-02-10 14:00:00
2,1581339600000,0.0139,0.01396,0.01379,0.01396,977.0,2020-02-10 13:00:00
3,1581336000000,0.01401,0.01402,0.01386,0.01395,443.4,2020-02-10 12:00:00
4,1581332400000,0.01395,0.01418,0.01395,0.01413,857.2,2020-02-10 11:00:00
5,1581328800000,0.01418,0.01428,0.01398,0.014,562.0,2020-02-10 10:00:00
6,1581325200000,0.01399,0.01428,0.01387,0.01403,880.4,2020-02-10 09:00:00
7,1581321600000,0.01424,0.01424,0.01367,0.01399,3147.7,2020-02-10 08:00:00
8,1581318000000,0.01434,0.01434,0.01413,0.01428,1529.1,2020-02-10 07:00:00
9,1581314400000,0.015,0.01502,0.01424,0.0144,2959.8,2020-02-10 06:00:00
10,1581310800000,0.01505,0.01509,0.01485,0.01489,3687.0,2020-02-10 05:00:00
11,1581307200000,0.01508,0.0151,0.01508,0.0151,30.5,2020-02-10 04:00:00
12,1581303600000,0.01506,0.01513,0.01505,0.01509,1172.5,2020-02-10 03:00:00
13,1581300000000,0.01506,0.01525,0.01506,0.01512,516.7,2020-02-10 02:00:00
14,1581296400000,0.01492,0.01508,0.01492,0.01497,134.5,2020-02-10 01:00:00
15,1581292800000,0.01485,0.01496,0.01482,0.0149,922.7,2020-02-10 00:00:00
16,1581289200000,0.01505,0.01505,0.01487,0.01487,336.0,2020-02-09 23:00:00
17,1581285600000,0.01514,0.01516,0.015,0.015,760.0,2020-02-09 22:00:00
18,1581282000000,0.01502,0.01502,0.01496,0.01496,733.5,2020-02-09 21:00:00
19,1581278400000,0.01526,0.01526,0.01526,0.01526,7.6,2020-02-09 20:00:00
20,1581274800000,0.0152,0.01534,0.01503,0.0152,277.0,2020-02-09 19:00:00
21,1581271200000,0.01509,0.01526,0.01509,0.01526,1136.7,2020-02-09 18:00:00
22,1581267600000,0.01494,0.01519,0.01466,0.01519,2980.6,2020-02-09 17:00:00
23,1581264000000,0.01538,0.01538,0.01492,0.015,2192.6,2020-02-09 16:00:00
24,1581260400000,0.01563,0.01563,0.01529,0.01532,1305.0,2020-02-09 15:00:00
25,1581256800000,0.01578,0.01578,0.0156,0.0156,599.2,2020-02-09 14:00:00
26,1581253200000,0.01594,0.01601,0.01574,0.01574,282.0,2020-02-09 13:00:00
27,1581249600000,0.01592,0.01592,0.0158,0.01582,961.5,2020-02-09 12:00:00
28,1581246000000,0.01603,0.01616,0.01602,0.01609,1353.6,2020-02-09 11:00:00
29,1581242400000,0.01612,0.01612,0.01591,0.01606,1100.4,2020-02-09 10:00:00
30,1581238800000,0.01644,0.01667,0.01612,0.01612,5890.9,2020-02-09 09:00:00
31,1581235200000,0.01557,0.01644,0.01557,0.01621,17567.7,2020-02-09 08:00:00
32,1581231600000,0.01492,0.01555,0.01482,0.01555,6357.3,2020-02-09 07:00:00
33,1581228000000,0.01466,0.01479,0.01466,0.01479,15217.6,2020-02-09 06:00:00
34,1581224400000,0.01468,0.01474,0.01452,0.01466,1357.2,2020-02-09 05:00:00
35,1581220800000,0.01473,0.01495,0.01458,0.01473,899.6,2020-02-09 04:00:00
36,1581217200000,0.01554,0.01554,0.01477,0.01477,4767.0,2020-02-09 03:00:00
37,1581210000000,0.01571,0.01573,0.01545,0.01558,2378.2,2020-02-09 01:00:00
38,1581206400000,0.01587,0.01587,0.01571,0.01571,414.0,2020-02-09 00:00:00
39,1581202800000,0.01593,0.01593,0.01587,0.01587,103.6,2020-02-08 23:00:00
40,1581199200000,0.01595,0.01616,0.0159,0.0159,280.4,2020-02-08 22:00:00
41,1581195600000,0.01598,0.01616,0.01595,0.01616,47.2,2020-02-08 21:00:00
42,1581192000000,0.01605,0.01605,0.01598,0.01598,58.0,2020-02-08 20:00:00
43,1581188400000,0.016,0.016,0.01597,0.01597,74.2,2020-02-08 19:00:00
44,1581184800000,0.01612,0.01612,0.01597,0.01597,542.8,2020-02-08 18:00:00
45,1581181200000,0.01602,0.01612,0.01602,0.01612,245.8,2020-02-08 17:00:00
46,1581177600000,0.01604,0.01605,0.01602,0.01605,69.6,2020-02-08 16:00:00
47,1581174000000,0.01599,0.01612,0.01599,0.01612,698.2,2020-02-08 15:00:00
48,1581170400000,0.01581,0.01587,0.01561,0.01587,1859.8,2020-02-08 14:00:00
49,1581166800000,0.01581,0.01581,0.01576,0.01576,232.8,2020-02-08 13:00:00
50,1581163200000,0.01586,0.01587,0.0157,0.01578,349.9,2020-02-08 12:00:00
51,1581159600000,0.01568,0.01586,0.01568,0.01586,524.7,2020-02-08 11:00:00
52,1581156000000,0.01568,0.01568,0.01568,0.01568,235.0,2020-02-08 10:00:00
53,1581152400000,0.01554,0.01561,0.01544,0.01561,184.2,2020-02-08 09:00:00
54,1581148800000,0.01561,0.01561,0.01549,0.01549,10652.1,2020-02-08 08:00:00
55,1581145200000,0.01553,0.01558,0.01553,0.01553,201.6,2020-02-08 07:00:00
56,1581141600000,0.01535,0.01546,0.01535,0.01543,160.7,2020-02-08 06:00:00
57,1581138000000,0.01552,0.01552,0.0154,0.0154,1089.9,2020-02-08 05:00:00
58,1581134400000,0.01565,0.01567,0.01552,0.01552,752.3,2020-02-08 04:00:00
59,1581130800000,0.01591,0.01606,0.01565,0.01567,845.2,2020-02-08 03:00:00
60,1581127200000,0.01579,0.01588,0.01577,0.01588,98.4,2020-02-08 02:00:00
61,1581123600000,0.016,0.01614,0.01571,0.01573,3540.9,2020-02-08 01:00:00
62,1581120000000,0.01566,0.01594,0.01539,0.01594,5369.0,2020-02-08 00:00:00
63,1581116400000,0.0156,0.01561,0.01556,0.01561,46.4,2020-02-07 23:00:00
