,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.351,0.357,0.35,0.3519,34922.22,2020-02-10 15:00:00
1,1581343200000,0.346,0.3524,0.3458,0.3524,7921.78,2020-02-10 14:00:00
2,1581339600000,0.3463,0.3485,0.3448,0.346,11414.13,2020-02-10 13:00:00
3,1581336000000,0.344,0.3463,0.3426,0.3463,5104.92,2020-02-10 12:00:00
4,1581332400000,0.3435,0.3464,0.3426,0.3428,11108.53,2020-02-10 11:00:00
5,1581328800000,0.3431,0.3462,0.3413,0.3461,12300.34,2020-02-10 10:00:00
6,1581325200000,0.351,0.351,0.341,0.3425,38886.18,2020-02-10 09:00:00
7,1581321600000,0.354,0.354,0.3474,0.3511,11799.49,2020-02-10 08:00:00
8,1581318000000,0.3528,0.3545,0.3511,0.3536,11910.94,2020-02-10 07:00:00
9,1581314400000,0.3489,0.3573,0.3489,0.353,29379.53,2020-02-10 06:00:00
10,1581310800000,0.3595,0.3616,0.3398,0.3488,60616.39,2020-02-10 05:00:00
11,1581307200000,0.3613,0.3623,0.3569,0.3611,27725.78,2020-02-10 04:00:00
12,1581303600000,0.3634,0.3634,0.3604,0.3613,60294.64,2020-02-10 03:00:00
13,1581300000000,0.3634,0.3638,0.3612,0.3616,11015.42,2020-02-10 02:00:00
14,1581296400000,0.3609,0.366,0.36,0.365,27779.99,2020-02-10 01:00:00
15,1581292800000,0.3624,0.3625,0.3596,0.3604,10511.35,2020-02-10 00:00:00
16,1581289200000,0.3616,0.3629,0.3601,0.3609,5608.08,2020-02-09 23:00:00
17,1581285600000,0.3601,0.3617,0.3591,0.3617,6781.2,2020-02-09 22:00:00
18,1581282000000,0.359,0.3612,0.3584,0.3597,5662.41,2020-02-09 21:00:00
19,1581278400000,0.363,0.363,0.3588,0.3588,8168.14,2020-02-09 20:00:00
20,1581274800000,0.3617,0.3654,0.3609,0.3634,16705.43,2020-02-09 19:00:00
21,1581271200000,0.362,0.3633,0.3599,0.3606,5743.85,2020-02-09 18:00:00
22,1581267600000,0.3562,0.364,0.3531,0.361,28928.61,2020-02-09 17:00:00
23,1581264000000,0.3569,0.358,0.3546,0.3557,11598.13,2020-02-09 16:00:00
24,1581260400000,0.36,0.36,0.3524,0.3565,37750.17,2020-02-09 15:00:00
25,1581256800000,0.3609,0.3637,0.36,0.3601,10160.98,2020-02-09 14:00:00
26,1581253200000,0.364,0.367,0.3609,0.3609,14576.93,2020-02-09 13:00:00
27,1581249600000,0.3685,0.3685,0.3629,0.3669,31982.07,2020-02-09 12:00:00
28,1581246000000,0.3684,0.3722,0.3669,0.3685,34076.95,2020-02-09 11:00:00
29,1581242400000,0.3704,0.3718,0.3627,0.3702,61778.93,2020-02-09 10:00:00
30,1581238800000,0.3758,0.3825,0.37,0.37,188187.88,2020-02-09 09:00:00
31,1581235200000,0.3611,0.3784,0.3611,0.3759,172991.68,2020-02-09 08:00:00
32,1581231600000,0.3464,0.3623,0.3445,0.361,155448.24,2020-02-09 07:00:00
33,1581228000000,0.3451,0.3464,0.342,0.3453,4991.0,2020-02-09 06:00:00
34,1581224400000,0.3436,0.3441,0.3408,0.3417,8962.43,2020-02-09 05:00:00
35,1581220800000,0.3447,0.3454,0.3415,0.3435,10062.38,2020-02-09 04:00:00
36,1581217200000,0.3449,0.3466,0.3396,0.3447,40120.85,2020-02-09 03:00:00
37,1581210000000,0.348,0.3482,0.3436,0.3465,15434.09,2020-02-09 01:00:00
38,1581206400000,0.347,0.3482,0.347,0.3481,1370.67,2020-02-09 00:00:00
39,1581202800000,0.346,0.3482,0.3445,0.3482,5810.53,2020-02-08 23:00:00
40,1581199200000,0.3469,0.3487,0.3455,0.348,2382.99,2020-02-08 22:00:00
41,1581195600000,0.348,0.35,0.3461,0.3471,3911.99,2020-02-08 21:00:00
42,1581192000000,0.3483,0.3499,0.3467,0.3487,6058.19,2020-02-08 20:00:00
43,1581188400000,0.3486,0.3499,0.3461,0.3498,4191.48,2020-02-08 19:00:00
44,1581184800000,0.3488,0.3488,0.3451,0.3484,2544.52,2020-02-08 18:00:00
45,1581181200000,0.3499,0.35,0.3455,0.3473,4742.88,2020-02-08 17:00:00
46,1581177600000,0.3491,0.35,0.3481,0.3493,13004.98,2020-02-08 16:00:00
47,1581174000000,0.349,0.351,0.3471,0.3496,10465.35,2020-02-08 15:00:00
48,1581170400000,0.347,0.3491,0.3455,0.349,5414.27,2020-02-08 14:00:00
49,1581166800000,0.3471,0.3491,0.344,0.346,6973.85,2020-02-08 13:00:00
50,1581163200000,0.3465,0.3492,0.344,0.347,18939.82,2020-02-08 12:00:00
51,1581159600000,0.3457,0.347,0.3437,0.347,17147.03,2020-02-08 11:00:00
52,1581156000000,0.3443,0.346,0.3439,0.344,7158.27,2020-02-08 10:00:00
53,1581152400000,0.3441,0.3453,0.3412,0.3452,10554.44,2020-02-08 09:00:00
54,1581148800000,0.3382,0.3441,0.3382,0.3424,12701.28,2020-02-08 08:00:00
55,1581145200000,0.3397,0.3406,0.3368,0.3396,6229.86,2020-02-08 07:00:00
56,1581141600000,0.336,0.3396,0.3356,0.3369,12940.11,2020-02-08 06:00:00
57,1581138000000,0.3354,0.3377,0.3338,0.3376,24659.68,2020-02-08 05:00:00
58,1581134400000,0.3346,0.3354,0.333,0.3353,11954.46,2020-02-08 04:00:00
59,1581130800000,0.337,0.3396,0.3312,0.3346,38127.29,2020-02-08 03:00:00
60,1581127200000,0.34,0.34,0.3357,0.3392,15771.91,2020-02-08 02:00:00
61,1581123600000,0.3429,0.3429,0.337,0.3379,29280.82,2020-02-08 01:00:00
62,1581120000000,0.3472,0.3476,0.3427,0.3433,17165.32,2020-02-08 00:00:00
63,1581116400000,0.3431,0.3472,0.3431,0.3448,6567.1,2020-02-07 23:00:00
64,1581112800000,0.344,0.3454,0.3427,0.3431,13434.12,2020-02-07 22:00:00
65,1581109200000,0.3428,0.3448,0.3426,0.3448,7233.77,2020-02-07 21:00:00
66,1581105600000,0.3444,0.3447,0.3428,0.3429,5147.26,2020-02-07 20:00:00
67,1581102000000,0.3445,0.3449,0.3428,0.344,5608.71,2020-02-07 19:00:00
