,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,6.01e-06,6.03e-06,5.99e-06,6e-06,29005.0,2020-02-10 15:00:00
1,1581343200000,5.97e-06,6.03e-06,5.95e-06,5.99e-06,58229.0,2020-02-10 14:00:00
2,1581339600000,5.9e-06,6.03e-06,5.89e-06,5.98e-06,148036.0,2020-02-10 13:00:00
3,1581336000000,5.9e-06,5.92e-06,5.86e-06,5.88e-06,18677.0,2020-02-10 12:00:00
4,1581332400000,5.93e-06,5.94e-06,5.88e-06,5.92e-06,49599.0,2020-02-10 11:00:00
5,1581328800000,5.84e-06,5.92e-06,5.78e-06,5.92e-06,283685.0,2020-02-10 10:00:00
6,1581325200000,6e-06,6.02e-06,5.82e-06,5.84e-06,268273.0,2020-02-10 09:00:00
7,1581321600000,6.03e-06,6.05e-06,6e-06,6e-06,111748.0,2020-02-10 08:00:00
8,1581318000000,5.92e-06,6.07e-06,5.9e-06,6.07e-06,162492.0,2020-02-10 07:00:00
9,1581314400000,5.95e-06,5.97e-06,5.89e-06,5.92e-06,27468.0,2020-02-10 06:00:00
10,1581310800000,5.96e-06,5.96e-06,5.89e-06,5.95e-06,89094.0,2020-02-10 05:00:00
11,1581307200000,5.96e-06,5.98e-06,5.93e-06,5.96e-06,51450.0,2020-02-10 04:00:00
12,1581303600000,5.97e-06,5.98e-06,5.93e-06,5.93e-06,38578.0,2020-02-10 03:00:00
13,1581300000000,5.95e-06,5.97e-06,5.91e-06,5.97e-06,61891.0,2020-02-10 02:00:00
14,1581296400000,5.92e-06,5.95e-06,5.89e-06,5.95e-06,94603.0,2020-02-10 01:00:00
15,1581292800000,5.91e-06,5.95e-06,5.88e-06,5.92e-06,5633.0,2020-02-10 00:00:00
16,1581289200000,5.88e-06,5.92e-06,5.88e-06,5.89e-06,28631.0,2020-02-09 23:00:00
17,1581285600000,5.88e-06,5.89e-06,5.82e-06,5.88e-06,29054.0,2020-02-09 22:00:00
18,1581282000000,5.86e-06,5.91e-06,5.81e-06,5.88e-06,50459.0,2020-02-09 21:00:00
19,1581278400000,5.94e-06,5.94e-06,5.86e-06,5.86e-06,45995.0,2020-02-09 20:00:00
20,1581274800000,5.91e-06,5.94e-06,5.88e-06,5.94e-06,139228.0,2020-02-09 19:00:00
21,1581271200000,5.93e-06,5.93e-06,5.88e-06,5.89e-06,67085.0,2020-02-09 18:00:00
22,1581267600000,5.89e-06,5.93e-06,5.86e-06,5.92e-06,44512.0,2020-02-09 17:00:00
23,1581264000000,5.81e-06,5.92e-06,5.81e-06,5.89e-06,193644.0,2020-02-09 16:00:00
24,1581260400000,5.83e-06,5.9e-06,5.8e-06,5.81e-06,103530.0,2020-02-09 15:00:00
