,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00629,0.0063,0.00615,0.00626,5424079.2,2020-02-10 15:00:00
1,1581343200000,0.00617,0.0063,0.00613,0.00627,3988724.3,2020-02-10 14:00:00
2,1581339600000,0.00608,0.00621,0.00605,0.00617,6227934.2,2020-02-10 13:00:00
3,1581336000000,0.006,0.00609,0.00591,0.00609,2808123.8,2020-02-10 12:00:00
4,1581332400000,0.00604,0.00604,0.00596,0.006,2389551.1,2020-02-10 11:00:00
5,1581328800000,0.006,0.00604,0.006,0.00602,4409989.3,2020-02-10 10:00:00
6,1581325200000,0.00613,0.00613,0.00595,0.00599,7514979.0,2020-02-10 09:00:00
7,1581321600000,0.00617,0.00619,0.00612,0.00613,1789350.2,2020-02-10 08:00:00
8,1581318000000,0.0061,0.00621,0.0061,0.00617,6352657.9,2020-02-10 07:00:00
9,1581314400000,0.00615,0.0062,0.006,0.0061,18039039.5,2020-02-10 06:00:00
10,1581310800000,0.00626,0.00628,0.00615,0.0062,3121535.1,2020-02-10 05:00:00
11,1581307200000,0.00628,0.0063,0.00621,0.0063,1021259.1,2020-02-10 04:00:00
12,1581303600000,0.00635,0.00636,0.00622,0.00628,3023701.2,2020-02-10 03:00:00
13,1581300000000,0.00641,0.00641,0.0063,0.00635,3902198.3,2020-02-10 02:00:00
14,1581296400000,0.00637,0.00641,0.00634,0.00639,1727186.4,2020-02-10 01:00:00
15,1581292800000,0.00635,0.00638,0.00633,0.00634,2056315.7,2020-02-10 00:00:00
16,1581289200000,0.00635,0.00639,0.00634,0.00634,1810274.6,2020-02-09 23:00:00
17,1581285600000,0.00636,0.0064,0.00632,0.00636,2307479.7,2020-02-09 22:00:00
18,1581282000000,0.00641,0.00641,0.00629,0.00636,2342991.6,2020-02-09 21:00:00
19,1581278400000,0.00637,0.00642,0.00636,0.00641,1615862.0,2020-02-09 20:00:00
20,1581274800000,0.00638,0.00641,0.00637,0.00637,3396590.3,2020-02-09 19:00:00
21,1581271200000,0.00644,0.00646,0.00636,0.00642,1435473.7,2020-02-09 18:00:00
22,1581267600000,0.00639,0.00648,0.00636,0.00644,4800553.5,2020-02-09 17:00:00
23,1581264000000,0.00636,0.00647,0.00632,0.00639,4446452.3,2020-02-09 16:00:00
24,1581260400000,0.00637,0.00642,0.00621,0.00633,3634795.3,2020-02-09 15:00:00
25,1581256800000,0.00624,0.00638,0.00624,0.00636,2770521.7,2020-02-09 14:00:00
26,1581253200000,0.00633,0.00637,0.00619,0.00624,4640803.6,2020-02-09 13:00:00
27,1581249600000,0.00625,0.00639,0.00624,0.00637,4720300.2,2020-02-09 12:00:00
28,1581246000000,0.00623,0.00626,0.00622,0.00624,1705356.0,2020-02-09 11:00:00
29,1581242400000,0.00618,0.00624,0.00615,0.00623,5410010.1,2020-02-09 10:00:00
30,1581238800000,0.0062,0.00624,0.00613,0.00618,2239309.9,2020-02-09 09:00:00
31,1581235200000,0.00621,0.00626,0.00617,0.00617,2492993.1,2020-02-09 08:00:00
32,1581231600000,0.00621,0.00628,0.00616,0.00621,4606266.5,2020-02-09 07:00:00
33,1581228000000,0.00616,0.00622,0.00615,0.00621,3038621.9,2020-02-09 06:00:00
34,1581224400000,0.00614,0.00617,0.00609,0.00616,2711748.0,2020-02-09 05:00:00
35,1581220800000,0.00618,0.00618,0.00604,0.00613,4815961.0,2020-02-09 04:00:00
36,1581217200000,0.00621,0.00622,0.00608,0.00617,4406533.5,2020-02-09 03:00:00
37,1581210000000,0.00622,0.00626,0.0062,0.00625,3126520.8,2020-02-09 01:00:00
38,1581206400000,0.00623,0.00626,0.00621,0.00622,2157656.2,2020-02-09 00:00:00
39,1581202800000,0.00626,0.00628,0.00622,0.00626,697193.4,2020-02-08 23:00:00
40,1581199200000,0.00632,0.00632,0.0062,0.00626,1805270.0,2020-02-08 22:00:00
41,1581195600000,0.00633,0.00636,0.00632,0.00632,2006710.8,2020-02-08 21:00:00
42,1581192000000,0.00639,0.00641,0.00632,0.00633,606395.1,2020-02-08 20:00:00
43,1581188400000,0.00632,0.00641,0.00632,0.00639,1687476.6,2020-02-08 19:00:00
44,1581184800000,0.0064,0.0064,0.00632,0.00632,2419096.6,2020-02-08 18:00:00
45,1581181200000,0.00647,0.00648,0.00636,0.0064,3185102.4,2020-02-08 17:00:00
46,1581177600000,0.0064,0.00649,0.00639,0.00647,3008420.8,2020-02-08 16:00:00
47,1581174000000,0.00645,0.00648,0.00639,0.00639,3577494.2,2020-02-08 15:00:00
48,1581170400000,0.00637,0.00645,0.00637,0.00645,1822257.2,2020-02-08 14:00:00
49,1581166800000,0.00639,0.00641,0.00634,0.00637,5159109.6,2020-02-08 13:00:00
50,1581163200000,0.00645,0.00649,0.00638,0.0064,3439400.2,2020-02-08 12:00:00
51,1581159600000,0.00649,0.00649,0.00637,0.00645,7436748.7,2020-02-08 11:00:00
52,1581156000000,0.00651,0.00651,0.00646,0.00649,2901313.5,2020-02-08 10:00:00
53,1581152400000,0.0065,0.00654,0.0064,0.0065,2913467.9,2020-02-08 09:00:00
54,1581148800000,0.00646,0.00657,0.00641,0.00649,9832237.2,2020-02-08 08:00:00
55,1581145200000,0.00633,0.00647,0.00628,0.00646,6799403.5,2020-02-08 07:00:00
56,1581141600000,0.0063,0.00634,0.00625,0.00633,6316768.8,2020-02-08 06:00:00
57,1581138000000,0.0063,0.00633,0.00627,0.0063,1935424.5,2020-02-08 05:00:00
58,1581134400000,0.00613,0.00633,0.00613,0.00628,5728516.8,2020-02-08 04:00:00
59,1581130800000,0.00629,0.00629,0.00613,0.00614,9668326.9,2020-02-08 03:00:00
