,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.557e-05,1.58e-05,1.556e-05,1.561e-05,66359.0,2020-02-10 15:00:00
1,1581343200000,1.571e-05,1.572e-05,1.556e-05,1.556e-05,55632.0,2020-02-10 14:00:00
2,1581339600000,1.539e-05,1.571e-05,1.529e-05,1.571e-05,76463.0,2020-02-10 13:00:00
3,1581336000000,1.537e-05,1.548e-05,1.525e-05,1.539e-05,119466.0,2020-02-10 12:00:00
4,1581332400000,1.548e-05,1.549e-05,1.532e-05,1.54e-05,28852.0,2020-02-10 11:00:00
5,1581328800000,1.525e-05,1.547e-05,1.525e-05,1.547e-05,81659.0,2020-02-10 10:00:00
6,1581325200000,1.555e-05,1.61e-05,1.525e-05,1.525e-05,359785.0,2020-02-10 09:00:00
7,1581321600000,1.577e-05,1.578e-05,1.555e-05,1.555e-05,28268.0,2020-02-10 08:00:00
8,1581318000000,1.572e-05,1.579e-05,1.561e-05,1.574e-05,30969.0,2020-02-10 07:00:00
9,1581314400000,1.599e-05,1.599e-05,1.527e-05,1.573e-05,182063.0,2020-02-10 06:00:00
10,1581310800000,1.586e-05,1.597e-05,1.574e-05,1.597e-05,15432.0,2020-02-10 05:00:00
11,1581307200000,1.594e-05,1.599e-05,1.584e-05,1.586e-05,30114.0,2020-02-10 04:00:00
12,1581303600000,1.581e-05,1.595e-05,1.577e-05,1.595e-05,47712.0,2020-02-10 03:00:00
13,1581300000000,1.578e-05,1.591e-05,1.578e-05,1.581e-05,52596.0,2020-02-10 02:00:00
14,1581296400000,1.576e-05,1.59e-05,1.576e-05,1.579e-05,13093.0,2020-02-10 01:00:00
15,1581292800000,1.596e-05,1.598e-05,1.579e-05,1.586e-05,13015.0,2020-02-10 00:00:00
16,1581289200000,1.591e-05,1.601e-05,1.584e-05,1.585e-05,2151.0,2020-02-09 23:00:00
17,1581285600000,1.593e-05,1.599e-05,1.585e-05,1.591e-05,1130.0,2020-02-09 22:00:00
18,1581282000000,1.591e-05,1.597e-05,1.576e-05,1.59e-05,36989.0,2020-02-09 21:00:00
19,1581278400000,1.595e-05,1.602e-05,1.586e-05,1.59e-05,12829.0,2020-02-09 20:00:00
20,1581274800000,1.597e-05,1.603e-05,1.589e-05,1.595e-05,5886.0,2020-02-09 19:00:00
21,1581271200000,1.614e-05,1.615e-05,1.587e-05,1.597e-05,29509.0,2020-02-09 18:00:00
22,1581267600000,1.582e-05,1.622e-05,1.581e-05,1.612e-05,78699.0,2020-02-09 17:00:00
23,1581264000000,1.585e-05,1.596e-05,1.579e-05,1.582e-05,41784.0,2020-02-09 16:00:00
24,1581260400000,1.588e-05,1.601e-05,1.582e-05,1.585e-05,95162.0,2020-02-09 15:00:00
25,1581256800000,1.595e-05,1.606e-05,1.583e-05,1.588e-05,112203.0,2020-02-09 14:00:00
26,1581253200000,1.595e-05,1.668e-05,1.586e-05,1.595e-05,168888.0,2020-02-09 13:00:00
27,1581249600000,1.585e-05,1.6e-05,1.584e-05,1.6e-05,21901.0,2020-02-09 12:00:00
