,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.1548,0.1558,0.1536,0.1545,9231.03,2020-02-10 15:00:00
1,1581343200000,0.1525,0.1549,0.1525,0.1548,14707.16,2020-02-10 14:00:00
2,1581339600000,0.1513,0.155,0.1492,0.1549,78804.1,2020-02-10 13:00:00
3,1581336000000,0.1506,0.1523,0.1495,0.1504,383043.56,2020-02-10 12:00:00
4,1581332400000,0.1523,0.1523,0.1503,0.1506,108179.51,2020-02-10 11:00:00
5,1581328800000,0.1512,0.1523,0.15,0.1523,23518.44,2020-02-10 10:00:00
6,1581325200000,0.1537,0.1585,0.1488,0.1497,235554.09,2020-02-10 09:00:00
7,1581321600000,0.1572,0.1572,0.1535,0.1536,7979.72,2020-02-10 08:00:00
8,1581318000000,0.1565,0.1574,0.1554,0.1572,5293.36,2020-02-10 07:00:00
9,1581314400000,0.1565,0.158,0.1536,0.1566,194617.73,2020-02-10 06:00:00
10,1581310800000,0.1602,0.1612,0.156,0.156,16507.77,2020-02-10 05:00:00
11,1581307200000,0.1603,0.1615,0.1602,0.1605,75861.05,2020-02-10 04:00:00
12,1581303600000,0.1602,0.1616,0.1602,0.1603,72253.35,2020-02-10 03:00:00
13,1581300000000,0.1602,0.1616,0.1602,0.1604,68854.91,2020-02-10 02:00:00
14,1581296400000,0.1607,0.161,0.1602,0.1603,11624.24,2020-02-10 01:00:00
15,1581292800000,0.1621,0.1623,0.1606,0.1606,1020.25,2020-02-10 00:00:00
16,1581289200000,0.1607,0.1621,0.1603,0.1621,3595.96,2020-02-09 23:00:00
17,1581285600000,0.1609,0.1624,0.1606,0.1607,3716.48,2020-02-09 22:00:00
18,1581282000000,0.161,0.161,0.1602,0.1603,17413.63,2020-02-09 21:00:00
19,1581278400000,0.1603,0.1613,0.1602,0.161,16249.71,2020-02-09 20:00:00
20,1581274800000,0.1603,0.1621,0.1603,0.1603,5958.04,2020-02-09 19:00:00
21,1581271200000,0.1624,0.1624,0.1605,0.1605,8330.64,2020-02-09 18:00:00
22,1581267600000,0.1602,0.1628,0.1602,0.1624,15398.92,2020-02-09 17:00:00
23,1581264000000,0.1602,0.1615,0.1602,0.1602,30199.45,2020-02-09 16:00:00
24,1581260400000,0.1602,0.1605,0.1602,0.1602,98051.06,2020-02-09 15:00:00
25,1581256800000,0.1612,0.1617,0.1602,0.1603,23308.36,2020-02-09 14:00:00
