,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.03783,0.03819,0.03782,0.03805,395.0,2020-02-10 15:00:00
1,1581343200000,0.03796,0.03832,0.03739,0.03783,5455.9,2020-02-10 14:00:00
2,1581339600000,0.03845,0.0391,0.03782,0.03795,19017.4,2020-02-10 13:00:00
3,1581336000000,0.03813,0.03843,0.03729,0.03843,18969.9,2020-02-10 12:00:00
4,1581332400000,0.03702,0.03903,0.03684,0.03815,20596.8,2020-02-10 11:00:00
5,1581328800000,0.03696,0.03748,0.03675,0.03709,9332.8,2020-02-10 10:00:00
6,1581325200000,0.03513,0.03769,0.03513,0.03695,60646.9,2020-02-10 09:00:00
7,1581321600000,0.03588,0.03588,0.03408,0.03487,12933.3,2020-02-10 08:00:00
8,1581318000000,0.0357,0.03595,0.03555,0.03588,1456.1,2020-02-10 07:00:00
9,1581314400000,0.03728,0.03728,0.03541,0.03584,12059.6,2020-02-10 06:00:00
10,1581310800000,0.03767,0.03769,0.03701,0.03723,969.1,2020-02-10 05:00:00
11,1581307200000,0.03762,0.03765,0.0372,0.03755,404.0,2020-02-10 04:00:00
12,1581303600000,0.03773,0.03773,0.03735,0.03762,1560.4,2020-02-10 03:00:00
13,1581300000000,0.03753,0.03803,0.03749,0.03784,818.9,2020-02-10 02:00:00
14,1581296400000,0.03775,0.03775,0.03729,0.03753,680.1,2020-02-10 01:00:00
15,1581292800000,0.03773,0.03822,0.03755,0.03771,2313.7,2020-02-10 00:00:00
16,1581289200000,0.038,0.0381,0.03739,0.03772,1795.8,2020-02-09 23:00:00
17,1581285600000,0.03753,0.0381,0.03753,0.0381,1264.0,2020-02-09 22:00:00
18,1581282000000,0.03766,0.03786,0.03729,0.03745,2032.9,2020-02-09 21:00:00
19,1581278400000,0.03817,0.03832,0.03753,0.03766,2527.4,2020-02-09 20:00:00
20,1581274800000,0.0385,0.03857,0.03794,0.03808,1695.9,2020-02-09 19:00:00
21,1581271200000,0.03821,0.03845,0.03794,0.03845,1201.1,2020-02-09 18:00:00
22,1581267600000,0.03835,0.03855,0.0379,0.03821,2130.7,2020-02-09 17:00:00
23,1581264000000,0.03862,0.03874,0.03802,0.0385,4564.0,2020-02-09 16:00:00
24,1581260400000,0.03894,0.039,0.03845,0.03877,1750.6,2020-02-09 15:00:00
25,1581256800000,0.0391,0.03926,0.03891,0.03895,952.3,2020-02-09 14:00:00
26,1581253200000,0.03922,0.03941,0.03891,0.03901,2346.6,2020-02-09 13:00:00
27,1581249600000,0.03926,0.03951,0.03921,0.03941,4461.7,2020-02-09 12:00:00
28,1581246000000,0.03911,0.03945,0.03911,0.03925,508.1,2020-02-09 11:00:00
29,1581242400000,0.03889,0.03921,0.03889,0.03907,731.9,2020-02-09 10:00:00
30,1581238800000,0.0391,0.03934,0.03887,0.0389,2067.7,2020-02-09 09:00:00
31,1581235200000,0.0389,0.03921,0.03885,0.03921,1387.1,2020-02-09 08:00:00
32,1581231600000,0.03912,0.03913,0.03888,0.03909,238.4,2020-02-09 07:00:00
33,1581228000000,0.03939,0.03943,0.03866,0.03898,1273.7,2020-02-09 06:00:00
34,1581224400000,0.03834,0.04004,0.03834,0.03924,12408.9,2020-02-09 05:00:00
35,1581220800000,0.03754,0.03862,0.03714,0.03845,5621.4,2020-02-09 04:00:00
36,1581217200000,0.03916,0.03916,0.03749,0.03749,3818.6,2020-02-09 03:00:00
37,1581210000000,0.03882,0.03924,0.0388,0.03924,811.7,2020-02-09 01:00:00
38,1581206400000,0.03882,0.03899,0.03861,0.03882,669.2,2020-02-09 00:00:00
39,1581202800000,0.03881,0.03881,0.03869,0.03874,129.7,2020-02-08 23:00:00
40,1581199200000,0.0389,0.03908,0.03872,0.03881,261.4,2020-02-08 22:00:00
41,1581195600000,0.03908,0.03924,0.03891,0.03891,463.3,2020-02-08 21:00:00
42,1581192000000,0.03913,0.03913,0.03907,0.03907,41.4,2020-02-08 20:00:00
43,1581188400000,0.0391,0.03925,0.0391,0.03925,857.6,2020-02-08 19:00:00
44,1581184800000,0.03942,0.03962,0.039,0.03901,1530.9,2020-02-08 18:00:00
45,1581181200000,0.03909,0.03939,0.03909,0.03939,515.4,2020-02-08 17:00:00
46,1581177600000,0.03907,0.03908,0.03876,0.03908,906.4,2020-02-08 16:00:00
47,1581174000000,0.03898,0.03921,0.03884,0.03921,675.4,2020-02-08 15:00:00
48,1581170400000,0.03885,0.03904,0.03885,0.03904,39.9,2020-02-08 14:00:00
49,1581166800000,0.03884,0.03894,0.03867,0.03867,2963.0,2020-02-08 13:00:00
50,1581163200000,0.03888,0.03896,0.03888,0.03896,221.9,2020-02-08 12:00:00
51,1581159600000,0.03871,0.039,0.03865,0.039,2445.2,2020-02-08 11:00:00
52,1581156000000,0.03872,0.03883,0.03871,0.03871,39.3,2020-02-08 10:00:00
53,1581152400000,0.03866,0.03894,0.03862,0.03872,875.0,2020-02-08 09:00:00
54,1581148800000,0.03878,0.03899,0.0387,0.0387,5947.3,2020-02-08 08:00:00
55,1581145200000,0.03854,0.03888,0.03854,0.03878,1243.7,2020-02-08 07:00:00
