,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9.54e-05,9.65e-05,9.54e-05,9.65e-05,127440.26,2020-02-10 15:00:00
1,1581343200000,9.65e-05,9.65e-05,9.45e-05,9.53e-05,489751.52,2020-02-10 14:00:00
2,1581339600000,9.66e-05,9.87e-05,9.58e-05,9.65e-05,1109571.69,2020-02-10 13:00:00
3,1581336000000,9.5e-05,9.68e-05,9.39e-05,9.66e-05,946786.81,2020-02-10 12:00:00
4,1581332400000,9.26e-05,9.72e-05,9.18e-05,9.51e-05,1085848.15,2020-02-10 11:00:00
5,1581328800000,9.18e-05,9.32e-05,9.08e-05,9.27e-05,597947.98,2020-02-10 10:00:00
6,1581325200000,8.82e-05,9.35e-05,8.81e-05,9.18e-05,2259913.32,2020-02-10 09:00:00
7,1581321600000,8.91e-05,8.93e-05,8.8e-05,8.81e-05,89083.8,2020-02-10 08:00:00
8,1581318000000,8.85e-05,8.93e-05,8.84e-05,8.92e-05,47712.49,2020-02-10 07:00:00
9,1581314400000,8.85e-05,8.94e-05,8.82e-05,8.84e-05,135101.6,2020-02-10 06:00:00
10,1581310800000,8.9e-05,8.95e-05,8.74e-05,8.85e-05,251526.73,2020-02-10 05:00:00
11,1581307200000,8.92e-05,8.93e-05,8.82e-05,8.89e-05,152420.66,2020-02-10 04:00:00
12,1581303600000,8.95e-05,8.97e-05,8.85e-05,8.91e-05,54778.04,2020-02-10 03:00:00
13,1581300000000,8.95e-05,8.98e-05,8.93e-05,8.96e-05,45477.6,2020-02-10 02:00:00
14,1581296400000,8.99e-05,9.02e-05,8.9e-05,8.94e-05,65330.51,2020-02-10 01:00:00
15,1581292800000,9.05e-05,9.09e-05,8.96e-05,8.99e-05,141172.84,2020-02-10 00:00:00
16,1581289200000,8.99e-05,9.06e-05,8.93e-05,9.04e-05,87698.09,2020-02-09 23:00:00
17,1581285600000,8.92e-05,8.99e-05,8.92e-05,8.99e-05,36548.24,2020-02-09 22:00:00
18,1581282000000,8.9e-05,8.96e-05,8.89e-05,8.93e-05,60498.69,2020-02-09 21:00:00
19,1581278400000,9.03e-05,9.04e-05,8.85e-05,8.9e-05,73096.81,2020-02-09 20:00:00
20,1581274800000,9.01e-05,9.04e-05,8.97e-05,9.01e-05,52031.35,2020-02-09 19:00:00
21,1581271200000,9.02e-05,9.03e-05,8.94e-05,9.01e-05,149898.91,2020-02-09 18:00:00
22,1581267600000,9.06e-05,9.15e-05,8.98e-05,9.01e-05,297127.62,2020-02-09 17:00:00
23,1581264000000,8.92e-05,9.07e-05,8.89e-05,9.05e-05,264496.58,2020-02-09 16:00:00
24,1581260400000,8.9e-05,8.95e-05,8.78e-05,8.91e-05,280857.22,2020-02-09 15:00:00
25,1581256800000,8.86e-05,8.96e-05,8.81e-05,8.9e-05,197128.16,2020-02-09 14:00:00
26,1581253200000,8.94e-05,8.96e-05,8.84e-05,8.86e-05,139545.92,2020-02-09 13:00:00
27,1581249600000,8.93e-05,8.96e-05,8.9e-05,8.94e-05,139673.76,2020-02-09 12:00:00
28,1581246000000,8.9e-05,8.98e-05,8.88e-05,8.93e-05,193525.28,2020-02-09 11:00:00
29,1581242400000,8.86e-05,8.9e-05,8.82e-05,8.9e-05,131615.09,2020-02-09 10:00:00
30,1581238800000,8.9e-05,8.95e-05,8.84e-05,8.88e-05,154424.8,2020-02-09 09:00:00
31,1581235200000,8.93e-05,8.96e-05,8.84e-05,8.9e-05,124209.43,2020-02-09 08:00:00
32,1581231600000,9e-05,9.06e-05,8.93e-05,8.96e-05,106663.92,2020-02-09 07:00:00
33,1581228000000,9.08e-05,9.11e-05,8.93e-05,8.98e-05,318365.22,2020-02-09 06:00:00
34,1581224400000,8.89e-05,9.23e-05,8.88e-05,9.06e-05,613753.19,2020-02-09 05:00:00
35,1581220800000,8.73e-05,8.92e-05,8.63e-05,8.88e-05,285491.33,2020-02-09 04:00:00
36,1581217200000,8.73e-05,8.75e-05,8.59e-05,8.71e-05,137864.41,2020-02-09 03:00:00
37,1581210000000,8.65e-05,8.75e-05,8.63e-05,8.73e-05,74361.4,2020-02-09 01:00:00
38,1581206400000,8.54e-05,8.67e-05,8.54e-05,8.65e-05,48142.77,2020-02-09 00:00:00
39,1581202800000,8.56e-05,8.56e-05,8.52e-05,8.55e-05,18901.87,2020-02-08 23:00:00
40,1581199200000,8.51e-05,8.59e-05,8.5e-05,8.56e-05,67720.54,2020-02-08 22:00:00
41,1581195600000,8.62e-05,8.66e-05,8.5e-05,8.52e-05,85497.39,2020-02-08 21:00:00
42,1581192000000,8.61e-05,8.65e-05,8.61e-05,8.61e-05,19044.67,2020-02-08 20:00:00
43,1581188400000,8.62e-05,8.64e-05,8.6e-05,8.62e-05,27110.09,2020-02-08 19:00:00
44,1581184800000,8.63e-05,8.65e-05,8.6e-05,8.61e-05,37238.85,2020-02-08 18:00:00
45,1581181200000,8.65e-05,8.66e-05,8.58e-05,8.62e-05,65282.33,2020-02-08 17:00:00
46,1581177600000,8.65e-05,8.67e-05,8.58e-05,8.65e-05,91309.3,2020-02-08 16:00:00
47,1581174000000,8.66e-05,8.68e-05,8.62e-05,8.65e-05,76089.23,2020-02-08 15:00:00
48,1581170400000,8.64e-05,8.69e-05,8.61e-05,8.67e-05,61485.45,2020-02-08 14:00:00
