,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.004225,0.004256,0.004225,0.004255,13031.69,2020-02-10 15:00:00
1,1581343200000,0.004311,0.004311,0.004201,0.004214,26755.09,2020-02-10 14:00:00
2,1581339600000,0.004322,0.004413,0.00429,0.004313,43971.46,2020-02-10 13:00:00
3,1581336000000,0.004263,0.004325,0.004211,0.004325,34293.43,2020-02-10 12:00:00
4,1581332400000,0.00414,0.004362,0.004126,0.004266,40943.94,2020-02-10 11:00:00
5,1581328800000,0.004122,0.004148,0.004083,0.004143,13182.99,2020-02-10 10:00:00
6,1581325200000,0.003957,0.004214,0.003957,0.004123,102230.19,2020-02-10 09:00:00
7,1581321600000,0.003976,0.003976,0.003943,0.003943,3343.39,2020-02-10 08:00:00
8,1581318000000,0.003947,0.00398,0.003932,0.003971,1682.66,2020-02-10 07:00:00
9,1581314400000,0.003946,0.003973,0.003927,0.003954,10823.22,2020-02-10 06:00:00
10,1581310800000,0.003988,0.004001,0.00393,0.00393,9007.84,2020-02-10 05:00:00
11,1581307200000,0.00399,0.003998,0.003972,0.003989,3983.64,2020-02-10 04:00:00
12,1581303600000,0.003997,0.004005,0.003961,0.00399,23847.82,2020-02-10 03:00:00
13,1581300000000,0.003998,0.004008,0.003982,0.004008,3264.24,2020-02-10 02:00:00
14,1581296400000,0.004002,0.004016,0.00398,0.003993,3845.07,2020-02-10 01:00:00
15,1581292800000,0.004022,0.004047,0.003994,0.004,16721.32,2020-02-10 00:00:00
16,1581289200000,0.003987,0.004017,0.003974,0.004017,6288.42,2020-02-09 23:00:00
17,1581285600000,0.003985,0.003994,0.003978,0.003994,2862.13,2020-02-09 22:00:00
18,1581282000000,0.003993,0.004002,0.003991,0.004002,227.81,2020-02-09 21:00:00
19,1581278400000,0.00401,0.004016,0.003962,0.003987,4088.06,2020-02-09 20:00:00
20,1581274800000,0.004016,0.004021,0.003989,0.004008,2141.03,2020-02-09 19:00:00
21,1581271200000,0.004005,0.004016,0.003986,0.004016,5888.88,2020-02-09 18:00:00
22,1581267600000,0.004018,0.00405,0.004005,0.004006,21805.59,2020-02-09 17:00:00
