,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.9427,0.9427,0.9427,0.9427,0.0,2020-02-10 15:00:00
1,1581343200000,0.9388,0.9427,0.9326,0.9427,722.24,2020-02-10 14:00:00
2,1581339600000,0.9629,0.9629,0.9629,0.9629,40.0,2020-02-10 13:00:00
3,1581336000000,0.9264,0.945,0.9264,0.945,949.86,2020-02-10 12:00:00
4,1581332400000,0.9137,0.945,0.9137,0.9326,868.6,2020-02-10 11:00:00
5,1581328800000,0.8954,0.9078,0.8927,0.9078,579.72,2020-02-10 10:00:00
6,1581325200000,0.8801,0.9202,0.8801,0.9016,3668.99,2020-02-10 09:00:00
7,1581321600000,0.883,0.883,0.8768,0.8768,191.06,2020-02-10 08:00:00
8,1581318000000,0.8892,0.8892,0.8892,0.8892,95.53,2020-02-10 07:00:00
9,1581314400000,0.8768,0.8892,0.8768,0.883,382.12,2020-02-10 06:00:00
10,1581310800000,0.9016,0.9016,0.8706,0.8706,857.16,2020-02-10 05:00:00
11,1581307200000,0.8892,0.8954,0.8892,0.8954,191.06,2020-02-10 04:00:00
12,1581303600000,0.9016,0.9016,0.895,0.895,291.06,2020-02-10 03:00:00
13,1581300000000,0.9078,0.9078,0.9078,0.9078,0.0,2020-02-10 02:00:00
14,1581296400000,0.9078,0.9078,0.9078,0.9078,95.53,2020-02-10 01:00:00
15,1581292800000,0.9202,0.9202,0.914,0.914,191.06,2020-02-10 00:00:00
16,1581289200000,0.914,0.914,0.914,0.914,95.53,2020-02-09 23:00:00
17,1581285600000,0.9078,0.9078,0.9078,0.9078,95.53,2020-02-09 22:00:00
18,1581282000000,0.9015,0.9016,0.9015,0.9016,361.75,2020-02-09 21:00:00
19,1581278400000,0.9016,0.9016,0.8954,0.8954,96.16,2020-02-09 20:00:00
20,1581274800000,0.9016,0.9016,0.9016,0.9016,0.0,2020-02-09 19:00:00
21,1581271200000,0.9016,0.9016,0.9016,0.9016,94.9,2020-02-09 18:00:00
22,1581267600000,0.9201,0.9263,0.9078,0.9078,1151.0,2020-02-09 17:00:00
23,1581264000000,0.9078,0.914,0.8993,0.914,434.99,2020-02-09 16:00:00
24,1581260400000,0.8892,0.9016,0.883,0.9016,517.65,2020-02-09 15:00:00
25,1581256800000,0.9014,0.9016,0.8954,0.8954,231.06,2020-02-09 14:00:00
26,1581253200000,0.8955,0.8955,0.8954,0.8954,109.52,2020-02-09 13:00:00
27,1581249600000,0.9016,0.9016,0.9016,0.9016,0.0,2020-02-09 12:00:00
28,1581246000000,0.9078,0.9078,0.9016,0.9016,191.06,2020-02-09 11:00:00
29,1581242400000,0.9016,0.9016,0.9016,0.9016,135.55,2020-02-09 10:00:00
30,1581238800000,0.9016,0.9016,0.8954,0.8954,191.06,2020-02-09 09:00:00
31,1581235200000,0.9016,0.9016,0.8954,0.8954,191.06,2020-02-09 08:00:00
32,1581231600000,0.914,0.92,0.9073,0.9073,299.43,2020-02-09 07:00:00
33,1581228000000,0.9078,0.9078,0.9078,0.9078,95.53,2020-02-09 06:00:00
34,1581224400000,0.9,0.9264,0.9,0.914,1647.54,2020-02-09 05:00:00
35,1581220800000,0.875,0.8954,0.874,0.8954,1633.59,2020-02-09 04:00:00
36,1581217200000,0.8611,0.8768,0.8611,0.875,1321.21,2020-02-09 03:00:00
37,1581210000000,0.8582,0.8644,0.8582,0.8644,1098.53,2020-02-09 01:00:00
38,1581206400000,0.8518,0.8582,0.8518,0.8582,283.06,2020-02-09 00:00:00
39,1581202800000,0.8458,0.8458,0.8458,0.8458,0.0,2020-02-08 23:00:00
40,1581199200000,0.8458,0.8458,0.8458,0.8458,0.0,2020-02-08 22:00:00
41,1581195600000,0.8458,0.8458,0.8458,0.8458,95.53,2020-02-08 21:00:00
42,1581192000000,0.852,0.852,0.852,0.852,0.0,2020-02-08 20:00:00
43,1581188400000,0.852,0.852,0.852,0.852,0.0,2020-02-08 19:00:00
44,1581184800000,0.852,0.852,0.852,0.852,0.0,2020-02-08 18:00:00
45,1581181200000,0.852,0.852,0.852,0.852,187.0,2020-02-08 17:00:00
46,1581177600000,0.8458,0.852,0.8458,0.852,231.06,2020-02-08 16:00:00
47,1581174000000,0.852,0.852,0.852,0.852,0.0,2020-02-08 15:00:00
48,1581170400000,0.851,0.852,0.851,0.852,231.08,2020-02-08 14:00:00
49,1581166800000,0.852,0.852,0.8458,0.8458,223.14,2020-02-08 13:00:00
50,1581163200000,0.852,0.852,0.852,0.852,0.0,2020-02-08 12:00:00
51,1581159600000,0.8458,0.852,0.8458,0.852,191.06,2020-02-08 11:00:00
52,1581156000000,0.852,0.852,0.852,0.852,0.0,2020-02-08 10:00:00
53,1581152400000,0.852,0.852,0.852,0.852,95.53,2020-02-08 09:00:00
54,1581148800000,0.8458,0.8582,0.8458,0.8582,286.59,2020-02-08 08:00:00
55,1581145200000,0.8356,0.8356,0.8356,0.8356,0.0,2020-02-08 07:00:00
56,1581141600000,0.8356,0.8356,0.8356,0.8356,95.5,2020-02-08 06:00:00
57,1581138000000,0.8443,0.8443,0.8443,0.8443,0.0,2020-02-08 05:00:00
58,1581134400000,0.8443,0.8443,0.8443,0.8443,40.0,2020-02-08 04:00:00
59,1581130800000,0.8229,0.8396,0.8088,0.8396,1624.77,2020-02-08 03:00:00
60,1581127200000,0.8396,0.8396,0.8272,0.8272,655.38,2020-02-08 02:00:00
61,1581123600000,0.8458,0.852,0.8458,0.8458,326.59,2020-02-08 01:00:00
62,1581120000000,0.8582,0.8582,0.852,0.852,191.06,2020-02-08 00:00:00
63,1581116400000,0.8644,0.8644,0.8644,0.8644,95.53,2020-02-07 23:00:00
64,1581112800000,0.8582,0.8582,0.8582,0.8582,0.0,2020-02-07 22:00:00
65,1581109200000,0.8639,0.9,0.8582,0.8582,2573.18,2020-02-07 21:00:00
66,1581105600000,0.8582,0.8582,0.8582,0.8582,95.53,2020-02-07 20:00:00
67,1581102000000,0.8644,0.8644,0.8644,0.8644,0.0,2020-02-07 19:00:00
68,1581098400000,0.8644,0.8644,0.8644,0.8644,135.53,2020-02-07 18:00:00
69,1581094800000,0.8582,0.8582,0.8582,0.8582,95.53,2020-02-07 17:00:00
70,1581091200000,0.852,0.8644,0.852,0.8644,326.59,2020-02-07 16:00:00
71,1581087600000,0.8644,0.8644,0.8582,0.8643,206.54,2020-02-07 15:00:00
72,1581084000000,0.8644,0.8706,0.8644,0.8706,191.06,2020-02-07 14:00:00
73,1581080400000,0.8561,0.8582,0.8561,0.8582,135.53,2020-02-07 13:00:00
74,1581076800000,0.8582,0.8644,0.852,0.852,422.12,2020-02-07 12:00:00
75,1581073200000,0.8768,0.8768,0.8644,0.8644,976.52,2020-02-07 11:00:00
76,1581069600000,0.8706,0.8706,0.8706,0.8706,95.53,2020-02-07 10:00:00
77,1581066000000,0.8637,0.8644,0.8637,0.8644,135.53,2020-02-07 09:00:00
78,1581062400000,0.8644,0.8644,0.8582,0.8582,382.12,2020-02-07 08:00:00
79,1581058800000,0.852,0.8582,0.852,0.8582,119.62,2020-02-07 07:00:00
80,1581055200000,0.852,0.852,0.852,0.852,95.53,2020-02-07 06:00:00
81,1581051600000,0.8582,0.8582,0.8582,0.8582,95.53,2020-02-07 05:00:00
82,1581048000000,0.8582,0.8644,0.8582,0.8644,191.06,2020-02-07 04:00:00
83,1581044400000,0.8644,0.8644,0.8644,0.8644,95.53,2020-02-07 03:00:00
84,1581040800000,0.8756,0.883,0.8706,0.8706,507.63,2020-02-07 02:00:00
85,1581037200000,0.8706,0.8706,0.8706,0.8706,135.53,2020-02-07 01:00:00
86,1581033600000,0.8644,0.8644,0.8644,0.8644,135.53,2020-02-07 00:00:00
87,1581030000000,0.8582,0.8582,0.8582,0.8582,0.0,2020-02-06 23:00:00
88,1581026400000,0.8644,0.8644,0.8582,0.8582,191.06,2020-02-06 22:00:00
89,1581022800000,0.8706,0.8706,0.8706,0.8706,135.53,2020-02-06 21:00:00
90,1581019200000,0.8644,0.8644,0.8644,0.8644,0.0,2020-02-06 20:00:00
91,1581015600000,0.8564,0.8644,0.8564,0.8644,506.15,2020-02-06 19:00:00
92,1581012000000,0.852,0.852,0.852,0.852,95.53,2020-02-06 18:00:00
93,1581008400000,0.8638,0.8644,0.852,0.8582,494.46,2020-02-06 17:00:00
94,1581004800000,0.8642,0.8644,0.852,0.8582,564.83,2020-02-06 16:00:00
95,1581001200000,0.8667,0.8667,0.8582,0.8582,250.31,2020-02-06 15:00:00
96,1580997600000,0.8458,0.8644,0.8458,0.8644,549.14,2020-02-06 14:00:00
97,1580994000000,0.852,0.852,0.8379,0.8379,574.35,2020-02-06 13:00:00
98,1580990400000,0.8541,0.8541,0.8541,0.8541,0.0,2020-02-06 12:00:00
99,1580986800000,0.8541,0.8541,0.8541,0.8541,98.18,2020-02-06 11:00:00
100,1580983200000,0.8582,0.8582,0.8582,0.8582,0.0,2020-02-06 10:00:00
101,1580979600000,0.8583,0.8583,0.8582,0.8582,122.17,2020-02-06 09:00:00
102,1580976000000,0.8542,0.8686,0.8542,0.8686,746.24,2020-02-06 08:00:00
103,1580972400000,0.8582,0.8644,0.8582,0.8582,300.51,2020-02-06 07:00:00
104,1580968800000,0.8531,0.8531,0.8458,0.852,483.68,2020-02-06 06:00:00
105,1580965200000,0.86,0.86,0.86,0.86,43.46,2020-02-06 05:00:00
106,1580961600000,0.8582,0.8584,0.8582,0.8584,273.14,2020-02-06 04:00:00
107,1580958000000,0.8458,0.852,0.8458,0.852,191.06,2020-02-06 03:00:00
108,1580954400000,0.8396,0.8396,0.8396,0.8396,0.0,2020-02-06 02:00:00
109,1580950800000,0.8375,0.8396,0.8375,0.8396,355.72,2020-02-06 01:00:00
110,1580947200000,0.8396,0.8396,0.8273,0.8294,1180.07,2020-02-06 00:00:00
111,1580943600000,0.8452,0.8458,0.8452,0.8458,135.53,2020-02-05 23:00:00
112,1580940000000,0.8397,0.8397,0.8397,0.8397,0.0,2020-02-05 22:00:00
113,1580936400000,0.8366,0.8397,0.8366,0.8397,621.75,2020-02-05 21:00:00
114,1580932800000,0.8394,0.8394,0.8394,0.8394,0.0,2020-02-05 20:00:00
115,1580929200000,0.8393,0.8394,0.8393,0.8394,901.0,2020-02-05 19:00:00
116,1580925600000,0.8396,0.8396,0.8273,0.8273,206.7,2020-02-05 18:00:00
117,1580922000000,0.8334,0.8334,0.8334,0.8334,95.53,2020-02-05 17:00:00
118,1580918400000,0.8272,0.8272,0.8272,0.8272,95.53,2020-02-05 16:00:00
119,1580914800000,0.8334,0.8334,0.8334,0.8334,95.53,2020-02-05 15:00:00
120,1580911200000,0.8174,0.8272,0.8173,0.8272,124.76,2020-02-05 14:00:00
121,1580907600000,0.815,0.821,0.8148,0.821,565.45,2020-02-05 13:00:00
122,1580904000000,0.821,0.821,0.821,0.821,0.0,2020-02-05 12:00:00
123,1580900400000,0.821,0.821,0.821,0.821,95.53,2020-02-05 11:00:00
124,1580896800000,0.8334,0.8334,0.8102,0.8102,2902.39,2020-02-05 10:00:00
125,1580893200000,0.826,0.826,0.826,0.826,0.0,2020-02-05 09:00:00
126,1580889600000,0.826,0.826,0.826,0.826,30.0,2020-02-05 08:00:00
127,1580886000000,0.8271,0.8272,0.8271,0.8272,367.56,2020-02-05 07:00:00
128,1580882400000,0.8271,0.8272,0.821,0.821,583.55,2020-02-05 06:00:00
129,1580878800000,0.821,0.821,0.8158,0.8158,614.55,2020-02-05 05:00:00
130,1580875200000,0.821,0.8272,0.821,0.8272,191.06,2020-02-05 04:00:00
131,1580871600000,0.8195,0.8195,0.8195,0.8195,40.0,2020-02-05 03:00:00
132,1580868000000,0.8148,0.8148,0.8148,0.8148,0.0,2020-02-05 02:00:00
133,1580864400000,0.8188,0.821,0.8148,0.8148,231.06,2020-02-05 01:00:00
134,1580860800000,0.8148,0.8148,0.8086,0.8148,286.59,2020-02-05 00:00:00
135,1580857200000,0.8024,0.821,0.8024,0.821,836.87,2020-02-04 23:00:00
136,1580853600000,0.79,0.7962,0.79,0.7962,191.06,2020-02-04 22:00:00
137,1580850000000,0.7838,0.7838,0.7838,0.7838,0.0,2020-02-04 21:00:00
138,1580846400000,0.7838,0.7838,0.7838,0.7838,95.53,2020-02-04 20:00:00
139,1580842800000,0.79,0.79,0.79,0.79,95.53,2020-02-04 19:00:00
140,1580839200000,0.7962,0.7962,0.7962,0.7962,95.53,2020-02-04 18:00:00
