,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.9423,0.96,0.9423,0.9565,387952.88,2020-02-10 15:00:00
1,1581343200000,0.9466,0.9475,0.9298,0.9423,1042183.86,2020-02-10 14:00:00
2,1581339600000,0.9518,0.9737,0.9425,0.9466,2005566.63,2020-02-10 13:00:00
3,1581336000000,0.9329,0.9523,0.9224,0.9512,1865149.75,2020-02-10 12:00:00
4,1581332400000,0.9119,0.9548,0.9022,0.9339,1831154.64,2020-02-10 11:00:00
5,1581328800000,0.9022,0.9132,0.8928,0.9117,732414.9,2020-02-10 10:00:00
6,1581325200000,0.8716,0.9209,0.8706,0.9029,3545546.05,2020-02-10 09:00:00
7,1581321600000,0.8887,0.8892,0.8693,0.8723,392365.94,2020-02-10 08:00:00
8,1581318000000,0.8815,0.8922,0.879,0.8888,235574.18,2020-02-10 07:00:00
9,1581314400000,0.8696,0.8914,0.8686,0.8818,751931.54,2020-02-10 06:00:00
10,1581310800000,0.8949,0.9026,0.8636,0.8687,662837.52,2020-02-10 05:00:00
11,1581307200000,0.8987,0.9012,0.8846,0.8949,453834.79,2020-02-10 04:00:00
12,1581303600000,0.9067,0.9072,0.8925,0.8982,340204.09,2020-02-10 03:00:00
13,1581300000000,0.9058,0.9098,0.9011,0.9071,326684.6,2020-02-10 02:00:00
14,1581296400000,0.9166,0.918,0.9024,0.9062,352195.89,2020-02-10 01:00:00
15,1581292800000,0.9184,0.9261,0.9115,0.917,459302.41,2020-02-10 00:00:00
16,1581289200000,0.9091,0.919,0.9041,0.9188,358699.64,2020-02-09 23:00:00
17,1581285600000,0.8998,0.9099,0.8998,0.9091,56673.4,2020-02-09 22:00:00
18,1581282000000,0.8949,0.9027,0.8948,0.8998,86787.03,2020-02-09 21:00:00
19,1581278400000,0.9088,0.9095,0.8885,0.8946,274570.86,2020-02-09 20:00:00
20,1581274800000,0.9081,0.9096,0.9042,0.9089,134133.67,2020-02-09 19:00:00
21,1581271200000,0.9079,0.9107,0.9009,0.9062,430966.53,2020-02-09 18:00:00
22,1581267600000,0.9153,0.9244,0.9066,0.9082,453956.17,2020-02-09 17:00:00
23,1581264000000,0.9011,0.9151,0.8968,0.9151,343814.76,2020-02-09 16:00:00
24,1581260400000,0.8969,0.9041,0.8792,0.9011,500680.63,2020-02-09 15:00:00
25,1581256800000,0.8963,0.9055,0.8891,0.8971,379890.46,2020-02-09 14:00:00
26,1581253200000,0.9049,0.9072,0.8919,0.8953,336318.26,2020-02-09 13:00:00
27,1581249600000,0.9021,0.9085,0.9015,0.904,280482.43,2020-02-09 12:00:00
28,1581246000000,0.9008,0.9091,0.8982,0.9017,289990.36,2020-02-09 11:00:00
29,1581242400000,0.893,0.902,0.8894,0.9011,272625.17,2020-02-09 10:00:00
30,1581238800000,0.8997,0.9061,0.8915,0.8934,466144.0,2020-02-09 09:00:00
31,1581235200000,0.9051,0.9065,0.8946,0.9001,311212.74,2020-02-09 08:00:00
32,1581231600000,0.9073,0.9163,0.9048,0.9054,424209.46,2020-02-09 07:00:00
33,1581228000000,0.9165,0.9193,0.903,0.9073,527330.04,2020-02-09 06:00:00
34,1581224400000,0.8965,0.9283,0.8938,0.9163,1510803.9,2020-02-09 05:00:00
35,1581220800000,0.8764,0.8996,0.8699,0.8964,528655.13,2020-02-09 04:00:00
36,1581217200000,0.8674,0.8768,0.8584,0.8767,587542.54,2020-02-09 03:00:00
37,1581210000000,0.8597,0.8683,0.8556,0.8673,241356.11,2020-02-09 01:00:00
38,1581206400000,0.8458,0.8623,0.8457,0.86,193861.75,2020-02-09 00:00:00
39,1581202800000,0.8482,0.8487,0.8447,0.8457,62234.55,2020-02-08 23:00:00
40,1581199200000,0.8443,0.8496,0.8431,0.8475,48926.29,2020-02-08 22:00:00
41,1581195600000,0.8505,0.8544,0.8435,0.8453,113457.58,2020-02-08 21:00:00
42,1581192000000,0.85,0.853,0.8489,0.8497,40346.06,2020-02-08 20:00:00
43,1581188400000,0.8476,0.8518,0.8476,0.85,22081.9,2020-02-08 19:00:00
44,1581184800000,0.8516,0.8526,0.8463,0.8476,80475.15,2020-02-08 18:00:00
45,1581181200000,0.8534,0.8535,0.8464,0.8508,154461.35,2020-02-08 17:00:00
46,1581177600000,0.8511,0.8546,0.8444,0.8535,181937.87,2020-02-08 16:00:00
47,1581174000000,0.854,0.8543,0.8472,0.8511,160247.42,2020-02-08 15:00:00
48,1581170400000,0.8469,0.8559,0.8464,0.8527,145563.83,2020-02-08 14:00:00
