,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.9998,0.9998,0.9996,0.9998,766.94,2020-02-10 15:00:00
1,1581343200000,0.9999,0.9999,0.9997,0.9998,1997.57,2020-02-10 14:00:00
2,1581339600000,0.9998,1.0,0.9996,1.0,2053.84,2020-02-10 13:00:00
3,1581336000000,0.9998,1.0,0.9997,0.9998,1106.78,2020-02-10 12:00:00
4,1581332400000,0.9994,0.9994,0.9994,0.9994,0.0,2020-02-10 11:00:00
5,1581328800000,0.9994,0.9994,0.9994,0.9994,0.0,2020-02-10 10:00:00
6,1581325200000,0.9998,1.0001,0.9993,0.9994,17592.89,2020-02-10 09:00:00
7,1581321600000,0.9997,1.0005,0.9991,0.9991,33670.57,2020-02-10 08:00:00
8,1581318000000,0.9998,1.0003,0.9993,0.9999,21015.57,2020-02-10 07:00:00
9,1581314400000,0.9996,1.0,0.9994,0.9995,20125.59,2020-02-10 06:00:00
10,1581310800000,0.9997,1.0005,0.9994,0.9996,9027.67,2020-02-10 05:00:00
11,1581307200000,1.0001,1.0001,0.9994,0.9994,2173.82,2020-02-10 04:00:00
12,1581303600000,0.9996,0.9996,0.9996,0.9996,7302.33,2020-02-10 03:00:00
13,1581300000000,0.9994,0.9994,0.9994,0.9994,141.43,2020-02-10 02:00:00
14,1581296400000,0.9995,0.9995,0.9995,0.9995,650.0,2020-02-10 01:00:00
15,1581292800000,0.9994,1.0001,0.9994,0.9998,2396.06,2020-02-10 00:00:00
16,1581289200000,0.9994,0.9994,0.9994,0.9994,0.0,2020-02-09 23:00:00
17,1581285600000,0.9994,1.0001,0.9994,0.9994,1195.14,2020-02-09 22:00:00
18,1581282000000,0.9995,0.9995,0.9994,0.9994,1505.47,2020-02-09 21:00:00
19,1581278400000,0.9996,0.9998,0.9996,0.9996,1800.0,2020-02-09 20:00:00
20,1581274800000,0.9997,0.9998,0.9997,0.9998,2947.11,2020-02-09 19:00:00
21,1581271200000,0.9996,0.9997,0.9995,0.9995,1950.0,2020-02-09 18:00:00
22,1581267600000,1.0006,1.0006,0.9997,0.9997,7064.3,2020-02-09 17:00:00
23,1581264000000,1.0006,1.0006,0.9999,1.0,2302.77,2020-02-09 16:00:00
24,1581260400000,0.9997,1.0005,0.9997,1.0005,3825.71,2020-02-09 15:00:00
25,1581256800000,0.9995,0.9997,0.9988,0.9997,8024.62,2020-02-09 14:00:00
26,1581253200000,0.9997,0.9998,0.9994,0.9995,10500.25,2020-02-09 13:00:00
27,1581249600000,0.9997,0.9997,0.9997,0.9997,565.09,2020-02-09 12:00:00
28,1581246000000,0.9995,1.0,0.9993,0.9997,15660.15,2020-02-09 11:00:00
29,1581242400000,0.9996,0.9998,0.9996,0.9998,1150.0,2020-02-09 10:00:00
30,1581238800000,0.9996,0.9999,0.9996,0.9999,2800.0,2020-02-09 09:00:00
31,1581235200000,0.9997,0.9999,0.9995,0.9997,5269.68,2020-02-09 08:00:00
32,1581231600000,1.0,1.0,0.9998,0.9998,5666.21,2020-02-09 07:00:00
33,1581228000000,1.0006,1.0006,1.0001,1.0001,4477.6,2020-02-09 06:00:00
34,1581224400000,1.0002,1.0002,1.0002,1.0002,5994.91,2020-02-09 05:00:00
35,1581220800000,0.9995,0.9995,0.9995,0.9995,650.0,2020-02-09 04:00:00
36,1581217200000,0.9996,0.9998,0.9995,0.9997,3126.5,2020-02-09 03:00:00
37,1581210000000,0.9999,0.9999,0.9987,0.9987,2813.95,2020-02-09 01:00:00
38,1581206400000,0.9999,0.9999,0.9998,0.9998,1950.0,2020-02-09 00:00:00
39,1581202800000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-08 23:00:00
40,1581199200000,1.0,1.0,0.9997,0.9997,5597.9,2020-02-08 22:00:00
41,1581195600000,1.0003,1.0008,1.0003,1.0008,4331.5,2020-02-08 21:00:00
42,1581192000000,0.9998,1.0002,0.9998,1.0002,1096.36,2020-02-08 20:00:00
43,1581188400000,1.0003,1.0003,0.9999,0.9999,5457.04,2020-02-08 19:00:00
44,1581184800000,0.9998,1.0003,0.9997,0.9999,4782.48,2020-02-08 18:00:00
45,1581181200000,0.9999,1.0,0.9998,0.9998,2556.05,2020-02-08 17:00:00
46,1581177600000,0.9999,1.0001,0.9997,1.0001,3993.08,2020-02-08 16:00:00
47,1581174000000,0.9999,0.9999,0.9998,0.9998,854.56,2020-02-08 15:00:00
48,1581170400000,1.0006,1.0006,1.0001,1.0001,674.77,2020-02-08 14:00:00
49,1581166800000,1.0004,1.0006,0.9998,0.9998,5225.19,2020-02-08 13:00:00
50,1581163200000,1.0,1.0004,0.9999,0.9999,3024.42,2020-02-08 12:00:00
51,1581159600000,0.9998,0.9998,0.9998,0.9998,71.0,2020-02-08 11:00:00
52,1581156000000,0.9997,1.0,0.9997,1.0,1600.09,2020-02-08 10:00:00
53,1581152400000,0.9999,1.0,0.9997,0.9998,4874.29,2020-02-08 09:00:00
54,1581148800000,1.0001,1.0001,0.9999,0.9999,9132.79,2020-02-08 08:00:00
55,1581145200000,1.0001,1.0005,1.0001,1.0001,4950.83,2020-02-08 07:00:00
56,1581141600000,0.9999,0.9999,0.9999,0.9999,18.37,2020-02-08 06:00:00
57,1581138000000,1.0001,1.0006,1.0001,1.0001,3365.36,2020-02-08 05:00:00
58,1581134400000,1.0003,1.0003,1.0002,1.0002,959.25,2020-02-08 04:00:00
59,1581130800000,1.0,1.0,1.0,1.0,0.0,2020-02-08 03:00:00
60,1581127200000,1.0001,1.0001,1.0,1.0,1800.0,2020-02-08 02:00:00
61,1581123600000,1.0,1.0,0.9999,0.9999,4519.83,2020-02-08 01:00:00
62,1581120000000,1.0002,1.0005,1.0001,1.0002,4124.05,2020-02-08 00:00:00
63,1581116400000,1.0003,1.0006,1.0002,1.0006,612.98,2020-02-07 23:00:00
64,1581112800000,1.0001,1.0001,1.0001,1.0001,2997.3,2020-02-07 22:00:00
65,1581109200000,0.9998,1.0002,0.9998,1.0002,1965.59,2020-02-07 21:00:00
66,1581105600000,1.0,1.0,0.9998,0.9998,4550.0,2020-02-07 20:00:00
67,1581102000000,0.9997,0.9997,0.9997,0.9997,279.63,2020-02-07 19:00:00
68,1581098400000,0.9999,0.9999,0.9997,0.9999,3600.0,2020-02-07 18:00:00
69,1581094800000,1.0003,1.0003,0.9997,0.9997,7449.91,2020-02-07 17:00:00
70,1581091200000,1.0004,1.0004,1.0003,1.0003,4088.97,2020-02-07 16:00:00
71,1581087600000,1.0004,1.0004,1.0004,1.0004,0.0,2020-02-07 15:00:00
72,1581084000000,1.0004,1.0004,1.0004,1.0004,0.0,2020-02-07 14:00:00
73,1581080400000,1.0004,1.0004,1.0004,1.0004,0.0,2020-02-07 13:00:00
74,1581076800000,0.9998,1.0004,0.9998,1.0004,2844.32,2020-02-07 12:00:00
75,1581073200000,1.0,1.0,0.9996,0.9999,23491.96,2020-02-07 11:00:00
76,1581069600000,1.0,1.0006,1.0,1.0,1326.0,2020-02-07 10:00:00
77,1581066000000,0.9996,0.9999,0.9996,0.9999,3004.19,2020-02-07 09:00:00
78,1581062400000,0.9993,0.9993,0.9992,0.9992,1128.39,2020-02-07 08:00:00
79,1581058800000,0.9999,0.9999,0.9992,0.9992,4150.57,2020-02-07 07:00:00
80,1581055200000,0.9998,0.9998,0.9998,0.9998,173.51,2020-02-07 06:00:00
81,1581051600000,1.0,1.0,0.9999,0.9999,5281.94,2020-02-07 05:00:00
82,1581048000000,0.9999,0.9999,0.9995,0.9998,8327.26,2020-02-07 04:00:00
83,1581044400000,0.9999,1.0002,0.9999,1.0002,843.76,2020-02-07 03:00:00
84,1581040800000,0.9998,1.0005,0.9998,1.0,6298.91,2020-02-07 02:00:00
85,1581037200000,0.9998,0.9999,0.9998,0.9998,3174.1,2020-02-07 01:00:00
86,1581033600000,1.0005,1.0005,1.0005,1.0005,11.97,2020-02-07 00:00:00
87,1581030000000,0.9998,0.9998,0.9998,0.9998,857.29,2020-02-06 23:00:00
88,1581026400000,0.9998,0.9998,0.9998,0.9998,224.99,2020-02-06 22:00:00
89,1581022800000,0.9999,0.9999,0.9998,0.9998,6459.73,2020-02-06 21:00:00
90,1581019200000,1.0003,1.0006,1.0,1.0,10058.21,2020-02-06 20:00:00
91,1581015600000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-06 19:00:00
92,1581012000000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-06 18:00:00
93,1581008400000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-06 17:00:00
94,1581004800000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-06 16:00:00
95,1581001200000,0.9998,0.9999,0.9997,0.9997,14447.68,2020-02-06 15:00:00
96,1580997600000,0.9991,0.9998,0.9991,0.9998,1503.15,2020-02-06 14:00:00
97,1580994000000,1.0003,1.0003,0.9991,0.9991,2893.25,2020-02-06 13:00:00
98,1580990400000,0.9995,0.9995,0.9995,0.9995,966.12,2020-02-06 12:00:00
99,1580986800000,0.9997,0.9997,0.9997,0.9997,0.0,2020-02-06 11:00:00
100,1580983200000,1.0002,1.0002,0.998,0.9997,12322.73,2020-02-06 10:00:00
101,1580979600000,0.9996,0.9996,0.9996,0.9996,29.51,2020-02-06 09:00:00
102,1580976000000,0.9998,0.9999,0.9996,0.9996,2904.89,2020-02-06 08:00:00
103,1580972400000,1.0002,1.0002,0.9999,1.0002,2483.65,2020-02-06 07:00:00
104,1580968800000,1.0,1.0002,1.0,1.0002,1225.13,2020-02-06 06:00:00
105,1580965200000,0.9997,1.0001,0.9997,0.9998,4638.42,2020-02-06 05:00:00
106,1580961600000,0.9998,0.9998,0.9996,0.9996,3846.65,2020-02-06 04:00:00
107,1580958000000,0.9997,0.9998,0.9997,0.9998,4423.38,2020-02-06 03:00:00
108,1580954400000,0.9998,1.0,0.9992,0.9992,11744.25,2020-02-06 02:00:00
109,1580950800000,0.9993,1.0,0.9993,1.0,1694.26,2020-02-06 01:00:00
110,1580947200000,0.9996,0.9999,0.9994,0.9999,10913.22,2020-02-06 00:00:00
111,1580943600000,1.0001,1.0001,0.9996,0.9996,4854.34,2020-02-05 23:00:00
112,1580940000000,1.0004,1.0005,1.0001,1.0001,3180.39,2020-02-05 22:00:00
