,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.0004,1.0006,1.0001,1.0004,144906.68,2020-02-10 15:00:00
1,1581343200000,1.0005,1.0006,1.0001,1.0004,100149.03,2020-02-10 14:00:00
2,1581339600000,1.0006,1.0009,1.0003,1.0004,180903.86,2020-02-10 13:00:00
3,1581336000000,1.001,1.0012,1.0006,1.0006,91725.66,2020-02-10 12:00:00
4,1581332400000,1.0003,1.001,1.0003,1.001,119955.63,2020-02-10 11:00:00
5,1581328800000,1.0005,1.0009,1.0003,1.0005,119841.23,2020-02-10 10:00:00
6,1581325200000,0.9986,1.0005,0.9984,1.0004,303313.42,2020-02-10 09:00:00
7,1581321600000,0.9987,0.9993,0.9984,0.9986,304975.51,2020-02-10 08:00:00
8,1581318000000,0.9996,0.9997,0.9987,0.9987,311142.25,2020-02-10 07:00:00
9,1581314400000,1.0001,1.0004,0.9995,0.9996,617767.97,2020-02-10 06:00:00
10,1581310800000,1.0,1.0001,0.9998,1.0001,456534.49,2020-02-10 05:00:00
11,1581307200000,0.9999,1.0,0.9996,1.0,203535.22,2020-02-10 04:00:00
12,1581303600000,1.0,1.0001,0.9998,0.9999,257891.71,2020-02-10 03:00:00
13,1581300000000,0.9995,1.0003,0.9992,1.0,101619.91,2020-02-10 02:00:00
14,1581296400000,0.9991,0.9995,0.9991,0.9992,33213.65,2020-02-10 01:00:00
15,1581292800000,0.9995,0.9995,0.999,0.9992,62239.06,2020-02-10 00:00:00
16,1581289200000,0.9997,1.0,0.9992,0.9993,116750.26,2020-02-09 23:00:00
17,1581285600000,1.0003,1.0004,0.9995,0.9997,64106.7,2020-02-09 22:00:00
18,1581282000000,1.0003,1.0005,1.0001,1.0002,47434.03,2020-02-09 21:00:00
19,1581278400000,0.9997,1.0006,0.9997,1.0005,82869.06,2020-02-09 20:00:00
20,1581274800000,0.9998,1.0,0.9996,0.9999,49812.56,2020-02-09 19:00:00
21,1581271200000,0.9995,0.9999,0.9992,0.9998,128061.21,2020-02-09 18:00:00
22,1581267600000,1.0,1.0002,0.9995,0.9995,75024.82,2020-02-09 17:00:00
23,1581264000000,0.9998,1.0003,0.9997,1.0002,113869.79,2020-02-09 16:00:00
24,1581260400000,0.9992,1.0,0.9989,0.9999,188132.65,2020-02-09 15:00:00
25,1581256800000,0.9992,0.9996,0.9991,0.9994,73780.42,2020-02-09 14:00:00
26,1581253200000,0.9998,0.9998,0.9989,0.9994,206871.87,2020-02-09 13:00:00
27,1581249600000,0.9999,0.9999,0.9996,0.9996,43760.68,2020-02-09 12:00:00
28,1581246000000,0.9999,0.9999,0.9994,0.9997,190692.75,2020-02-09 11:00:00
29,1581242400000,1.0,1.0002,0.9998,0.9999,322640.4,2020-02-09 10:00:00
30,1581238800000,0.9997,1.0002,0.9997,1.0,96259.29,2020-02-09 09:00:00
31,1581235200000,0.9992,0.9999,0.999,0.9997,71930.46,2020-02-09 08:00:00
32,1581231600000,0.9993,0.9995,0.999,0.9993,78741.39,2020-02-09 07:00:00
33,1581228000000,0.9997,0.9997,0.9992,0.9992,132602.8,2020-02-09 06:00:00
34,1581224400000,0.9996,0.9999,0.9993,0.9997,125936.42,2020-02-09 05:00:00
35,1581220800000,0.9995,0.9999,0.9993,0.9997,237290.76,2020-02-09 04:00:00
36,1581217200000,0.999,0.9995,0.998,0.9995,414781.77,2020-02-09 03:00:00
37,1581210000000,0.999,0.9993,0.9988,0.9988,119905.42,2020-02-09 01:00:00
38,1581206400000,0.9995,0.9998,0.9991,0.9991,126014.08,2020-02-09 00:00:00
