,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.94e-06,4.96e-06,4.86e-06,4.89e-06,2229498.0,2020-02-10 15:00:00
1,1581343200000,4.97e-06,4.99e-06,4.88e-06,4.92e-06,1949770.0,2020-02-10 14:00:00
2,1581339600000,4.89e-06,5.06e-06,4.78e-06,4.97e-06,4914588.0,2020-02-10 13:00:00
3,1581336000000,4.95e-06,5.08e-06,4.81e-06,4.89e-06,5777875.0,2020-02-10 12:00:00
4,1581332400000,4.69e-06,5.03e-06,4.68e-06,4.94e-06,12481318.0,2020-02-10 11:00:00
5,1581328800000,4.49e-06,4.74e-06,4.45e-06,4.72e-06,2707769.0,2020-02-10 10:00:00
6,1581325200000,4.49e-06,4.54e-06,4.42e-06,4.49e-06,2107913.0,2020-02-10 09:00:00
7,1581321600000,4.59e-06,4.61e-06,4.48e-06,4.5e-06,2165840.0,2020-02-10 08:00:00
8,1581318000000,4.45e-06,4.59e-06,4.45e-06,4.59e-06,1475818.0,2020-02-10 07:00:00
9,1581314400000,4.41e-06,4.47e-06,4.37e-06,4.44e-06,787118.0,2020-02-10 06:00:00
10,1581310800000,4.43e-06,4.48e-06,4.37e-06,4.41e-06,663881.0,2020-02-10 05:00:00
11,1581307200000,4.52e-06,4.52e-06,4.37e-06,4.44e-06,1659347.0,2020-02-10 04:00:00
12,1581303600000,4.55e-06,4.56e-06,4.51e-06,4.52e-06,140753.0,2020-02-10 03:00:00
13,1581300000000,4.58e-06,4.6e-06,4.5e-06,4.54e-06,860936.0,2020-02-10 02:00:00
14,1581296400000,4.61e-06,4.62e-06,4.5e-06,4.57e-06,773349.0,2020-02-10 01:00:00
15,1581292800000,4.59e-06,4.77e-06,4.52e-06,4.6e-06,2891817.0,2020-02-10 00:00:00
16,1581289200000,4.49e-06,4.64e-06,4.48e-06,4.58e-06,1304997.0,2020-02-09 23:00:00
17,1581285600000,4.58e-06,4.61e-06,4.46e-06,4.49e-06,1079118.0,2020-02-09 22:00:00
18,1581282000000,4.53e-06,4.61e-06,4.5e-06,4.56e-06,1011200.0,2020-02-09 21:00:00
19,1581278400000,4.64e-06,4.66e-06,4.45e-06,4.52e-06,1966610.0,2020-02-09 20:00:00
20,1581274800000,4.61e-06,4.66e-06,4.55e-06,4.65e-06,1938912.0,2020-02-09 19:00:00
21,1581271200000,4.82e-06,4.83e-06,4.5e-06,4.59e-06,5185527.0,2020-02-09 18:00:00
22,1581267600000,4.8e-06,4.87e-06,4.72e-06,4.8e-06,3138605.0,2020-02-09 17:00:00
23,1581264000000,4.74e-06,4.84e-06,4.57e-06,4.81e-06,3073399.0,2020-02-09 16:00:00
24,1581260400000,4.66e-06,4.8e-06,4.5e-06,4.74e-06,9701836.0,2020-02-09 15:00:00
25,1581256800000,4.3e-06,4.67e-06,4.3e-06,4.65e-06,4833763.0,2020-02-09 14:00:00
26,1581253200000,4.32e-06,4.45e-06,4.27e-06,4.3e-06,2207006.0,2020-02-09 13:00:00
27,1581249600000,4.32e-06,4.42e-06,4.24e-06,4.32e-06,2915386.0,2020-02-09 12:00:00
28,1581246000000,4.2e-06,4.35e-06,4.14e-06,4.31e-06,2985984.0,2020-02-09 11:00:00
29,1581242400000,4.21e-06,4.4e-06,4e-06,4.2e-06,6850930.0,2020-02-09 10:00:00
30,1581238800000,4.12e-06,4.25e-06,4.05e-06,4.21e-06,2859654.0,2020-02-09 09:00:00
31,1581235200000,4.06e-06,4.13e-06,4.02e-06,4.13e-06,996800.0,2020-02-09 08:00:00
32,1581231600000,4.12e-06,4.12e-06,4.01e-06,4.06e-06,843465.0,2020-02-09 07:00:00
33,1581228000000,4.13e-06,4.13e-06,4.08e-06,4.12e-06,231965.0,2020-02-09 06:00:00
34,1581224400000,4.1e-06,4.14e-06,4.09e-06,4.1e-06,433298.0,2020-02-09 05:00:00
35,1581220800000,4.02e-06,4.13e-06,3.98e-06,4.09e-06,1201461.0,2020-02-09 04:00:00
36,1581217200000,4.12e-06,4.14e-06,3.97e-06,4.01e-06,3052503.0,2020-02-09 03:00:00
37,1581210000000,4.13e-06,4.17e-06,4.09e-06,4.12e-06,1013559.0,2020-02-09 01:00:00
38,1581206400000,4.17e-06,4.18e-06,4.12e-06,4.13e-06,923647.0,2020-02-09 00:00:00
39,1581202800000,4.21e-06,4.22e-06,4.16e-06,4.19e-06,485171.0,2020-02-08 23:00:00
40,1581199200000,4.17e-06,4.25e-06,4.14e-06,4.2e-06,1330976.0,2020-02-08 22:00:00
41,1581195600000,4.25e-06,4.27e-06,4.09e-06,4.17e-06,1338318.0,2020-02-08 21:00:00
42,1581192000000,4.3e-06,4.32e-06,4.2e-06,4.25e-06,1596230.0,2020-02-08 20:00:00
43,1581188400000,4.23e-06,4.44e-06,4.22e-06,4.31e-06,4448473.0,2020-02-08 19:00:00
44,1581184800000,4.15e-06,4.25e-06,4.1e-06,4.24e-06,3030933.0,2020-02-08 18:00:00
45,1581181200000,4.12e-06,4.16e-06,4.05e-06,4.16e-06,2667094.0,2020-02-08 17:00:00
46,1581177600000,4.22e-06,4.24e-06,4.06e-06,4.11e-06,3176020.0,2020-02-08 16:00:00
47,1581174000000,4.22e-06,4.28e-06,4.14e-06,4.21e-06,2007808.0,2020-02-08 15:00:00
48,1581170400000,4.18e-06,4.3e-06,4.18e-06,4.22e-06,2584716.0,2020-02-08 14:00:00
49,1581166800000,4.19e-06,4.22e-06,4.07e-06,4.18e-06,3353558.0,2020-02-08 13:00:00
50,1581163200000,4.24e-06,4.27e-06,4.18e-06,4.18e-06,1474462.0,2020-02-08 12:00:00
51,1581159600000,4.24e-06,4.28e-06,4.17e-06,4.24e-06,2796554.0,2020-02-08 11:00:00
52,1581156000000,4.33e-06,4.33e-06,4.13e-06,4.23e-06,7241180.0,2020-02-08 10:00:00
53,1581152400000,4.42e-06,4.43e-06,4.29e-06,4.33e-06,4110962.0,2020-02-08 09:00:00
54,1581148800000,4.48e-06,4.61e-06,4.41e-06,4.42e-06,12716331.0,2020-02-08 08:00:00
55,1581145200000,4.27e-06,4.51e-06,4.25e-06,4.48e-06,5554388.0,2020-02-08 07:00:00
56,1581141600000,4.35e-06,4.36e-06,4.22e-06,4.29e-06,1968784.0,2020-02-08 06:00:00
57,1581138000000,4.39e-06,4.43e-06,4.3e-06,4.35e-06,4108344.0,2020-02-08 05:00:00
58,1581134400000,4.31e-06,4.4e-06,4.24e-06,4.39e-06,3260527.0,2020-02-08 04:00:00
59,1581130800000,4.42e-06,4.44e-06,4.23e-06,4.32e-06,4210762.0,2020-02-08 03:00:00
60,1581127200000,4.41e-06,4.47e-06,4.37e-06,4.43e-06,1865937.0,2020-02-08 02:00:00
61,1581123600000,4.57e-06,4.6e-06,4.3e-06,4.41e-06,9365283.0,2020-02-08 01:00:00
62,1581120000000,4.7e-06,4.74e-06,4.56e-06,4.56e-06,2618286.0,2020-02-08 00:00:00
63,1581116400000,4.8e-06,4.83e-06,4.66e-06,4.71e-06,4770622.0,2020-02-07 23:00:00
64,1581112800000,4.66e-06,5e-06,4.66e-06,4.79e-06,9030276.0,2020-02-07 22:00:00
65,1581109200000,4.65e-06,4.75e-06,4.57e-06,4.67e-06,5525961.0,2020-02-07 21:00:00
66,1581105600000,4.76e-06,4.79e-06,4.59e-06,4.65e-06,11727667.0,2020-02-07 20:00:00
67,1581102000000,4.91e-06,5.17e-06,4.76e-06,4.77e-06,19282965.0,2020-02-07 19:00:00
68,1581098400000,4.62e-06,5.09e-06,4.59e-06,4.9e-06,20979827.0,2020-02-07 18:00:00
69,1581094800000,4.56e-06,4.75e-06,4.49e-06,4.62e-06,7991069.0,2020-02-07 17:00:00
70,1581091200000,4.24e-06,4.84e-06,4.21e-06,4.56e-06,18584923.0,2020-02-07 16:00:00
71,1581087600000,4.22e-06,4.39e-06,4.16e-06,4.25e-06,4044331.0,2020-02-07 15:00:00
72,1581084000000,4.28e-06,4.33e-06,4.09e-06,4.22e-06,5298704.0,2020-02-07 14:00:00
73,1581080400000,4.27e-06,4.38e-06,4.16e-06,4.29e-06,5092508.0,2020-02-07 13:00:00
74,1581076800000,4.2e-06,4.46e-06,4e-06,4.26e-06,11153303.0,2020-02-07 12:00:00
75,1581073200000,4.04e-06,4.41e-06,3.99e-06,4.21e-06,16996071.0,2020-02-07 11:00:00
76,1581069600000,3.84e-06,4.12e-06,3.83e-06,4.04e-06,19837819.0,2020-02-07 10:00:00
77,1581066000000,3.67e-06,3.84e-06,3.67e-06,3.84e-06,3936411.0,2020-02-07 09:00:00
78,1581062400000,3.69e-06,3.69e-06,3.66e-06,3.67e-06,795146.0,2020-02-07 08:00:00
79,1581058800000,3.67e-06,3.69e-06,3.65e-06,3.69e-06,668207.0,2020-02-07 07:00:00
80,1581055200000,3.7e-06,3.71e-06,3.61e-06,3.67e-06,997574.0,2020-02-07 06:00:00
81,1581051600000,3.69e-06,3.76e-06,3.65e-06,3.7e-06,1505112.0,2020-02-07 05:00:00
82,1581048000000,3.61e-06,3.7e-06,3.6e-06,3.67e-06,896794.0,2020-02-07 04:00:00
83,1581044400000,3.64e-06,3.65e-06,3.61e-06,3.61e-06,880825.0,2020-02-07 03:00:00
84,1581040800000,3.69e-06,3.69e-06,3.6e-06,3.64e-06,970015.0,2020-02-07 02:00:00
85,1581037200000,3.67e-06,3.71e-06,3.65e-06,3.69e-06,691048.0,2020-02-07 01:00:00
86,1581033600000,3.72e-06,3.75e-06,3.67e-06,3.67e-06,669367.0,2020-02-07 00:00:00
87,1581030000000,3.7e-06,3.76e-06,3.66e-06,3.72e-06,1288709.0,2020-02-06 23:00:00
88,1581026400000,3.68e-06,3.72e-06,3.67e-06,3.7e-06,581225.0,2020-02-06 22:00:00
89,1581022800000,3.7e-06,3.75e-06,3.66e-06,3.68e-06,1771045.0,2020-02-06 21:00:00
90,1581019200000,3.7e-06,3.75e-06,3.65e-06,3.68e-06,4270046.0,2020-02-06 20:00:00
91,1581015600000,3.6e-06,3.71e-06,3.57e-06,3.68e-06,4470365.0,2020-02-06 19:00:00
92,1581012000000,3.62e-06,3.62e-06,3.55e-06,3.6e-06,901960.0,2020-02-06 18:00:00
93,1581008400000,3.54e-06,3.63e-06,3.54e-06,3.61e-06,2446807.0,2020-02-06 17:00:00
94,1581004800000,3.55e-06,3.65e-06,3.49e-06,3.54e-06,10218357.0,2020-02-06 16:00:00
95,1581001200000,3.44e-06,3.55e-06,3.44e-06,3.54e-06,1347274.0,2020-02-06 15:00:00
96,1580997600000,3.5e-06,3.51e-06,3.42e-06,3.44e-06,1734479.0,2020-02-06 14:00:00
97,1580994000000,3.48e-06,3.56e-06,3.43e-06,3.49e-06,2703304.0,2020-02-06 13:00:00
98,1580990400000,3.63e-06,3.63e-06,3.45e-06,3.48e-06,4857416.0,2020-02-06 12:00:00
99,1580986800000,3.47e-06,3.64e-06,3.46e-06,3.63e-06,4346057.0,2020-02-06 11:00:00
100,1580983200000,3.45e-06,3.47e-06,3.42e-06,3.47e-06,1253229.0,2020-02-06 10:00:00
101,1580979600000,3.48e-06,3.48e-06,3.44e-06,3.44e-06,1032016.0,2020-02-06 09:00:00
102,1580976000000,3.45e-06,3.48e-06,3.44e-06,3.48e-06,1169535.0,2020-02-06 08:00:00
103,1580972400000,3.44e-06,3.46e-06,3.43e-06,3.45e-06,619017.0,2020-02-06 07:00:00
104,1580968800000,3.47e-06,3.47e-06,3.44e-06,3.44e-06,171323.0,2020-02-06 06:00:00
105,1580965200000,3.45e-06,3.47e-06,3.4e-06,3.47e-06,1435023.0,2020-02-06 05:00:00
106,1580961600000,3.49e-06,3.49e-06,3.43e-06,3.44e-06,1355159.0,2020-02-06 04:00:00
107,1580958000000,3.49e-06,3.52e-06,3.47e-06,3.49e-06,513552.0,2020-02-06 03:00:00
108,1580954400000,3.47e-06,3.55e-06,3.47e-06,3.48e-06,1114520.0,2020-02-06 02:00:00
109,1580950800000,3.51e-06,3.51e-06,3.47e-06,3.47e-06,360435.0,2020-02-06 01:00:00
110,1580947200000,3.46e-06,3.53e-06,3.41e-06,3.52e-06,1090010.0,2020-02-06 00:00:00
111,1580943600000,3.49e-06,3.51e-06,3.46e-06,3.47e-06,573895.0,2020-02-05 23:00:00
112,1580940000000,3.46e-06,3.49e-06,3.36e-06,3.48e-06,2133765.0,2020-02-05 22:00:00
113,1580936400000,3.45e-06,3.49e-06,3.43e-06,3.45e-06,656688.0,2020-02-05 21:00:00
114,1580932800000,3.45e-06,3.47e-06,3.43e-06,3.45e-06,469311.0,2020-02-05 20:00:00
115,1580929200000,3.45e-06,3.48e-06,3.43e-06,3.45e-06,589822.0,2020-02-05 19:00:00
116,1580925600000,3.53e-06,3.54e-06,3.43e-06,3.45e-06,1604912.0,2020-02-05 18:00:00
117,1580922000000,3.49e-06,3.55e-06,3.47e-06,3.51e-06,1144778.0,2020-02-05 17:00:00
118,1580918400000,3.53e-06,3.54e-06,3.47e-06,3.5e-06,868292.0,2020-02-05 16:00:00
119,1580914800000,3.51e-06,3.57e-06,3.51e-06,3.53e-06,382135.0,2020-02-05 15:00:00
120,1580911200000,3.56e-06,3.57e-06,3.5e-06,3.5e-06,722850.0,2020-02-05 14:00:00
121,1580907600000,3.52e-06,3.59e-06,3.51e-06,3.57e-06,734214.0,2020-02-05 13:00:00
122,1580904000000,3.52e-06,3.57e-06,3.5e-06,3.52e-06,910173.0,2020-02-05 12:00:00
123,1580900400000,3.48e-06,3.57e-06,3.47e-06,3.52e-06,1474891.0,2020-02-05 11:00:00
124,1580896800000,3.55e-06,3.56e-06,3.46e-06,3.48e-06,2168251.0,2020-02-05 10:00:00
125,1580893200000,3.58e-06,3.58e-06,3.54e-06,3.56e-06,587037.0,2020-02-05 09:00:00
126,1580889600000,3.58e-06,3.6e-06,3.57e-06,3.59e-06,456776.0,2020-02-05 08:00:00
127,1580886000000,3.58e-06,3.61e-06,3.57e-06,3.58e-06,468270.0,2020-02-05 07:00:00
128,1580882400000,3.6e-06,3.63e-06,3.58e-06,3.58e-06,771266.0,2020-02-05 06:00:00
129,1580878800000,3.62e-06,3.64e-06,3.54e-06,3.61e-06,1470135.0,2020-02-05 05:00:00
130,1580875200000,3.65e-06,3.69e-06,3.61e-06,3.61e-06,575385.0,2020-02-05 04:00:00
131,1580871600000,3.63e-06,3.69e-06,3.62e-06,3.65e-06,2294630.0,2020-02-05 03:00:00
132,1580868000000,3.53e-06,3.64e-06,3.53e-06,3.64e-06,1199794.0,2020-02-05 02:00:00
133,1580864400000,3.56e-06,3.57e-06,3.51e-06,3.52e-06,898304.0,2020-02-05 01:00:00
134,1580860800000,3.52e-06,3.58e-06,3.52e-06,3.55e-06,1199423.0,2020-02-05 00:00:00
135,1580857200000,3.52e-06,3.55e-06,3.5e-06,3.53e-06,583003.0,2020-02-04 23:00:00
136,1580853600000,3.5e-06,3.56e-06,3.49e-06,3.52e-06,1217030.0,2020-02-04 22:00:00
137,1580850000000,3.49e-06,3.51e-06,3.48e-06,3.5e-06,452201.0,2020-02-04 21:00:00
138,1580846400000,3.51e-06,3.53e-06,3.47e-06,3.48e-06,1785170.0,2020-02-04 20:00:00
139,1580842800000,3.52e-06,3.54e-06,3.49e-06,3.52e-06,834026.0,2020-02-04 19:00:00
140,1580839200000,3.47e-06,3.52e-06,3.47e-06,3.51e-06,1083994.0,2020-02-04 18:00:00
141,1580835600000,3.53e-06,3.53e-06,3.45e-06,3.48e-06,1403943.0,2020-02-04 17:00:00
142,1580832000000,3.48e-06,3.54e-06,3.47e-06,3.52e-06,1213581.0,2020-02-04 16:00:00
143,1580828400000,3.5e-06,3.5e-06,3.43e-06,3.48e-06,2164320.0,2020-02-04 15:00:00
144,1580824800000,3.51e-06,3.54e-06,3.49e-06,3.49e-06,769338.0,2020-02-04 14:00:00
145,1580821200000,3.49e-06,3.51e-06,3.47e-06,3.51e-06,490427.0,2020-02-04 13:00:00
146,1580817600000,3.51e-06,3.51e-06,3.49e-06,3.5e-06,334869.0,2020-02-04 12:00:00
147,1580814000000,3.52e-06,3.52e-06,3.48e-06,3.51e-06,576693.0,2020-02-04 11:00:00
148,1580810400000,3.45e-06,3.52e-06,3.45e-06,3.52e-06,1201686.0,2020-02-04 10:00:00
149,1580806800000,3.53e-06,3.61e-06,3.45e-06,3.45e-06,3657482.0,2020-02-04 09:00:00
150,1580803200000,3.53e-06,3.56e-06,3.48e-06,3.54e-06,1626161.0,2020-02-04 08:00:00
151,1580799600000,3.51e-06,3.57e-06,3.49e-06,3.54e-06,2659656.0,2020-02-04 07:00:00
152,1580796000000,3.52e-06,3.57e-06,3.5e-06,3.51e-06,1091579.0,2020-02-04 06:00:00
153,1580792400000,3.54e-06,3.57e-06,3.49e-06,3.53e-06,1651526.0,2020-02-04 05:00:00
154,1580788800000,3.59e-06,3.6e-06,3.52e-06,3.53e-06,1321639.0,2020-02-04 04:00:00
155,1580785200000,3.63e-06,3.65e-06,3.57e-06,3.58e-06,1479915.0,2020-02-04 03:00:00
156,1580781600000,3.64e-06,3.65e-06,3.61e-06,3.64e-06,163582.0,2020-02-04 02:00:00
157,1580778000000,3.6e-06,3.65e-06,3.6e-06,3.64e-06,452271.0,2020-02-04 01:00:00
158,1580774400000,3.59e-06,3.64e-06,3.59e-06,3.6e-06,867083.0,2020-02-04 00:00:00
159,1580770800000,3.64e-06,3.64e-06,3.59e-06,3.59e-06,717494.0,2020-02-03 23:00:00
