,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0154,0.0155,0.0154,0.0155,163.0,2020-02-10 15:00:00
1,1581343200000,0.01515,0.0154,0.01499,0.01527,919.3,2020-02-10 14:00:00
2,1581339600000,0.01495,0.01567,0.01471,0.0152,1617.8,2020-02-10 13:00:00
3,1581336000000,0.01514,0.01519,0.01492,0.01499,730.2,2020-02-10 12:00:00
4,1581332400000,0.01519,0.0155,0.01514,0.01519,537.9,2020-02-10 11:00:00
5,1581328800000,0.01525,0.0155,0.01507,0.01516,661.1,2020-02-10 10:00:00
6,1581325200000,0.01542,0.0156,0.015,0.01525,2685.6,2020-02-10 09:00:00
7,1581321600000,0.01563,0.01563,0.01502,0.01542,1823.6,2020-02-10 08:00:00
8,1581318000000,0.01582,0.01585,0.01567,0.01583,434.2,2020-02-10 07:00:00
9,1581314400000,0.01638,0.01661,0.01576,0.01589,1791.3,2020-02-10 06:00:00
10,1581310800000,0.01645,0.01668,0.01638,0.0166,798.6,2020-02-10 05:00:00
11,1581307200000,0.01625,0.01645,0.01625,0.01645,76.9,2020-02-10 04:00:00
12,1581303600000,0.01621,0.01625,0.01613,0.01625,248.3,2020-02-10 03:00:00
13,1581300000000,0.01619,0.01683,0.01619,0.01628,1982.4,2020-02-10 02:00:00
14,1581296400000,0.01561,0.01622,0.01561,0.01619,2057.2,2020-02-10 01:00:00
15,1581292800000,0.01558,0.0157,0.01558,0.0157,51.9,2020-02-10 00:00:00
16,1581289200000,0.0155,0.01586,0.0154,0.0154,825.6,2020-02-09 23:00:00
17,1581285600000,0.01527,0.0155,0.01527,0.0155,3827.5,2020-02-09 22:00:00
18,1581282000000,0.01516,0.01516,0.01516,0.01516,12.3,2020-02-09 21:00:00
19,1581278400000,0.01516,0.01516,0.01516,0.01516,12.4,2020-02-09 20:00:00
20,1581274800000,0.01517,0.01529,0.0151,0.01529,92.8,2020-02-09 19:00:00
21,1581271200000,0.01513,0.01522,0.01513,0.01522,33.8,2020-02-09 18:00:00
22,1581267600000,0.01514,0.01515,0.01502,0.01505,2620.3,2020-02-09 17:00:00
23,1581264000000,0.01539,0.01539,0.01512,0.01518,531.1,2020-02-09 16:00:00
24,1581260400000,0.01568,0.01568,0.0154,0.01544,6433.8,2020-02-09 15:00:00
25,1581256800000,0.01561,0.01561,0.01561,0.01561,64.0,2020-02-09 14:00:00
26,1581253200000,0.01566,0.01566,0.01566,0.01566,12.0,2020-02-09 13:00:00
27,1581249600000,0.01562,0.01575,0.01561,0.01561,1060.8,2020-02-09 12:00:00
28,1581246000000,0.01549,0.01556,0.01549,0.01556,791.6,2020-02-09 11:00:00
29,1581242400000,0.01561,0.01561,0.01555,0.01555,161.8,2020-02-09 10:00:00
30,1581238800000,0.01548,0.01561,0.01548,0.01559,66.6,2020-02-09 09:00:00
31,1581235200000,0.0154,0.0155,0.0154,0.01545,2243.1,2020-02-09 08:00:00
32,1581231600000,0.01525,0.01535,0.01515,0.01529,2487.4,2020-02-09 07:00:00
33,1581228000000,0.01526,0.0154,0.01505,0.0154,2745.4,2020-02-09 06:00:00
34,1581224400000,0.01524,0.01526,0.01519,0.01526,863.9,2020-02-09 05:00:00
35,1581220800000,0.01521,0.0154,0.0151,0.01524,366.4,2020-02-09 04:00:00
36,1581217200000,0.01578,0.01578,0.01522,0.01525,1911.2,2020-02-09 03:00:00
37,1581210000000,0.01577,0.01578,0.01576,0.01578,37.6,2020-02-09 01:00:00
38,1581206400000,0.01593,0.01595,0.01577,0.01578,1005.9,2020-02-09 00:00:00
39,1581202800000,0.01596,0.01627,0.01591,0.01593,308.8,2020-02-08 23:00:00
