,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.2e-07,2.2e-07,2.1e-07,2.2e-07,27923.0,2020-02-10 15:00:00
1,1581343200000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,1968379.0,2020-02-10 14:00:00
2,1581339600000,2e-07,2.1e-07,2e-07,2.1e-07,1006205.0,2020-02-10 13:00:00
3,1581336000000,2.1e-07,2.1e-07,2e-07,2e-07,99321.0,2020-02-10 12:00:00
4,1581332400000,2.1e-07,2.2e-07,2e-07,2e-07,6662850.0,2020-02-10 11:00:00
5,1581328800000,2.1e-07,2.1e-07,2e-07,2e-07,4897557.0,2020-02-10 10:00:00
6,1581325200000,2.2e-07,2.2e-07,2e-07,2e-07,7261582.0,2020-02-10 09:00:00
7,1581321600000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,3229184.0,2020-02-10 08:00:00
8,1581318000000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,4999744.0,2020-02-10 07:00:00
9,1581314400000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,2916712.0,2020-02-10 06:00:00
10,1581310800000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,2458016.0,2020-02-10 05:00:00
11,1581307200000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,14399674.0,2020-02-10 04:00:00
12,1581303600000,2e-07,2.1e-07,2e-07,2e-07,2193831.0,2020-02-10 03:00:00
13,1581300000000,2.1e-07,2.1e-07,2e-07,2.1e-07,1830274.0,2020-02-10 02:00:00
14,1581296400000,2.1e-07,2.1e-07,2e-07,2e-07,94813.0,2020-02-10 01:00:00
15,1581292800000,2.1e-07,2.1e-07,2e-07,2e-07,11492.0,2020-02-10 00:00:00
16,1581289200000,2.1e-07,2.1e-07,2e-07,2.1e-07,148805.0,2020-02-09 23:00:00
17,1581285600000,2.1e-07,2.1e-07,2e-07,2.1e-07,534208.0,2020-02-09 22:00:00
18,1581282000000,2.1e-07,2.1e-07,2e-07,2e-07,744810.0,2020-02-09 21:00:00
19,1581278400000,2.1e-07,2.1e-07,2e-07,2.1e-07,2490686.0,2020-02-09 20:00:00
20,1581274800000,2.1e-07,2.1e-07,2e-07,2.1e-07,200050.0,2020-02-09 19:00:00
21,1581271200000,2.1e-07,2.1e-07,2e-07,2e-07,43784.0,2020-02-09 18:00:00
22,1581267600000,2.1e-07,2.1e-07,2e-07,2.1e-07,2866087.0,2020-02-09 17:00:00
23,1581264000000,2.1e-07,2.1e-07,2e-07,2.1e-07,2555536.0,2020-02-09 16:00:00
24,1581260400000,2e-07,2.1e-07,2e-07,2.1e-07,334968.0,2020-02-09 15:00:00
25,1581256800000,2e-07,2.1e-07,2e-07,2.1e-07,433921.0,2020-02-09 14:00:00
26,1581253200000,2e-07,2.1e-07,2e-07,2.1e-07,2784427.0,2020-02-09 13:00:00
27,1581249600000,2e-07,2e-07,1.9e-07,2e-07,7365012.0,2020-02-09 12:00:00
28,1581246000000,2e-07,2e-07,1.9e-07,2e-07,1881745.0,2020-02-09 11:00:00
29,1581242400000,2e-07,2e-07,1.9e-07,2e-07,1652605.0,2020-02-09 10:00:00
30,1581238800000,2.1e-07,2.1e-07,1.9e-07,2e-07,34079056.0,2020-02-09 09:00:00
31,1581235200000,2e-07,2.1e-07,2e-07,2.1e-07,6002501.0,2020-02-09 08:00:00
32,1581231600000,2.1e-07,2.1e-07,2e-07,2e-07,1196086.0,2020-02-09 07:00:00
33,1581228000000,2e-07,2.1e-07,2e-07,2.1e-07,110710.0,2020-02-09 06:00:00
34,1581224400000,2e-07,2.1e-07,2e-07,2.1e-07,1347638.0,2020-02-09 05:00:00
35,1581220800000,2.1e-07,2.1e-07,2e-07,2e-07,1149338.0,2020-02-09 04:00:00
36,1581217200000,2.1e-07,2.1e-07,2e-07,2.1e-07,567256.0,2020-02-09 03:00:00
37,1581210000000,2.1e-07,2.1e-07,2.1e-07,2.1e-07,832848.0,2020-02-09 01:00:00
38,1581206400000,2.2e-07,2.2e-07,2e-07,2.1e-07,14435978.0,2020-02-09 00:00:00
39,1581202800000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,338002.0,2020-02-08 23:00:00
40,1581199200000,2.1e-07,2.2e-07,2.1e-07,2.2e-07,771276.0,2020-02-08 22:00:00
41,1581195600000,2.1e-07,2.2e-07,2.1e-07,2.1e-07,436798.0,2020-02-08 21:00:00
42,1581192000000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,366284.0,2020-02-08 20:00:00
43,1581188400000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,232451.0,2020-02-08 19:00:00
44,1581184800000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,58423.0,2020-02-08 18:00:00
45,1581181200000,2.2e-07,2.2e-07,2.1e-07,2.1e-07,2411566.0,2020-02-08 17:00:00
46,1581177600000,2.3e-07,2.3e-07,2.1e-07,2.2e-07,2329138.0,2020-02-08 16:00:00
47,1581174000000,2.2e-07,2.3e-07,2.1e-07,2.2e-07,4239680.0,2020-02-08 15:00:00
48,1581170400000,2.3e-07,2.3e-07,2.2e-07,2.2e-07,564749.0,2020-02-08 14:00:00
49,1581166800000,2.2e-07,2.2e-07,2.1e-07,2.2e-07,4560190.0,2020-02-08 13:00:00
50,1581163200000,2.2e-07,2.3e-07,2.2e-07,2.2e-07,958223.0,2020-02-08 12:00:00
51,1581159600000,2.2e-07,2.3e-07,2.2e-07,2.3e-07,2944326.0,2020-02-08 11:00:00
52,1581156000000,2.3e-07,2.3e-07,2.2e-07,2.2e-07,394642.0,2020-02-08 10:00:00
53,1581152400000,2.3e-07,2.3e-07,2.2e-07,2.3e-07,796150.0,2020-02-08 09:00:00
54,1581148800000,2.2e-07,2.3e-07,2.2e-07,2.3e-07,1245900.0,2020-02-08 08:00:00
55,1581145200000,2.3e-07,2.3e-07,2.2e-07,2.2e-07,382649.0,2020-02-08 07:00:00
56,1581141600000,2.3e-07,2.3e-07,2.2e-07,2.2e-07,4859297.0,2020-02-08 06:00:00
57,1581138000000,2.3e-07,2.3e-07,2.2e-07,2.2e-07,247323.0,2020-02-08 05:00:00
58,1581134400000,2.2e-07,2.3e-07,2.1e-07,2.3e-07,2891485.0,2020-02-08 04:00:00
59,1581130800000,2.2e-07,2.3e-07,2.1e-07,2.2e-07,18544438.0,2020-02-08 03:00:00
60,1581127200000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,2006846.0,2020-02-08 02:00:00
61,1581123600000,2.4e-07,2.4e-07,2.2e-07,2.4e-07,5734108.0,2020-02-08 01:00:00
62,1581120000000,2.4e-07,2.4e-07,2.3e-07,2.4e-07,3119930.0,2020-02-08 00:00:00
63,1581116400000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,1894447.0,2020-02-07 23:00:00
64,1581112800000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,3038881.0,2020-02-07 22:00:00
65,1581109200000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,6608365.0,2020-02-07 21:00:00
66,1581105600000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,5828473.0,2020-02-07 20:00:00
67,1581102000000,2.3e-07,2.3e-07,2.2e-07,2.3e-07,2891599.0,2020-02-07 19:00:00
68,1581098400000,2.3e-07,2.3e-07,2.2e-07,2.3e-07,2833394.0,2020-02-07 18:00:00
69,1581094800000,2.3e-07,2.4e-07,2.2e-07,2.3e-07,21982260.0,2020-02-07 17:00:00
70,1581091200000,2.2e-07,2.4e-07,2.1e-07,2.4e-07,35654364.0,2020-02-07 16:00:00
71,1581087600000,2.1e-07,2.2e-07,2.1e-07,2.1e-07,761323.0,2020-02-07 15:00:00
72,1581084000000,2.2e-07,2.2e-07,2e-07,2.1e-07,6971778.0,2020-02-07 14:00:00
73,1581080400000,2.1e-07,2.2e-07,2.1e-07,2.1e-07,4402147.0,2020-02-07 13:00:00
74,1581076800000,2.2e-07,2.2e-07,2.1e-07,2.2e-07,2044622.0,2020-02-07 12:00:00
75,1581073200000,2.3e-07,2.3e-07,2.1e-07,2.2e-07,6522471.0,2020-02-07 11:00:00
76,1581069600000,2.2e-07,2.3e-07,2.2e-07,2.3e-07,572067.0,2020-02-07 10:00:00
77,1581066000000,2.2e-07,2.3e-07,2.1e-07,2.2e-07,11024149.0,2020-02-07 09:00:00
78,1581062400000,2.2e-07,2.2e-07,2.1e-07,2.2e-07,2507425.0,2020-02-07 08:00:00
79,1581058800000,2.2e-07,2.3e-07,2.1e-07,2.2e-07,4899641.0,2020-02-07 07:00:00
80,1581055200000,2.2e-07,2.3e-07,2.1e-07,2.2e-07,9906018.0,2020-02-07 06:00:00
81,1581051600000,2.1e-07,2.3e-07,2e-07,2.3e-07,33878148.0,2020-02-07 05:00:00
82,1581048000000,2e-07,2.1e-07,2e-07,2.1e-07,12971793.0,2020-02-07 04:00:00
83,1581044400000,2e-07,2.1e-07,2e-07,2.1e-07,3851980.0,2020-02-07 03:00:00
84,1581040800000,2.1e-07,2.1e-07,2e-07,2e-07,2484038.0,2020-02-07 02:00:00
85,1581037200000,2.1e-07,2.1e-07,2e-07,2e-07,170519.0,2020-02-07 01:00:00
86,1581033600000,2e-07,2.1e-07,2e-07,2e-07,1730576.0,2020-02-07 00:00:00
87,1581030000000,2.1e-07,2.1e-07,2e-07,2.1e-07,158425.0,2020-02-06 23:00:00
88,1581026400000,2e-07,2.1e-07,2e-07,2.1e-07,44369.0,2020-02-06 22:00:00
89,1581022800000,2.1e-07,2.1e-07,2e-07,2e-07,2693269.0,2020-02-06 21:00:00
90,1581019200000,2e-07,2.1e-07,1.9e-07,2e-07,11323545.0,2020-02-06 20:00:00
91,1581015600000,1.9e-07,2e-07,1.9e-07,2e-07,1082505.0,2020-02-06 19:00:00
92,1581012000000,2e-07,2e-07,1.9e-07,1.9e-07,4190270.0,2020-02-06 18:00:00
93,1581008400000,2e-07,2e-07,1.9e-07,2e-07,7247297.0,2020-02-06 17:00:00
94,1581004800000,1.9e-07,2e-07,1.9e-07,2e-07,219111.0,2020-02-06 16:00:00
95,1581001200000,1.9e-07,2e-07,1.9e-07,1.9e-07,205764.0,2020-02-06 15:00:00
96,1580997600000,2e-07,2e-07,1.9e-07,2e-07,6514515.0,2020-02-06 14:00:00
97,1580994000000,2e-07,2e-07,1.9e-07,1.9e-07,1205472.0,2020-02-06 13:00:00
98,1580990400000,1.9e-07,2e-07,1.9e-07,2e-07,1890861.0,2020-02-06 12:00:00
