,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9.36e-06,9.36e-06,9.36e-06,9.36e-06,14997.0,2020-02-10 15:00:00
1,1581343200000,9.38e-06,9.38e-06,9.38e-06,9.38e-06,7377.0,2020-02-10 14:00:00
2,1581339600000,9.46e-06,9.46e-06,9.34e-06,9.45e-06,126686.0,2020-02-10 13:00:00
3,1581336000000,9.47e-06,9.47e-06,9.47e-06,9.47e-06,12897.0,2020-02-10 12:00:00
4,1581332400000,9.39e-06,9.51e-06,9.34e-06,9.47e-06,450681.0,2020-02-10 11:00:00
5,1581328800000,9.39e-06,9.41e-06,9.35e-06,9.35e-06,103579.0,2020-02-10 10:00:00
6,1581325200000,9.73e-06,9.73e-06,9.18e-06,9.39e-06,1466145.0,2020-02-10 09:00:00
7,1581321600000,9.67e-06,9.83e-06,9.66e-06,9.83e-06,37447.0,2020-02-10 08:00:00
8,1581318000000,9.82e-06,9.82e-06,9.82e-06,9.82e-06,209.0,2020-02-10 07:00:00
9,1581314400000,9.66e-06,9.66e-06,9.66e-06,9.66e-06,2724.0,2020-02-10 06:00:00
10,1581310800000,9.79e-06,9.81e-06,9.66e-06,9.66e-06,20729.0,2020-02-10 05:00:00
11,1581307200000,9.14e-06,9.79e-06,9.14e-06,9.79e-06,1131218.0,2020-02-10 04:00:00
12,1581303600000,9.11e-06,9.11e-06,9.11e-06,9.11e-06,156922.0,2020-02-10 03:00:00
13,1581300000000,9.01e-06,9.01e-06,9.01e-06,9.01e-06,0.0,2020-02-10 02:00:00
14,1581296400000,9.01e-06,9.01e-06,9.01e-06,9.01e-06,0.0,2020-02-10 01:00:00
15,1581292800000,9.11e-06,9.11e-06,9.01e-06,9.01e-06,83841.0,2020-02-10 00:00:00
16,1581289200000,9.11e-06,9.11e-06,9.11e-06,9.11e-06,93653.0,2020-02-09 23:00:00
17,1581285600000,9.04e-06,9.07e-06,8.95e-06,9.07e-06,579879.0,2020-02-09 22:00:00
18,1581282000000,9.14e-06,9.14e-06,9.14e-06,9.14e-06,0.0,2020-02-09 21:00:00
19,1581278400000,9.03e-06,9.14e-06,9.03e-06,9.14e-06,24178.0,2020-02-09 20:00:00
20,1581274800000,9.07e-06,9.07e-06,9.07e-06,9.07e-06,0.0,2020-02-09 19:00:00
21,1581271200000,9.07e-06,9.07e-06,9.07e-06,9.07e-06,6055.0,2020-02-09 18:00:00
22,1581267600000,9.11e-06,9.11e-06,8.97e-06,8.97e-06,114227.0,2020-02-09 17:00:00
23,1581264000000,8.94e-06,9.11e-06,8.94e-06,8.98e-06,167164.0,2020-02-09 16:00:00
24,1581260400000,8.99e-06,9.02e-06,8.94e-06,8.94e-06,45404.0,2020-02-09 15:00:00
25,1581256800000,8.99e-06,8.99e-06,8.99e-06,8.99e-06,110400.0,2020-02-09 14:00:00
26,1581253200000,8.82e-06,8.99e-06,8.82e-06,8.99e-06,324641.0,2020-02-09 13:00:00
27,1581249600000,8.8e-06,8.82e-06,8.79e-06,8.82e-06,119582.0,2020-02-09 12:00:00
28,1581246000000,8.82e-06,8.82e-06,8.82e-06,8.82e-06,0.0,2020-02-09 11:00:00
29,1581242400000,8.83e-06,8.89e-06,8.77e-06,8.82e-06,895098.0,2020-02-09 10:00:00
30,1581238800000,9.14e-06,9.14e-06,8.53e-06,8.74e-06,1720670.0,2020-02-09 09:00:00
31,1581235200000,9.07e-06,9.19e-06,9.05e-06,9.19e-06,136256.0,2020-02-09 08:00:00
32,1581231600000,9.07e-06,9.07e-06,9.06e-06,9.07e-06,12000.0,2020-02-09 07:00:00
33,1581228000000,9.19e-06,9.19e-06,9.07e-06,9.07e-06,72612.0,2020-02-09 06:00:00
34,1581224400000,9.15e-06,9.15e-06,9.15e-06,9.15e-06,0.0,2020-02-09 05:00:00
35,1581220800000,9.15e-06,9.15e-06,9.15e-06,9.15e-06,29112.0,2020-02-09 04:00:00
36,1581217200000,9.16e-06,9.17e-06,9.11e-06,9.15e-06,120857.0,2020-02-09 03:00:00
37,1581210000000,9.19e-06,9.19e-06,9.19e-06,9.19e-06,2559.0,2020-02-09 01:00:00
38,1581206400000,9.32e-06,9.32e-06,9.16e-06,9.16e-06,629665.0,2020-02-09 00:00:00
39,1581202800000,9.47e-06,9.52e-06,9.32e-06,9.52e-06,120313.0,2020-02-08 23:00:00
40,1581199200000,9.41e-06,9.48e-06,9.41e-06,9.48e-06,103091.0,2020-02-08 22:00:00
41,1581195600000,9.62e-06,9.62e-06,9.44e-06,9.51e-06,600093.0,2020-02-08 21:00:00
42,1581192000000,9.71e-06,9.71e-06,9.71e-06,9.71e-06,0.0,2020-02-08 20:00:00
43,1581188400000,9.71e-06,9.71e-06,9.71e-06,9.71e-06,0.0,2020-02-08 19:00:00
44,1581184800000,9.71e-06,9.71e-06,9.71e-06,9.71e-06,7500.0,2020-02-08 18:00:00
45,1581181200000,9.64e-06,9.71e-06,9.56e-06,9.61e-06,379868.0,2020-02-08 17:00:00
46,1581177600000,9.64e-06,9.69e-06,9.64e-06,9.69e-06,31700.0,2020-02-08 16:00:00
47,1581174000000,9.59e-06,9.64e-06,9.51e-06,9.64e-06,138915.0,2020-02-08 15:00:00
48,1581170400000,9.58e-06,9.58e-06,9.51e-06,9.51e-06,55163.0,2020-02-08 14:00:00
49,1581166800000,9.53e-06,9.59e-06,9.51e-06,9.59e-06,111540.0,2020-02-08 13:00:00
50,1581163200000,9.77e-06,9.88e-06,9.54e-06,9.72e-06,357345.0,2020-02-08 12:00:00
51,1581159600000,9.78e-06,9.79e-06,9.78e-06,9.79e-06,5518.0,2020-02-08 11:00:00
52,1581156000000,9.74e-06,9.79e-06,9.74e-06,9.74e-06,8552.0,2020-02-08 10:00:00
53,1581152400000,9.81e-06,9.81e-06,9.7e-06,9.7e-06,107800.0,2020-02-08 09:00:00
54,1581148800000,9.87e-06,9.87e-06,9.81e-06,9.81e-06,31217.0,2020-02-08 08:00:00
55,1581145200000,9.91e-06,9.91e-06,9.91e-06,9.91e-06,7600.0,2020-02-08 07:00:00
56,1581141600000,9.87e-06,9.94e-06,9.87e-06,9.94e-06,72188.0,2020-02-08 06:00:00
57,1581138000000,9.89e-06,9.89e-06,9.89e-06,9.89e-06,30000.0,2020-02-08 05:00:00
58,1581134400000,9.81e-06,9.94e-06,9.72e-06,9.89e-06,141185.0,2020-02-08 04:00:00
59,1581130800000,1.016e-05,1.025e-05,9.75e-06,9.9e-06,1213452.0,2020-02-08 03:00:00
60,1581127200000,1.026e-05,1.028e-05,1.016e-05,1.016e-05,220562.0,2020-02-08 02:00:00
