,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.581e-05,4.62e-05,4.55e-05,4.604e-05,17236.0,2020-02-10 15:00:00
1,1581343200000,4.587e-05,4.612e-05,4.541e-05,4.581e-05,18579.0,2020-02-10 14:00:00
2,1581339600000,4.58e-05,4.612e-05,4.558e-05,4.612e-05,21689.0,2020-02-10 13:00:00
3,1581336000000,4.587e-05,4.604e-05,4.541e-05,4.578e-05,10898.0,2020-02-10 12:00:00
4,1581332400000,4.603e-05,4.619e-05,4.548e-05,4.587e-05,18929.0,2020-02-10 11:00:00
5,1581328800000,4.648e-05,4.664e-05,4.57e-05,4.603e-05,26776.0,2020-02-10 10:00:00
6,1581325200000,4.686e-05,4.709e-05,4.59e-05,4.62e-05,52109.0,2020-02-10 09:00:00
7,1581321600000,4.698e-05,4.709e-05,4.631e-05,4.679e-05,18326.0,2020-02-10 08:00:00
8,1581318000000,4.67e-05,4.709e-05,4.63e-05,4.698e-05,13260.0,2020-02-10 07:00:00
9,1581314400000,4.689e-05,4.78e-05,4.6e-05,4.66e-05,39666.0,2020-02-10 06:00:00
10,1581310800000,4.662e-05,4.726e-05,4.641e-05,4.723e-05,7673.0,2020-02-10 05:00:00
11,1581307200000,4.642e-05,4.73e-05,4.629e-05,4.677e-05,37664.0,2020-02-10 04:00:00
12,1581303600000,4.611e-05,4.651e-05,4.582e-05,4.638e-05,10278.0,2020-02-10 03:00:00
13,1581300000000,4.601e-05,4.611e-05,4.56e-05,4.611e-05,7675.0,2020-02-10 02:00:00
14,1581296400000,4.581e-05,4.6e-05,4.568e-05,4.571e-05,5677.0,2020-02-10 01:00:00
15,1581292800000,4.567e-05,4.601e-05,4.54e-05,4.572e-05,4870.0,2020-02-10 00:00:00
16,1581289200000,4.567e-05,4.6e-05,4.522e-05,4.567e-05,7731.0,2020-02-09 23:00:00
17,1581285600000,4.561e-05,4.595e-05,4.523e-05,4.563e-05,8968.0,2020-02-09 22:00:00
18,1581282000000,4.541e-05,4.565e-05,4.527e-05,4.561e-05,5643.0,2020-02-09 21:00:00
19,1581278400000,4.535e-05,4.594e-05,4.527e-05,4.541e-05,16557.0,2020-02-09 20:00:00
20,1581274800000,4.529e-05,4.551e-05,4.516e-05,4.528e-05,8251.0,2020-02-09 19:00:00
21,1581271200000,4.491e-05,4.535e-05,4.486e-05,4.527e-05,16182.0,2020-02-09 18:00:00
