,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00203,0.002037,0.002014,0.002035,1202.09,2020-02-10 15:00:00
1,1581343200000,0.002062,0.002062,0.002024,0.00203,2632.64,2020-02-10 14:00:00
2,1581339600000,0.002035,0.002035,0.002035,0.002035,892.16,2020-02-10 13:00:00
3,1581336000000,0.00207,0.00207,0.002038,0.002039,741.6,2020-02-10 12:00:00
4,1581332400000,0.002059,0.002085,0.002049,0.002062,547.26,2020-02-10 11:00:00
5,1581328800000,0.002094,0.002098,0.00206,0.002074,1551.68,2020-02-10 10:00:00
6,1581325200000,0.0021,0.002112,0.00206,0.002087,4665.54,2020-02-10 09:00:00
7,1581321600000,0.002099,0.002105,0.002087,0.002087,257.23,2020-02-10 08:00:00
8,1581318000000,0.002075,0.0021,0.002059,0.002099,2068.63,2020-02-10 07:00:00
9,1581314400000,0.002087,0.002108,0.00206,0.002097,4378.73,2020-02-10 06:00:00
10,1581310800000,0.002098,0.002112,0.002081,0.0021,2085.79,2020-02-10 05:00:00
11,1581307200000,0.002084,0.002115,0.002084,0.0021,2374.97,2020-02-10 04:00:00
12,1581303600000,0.002068,0.002084,0.002064,0.002084,1950.01,2020-02-10 03:00:00
13,1581300000000,0.002056,0.002067,0.002056,0.002067,870.48,2020-02-10 02:00:00
14,1581296400000,0.002054,0.002054,0.002054,0.002054,213.43,2020-02-10 01:00:00
15,1581292800000,0.00203,0.002056,0.00203,0.002056,284.87,2020-02-10 00:00:00
16,1581289200000,0.002034,0.002097,0.002027,0.00203,5912.74,2020-02-09 23:00:00
17,1581285600000,0.002047,0.002047,0.002047,0.002047,0.0,2020-02-09 22:00:00
18,1581282000000,0.002024,0.002047,0.002018,0.002047,2484.24,2020-02-09 21:00:00
19,1581278400000,0.002037,0.002037,0.002036,0.002037,912.34,2020-02-09 20:00:00
20,1581274800000,0.002027,0.002042,0.002013,0.002037,1526.49,2020-02-09 19:00:00
21,1581271200000,0.001994,0.002014,0.001994,0.002014,559.01,2020-02-09 18:00:00
22,1581267600000,0.001969,0.002009,0.001953,0.001989,5136.74,2020-02-09 17:00:00
23,1581264000000,0.001969,0.001991,0.001969,0.001972,679.18,2020-02-09 16:00:00
