,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.8e-07,3.8e-07,3.6e-07,3.7e-07,10012955.0,2020-02-10 15:00:00
1,1581343200000,3.6e-07,3.9e-07,3.5e-07,3.8e-07,163242869.0,2020-02-10 14:00:00
2,1581339600000,3.5e-07,3.6e-07,3.5e-07,3.6e-07,813123.0,2020-02-10 13:00:00
3,1581336000000,3.5e-07,3.6e-07,3.5e-07,3.5e-07,965940.0,2020-02-10 12:00:00
4,1581332400000,3.5e-07,3.6e-07,3.5e-07,3.6e-07,1282281.0,2020-02-10 11:00:00
5,1581328800000,3.5e-07,3.6e-07,3.5e-07,3.5e-07,438535.0,2020-02-10 10:00:00
6,1581325200000,3.5e-07,3.6e-07,3.5e-07,3.6e-07,1304892.0,2020-02-10 09:00:00
7,1581321600000,3.5e-07,3.6e-07,3.5e-07,3.5e-07,524499.0,2020-02-10 08:00:00
8,1581318000000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,1815608.0,2020-02-10 07:00:00
9,1581314400000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,1969122.0,2020-02-10 06:00:00
10,1581310800000,3.5e-07,3.6e-07,3.5e-07,3.5e-07,7259746.0,2020-02-10 05:00:00
11,1581307200000,3.5e-07,3.6e-07,3.5e-07,3.5e-07,641777.0,2020-02-10 04:00:00
12,1581303600000,3.5e-07,3.6e-07,3.5e-07,3.6e-07,653240.0,2020-02-10 03:00:00
13,1581300000000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,127639.0,2020-02-10 02:00:00
14,1581296400000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,522748.0,2020-02-10 01:00:00
15,1581292800000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,1335714.0,2020-02-10 00:00:00
16,1581289200000,3.6e-07,3.7e-07,3.5e-07,3.5e-07,4668058.0,2020-02-09 23:00:00
17,1581285600000,3.7e-07,3.7e-07,3.6e-07,3.7e-07,358823.0,2020-02-09 22:00:00
18,1581282000000,3.6e-07,3.7e-07,3.6e-07,3.6e-07,451040.0,2020-02-09 21:00:00
19,1581278400000,3.6e-07,3.7e-07,3.6e-07,3.6e-07,2364776.0,2020-02-09 20:00:00
20,1581274800000,3.7e-07,3.7e-07,3.6e-07,3.7e-07,1190767.0,2020-02-09 19:00:00
21,1581271200000,3.7e-07,3.7e-07,3.6e-07,3.7e-07,1525902.0,2020-02-09 18:00:00
22,1581267600000,3.7e-07,3.7e-07,3.6e-07,3.7e-07,380692.0,2020-02-09 17:00:00
23,1581264000000,3.6e-07,3.7e-07,3.6e-07,3.7e-07,4711983.0,2020-02-09 16:00:00
24,1581260400000,3.6e-07,3.7e-07,3.6e-07,3.6e-07,1218011.0,2020-02-09 15:00:00
25,1581256800000,3.6e-07,3.7e-07,3.6e-07,3.7e-07,823259.0,2020-02-09 14:00:00
26,1581253200000,3.6e-07,3.6e-07,3.6e-07,3.6e-07,2408856.0,2020-02-09 13:00:00
27,1581249600000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,3932461.0,2020-02-09 12:00:00
28,1581246000000,3.6e-07,3.7e-07,3.5e-07,3.7e-07,8071915.0,2020-02-09 11:00:00
29,1581242400000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,3741470.0,2020-02-09 10:00:00
30,1581238800000,3.6e-07,3.7e-07,3.6e-07,3.6e-07,5761227.0,2020-02-09 09:00:00
31,1581235200000,3.6e-07,3.7e-07,3.6e-07,3.7e-07,1723030.0,2020-02-09 08:00:00
32,1581231600000,3.6e-07,3.7e-07,3.6e-07,3.6e-07,3524924.0,2020-02-09 07:00:00
33,1581228000000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,1361585.0,2020-02-09 06:00:00
34,1581224400000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,2999718.0,2020-02-09 05:00:00
35,1581220800000,3.6e-07,3.6e-07,3.5e-07,3.5e-07,3154646.0,2020-02-09 04:00:00
36,1581217200000,3.6e-07,3.6e-07,3.5e-07,3.5e-07,9477886.0,2020-02-09 03:00:00
37,1581210000000,3.5e-07,3.7e-07,3.5e-07,3.6e-07,3469616.0,2020-02-09 01:00:00
38,1581206400000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,640939.0,2020-02-09 00:00:00
39,1581202800000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,226861.0,2020-02-08 23:00:00
40,1581199200000,3.6e-07,3.6e-07,3.5e-07,3.6e-07,7771382.0,2020-02-08 22:00:00
41,1581195600000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,1191213.0,2020-02-08 21:00:00
42,1581192000000,3.6e-07,3.7e-07,3.6e-07,3.7e-07,2952634.0,2020-02-08 20:00:00
43,1581188400000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,1369381.0,2020-02-08 19:00:00
44,1581184800000,3.7e-07,3.7e-07,3.7e-07,3.7e-07,330533.0,2020-02-08 18:00:00
45,1581181200000,3.7e-07,3.7e-07,3.6e-07,3.7e-07,972205.0,2020-02-08 17:00:00
46,1581177600000,3.7e-07,3.8e-07,3.6e-07,3.7e-07,9667122.0,2020-02-08 16:00:00
47,1581174000000,3.8e-07,3.8e-07,3.7e-07,3.7e-07,5271750.0,2020-02-08 15:00:00
48,1581170400000,3.8e-07,3.8e-07,3.7e-07,3.8e-07,308410.0,2020-02-08 14:00:00
49,1581166800000,3.8e-07,3.8e-07,3.7e-07,3.8e-07,1436159.0,2020-02-08 13:00:00
50,1581163200000,3.8e-07,3.9e-07,3.7e-07,3.8e-07,2960272.0,2020-02-08 12:00:00
51,1581159600000,3.8e-07,3.9e-07,3.8e-07,3.8e-07,4889560.0,2020-02-08 11:00:00
52,1581156000000,3.9e-07,3.9e-07,3.8e-07,3.8e-07,7887253.0,2020-02-08 10:00:00
53,1581152400000,3.8e-07,3.9e-07,3.8e-07,3.9e-07,861119.0,2020-02-08 09:00:00
54,1581148800000,3.7e-07,3.9e-07,3.7e-07,3.8e-07,6703466.0,2020-02-08 08:00:00
55,1581145200000,3.7e-07,3.8e-07,3.7e-07,3.8e-07,5860934.0,2020-02-08 07:00:00
56,1581141600000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,5993975.0,2020-02-08 06:00:00
57,1581138000000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,1073393.0,2020-02-08 05:00:00
58,1581134400000,3.7e-07,3.7e-07,3.6e-07,3.6e-07,1351425.0,2020-02-08 04:00:00
59,1581130800000,3.8e-07,3.8e-07,3.6e-07,3.6e-07,5644525.0,2020-02-08 03:00:00
60,1581127200000,3.7e-07,3.8e-07,3.7e-07,3.7e-07,6299663.0,2020-02-08 02:00:00
61,1581123600000,3.8e-07,3.8e-07,3.7e-07,3.7e-07,7554769.0,2020-02-08 01:00:00
62,1581120000000,3.9e-07,3.9e-07,3.8e-07,3.9e-07,5674689.0,2020-02-08 00:00:00
63,1581116400000,3.9e-07,4e-07,3.8e-07,4e-07,3950176.0,2020-02-07 23:00:00
64,1581112800000,3.8e-07,4.2e-07,3.7e-07,3.9e-07,64230196.0,2020-02-07 22:00:00
65,1581109200000,3.8e-07,3.8e-07,3.7e-07,3.8e-07,4309259.0,2020-02-07 21:00:00
66,1581105600000,3.8e-07,3.9e-07,3.7e-07,3.8e-07,5798375.0,2020-02-07 20:00:00
67,1581102000000,3.8e-07,3.9e-07,3.7e-07,3.8e-07,6140966.0,2020-02-07 19:00:00
68,1581098400000,3.9e-07,3.9e-07,3.8e-07,3.9e-07,1669737.0,2020-02-07 18:00:00
69,1581094800000,3.8e-07,3.9e-07,3.8e-07,3.8e-07,2332197.0,2020-02-07 17:00:00
