,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.83e-06,1.85e-06,1.83e-06,1.83e-06,289682.0,2020-02-10 15:00:00
1,1581343200000,1.81e-06,1.84e-06,1.81e-06,1.83e-06,545579.0,2020-02-10 14:00:00
2,1581339600000,1.82e-06,1.84e-06,1.79e-06,1.82e-06,567629.0,2020-02-10 13:00:00
3,1581336000000,1.82e-06,1.83e-06,1.8e-06,1.82e-06,687368.0,2020-02-10 12:00:00
4,1581332400000,1.81e-06,1.82e-06,1.79e-06,1.82e-06,734032.0,2020-02-10 11:00:00
5,1581328800000,1.83e-06,1.83e-06,1.8e-06,1.82e-06,677103.0,2020-02-10 10:00:00
6,1581325200000,1.86e-06,1.86e-06,1.8e-06,1.83e-06,836721.0,2020-02-10 09:00:00
7,1581321600000,1.86e-06,1.88e-06,1.86e-06,1.87e-06,233201.0,2020-02-10 08:00:00
8,1581318000000,1.86e-06,1.87e-06,1.85e-06,1.87e-06,590820.0,2020-02-10 07:00:00
9,1581314400000,1.85e-06,1.86e-06,1.84e-06,1.85e-06,416832.0,2020-02-10 06:00:00
10,1581310800000,1.84e-06,1.86e-06,1.83e-06,1.85e-06,415032.0,2020-02-10 05:00:00
11,1581307200000,1.86e-06,1.86e-06,1.84e-06,1.84e-06,276328.0,2020-02-10 04:00:00
12,1581303600000,1.87e-06,1.87e-06,1.85e-06,1.86e-06,120242.0,2020-02-10 03:00:00
13,1581300000000,1.88e-06,1.89e-06,1.79e-06,1.86e-06,2405795.0,2020-02-10 02:00:00
14,1581296400000,1.93e-06,1.94e-06,1.88e-06,1.88e-06,1158783.0,2020-02-10 01:00:00
15,1581292800000,1.93e-06,1.96e-06,1.92e-06,1.93e-06,370921.0,2020-02-10 00:00:00
16,1581289200000,1.92e-06,1.94e-06,1.92e-06,1.93e-06,101333.0,2020-02-09 23:00:00
17,1581285600000,1.96e-06,1.97e-06,1.91e-06,1.92e-06,770530.0,2020-02-09 22:00:00
