,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.011596,0.011646,0.011596,0.011631,660.25,2020-02-10 15:00:00
1,1581343200000,0.01164,0.011662,0.011558,0.011596,4805.16,2020-02-10 14:00:00
2,1581339600000,0.011679,0.011758,0.011593,0.011615,3694.07,2020-02-10 13:00:00
3,1581336000000,0.011647,0.011685,0.011605,0.011685,1176.28,2020-02-10 12:00:00
4,1581332400000,0.011601,0.011656,0.011543,0.011656,1652.51,2020-02-10 11:00:00
5,1581328800000,0.011575,0.011688,0.011575,0.011596,2710.74,2020-02-10 10:00:00
6,1581325200000,0.011609,0.011663,0.011474,0.011562,5481.55,2020-02-10 09:00:00
7,1581321600000,0.011697,0.011714,0.01155,0.011609,2368.97,2020-02-10 08:00:00
8,1581318000000,0.011699,0.011742,0.011645,0.011669,1425.7,2020-02-10 07:00:00
9,1581314400000,0.01174,0.01178,0.011668,0.011715,2276.8,2020-02-10 06:00:00
10,1581310800000,0.011794,0.011797,0.011693,0.011693,2925.83,2020-02-10 05:00:00
11,1581307200000,0.011751,0.011797,0.011706,0.011777,2347.63,2020-02-10 04:00:00
12,1581303600000,0.011835,0.011835,0.011696,0.011728,2098.5,2020-02-10 03:00:00
13,1581300000000,0.011822,0.011851,0.011802,0.011834,1548.57,2020-02-10 02:00:00
14,1581296400000,0.011801,0.011818,0.011749,0.011818,867.93,2020-02-10 01:00:00
15,1581292800000,0.011799,0.011869,0.011794,0.011801,1368.84,2020-02-10 00:00:00
16,1581289200000,0.011786,0.011839,0.011731,0.011799,2298.6,2020-02-09 23:00:00
17,1581285600000,0.011671,0.011831,0.011664,0.011769,600.32,2020-02-09 22:00:00
18,1581282000000,0.011687,0.011729,0.011657,0.011728,1320.52,2020-02-09 21:00:00
19,1581278400000,0.011728,0.011757,0.011686,0.0117,778.95,2020-02-09 20:00:00
20,1581274800000,0.011796,0.011812,0.011687,0.011687,631.26,2020-02-09 19:00:00
21,1581271200000,0.011756,0.011809,0.011732,0.011779,1044.88,2020-02-09 18:00:00
22,1581267600000,0.011708,0.011761,0.011691,0.011719,1841.6,2020-02-09 17:00:00
23,1581264000000,0.011648,0.011739,0.011608,0.011698,4656.46,2020-02-09 16:00:00
24,1581260400000,0.011632,0.011656,0.011509,0.011649,5076.22,2020-02-09 15:00:00
25,1581256800000,0.011639,0.011709,0.01163,0.01163,3434.76,2020-02-09 14:00:00
26,1581253200000,0.011699,0.011735,0.011615,0.011639,2038.57,2020-02-09 13:00:00
27,1581249600000,0.011688,0.011775,0.011672,0.011738,2007.32,2020-02-09 12:00:00
28,1581246000000,0.011638,0.011711,0.011638,0.011688,587.53,2020-02-09 11:00:00
29,1581242400000,0.011615,0.011665,0.011593,0.011639,1329.05,2020-02-09 10:00:00
30,1581238800000,0.01174,0.01174,0.011626,0.011626,1820.21,2020-02-09 09:00:00
