,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.589,2.622,2.587,2.621,47453.161,2020-02-10 15:00:00
1,1581343200000,2.552,2.6,2.542,2.59,120517.715,2020-02-10 14:00:00
2,1581339600000,2.568,2.592,2.543,2.555,128157.903,2020-02-10 13:00:00
3,1581336000000,2.54,2.569,2.523,2.568,59605.436,2020-02-10 12:00:00
4,1581332400000,2.554,2.557,2.506,2.54,82137.619,2020-02-10 11:00:00
5,1581328800000,2.536,2.575,2.532,2.553,96928.331,2020-02-10 10:00:00
6,1581325200000,2.558,2.564,2.489,2.538,211230.772,2020-02-10 09:00:00
7,1581321600000,2.618,2.618,2.548,2.56,110384.75,2020-02-10 08:00:00
8,1581318000000,2.611,2.631,2.603,2.616,80320.735,2020-02-10 07:00:00
9,1581314400000,2.591,2.642,2.582,2.608,155143.58,2020-02-10 06:00:00
10,1581310800000,2.644,2.657,2.571,2.59,92513.002,2020-02-10 05:00:00
11,1581307200000,2.647,2.66,2.612,2.64,135639.423,2020-02-10 04:00:00
12,1581303600000,2.68,2.685,2.632,2.648,128869.029,2020-02-10 03:00:00
13,1581300000000,2.684,2.689,2.663,2.681,77624.04,2020-02-10 02:00:00
14,1581296400000,2.701,2.701,2.665,2.683,51968.128,2020-02-10 01:00:00
15,1581292800000,2.698,2.713,2.693,2.702,61982.559,2020-02-10 00:00:00
16,1581289200000,2.688,2.7,2.669,2.697,86923.886,2020-02-09 23:00:00
17,1581285600000,2.636,2.697,2.633,2.688,45354.448,2020-02-09 22:00:00
18,1581282000000,2.626,2.646,2.626,2.635,37733.71,2020-02-09 21:00:00
19,1581278400000,2.655,2.663,2.619,2.627,32660.252,2020-02-09 20:00:00
20,1581274800000,2.666,2.677,2.648,2.653,18639.298,2020-02-09 19:00:00
21,1581271200000,2.652,2.675,2.651,2.669,33259.148,2020-02-09 18:00:00
22,1581267600000,2.665,2.683,2.645,2.65,85986.569,2020-02-09 17:00:00
23,1581264000000,2.642,2.669,2.634,2.665,76254.524,2020-02-09 16:00:00
24,1581260400000,2.634,2.652,2.576,2.644,115767.954,2020-02-09 15:00:00
25,1581256800000,2.643,2.671,2.623,2.634,82850.432,2020-02-09 14:00:00
26,1581253200000,2.674,2.681,2.636,2.644,85699.848,2020-02-09 13:00:00
27,1581249600000,2.664,2.696,2.664,2.674,45715.537,2020-02-09 12:00:00
28,1581246000000,2.664,2.68,2.651,2.664,41757.251,2020-02-09 11:00:00
29,1581242400000,2.648,2.668,2.635,2.666,43346.612,2020-02-09 10:00:00
30,1581238800000,2.685,2.688,2.646,2.649,100313.937,2020-02-09 09:00:00
31,1581235200000,2.708,2.708,2.681,2.686,58158.277,2020-02-09 08:00:00
32,1581231600000,2.688,2.724,2.687,2.706,120167.816,2020-02-09 07:00:00
33,1581228000000,2.706,2.708,2.679,2.688,103123.555,2020-02-09 06:00:00
34,1581224400000,2.652,2.724,2.646,2.706,230816.639,2020-02-09 05:00:00
35,1581220800000,2.67,2.687,2.645,2.652,159256.045,2020-02-09 04:00:00
36,1581217200000,2.603,2.672,2.587,2.67,162216.963,2020-02-09 03:00:00
37,1581210000000,2.609,2.61,2.588,2.605,53043.003,2020-02-09 01:00:00
38,1581206400000,2.598,2.616,2.588,2.61,34718.601,2020-02-09 00:00:00
39,1581202800000,2.605,2.612,2.599,2.6,16183.932,2020-02-08 23:00:00
40,1581199200000,2.586,2.605,2.574,2.604,29284.834,2020-02-08 22:00:00
41,1581195600000,2.602,2.617,2.579,2.586,53337.262,2020-02-08 21:00:00
42,1581192000000,2.603,2.606,2.593,2.601,10975.214,2020-02-08 20:00:00
43,1581188400000,2.593,2.61,2.593,2.605,20189.561,2020-02-08 19:00:00
44,1581184800000,2.583,2.599,2.581,2.591,11368.714,2020-02-08 18:00:00
45,1581181200000,2.594,2.598,2.569,2.585,51422.677,2020-02-08 17:00:00
46,1581177600000,2.59,2.599,2.571,2.595,94110.023,2020-02-08 16:00:00
47,1581174000000,2.6,2.603,2.586,2.589,26850.373,2020-02-08 15:00:00
48,1581170400000,2.578,2.609,2.564,2.6,102141.994,2020-02-08 14:00:00
49,1581166800000,2.594,2.615,2.568,2.58,131569.765,2020-02-08 13:00:00
50,1581163200000,2.6,2.624,2.587,2.594,86240.027,2020-02-08 12:00:00
51,1581159600000,2.595,2.605,2.579,2.599,71167.156,2020-02-08 11:00:00
52,1581156000000,2.599,2.617,2.594,2.594,41815.021,2020-02-08 10:00:00
53,1581152400000,2.619,2.627,2.575,2.598,91379.312,2020-02-08 09:00:00
54,1581148800000,2.554,2.636,2.553,2.618,152432.127,2020-02-08 08:00:00
55,1581145200000,2.538,2.554,2.523,2.554,27039.465,2020-02-08 07:00:00
56,1581141600000,2.528,2.552,2.509,2.536,97142.023,2020-02-08 06:00:00
57,1581138000000,2.534,2.553,2.504,2.528,104498.172,2020-02-08 05:00:00
58,1581134400000,2.484,2.537,2.479,2.533,112794.366,2020-02-08 04:00:00
59,1581130800000,2.494,2.494,2.433,2.482,149410.361,2020-02-08 03:00:00
60,1581127200000,2.547,2.55,2.462,2.495,177506.158,2020-02-08 02:00:00
61,1581123600000,2.538,2.566,2.509,2.546,163969.488,2020-02-08 01:00:00
62,1581120000000,2.571,2.572,2.532,2.536,77156.676,2020-02-08 00:00:00
63,1581116400000,2.534,2.583,2.534,2.572,50853.206,2020-02-07 23:00:00
64,1581112800000,2.512,2.533,2.505,2.531,43723.565,2020-02-07 22:00:00
65,1581109200000,2.522,2.522,2.503,2.513,75030.052,2020-02-07 21:00:00
66,1581105600000,2.546,2.55,2.516,2.522,40897.78,2020-02-07 20:00:00
67,1581102000000,2.562,2.564,2.544,2.546,23193.542,2020-02-07 19:00:00
68,1581098400000,2.529,2.565,2.523,2.561,30904.634,2020-02-07 18:00:00
69,1581094800000,2.559,2.563,2.53,2.53,32474.175,2020-02-07 17:00:00
70,1581091200000,2.558,2.58,2.514,2.558,177593.174,2020-02-07 16:00:00
71,1581087600000,2.582,2.59,2.55,2.558,78712.757,2020-02-07 15:00:00
72,1581084000000,2.57,2.619,2.57,2.582,83953.746,2020-02-07 14:00:00
73,1581080400000,2.556,2.586,2.552,2.571,92585.826,2020-02-07 13:00:00
74,1581076800000,2.582,2.596,2.537,2.556,173782.441,2020-02-07 12:00:00
75,1581073200000,2.626,2.649,2.578,2.582,191133.743,2020-02-07 11:00:00
76,1581069600000,2.585,2.645,2.585,2.623,158387.956,2020-02-07 10:00:00
77,1581066000000,2.552,2.593,2.551,2.586,45221.661,2020-02-07 09:00:00
78,1581062400000,2.565,2.582,2.547,2.552,108763.022,2020-02-07 08:00:00
79,1581058800000,2.543,2.568,2.527,2.566,129678.171,2020-02-07 07:00:00
80,1581055200000,2.535,2.544,2.529,2.541,53951.511,2020-02-07 06:00:00
81,1581051600000,2.567,2.586,2.534,2.536,109263.899,2020-02-07 05:00:00
82,1581048000000,2.56,2.57,2.534,2.565,108020.755,2020-02-07 04:00:00
83,1581044400000,2.588,2.599,2.56,2.56,72225.753,2020-02-07 03:00:00
84,1581040800000,2.598,2.625,2.583,2.587,155602.299,2020-02-07 02:00:00
85,1581037200000,2.561,2.616,2.556,2.596,89450.7,2020-02-07 01:00:00
86,1581033600000,2.544,2.59,2.539,2.56,91813.324,2020-02-07 00:00:00
87,1581030000000,2.518,2.549,2.502,2.544,42023.183,2020-02-06 23:00:00
88,1581026400000,2.547,2.552,2.514,2.52,21563.403,2020-02-06 22:00:00
89,1581022800000,2.549,2.553,2.534,2.545,20817.866,2020-02-06 21:00:00
90,1581019200000,2.531,2.548,2.509,2.548,32627.182,2020-02-06 20:00:00
91,1581015600000,2.517,2.537,2.508,2.53,20367.879,2020-02-06 19:00:00
92,1581012000000,2.54,2.54,2.496,2.517,45907.43,2020-02-06 18:00:00
93,1581008400000,2.535,2.578,2.528,2.542,105833.033,2020-02-06 17:00:00
94,1581004800000,2.484,2.544,2.484,2.533,212281.966,2020-02-06 16:00:00
95,1581001200000,2.484,2.492,2.446,2.484,123615.786,2020-02-06 15:00:00
96,1580997600000,2.413,2.499,2.386,2.484,198371.533,2020-02-06 14:00:00
97,1580994000000,2.493,2.498,2.38,2.413,200770.981,2020-02-06 13:00:00
98,1580990400000,2.494,2.5,2.475,2.494,76404.403,2020-02-06 12:00:00
99,1580986800000,2.475,2.499,2.463,2.493,40120.115,2020-02-06 11:00:00
100,1580983200000,2.458,2.48,2.444,2.474,65534.076,2020-02-06 10:00:00
101,1580979600000,2.469,2.474,2.438,2.456,65686.525,2020-02-06 09:00:00
102,1580976000000,2.472,2.487,2.462,2.469,44370.62,2020-02-06 08:00:00
103,1580972400000,2.468,2.495,2.461,2.472,86674.109,2020-02-06 07:00:00
104,1580968800000,2.469,2.48,2.455,2.469,60974.11,2020-02-06 06:00:00
105,1580965200000,2.491,2.492,2.46,2.468,83967.397,2020-02-06 05:00:00
106,1580961600000,2.47,2.493,2.468,2.489,90781.762,2020-02-06 04:00:00
107,1580958000000,2.404,2.471,2.4,2.47,72404.436,2020-02-06 03:00:00
108,1580954400000,2.422,2.422,2.402,2.404,19442.119,2020-02-06 02:00:00
109,1580950800000,2.402,2.432,2.396,2.421,65853.158,2020-02-06 01:00:00
110,1580947200000,2.443,2.449,2.386,2.402,87793.505,2020-02-06 00:00:00
111,1580943600000,2.443,2.451,2.435,2.442,38856.24,2020-02-05 23:00:00
112,1580940000000,2.455,2.468,2.439,2.442,33119.4,2020-02-05 22:00:00
113,1580936400000,2.427,2.454,2.424,2.454,13327.895,2020-02-05 21:00:00
114,1580932800000,2.414,2.428,2.412,2.426,24336.215,2020-02-05 20:00:00
115,1580929200000,2.431,2.433,2.404,2.413,21795.438,2020-02-05 19:00:00
116,1580925600000,2.449,2.464,2.416,2.432,116119.847,2020-02-05 18:00:00
117,1580922000000,2.434,2.454,2.426,2.447,30263.968,2020-02-05 17:00:00
118,1580918400000,2.441,2.445,2.408,2.435,138775.822,2020-02-05 16:00:00
119,1580914800000,2.394,2.466,2.389,2.44,230852.121,2020-02-05 15:00:00
120,1580911200000,2.382,2.398,2.373,2.393,67783.98,2020-02-05 14:00:00
121,1580907600000,2.386,2.389,2.364,2.383,67058.528,2020-02-05 13:00:00
122,1580904000000,2.381,2.4,2.38,2.386,126467.127,2020-02-05 12:00:00
123,1580900400000,2.337,2.382,2.333,2.381,83432.89,2020-02-05 11:00:00
124,1580896800000,2.328,2.351,2.32,2.336,139316.353,2020-02-05 10:00:00
125,1580893200000,2.316,2.33,2.313,2.328,32726.088,2020-02-05 09:00:00
126,1580889600000,2.323,2.325,2.307,2.316,37882.57,2020-02-05 08:00:00
127,1580886000000,2.335,2.34,2.317,2.323,40484.825,2020-02-05 07:00:00
128,1580882400000,2.341,2.358,2.328,2.333,68762.989,2020-02-05 06:00:00
129,1580878800000,2.319,2.35,2.318,2.343,92603.257,2020-02-05 05:00:00
130,1580875200000,2.312,2.322,2.312,2.317,48707.667,2020-02-05 04:00:00
131,1580871600000,2.31,2.319,2.305,2.313,43939.4,2020-02-05 03:00:00
132,1580868000000,2.294,2.315,2.292,2.31,32584.616,2020-02-05 02:00:00
133,1580864400000,2.325,2.34,2.294,2.294,74289.01,2020-02-05 01:00:00
134,1580860800000,2.309,2.332,2.292,2.325,72512.697,2020-02-05 00:00:00
135,1580857200000,2.271,2.318,2.27,2.307,73260.873,2020-02-04 23:00:00
136,1580853600000,2.262,2.282,2.262,2.272,25431.63,2020-02-04 22:00:00
137,1580850000000,2.269,2.281,2.262,2.262,12654.58,2020-02-04 21:00:00
138,1580846400000,2.271,2.275,2.257,2.267,36308.643,2020-02-04 20:00:00
139,1580842800000,2.269,2.298,2.268,2.27,87090.426,2020-02-04 19:00:00
140,1580839200000,2.253,2.271,2.252,2.269,45849.563,2020-02-04 18:00:00
141,1580835600000,2.249,2.253,2.236,2.253,29686.459,2020-02-04 17:00:00
142,1580832000000,2.22,2.251,2.216,2.249,77454.806,2020-02-04 16:00:00
143,1580828400000,2.191,2.23,2.19,2.219,108203.61,2020-02-04 15:00:00
144,1580824800000,2.182,2.195,2.179,2.193,40703.181,2020-02-04 14:00:00
145,1580821200000,2.18,2.19,2.173,2.182,61169.319,2020-02-04 13:00:00
146,1580817600000,2.212,2.216,2.179,2.18,81954.514,2020-02-04 12:00:00
147,1580814000000,2.189,2.218,2.184,2.212,72296.432,2020-02-04 11:00:00
148,1580810400000,2.193,2.201,2.184,2.189,56003.505,2020-02-04 10:00:00
149,1580806800000,2.244,2.245,2.189,2.192,137303.716,2020-02-04 09:00:00
150,1580803200000,2.248,2.26,2.242,2.244,68098.003,2020-02-04 08:00:00
151,1580799600000,2.243,2.254,2.223,2.25,78552.984,2020-02-04 07:00:00
152,1580796000000,2.246,2.255,2.236,2.244,29520.583,2020-02-04 06:00:00
153,1580792400000,2.236,2.25,2.228,2.248,77876.123,2020-02-04 05:00:00
154,1580788800000,2.266,2.276,2.234,2.236,37820.147,2020-02-04 04:00:00
155,1580785200000,2.283,2.283,2.264,2.265,44073.429,2020-02-04 03:00:00
156,1580781600000,2.285,2.289,2.277,2.283,14721.592,2020-02-04 02:00:00
157,1580778000000,2.304,2.313,2.282,2.285,43688.89,2020-02-04 01:00:00
158,1580774400000,2.288,2.321,2.286,2.303,94282.652,2020-02-04 00:00:00
159,1580770800000,2.273,2.289,2.264,2.286,17993.706,2020-02-03 23:00:00
160,1580767200000,2.272,2.28,2.272,2.274,5601.303,2020-02-03 22:00:00
161,1580763600000,2.288,2.29,2.269,2.271,10762.758,2020-02-03 21:00:00
162,1580760000000,2.267,2.29,2.264,2.288,26111.553,2020-02-03 20:00:00
163,1580756400000,2.263,2.267,2.258,2.267,10721.061,2020-02-03 19:00:00
164,1580752800000,2.258,2.268,2.248,2.263,29053.832,2020-02-03 18:00:00
165,1580749200000,2.25,2.26,2.243,2.258,53136.167,2020-02-03 17:00:00
166,1580745600000,2.248,2.271,2.24,2.25,57723.474,2020-02-03 16:00:00
167,1580742000000,2.288,2.288,2.246,2.248,52936.319,2020-02-03 15:00:00
168,1580738400000,2.28,2.288,2.253,2.287,80959.42,2020-02-03 14:00:00
169,1580734800000,2.299,2.304,2.269,2.279,69319.011,2020-02-03 13:00:00
170,1580731200000,2.299,2.307,2.292,2.301,19132.684,2020-02-03 12:00:00
171,1580727600000,2.268,2.308,2.265,2.3,48374.79,2020-02-03 11:00:00
172,1580724000000,2.312,2.313,2.266,2.268,100746.876,2020-02-03 10:00:00
173,1580720400000,2.322,2.325,2.308,2.312,43896.134,2020-02-03 09:00:00
174,1580716800000,2.333,2.333,2.306,2.324,63099.979,2020-02-03 08:00:00
175,1580713200000,2.34,2.34,2.312,2.333,56179.232,2020-02-03 07:00:00
176,1580709600000,2.349,2.352,2.335,2.338,62244.058,2020-02-03 06:00:00
177,1580706000000,2.317,2.379,2.316,2.349,168767.649,2020-02-03 05:00:00
178,1580702400000,2.293,2.319,2.289,2.315,70613.654,2020-02-03 04:00:00
179,1580698800000,2.297,2.302,2.277,2.294,68739.59,2020-02-03 03:00:00
180,1580695200000,2.329,2.33,2.289,2.297,160223.849,2020-02-03 02:00:00
181,1580691600000,2.297,2.34,2.292,2.33,122010.411,2020-02-03 01:00:00
182,1580688000000,2.26,2.297,2.239,2.297,58001.594,2020-02-03 00:00:00
183,1580684400000,2.286,2.29,2.258,2.262,105913.918,2020-02-02 23:00:00
184,1580680800000,2.325,2.325,2.285,2.285,36743.615,2020-02-02 22:00:00
185,1580677200000,2.326,2.33,2.318,2.326,32317.769,2020-02-02 21:00:00
186,1580673600000,2.308,2.33,2.308,2.327,28129.185,2020-02-02 20:00:00
187,1580670000000,2.316,2.321,2.307,2.311,38970.33,2020-02-02 19:00:00
188,1580666400000,2.308,2.317,2.306,2.314,26439.735,2020-02-02 18:00:00
189,1580662800000,2.306,2.311,2.294,2.306,21098.436,2020-02-02 17:00:00
190,1580659200000,2.314,2.315,2.301,2.305,22085.388,2020-02-02 16:00:00
191,1580655600000,2.311,2.328,2.297,2.315,57776.527,2020-02-02 15:00:00
192,1580652000000,2.303,2.309,2.276,2.309,76218.351,2020-02-02 14:00:00
193,1580648400000,2.318,2.322,2.298,2.304,63594.57,2020-02-02 13:00:00
194,1580644800000,2.337,2.35,2.31,2.317,74412.646,2020-02-02 12:00:00
195,1580641200000,2.334,2.338,2.321,2.338,63190.018,2020-02-02 11:00:00
196,1580637600000,2.328,2.341,2.325,2.334,78708.109,2020-02-02 10:00:00
197,1580634000000,2.347,2.362,2.325,2.327,95391.969,2020-02-02 09:00:00
198,1580630400000,2.321,2.357,2.319,2.346,100600.83,2020-02-02 08:00:00
199,1580626800000,2.349,2.36,2.317,2.321,155758.679,2020-02-02 07:00:00
200,1580623200000,2.342,2.36,2.312,2.349,339358.286,2020-02-02 06:00:00
201,1580619600000,2.265,2.39,2.265,2.341,451979.325,2020-02-02 05:00:00
202,1580616000000,2.267,2.267,2.233,2.264,158158.429,2020-02-02 04:00:00
203,1580612400000,2.178,2.268,2.174,2.267,220185.662,2020-02-02 03:00:00
204,1580608800000,2.181,2.208,2.161,2.178,224542.789,2020-02-02 02:00:00
205,1580605200000,2.154,2.181,2.137,2.18,102029.309,2020-02-02 01:00:00
206,1580601600000,2.194,2.194,2.152,2.155,44357.735,2020-02-02 00:00:00
207,1580598000000,2.196,2.2,2.189,2.193,23957.369,2020-02-01 23:00:00
208,1580594400000,2.177,2.197,2.177,2.196,21895.959,2020-02-01 22:00:00
209,1580590800000,2.174,2.18,2.172,2.177,10485.223,2020-02-01 21:00:00
210,1580587200000,2.177,2.179,2.17,2.175,20641.834,2020-02-01 20:00:00
211,1580583600000,2.18,2.181,2.173,2.176,11551.86,2020-02-01 19:00:00
212,1580580000000,2.182,2.19,2.176,2.181,35869.94,2020-02-01 18:00:00
213,1580576400000,2.173,2.188,2.165,2.183,68547.053,2020-02-01 17:00:00
214,1580572800000,2.151,2.183,2.15,2.174,46155.698,2020-02-01 16:00:00
215,1580569200000,2.156,2.169,2.149,2.152,40833.004,2020-02-01 15:00:00
216,1580565600000,2.158,2.163,2.146,2.156,30751.342,2020-02-01 14:00:00
217,1580562000000,2.133,2.179,2.133,2.158,72320.797,2020-02-01 13:00:00
218,1580558400000,2.14,2.145,2.13,2.133,29838.808,2020-02-01 12:00:00
219,1580554800000,2.161,2.161,2.131,2.14,32239.588,2020-02-01 11:00:00
220,1580551200000,2.167,2.167,2.152,2.16,25786.039,2020-02-01 10:00:00
221,1580547600000,2.16,2.169,2.152,2.166,34802.642,2020-02-01 09:00:00
222,1580544000000,2.186,2.188,2.154,2.16,28830.255,2020-02-01 08:00:00
223,1580540400000,2.165,2.191,2.165,2.186,26792.556,2020-02-01 07:00:00
224,1580536800000,2.154,2.166,2.154,2.165,49143.194,2020-02-01 06:00:00
225,1580533200000,2.161,2.162,2.15,2.154,48476.781,2020-02-01 05:00:00
226,1580529600000,2.189,2.193,2.16,2.16,70991.49,2020-02-01 04:00:00
227,1580526000000,2.189,2.2,2.183,2.19,63676.557,2020-02-01 03:00:00
228,1580522400000,2.168,2.193,2.166,2.189,66468.05,2020-02-01 02:00:00
229,1580518800000,2.135,2.168,2.135,2.166,37265.112,2020-02-01 01:00:00
230,1580515200000,2.126,2.139,2.119,2.135,29685.985,2020-02-01 00:00:00
231,1580511600000,2.133,2.135,2.114,2.125,10815.178,2020-01-31 23:00:00
232,1580508000000,2.126,2.14,2.116,2.135,44110.131,2020-01-31 22:00:00
