,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00595,0.00604,0.00591,0.00591,1017.0,2020-02-10 15:00:00
1,1581343200000,0.00592,0.00595,0.00586,0.00595,1624.6,2020-02-10 14:00:00
2,1581339600000,0.00595,0.00598,0.00584,0.00598,2578.3,2020-02-10 13:00:00
3,1581336000000,0.00599,0.00606,0.00591,0.00598,1418.0,2020-02-10 12:00:00
4,1581332400000,0.00599,0.00604,0.00595,0.00601,722.8,2020-02-10 11:00:00
5,1581328800000,0.00603,0.0061,0.006,0.006,806.2,2020-02-10 10:00:00
6,1581325200000,0.00596,0.00611,0.00596,0.00603,1270.5,2020-02-10 09:00:00
7,1581321600000,0.00601,0.00601,0.00585,0.006,10806.2,2020-02-10 08:00:00
8,1581318000000,0.00605,0.00605,0.00601,0.00604,314.9,2020-02-10 07:00:00
9,1581314400000,0.0063,0.0063,0.00602,0.00607,9349.6,2020-02-10 06:00:00
10,1581310800000,0.00635,0.00639,0.00631,0.00631,270.6,2020-02-10 05:00:00
11,1581307200000,0.00636,0.00636,0.00635,0.00635,54.0,2020-02-10 04:00:00
12,1581303600000,0.00634,0.00638,0.00627,0.00636,1766.7,2020-02-10 03:00:00
13,1581300000000,0.00629,0.00642,0.00628,0.00638,553.0,2020-02-10 02:00:00
14,1581296400000,0.00636,0.00636,0.0063,0.0063,621.7,2020-02-10 01:00:00
15,1581292800000,0.00631,0.00638,0.00629,0.00638,1034.2,2020-02-10 00:00:00
16,1581289200000,0.00644,0.00644,0.00631,0.00631,5435.6,2020-02-09 23:00:00
17,1581285600000,0.00644,0.00649,0.00644,0.00649,131.9,2020-02-09 22:00:00
18,1581282000000,0.00641,0.00641,0.00641,0.00641,1560.0,2020-02-09 21:00:00
19,1581278400000,0.00645,0.00646,0.00642,0.00646,501.5,2020-02-09 20:00:00
20,1581274800000,0.00651,0.00659,0.00646,0.00646,256.6,2020-02-09 19:00:00
21,1581271200000,0.00645,0.0065,0.00645,0.0065,235.3,2020-02-09 18:00:00
22,1581267600000,0.00646,0.00646,0.00639,0.00641,367.0,2020-02-09 17:00:00
23,1581264000000,0.00653,0.00653,0.00646,0.0065,859.8,2020-02-09 16:00:00
24,1581260400000,0.00666,0.00671,0.00653,0.00653,1064.4,2020-02-09 15:00:00
25,1581256800000,0.00673,0.00678,0.00673,0.00678,222.3,2020-02-09 14:00:00
26,1581253200000,0.0066,0.00673,0.0066,0.00673,674.5,2020-02-09 13:00:00
27,1581249600000,0.00661,0.00668,0.00659,0.00662,2014.8,2020-02-09 12:00:00
28,1581246000000,0.00662,0.00683,0.00661,0.00671,2649.1,2020-02-09 11:00:00
29,1581242400000,0.00661,0.00662,0.00661,0.00662,311.6,2020-02-09 10:00:00
30,1581238800000,0.00658,0.00658,0.00658,0.00658,108.5,2020-02-09 09:00:00
31,1581235200000,0.00649,0.00658,0.00645,0.00658,941.8,2020-02-09 08:00:00
32,1581231600000,0.00634,0.00649,0.00634,0.00649,540.7,2020-02-09 07:00:00
33,1581228000000,0.00636,0.00636,0.00634,0.00634,39.0,2020-02-09 06:00:00
34,1581224400000,0.00633,0.00636,0.00633,0.00636,98.8,2020-02-09 05:00:00
35,1581220800000,0.00639,0.00645,0.00629,0.0063,5473.7,2020-02-09 04:00:00
36,1581217200000,0.00665,0.00665,0.00639,0.00642,5340.0,2020-02-09 03:00:00
37,1581210000000,0.00662,0.00667,0.00661,0.00667,300.1,2020-02-09 01:00:00
38,1581206400000,0.00668,0.00673,0.00664,0.00664,590.3,2020-02-09 00:00:00
39,1581202800000,0.00664,0.00668,0.00655,0.00668,1319.5,2020-02-08 23:00:00
40,1581199200000,0.00654,0.00661,0.00654,0.00661,2160.6,2020-02-08 22:00:00
41,1581195600000,0.00678,0.00678,0.0065,0.00652,5370.4,2020-02-08 21:00:00
42,1581192000000,0.0068,0.00684,0.00678,0.00678,321.1,2020-02-08 20:00:00
43,1581188400000,0.00678,0.00684,0.00673,0.00679,1096.2,2020-02-08 19:00:00
44,1581184800000,0.00683,0.00683,0.00678,0.00678,1308.5,2020-02-08 18:00:00
45,1581181200000,0.00691,0.00693,0.00681,0.00683,4184.7,2020-02-08 17:00:00
46,1581177600000,0.00693,0.00693,0.00691,0.00693,553.2,2020-02-08 16:00:00
47,1581174000000,0.00692,0.00699,0.00684,0.00697,1982.7,2020-02-08 15:00:00
48,1581170400000,0.00694,0.00702,0.00694,0.00702,114.4,2020-02-08 14:00:00
49,1581166800000,0.00686,0.00706,0.00686,0.00694,1187.8,2020-02-08 13:00:00
50,1581163200000,0.00692,0.00696,0.00686,0.00686,179.9,2020-02-08 12:00:00
51,1581159600000,0.007,0.00702,0.007,0.00702,999.2,2020-02-08 11:00:00
52,1581156000000,0.00676,0.00699,0.00676,0.00699,2797.4,2020-02-08 10:00:00
53,1581152400000,0.0067,0.00678,0.0067,0.00678,279.9,2020-02-08 09:00:00
54,1581148800000,0.0068,0.0068,0.00671,0.00673,698.0,2020-02-08 08:00:00
55,1581145200000,0.00686,0.00686,0.00686,0.00686,0.0,2020-02-08 07:00:00
56,1581141600000,0.00684,0.00686,0.00684,0.00686,63.0,2020-02-08 06:00:00
57,1581138000000,0.00676,0.00684,0.00676,0.00684,402.2,2020-02-08 05:00:00
58,1581134400000,0.00684,0.00684,0.00666,0.00674,2174.0,2020-02-08 04:00:00
