,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.05547,0.05642,0.05547,0.05642,48502.1,2020-02-10 15:00:00
1,1581343200000,0.05581,0.05614,0.05551,0.05551,218512.4,2020-02-10 14:00:00
2,1581339600000,0.05615,0.05642,0.05562,0.05581,92427.9,2020-02-10 13:00:00
3,1581336000000,0.05581,0.05647,0.05573,0.05615,63223.0,2020-02-10 12:00:00
4,1581332400000,0.0552,0.05581,0.05495,0.05581,46863.8,2020-02-10 11:00:00
5,1581328800000,0.05439,0.05533,0.05382,0.05533,130086.3,2020-02-10 10:00:00
6,1581325200000,0.0558,0.0558,0.05358,0.05469,280081.0,2020-02-10 09:00:00
7,1581321600000,0.05677,0.05677,0.05558,0.05558,68720.1,2020-02-10 08:00:00
8,1581318000000,0.05748,0.0575,0.05678,0.05704,23567.1,2020-02-10 07:00:00
9,1581314400000,0.05642,0.05763,0.05628,0.05734,135020.6,2020-02-10 06:00:00
10,1581310800000,0.05789,0.05819,0.056,0.05669,309018.2,2020-02-10 05:00:00
11,1581307200000,0.05834,0.05848,0.05752,0.05795,37479.5,2020-02-10 04:00:00
12,1581303600000,0.05879,0.05884,0.05843,0.05843,5327.7,2020-02-10 03:00:00
13,1581300000000,0.0589,0.05915,0.05845,0.05845,7856.1,2020-02-10 02:00:00
14,1581296400000,0.05945,0.05948,0.05887,0.0589,69508.3,2020-02-10 01:00:00
15,1581292800000,0.05887,0.05946,0.05864,0.05946,29127.9,2020-02-10 00:00:00
16,1581289200000,0.0593,0.0593,0.05887,0.05918,3831.0,2020-02-09 23:00:00
17,1581285600000,0.0587,0.0593,0.0587,0.05894,58052.1,2020-02-09 22:00:00
18,1581282000000,0.05854,0.0588,0.05852,0.05857,8908.9,2020-02-09 21:00:00
19,1581278400000,0.05901,0.05924,0.058,0.05857,208864.6,2020-02-09 20:00:00
20,1581274800000,0.05857,0.05948,0.05789,0.05903,89438.8,2020-02-09 19:00:00
21,1581271200000,0.05868,0.06,0.05825,0.05825,263566.0,2020-02-09 18:00:00
22,1581267600000,0.05802,0.05928,0.05802,0.05886,86859.8,2020-02-09 17:00:00
23,1581264000000,0.05704,0.05802,0.05689,0.05802,97777.3,2020-02-09 16:00:00
24,1581260400000,0.05673,0.05699,0.05642,0.05688,105761.4,2020-02-09 15:00:00
25,1581256800000,0.05669,0.05704,0.0557,0.05662,173012.3,2020-02-09 14:00:00
26,1581253200000,0.0568,0.05684,0.05637,0.05642,108481.8,2020-02-09 13:00:00
27,1581249600000,0.05728,0.05799,0.05572,0.05662,436137.7,2020-02-09 12:00:00
28,1581246000000,0.05662,0.05728,0.05662,0.05728,131045.4,2020-02-09 11:00:00
29,1581242400000,0.05628,0.05662,0.05584,0.05662,346953.1,2020-02-09 10:00:00
30,1581238800000,0.05736,0.05736,0.05623,0.05643,213917.8,2020-02-09 09:00:00
31,1581235200000,0.05763,0.05819,0.05737,0.05754,26525.2,2020-02-09 08:00:00
32,1581231600000,0.05731,0.0582,0.05731,0.05757,145789.9,2020-02-09 07:00:00
33,1581228000000,0.05612,0.05731,0.05587,0.05731,175395.8,2020-02-09 06:00:00
34,1581224400000,0.05594,0.05673,0.05414,0.05612,195262.3,2020-02-09 05:00:00
35,1581220800000,0.05558,0.05588,0.05495,0.05582,306354.6,2020-02-09 04:00:00
36,1581217200000,0.05613,0.05622,0.05469,0.05558,149383.4,2020-02-09 03:00:00
37,1581210000000,0.05619,0.05629,0.0558,0.05586,63004.5,2020-02-09 01:00:00
38,1581206400000,0.05609,0.05625,0.05581,0.05625,76323.8,2020-02-09 00:00:00
39,1581202800000,0.05598,0.05612,0.05569,0.05612,74627.4,2020-02-08 23:00:00
40,1581199200000,0.0557,0.05686,0.05458,0.05598,588390.6,2020-02-08 22:00:00
41,1581195600000,0.05849,0.05874,0.055,0.0557,1030535.8,2020-02-08 21:00:00
42,1581192000000,0.05871,0.05917,0.05809,0.0581,249096.4,2020-02-08 20:00:00
43,1581188400000,0.05843,0.05887,0.0582,0.05873,163358.9,2020-02-08 19:00:00
44,1581184800000,0.06001,0.06054,0.05751,0.0584,945741.0,2020-02-08 18:00:00
45,1581181200000,0.06071,0.06096,0.05978,0.0601,284708.1,2020-02-08 17:00:00
46,1581177600000,0.06222,0.064,0.06032,0.0607,463846.1,2020-02-08 16:00:00
47,1581174000000,0.06132,0.06253,0.06102,0.0621,120325.0,2020-02-08 15:00:00
