,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.07194,0.07207,0.07125,0.07147,80.51,2020-02-10 15:00:00
1,1581343200000,0.07283,0.07283,0.0724,0.0724,10.778,2020-02-10 14:00:00
2,1581339600000,0.07274,0.07275,0.0726,0.07275,2.658,2020-02-10 13:00:00
3,1581336000000,0.07229,0.0724,0.07229,0.0724,5.053,2020-02-10 12:00:00
4,1581332400000,0.07148,0.07148,0.07148,0.07148,116.133,2020-02-10 11:00:00
5,1581328800000,0.07132,0.07226,0.07132,0.0714,149.005,2020-02-10 10:00:00
6,1581325200000,0.07205,0.07217,0.07139,0.07169,90.501,2020-02-10 09:00:00
7,1581321600000,0.07271,0.07271,0.07271,0.07271,0.0,2020-02-10 08:00:00
8,1581318000000,0.07271,0.07271,0.07271,0.07271,27.5,2020-02-10 07:00:00
9,1581314400000,0.0728,0.0728,0.07206,0.07237,12.487,2020-02-10 06:00:00
10,1581310800000,0.07255,0.07297,0.07255,0.07261,53.639,2020-02-10 05:00:00
11,1581307200000,0.07336,0.07394,0.07277,0.07367,67.707,2020-02-10 04:00:00
12,1581303600000,0.0731,0.07336,0.07264,0.07336,42.231,2020-02-10 03:00:00
13,1581300000000,0.07255,0.07311,0.07255,0.07309,7.744,2020-02-10 02:00:00
14,1581296400000,0.07244,0.07244,0.07213,0.07244,3.614,2020-02-10 01:00:00
15,1581292800000,0.07159,0.07231,0.07159,0.07231,5.743,2020-02-10 00:00:00
16,1581289200000,0.07166,0.07171,0.0716,0.07171,10.363,2020-02-09 23:00:00
17,1581285600000,0.07239,0.07239,0.07212,0.07212,1.24,2020-02-09 22:00:00
18,1581282000000,0.07225,0.07225,0.07193,0.07215,87.462,2020-02-09 21:00:00
19,1581278400000,0.07161,0.07233,0.07161,0.07233,78.687,2020-02-09 20:00:00
20,1581274800000,0.07119,0.07161,0.07118,0.07161,4.246,2020-02-09 19:00:00
21,1581271200000,0.07185,0.07185,0.07185,0.07185,0.18,2020-02-09 18:00:00
22,1581267600000,0.07168,0.07169,0.07168,0.07169,5.881,2020-02-09 17:00:00
23,1581264000000,0.07169,0.07169,0.07169,0.07169,2.134,2020-02-09 16:00:00
24,1581260400000,0.07208,0.07208,0.07169,0.07169,20.68,2020-02-09 15:00:00
25,1581256800000,0.07285,0.07297,0.07215,0.07297,8.746,2020-02-09 14:00:00
26,1581253200000,0.07198,0.07322,0.07198,0.07322,9.717,2020-02-09 13:00:00
27,1581249600000,0.07184,0.0725,0.07182,0.07198,24.654,2020-02-09 12:00:00
28,1581246000000,0.07173,0.07173,0.07173,0.07173,0.042,2020-02-09 11:00:00
29,1581242400000,0.07181,0.07181,0.07108,0.07166,42.795,2020-02-09 10:00:00
30,1581238800000,0.07224,0.07224,0.07185,0.07185,0.171,2020-02-09 09:00:00
31,1581235200000,0.07248,0.07248,0.07169,0.07211,19.39,2020-02-09 08:00:00
32,1581231600000,0.07261,0.07261,0.0717,0.0717,28.845,2020-02-09 07:00:00
33,1581228000000,0.07302,0.07329,0.0721,0.07217,238.046,2020-02-09 06:00:00
34,1581224400000,0.07142,0.07304,0.07142,0.07304,146.815,2020-02-09 05:00:00
35,1581220800000,0.07152,0.07152,0.07086,0.07138,738.487,2020-02-09 04:00:00
36,1581217200000,0.07255,0.07255,0.07176,0.07219,105.591,2020-02-09 03:00:00
37,1581210000000,0.07353,0.07419,0.07255,0.07397,164.932,2020-02-09 01:00:00
38,1581206400000,0.07242,0.0743,0.07236,0.07402,689.436,2020-02-09 00:00:00
39,1581202800000,0.0724,0.07368,0.07223,0.07263,657.201,2020-02-08 23:00:00
40,1581199200000,0.07163,0.07235,0.07147,0.07204,817.544,2020-02-08 22:00:00
41,1581195600000,0.07176,0.07196,0.07125,0.07155,145.851,2020-02-08 21:00:00
42,1581192000000,0.07155,0.07196,0.07149,0.07196,119.176,2020-02-08 20:00:00
43,1581188400000,0.07074,0.07159,0.07058,0.07159,56.109,2020-02-08 19:00:00
44,1581184800000,0.0712,0.07178,0.07097,0.07097,118.118,2020-02-08 18:00:00
45,1581181200000,0.07051,0.07132,0.07051,0.0712,297.584,2020-02-08 17:00:00
46,1581177600000,0.07046,0.07097,0.07015,0.07049,414.731,2020-02-08 16:00:00
47,1581174000000,0.07043,0.07063,0.06994,0.07046,18.565,2020-02-08 15:00:00
48,1581170400000,0.07089,0.07111,0.07068,0.07111,21.327,2020-02-08 14:00:00
49,1581166800000,0.07002,0.07123,0.07002,0.07087,96.42,2020-02-08 13:00:00
50,1581163200000,0.06954,0.07002,0.06954,0.07002,8.824,2020-02-08 12:00:00
51,1581159600000,0.07015,0.07042,0.0697,0.06984,167.584,2020-02-08 11:00:00
52,1581156000000,0.07042,0.07043,0.06954,0.07014,26.081,2020-02-08 10:00:00
53,1581152400000,0.07037,0.07088,0.07036,0.07085,9.936,2020-02-08 09:00:00
54,1581148800000,0.07053,0.07101,0.06983,0.07037,194.644,2020-02-08 08:00:00
55,1581145200000,0.07101,0.07125,0.07101,0.07117,0.224,2020-02-08 07:00:00
56,1581141600000,0.0707,0.071,0.07069,0.071,24.642,2020-02-08 06:00:00
57,1581138000000,0.07114,0.07173,0.07096,0.071,11.986,2020-02-08 05:00:00
58,1581134400000,0.07034,0.07142,0.07,0.07113,92.451,2020-02-08 04:00:00
59,1581130800000,0.07056,0.07097,0.07,0.07008,323.199,2020-02-08 03:00:00
60,1581127200000,0.0704,0.071,0.07001,0.07001,4.107,2020-02-08 02:00:00
61,1581123600000,0.07139,0.07142,0.07001,0.07001,625.97,2020-02-08 01:00:00
62,1581120000000,0.07105,0.07142,0.07105,0.07141,10.259,2020-02-08 00:00:00
63,1581116400000,0.07091,0.07108,0.07071,0.07071,514.476,2020-02-07 23:00:00
64,1581112800000,0.07142,0.07142,0.07096,0.07113,145.334,2020-02-07 22:00:00
65,1581109200000,0.07186,0.07186,0.07119,0.07119,20.281,2020-02-07 21:00:00
66,1581105600000,0.07118,0.07164,0.07118,0.07137,3.787,2020-02-07 20:00:00
67,1581102000000,0.07183,0.07183,0.07118,0.0715,230.343,2020-02-07 19:00:00
68,1581098400000,0.072,0.072,0.072,0.072,4.0,2020-02-07 18:00:00
69,1581094800000,0.07302,0.07302,0.07246,0.07253,43.071,2020-02-07 17:00:00
70,1581091200000,0.0723,0.07311,0.0723,0.07231,28.12,2020-02-07 16:00:00
71,1581087600000,0.07229,0.0724,0.07225,0.07225,0.13,2020-02-07 15:00:00
72,1581084000000,0.07197,0.0724,0.07191,0.0724,10.021,2020-02-07 14:00:00
73,1581080400000,0.07272,0.07272,0.07219,0.07219,12.563,2020-02-07 13:00:00
74,1581076800000,0.07197,0.0733,0.07197,0.07295,505.085,2020-02-07 12:00:00
75,1581073200000,0.07179,0.07224,0.07139,0.07139,188.668,2020-02-07 11:00:00
76,1581069600000,0.07318,0.07318,0.07205,0.07222,223.881,2020-02-07 10:00:00
77,1581066000000,0.07204,0.07341,0.07204,0.07341,92.687,2020-02-07 09:00:00
78,1581062400000,0.07217,0.0724,0.07204,0.0723,88.882,2020-02-07 08:00:00
79,1581058800000,0.07201,0.0723,0.07171,0.07212,19.477,2020-02-07 07:00:00
80,1581055200000,0.072,0.07217,0.07125,0.07201,691.999,2020-02-07 06:00:00
81,1581051600000,0.07213,0.07267,0.07205,0.0725,332.243,2020-02-07 05:00:00
82,1581048000000,0.07279,0.07303,0.07223,0.07253,436.968,2020-02-07 04:00:00
83,1581044400000,0.07326,0.0735,0.07246,0.0735,17.809,2020-02-07 03:00:00
84,1581040800000,0.07314,0.07357,0.07251,0.07335,199.468,2020-02-07 02:00:00
85,1581037200000,0.07338,0.07429,0.07285,0.07345,445.469,2020-02-07 01:00:00
86,1581033600000,0.07341,0.07417,0.07332,0.07416,85.353,2020-02-07 00:00:00
87,1581030000000,0.07393,0.07393,0.07363,0.07371,4.181,2020-02-06 23:00:00
88,1581026400000,0.07349,0.07417,0.07319,0.07372,257.601,2020-02-06 22:00:00
89,1581022800000,0.07452,0.07452,0.07348,0.07349,186.304,2020-02-06 21:00:00
90,1581019200000,0.07509,0.07509,0.07387,0.07389,618.95,2020-02-06 20:00:00
91,1581015600000,0.07486,0.07486,0.07486,0.07486,3.926,2020-02-06 19:00:00
92,1581012000000,0.07507,0.0751,0.07486,0.07486,0.233,2020-02-06 18:00:00
93,1581008400000,0.07473,0.07508,0.07433,0.07493,76.339,2020-02-06 17:00:00
94,1581004800000,0.07435,0.07506,0.07397,0.07476,270.532,2020-02-06 16:00:00
95,1581001200000,0.0747,0.07515,0.07435,0.07435,174.152,2020-02-06 15:00:00
96,1580997600000,0.07529,0.07564,0.07435,0.07526,305.053,2020-02-06 14:00:00
97,1580994000000,0.07569,0.07702,0.07469,0.07469,726.315,2020-02-06 13:00:00
98,1580990400000,0.07838,0.07899,0.07573,0.07642,1134.308,2020-02-06 12:00:00
99,1580986800000,0.0775,0.07831,0.07731,0.07805,307.328,2020-02-06 11:00:00
100,1580983200000,0.07686,0.07742,0.07685,0.07712,44.478,2020-02-06 10:00:00
101,1580979600000,0.07673,0.07764,0.07673,0.07689,184.865,2020-02-06 09:00:00
102,1580976000000,0.07644,0.07706,0.07611,0.0769,74.682,2020-02-06 08:00:00
103,1580972400000,0.07639,0.07714,0.07585,0.0769,251.047,2020-02-06 07:00:00
104,1580968800000,0.07716,0.07728,0.07701,0.07701,0.18,2020-02-06 06:00:00
105,1580965200000,0.07716,0.07716,0.07655,0.07714,3.147,2020-02-06 05:00:00
106,1580961600000,0.07712,0.07758,0.07672,0.07736,8.855,2020-02-06 04:00:00
107,1580958000000,0.07715,0.07715,0.07675,0.07715,0.471,2020-02-06 03:00:00
108,1580954400000,0.07661,0.07715,0.07661,0.07715,1.778,2020-02-06 02:00:00
109,1580950800000,0.07675,0.07675,0.07593,0.0763,140.852,2020-02-06 01:00:00
110,1580947200000,0.07714,0.07731,0.0762,0.0762,34.762,2020-02-06 00:00:00
111,1580943600000,0.07674,0.07714,0.07642,0.07713,30.108,2020-02-05 23:00:00
112,1580940000000,0.07663,0.0769,0.07648,0.07672,0.948,2020-02-05 22:00:00
113,1580936400000,0.07731,0.07731,0.076,0.07658,607.208,2020-02-05 21:00:00
114,1580932800000,0.07699,0.07699,0.07652,0.07652,39.24,2020-02-05 20:00:00
115,1580929200000,0.07753,0.07753,0.07651,0.07738,42.706,2020-02-05 19:00:00
116,1580925600000,0.07777,0.07777,0.0771,0.07777,15.494,2020-02-05 18:00:00
117,1580922000000,0.07751,0.0778,0.07728,0.07736,34.73,2020-02-05 17:00:00
