,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9.52e-06,9.52e-06,9.45e-06,9.45e-06,938991.0,2020-02-10 15:00:00
1,1581343200000,9.56e-06,9.57e-06,9.45e-06,9.45e-06,598985.0,2020-02-10 14:00:00
2,1581339600000,9.57e-06,9.63e-06,9.53e-06,9.56e-06,198335.0,2020-02-10 13:00:00
3,1581336000000,9.62e-06,9.65e-06,9.56e-06,9.56e-06,471293.0,2020-02-10 12:00:00
4,1581332400000,9.56e-06,9.62e-06,9.54e-06,9.62e-06,1097730.0,2020-02-10 11:00:00
5,1581328800000,9.59e-06,9.62e-06,9.5e-06,9.6e-06,448230.0,2020-02-10 10:00:00
6,1581325200000,9.5e-06,9.62e-06,9.45e-06,9.56e-06,2971070.0,2020-02-10 09:00:00
7,1581321600000,9.56e-06,9.59e-06,9.43e-06,9.56e-06,1783316.0,2020-02-10 08:00:00
8,1581318000000,9.45e-06,9.47e-06,9.45e-06,9.46e-06,284027.0,2020-02-10 07:00:00
9,1581314400000,9.41e-06,9.56e-06,9.4e-06,9.56e-06,624815.0,2020-02-10 06:00:00
10,1581310800000,9.41e-06,9.44e-06,9.41e-06,9.44e-06,26509.0,2020-02-10 05:00:00
11,1581307200000,9.44e-06,9.44e-06,9.44e-06,9.44e-06,13068.0,2020-02-10 04:00:00
12,1581303600000,9.42e-06,9.42e-06,9.42e-06,9.42e-06,2787.0,2020-02-10 03:00:00
13,1581300000000,9.45e-06,9.5e-06,9.45e-06,9.45e-06,110022.0,2020-02-10 02:00:00
14,1581296400000,9.49e-06,9.55e-06,9.45e-06,9.55e-06,530849.0,2020-02-10 01:00:00
15,1581292800000,9.4e-06,9.4e-06,9.4e-06,9.4e-06,10188.0,2020-02-10 00:00:00
16,1581289200000,9.45e-06,9.45e-06,9.42e-06,9.42e-06,102773.0,2020-02-09 23:00:00
17,1581285600000,9.45e-06,9.48e-06,9.4e-06,9.4e-06,401855.0,2020-02-09 22:00:00
18,1581282000000,9.45e-06,9.54e-06,9.45e-06,9.54e-06,194531.0,2020-02-09 21:00:00
19,1581278400000,9.4e-06,9.53e-06,9.4e-06,9.45e-06,782150.0,2020-02-09 20:00:00
20,1581274800000,9.45e-06,9.48e-06,9.4e-06,9.4e-06,82822.0,2020-02-09 19:00:00
21,1581271200000,9.39e-06,9.5e-06,9.39e-06,9.45e-06,242924.0,2020-02-09 18:00:00
22,1581267600000,9.33e-06,9.36e-06,9.3e-06,9.32e-06,81254.0,2020-02-09 17:00:00
23,1581264000000,9.39e-06,9.39e-06,9.33e-06,9.34e-06,104328.0,2020-02-09 16:00:00
24,1581260400000,9.35e-06,9.43e-06,9.35e-06,9.35e-06,167062.0,2020-02-09 15:00:00
25,1581256800000,9.41e-06,9.45e-06,9.3e-06,9.4e-06,2480753.0,2020-02-09 14:00:00
26,1581253200000,9.31e-06,9.41e-06,9.26e-06,9.39e-06,615540.0,2020-02-09 13:00:00
27,1581249600000,9.31e-06,9.31e-06,9.29e-06,9.31e-06,969432.0,2020-02-09 12:00:00
28,1581246000000,9.31e-06,9.32e-06,9.31e-06,9.32e-06,292921.0,2020-02-09 11:00:00
29,1581242400000,9.34e-06,9.42e-06,9.26e-06,9.37e-06,869962.0,2020-02-09 10:00:00
30,1581238800000,9.32e-06,9.39e-06,9.25e-06,9.35e-06,1449525.0,2020-02-09 09:00:00
31,1581235200000,9.33e-06,9.33e-06,9.33e-06,9.33e-06,2518.0,2020-02-09 08:00:00
32,1581231600000,9.28e-06,9.3e-06,9.23e-06,9.3e-06,507251.0,2020-02-09 07:00:00
33,1581228000000,9.3e-06,9.36e-06,9.21e-06,9.36e-06,958055.0,2020-02-09 06:00:00
34,1581224400000,9.3e-06,9.3e-06,9.25e-06,9.25e-06,15219.0,2020-02-09 05:00:00
35,1581220800000,9.32e-06,9.35e-06,9.27e-06,9.27e-06,269600.0,2020-02-09 04:00:00
36,1581217200000,9.21e-06,9.33e-06,9.2e-06,9.27e-06,1715081.0,2020-02-09 03:00:00
37,1581210000000,9.34e-06,9.37e-06,8.91e-06,9.21e-06,6379943.0,2020-02-09 01:00:00
38,1581206400000,9.45e-06,9.45e-06,9.34e-06,9.34e-06,111052.0,2020-02-09 00:00:00
39,1581202800000,9.34e-06,9.34e-06,9.34e-06,9.34e-06,70830.0,2020-02-08 23:00:00
40,1581199200000,9.42e-06,9.43e-06,9.41e-06,9.41e-06,195985.0,2020-02-08 22:00:00
41,1581195600000,9.34e-06,9.34e-06,9.34e-06,9.34e-06,76294.0,2020-02-08 21:00:00
42,1581192000000,9.39e-06,9.42e-06,9.33e-06,9.33e-06,83711.0,2020-02-08 20:00:00
43,1581188400000,9.35e-06,9.35e-06,9.29e-06,9.29e-06,341849.0,2020-02-08 19:00:00
44,1581184800000,9.29e-06,9.38e-06,9.28e-06,9.35e-06,203774.0,2020-02-08 18:00:00
45,1581181200000,9.31e-06,9.37e-06,9.28e-06,9.37e-06,942526.0,2020-02-08 17:00:00
46,1581177600000,9.32e-06,9.35e-06,9.31e-06,9.31e-06,256107.0,2020-02-08 16:00:00
47,1581174000000,9.32e-06,9.32e-06,9.25e-06,9.27e-06,289496.0,2020-02-08 15:00:00
48,1581170400000,9.41e-06,9.42e-06,9.18e-06,9.31e-06,2066765.0,2020-02-08 14:00:00
49,1581166800000,9.39e-06,9.49e-06,9.31e-06,9.46e-06,698179.0,2020-02-08 13:00:00
50,1581163200000,9.47e-06,9.47e-06,9.39e-06,9.39e-06,125750.0,2020-02-08 12:00:00
51,1581159600000,9.48e-06,9.49e-06,9.41e-06,9.49e-06,1017429.0,2020-02-08 11:00:00
52,1581156000000,9.55e-06,9.55e-06,9.45e-06,9.53e-06,178483.0,2020-02-08 10:00:00
53,1581152400000,9.5e-06,9.59e-06,9.47e-06,9.55e-06,1077621.0,2020-02-08 09:00:00
54,1581148800000,9.59e-06,9.59e-06,9.48e-06,9.54e-06,462074.0,2020-02-08 08:00:00
55,1581145200000,9.6e-06,9.67e-06,9.58e-06,9.64e-06,285431.0,2020-02-08 07:00:00
56,1581141600000,9.64e-06,9.7e-06,9.64e-06,9.7e-06,48529.0,2020-02-08 06:00:00
57,1581138000000,9.7e-06,9.72e-06,9.56e-06,9.61e-06,421104.0,2020-02-08 05:00:00
58,1581134400000,9.74e-06,9.74e-06,9.59e-06,9.68e-06,395220.0,2020-02-08 04:00:00
