,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.8e-05,4.8e-05,4.75e-05,4.8e-05,76010.0,2020-02-10 15:00:00
1,1581343200000,4.71e-05,4.89e-05,4.71e-05,4.84e-05,345029.0,2020-02-10 14:00:00
2,1581339600000,4.68e-05,4.72e-05,4.65e-05,4.68e-05,202712.0,2020-02-10 13:00:00
3,1581336000000,4.76e-05,4.79e-05,4.7e-05,4.7e-05,598741.0,2020-02-10 12:00:00
4,1581332400000,4.83e-05,4.88e-05,4.75e-05,4.77e-05,849087.0,2020-02-10 11:00:00
5,1581328800000,4.84e-05,4.93e-05,4.82e-05,4.84e-05,95770.0,2020-02-10 10:00:00
6,1581325200000,4.86e-05,4.96e-05,4.79e-05,4.81e-05,280249.0,2020-02-10 09:00:00
7,1581321600000,4.84e-05,4.86e-05,4.72e-05,4.86e-05,311172.0,2020-02-10 08:00:00
8,1581318000000,4.83e-05,4.85e-05,4.82e-05,4.85e-05,39877.0,2020-02-10 07:00:00
9,1581314400000,5.11e-05,5.11e-05,4.76e-05,4.86e-05,667645.0,2020-02-10 06:00:00
10,1581310800000,5.08e-05,5.14e-05,5.08e-05,5.14e-05,26386.0,2020-02-10 05:00:00
11,1581307200000,5.13e-05,5.13e-05,5.08e-05,5.08e-05,43950.0,2020-02-10 04:00:00
12,1581303600000,5.18e-05,5.18e-05,5.14e-05,5.14e-05,17021.0,2020-02-10 03:00:00
13,1581300000000,5.11e-05,5.23e-05,5.1e-05,5.18e-05,64352.0,2020-02-10 02:00:00
14,1581296400000,5.07e-05,5.1e-05,5.06e-05,5.1e-05,23748.0,2020-02-10 01:00:00
15,1581292800000,5.09e-05,5.1e-05,5.06e-05,5.08e-05,163351.0,2020-02-10 00:00:00
16,1581289200000,5.15e-05,5.15e-05,5.1e-05,5.1e-05,385024.0,2020-02-09 23:00:00
17,1581285600000,5.13e-05,5.16e-05,5.13e-05,5.15e-05,295311.0,2020-02-09 22:00:00
18,1581282000000,5.15e-05,5.18e-05,5.1e-05,5.1e-05,365624.0,2020-02-09 21:00:00
19,1581278400000,5.22e-05,5.24e-05,5.17e-05,5.17e-05,81227.0,2020-02-09 20:00:00
20,1581274800000,5.28e-05,5.28e-05,5.19e-05,5.23e-05,40889.0,2020-02-09 19:00:00
21,1581271200000,5.22e-05,5.25e-05,5.22e-05,5.25e-05,38015.0,2020-02-09 18:00:00
