,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.511e-05,4.52e-05,4.479e-05,4.479e-05,17087.0,2020-02-10 15:00:00
1,1581343200000,4.467e-05,4.536e-05,4.394e-05,4.511e-05,121366.0,2020-02-10 14:00:00
2,1581339600000,4.521e-05,4.546e-05,4.454e-05,4.454e-05,131764.0,2020-02-10 13:00:00
3,1581336000000,4.587e-05,4.587e-05,4.513e-05,4.546e-05,62487.0,2020-02-10 12:00:00
4,1581332400000,4.484e-05,4.594e-05,4.455e-05,4.588e-05,144721.0,2020-02-10 11:00:00
5,1581328800000,4.524e-05,4.559e-05,4.44e-05,4.484e-05,56425.0,2020-02-10 10:00:00
6,1581325200000,4.626e-05,4.633e-05,4.455e-05,4.511e-05,153279.0,2020-02-10 09:00:00
7,1581321600000,4.429e-05,4.71e-05,4.418e-05,4.6e-05,287998.0,2020-02-10 08:00:00
8,1581318000000,4.385e-05,4.436e-05,4.37e-05,4.429e-05,42201.0,2020-02-10 07:00:00
9,1581314400000,4.401e-05,4.423e-05,4.364e-05,4.385e-05,26503.0,2020-02-10 06:00:00
10,1581310800000,4.351e-05,4.436e-05,4.317e-05,4.398e-05,93598.0,2020-02-10 05:00:00
11,1581307200000,4.338e-05,4.351e-05,4.317e-05,4.351e-05,14660.0,2020-02-10 04:00:00
12,1581303600000,4.334e-05,4.353e-05,4.307e-05,4.353e-05,35194.0,2020-02-10 03:00:00
13,1581300000000,4.305e-05,4.338e-05,4.282e-05,4.33e-05,30956.0,2020-02-10 02:00:00
14,1581296400000,4.285e-05,4.312e-05,4.28e-05,4.305e-05,4601.0,2020-02-10 01:00:00
15,1581292800000,4.337e-05,4.337e-05,4.282e-05,4.284e-05,42779.0,2020-02-10 00:00:00
16,1581289200000,4.33e-05,4.507e-05,4.304e-05,4.337e-05,136210.0,2020-02-09 23:00:00
17,1581285600000,4.28e-05,4.365e-05,4.251e-05,4.329e-05,97475.0,2020-02-09 22:00:00
18,1581282000000,4.251e-05,4.298e-05,4.251e-05,4.28e-05,58330.0,2020-02-09 21:00:00
19,1581278400000,4.231e-05,4.286e-05,4.231e-05,4.269e-05,29483.0,2020-02-09 20:00:00
20,1581274800000,4.203e-05,4.245e-05,4.203e-05,4.245e-05,8933.0,2020-02-09 19:00:00
21,1581271200000,4.231e-05,4.232e-05,4.2e-05,4.203e-05,26856.0,2020-02-09 18:00:00
22,1581267600000,4.232e-05,4.255e-05,4.188e-05,4.231e-05,81848.0,2020-02-09 17:00:00
23,1581264000000,4.187e-05,4.247e-05,4.161e-05,4.233e-05,43308.0,2020-02-09 16:00:00
24,1581260400000,4.195e-05,4.222e-05,4.162e-05,4.188e-05,65099.0,2020-02-09 15:00:00
25,1581256800000,4.13e-05,4.221e-05,4.116e-05,4.196e-05,80418.0,2020-02-09 14:00:00
26,1581253200000,4.103e-05,4.137e-05,4.084e-05,4.113e-05,33508.0,2020-02-09 13:00:00
27,1581249600000,4.11e-05,4.111e-05,4.075e-05,4.103e-05,50621.0,2020-02-09 12:00:00
