,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.668e-05,1.668e-05,1.637e-05,1.663e-05,28376.0,2020-02-10 15:00:00
1,1581343200000,1.636e-05,1.67e-05,1.618e-05,1.662e-05,182278.0,2020-02-10 14:00:00
2,1581339600000,1.621e-05,1.69e-05,1.615e-05,1.635e-05,545333.0,2020-02-10 13:00:00
3,1581336000000,1.606e-05,1.626e-05,1.597e-05,1.611e-05,151119.0,2020-02-10 12:00:00
4,1581332400000,1.587e-05,1.61e-05,1.572e-05,1.6e-05,81743.0,2020-02-10 11:00:00
5,1581328800000,1.543e-05,1.608e-05,1.537e-05,1.592e-05,302535.0,2020-02-10 10:00:00
6,1581325200000,1.557e-05,1.569e-05,1.522e-05,1.537e-05,322039.0,2020-02-10 09:00:00
7,1581321600000,1.608e-05,1.629e-05,1.557e-05,1.557e-05,168757.0,2020-02-10 08:00:00
8,1581318000000,1.55e-05,1.632e-05,1.541e-05,1.607e-05,647074.0,2020-02-10 07:00:00
9,1581314400000,1.533e-05,1.555e-05,1.515e-05,1.543e-05,309342.0,2020-02-10 06:00:00
10,1581310800000,1.551e-05,1.556e-05,1.515e-05,1.533e-05,270096.0,2020-02-10 05:00:00
11,1581307200000,1.612e-05,1.614e-05,1.525e-05,1.551e-05,730128.0,2020-02-10 04:00:00
12,1581303600000,1.607e-05,1.624e-05,1.599e-05,1.612e-05,195411.0,2020-02-10 03:00:00
13,1581300000000,1.668e-05,1.668e-05,1.569e-05,1.607e-05,997484.0,2020-02-10 02:00:00
14,1581296400000,1.682e-05,1.706e-05,1.651e-05,1.668e-05,225613.0,2020-02-10 01:00:00
15,1581292800000,1.662e-05,1.687e-05,1.636e-05,1.682e-05,306772.0,2020-02-10 00:00:00
16,1581289200000,1.66e-05,1.673e-05,1.616e-05,1.662e-05,357734.0,2020-02-09 23:00:00
17,1581285600000,1.623e-05,1.679e-05,1.616e-05,1.649e-05,293783.0,2020-02-09 22:00:00
18,1581282000000,1.65e-05,1.665e-05,1.613e-05,1.618e-05,375924.0,2020-02-09 21:00:00
