,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.005004,0.005004,0.004976,0.004976,471.0,2020-02-10 15:00:00
1,1581343200000,0.005073,0.005078,0.004979,0.004991,10280.0,2020-02-10 14:00:00
2,1581339600000,0.004943,0.00508,0.004893,0.005027,17435.0,2020-02-10 13:00:00
3,1581336000000,0.004937,0.005036,0.004937,0.004952,2182.0,2020-02-10 12:00:00
4,1581332400000,0.00494,0.00496,0.004928,0.004935,920.0,2020-02-10 11:00:00
5,1581328800000,0.004886,0.004974,0.004877,0.004913,1964.0,2020-02-10 10:00:00
6,1581325200000,0.004896,0.004937,0.004827,0.00486,8235.0,2020-02-10 09:00:00
7,1581321600000,0.004935,0.004935,0.00478,0.004896,35923.0,2020-02-10 08:00:00
8,1581318000000,0.004896,0.004948,0.004871,0.004948,1773.0,2020-02-10 07:00:00
9,1581314400000,0.005074,0.005074,0.004837,0.004909,8653.0,2020-02-10 06:00:00
10,1581310800000,0.005066,0.005115,0.005062,0.0051,585.0,2020-02-10 05:00:00
11,1581307200000,0.005078,0.005078,0.005041,0.005041,4317.0,2020-02-10 04:00:00
12,1581303600000,0.005111,0.005119,0.005065,0.005091,7444.0,2020-02-10 03:00:00
13,1581300000000,0.005104,0.005155,0.0051,0.00514,12075.0,2020-02-10 02:00:00
14,1581296400000,0.005087,0.005104,0.005081,0.005104,2720.0,2020-02-10 01:00:00
15,1581292800000,0.005054,0.005067,0.005016,0.005059,1234.0,2020-02-10 00:00:00
16,1581289200000,0.005168,0.005168,0.005057,0.005057,5724.0,2020-02-09 23:00:00
17,1581285600000,0.005143,0.005181,0.005143,0.005181,252.0,2020-02-09 22:00:00
18,1581282000000,0.005093,0.005112,0.005054,0.005099,2676.0,2020-02-09 21:00:00
19,1581278400000,0.005138,0.005144,0.005068,0.005127,14079.0,2020-02-09 20:00:00
20,1581274800000,0.005165,0.005165,0.005111,0.005154,8009.0,2020-02-09 19:00:00
21,1581271200000,0.005087,0.005192,0.005079,0.005187,6955.0,2020-02-09 18:00:00
22,1581267600000,0.005006,0.005078,0.00499,0.005078,1558.0,2020-02-09 17:00:00
23,1581264000000,0.005118,0.005135,0.005,0.005019,2804.0,2020-02-09 16:00:00
24,1581260400000,0.00522,0.005249,0.005115,0.005131,2068.0,2020-02-09 15:00:00
25,1581256800000,0.005233,0.005264,0.005179,0.005222,5381.0,2020-02-09 14:00:00
26,1581253200000,0.005248,0.005308,0.005234,0.005234,5687.0,2020-02-09 13:00:00
27,1581249600000,0.005272,0.005272,0.005223,0.005223,802.0,2020-02-09 12:00:00
28,1581246000000,0.005195,0.005272,0.005182,0.005272,2265.0,2020-02-09 11:00:00
29,1581242400000,0.005215,0.005215,0.005209,0.005209,36.0,2020-02-09 10:00:00
30,1581238800000,0.005181,0.005215,0.005181,0.005181,429.0,2020-02-09 09:00:00
31,1581235200000,0.005114,0.005213,0.005114,0.005213,7062.0,2020-02-09 08:00:00
32,1581231600000,0.005106,0.005126,0.005106,0.005109,11901.0,2020-02-09 07:00:00
33,1581228000000,0.005063,0.005106,0.005056,0.005106,915.0,2020-02-09 06:00:00
34,1581224400000,0.00508,0.005112,0.005076,0.005076,581.0,2020-02-09 05:00:00
35,1581220800000,0.005084,0.005108,0.005005,0.005091,5613.0,2020-02-09 04:00:00
36,1581217200000,0.005267,0.005289,0.00507,0.005097,10494.0,2020-02-09 03:00:00
37,1581210000000,0.005354,0.005354,0.005275,0.005325,2980.0,2020-02-09 01:00:00
38,1581206400000,0.005338,0.005376,0.00532,0.005354,845.0,2020-02-09 00:00:00
39,1581202800000,0.005369,0.005369,0.005346,0.005346,332.0,2020-02-08 23:00:00
40,1581199200000,0.005364,0.005421,0.005364,0.005415,4871.0,2020-02-08 22:00:00
41,1581195600000,0.005441,0.005453,0.005306,0.005355,11829.0,2020-02-08 21:00:00
42,1581192000000,0.005466,0.005466,0.005441,0.005441,228.0,2020-02-08 20:00:00
43,1581188400000,0.005446,0.005453,0.005432,0.005453,528.0,2020-02-08 19:00:00
44,1581184800000,0.005469,0.005482,0.005444,0.005478,3057.0,2020-02-08 18:00:00
45,1581181200000,0.005458,0.005493,0.00542,0.005469,1360.0,2020-02-08 17:00:00
46,1581177600000,0.005474,0.005479,0.005457,0.005468,1565.0,2020-02-08 16:00:00
47,1581174000000,0.005431,0.005499,0.005394,0.005499,2854.0,2020-02-08 15:00:00
48,1581170400000,0.005427,0.005459,0.005427,0.005458,245.0,2020-02-08 14:00:00
49,1581166800000,0.005411,0.005434,0.005389,0.005421,4305.0,2020-02-08 13:00:00
50,1581163200000,0.005508,0.005508,0.00542,0.005421,2612.0,2020-02-08 12:00:00
51,1581159600000,0.005495,0.0055,0.005495,0.0055,241.0,2020-02-08 11:00:00
52,1581156000000,0.00546,0.005488,0.00546,0.005488,189.0,2020-02-08 10:00:00
53,1581152400000,0.00544,0.005485,0.005429,0.005468,28185.0,2020-02-08 09:00:00
54,1581148800000,0.005463,0.005589,0.005459,0.005459,37036.0,2020-02-08 08:00:00
55,1581145200000,0.005415,0.00544,0.00538,0.00544,2741.0,2020-02-08 07:00:00
56,1581141600000,0.005392,0.005437,0.005384,0.00542,377.0,2020-02-08 06:00:00
57,1581138000000,0.005425,0.005472,0.00539,0.005409,6175.0,2020-02-08 05:00:00
58,1581134400000,0.005405,0.005423,0.00538,0.00539,3848.0,2020-02-08 04:00:00
59,1581130800000,0.005521,0.005538,0.005405,0.005421,14358.0,2020-02-08 03:00:00
60,1581127200000,0.005597,0.005627,0.005517,0.005532,4330.0,2020-02-08 02:00:00
61,1581123600000,0.005679,0.005726,0.005593,0.005597,43743.0,2020-02-08 01:00:00
62,1581120000000,0.005649,0.005686,0.005549,0.005647,27333.0,2020-02-08 00:00:00
63,1581116400000,0.005589,0.005643,0.005536,0.005643,6720.0,2020-02-07 23:00:00
64,1581112800000,0.00556,0.00562,0.00556,0.005604,1407.0,2020-02-07 22:00:00
65,1581109200000,0.005462,0.005539,0.005462,0.005539,688.0,2020-02-07 21:00:00
66,1581105600000,0.005456,0.0055,0.00543,0.005449,13914.0,2020-02-07 20:00:00
67,1581102000000,0.005535,0.005577,0.005469,0.005469,5719.0,2020-02-07 19:00:00
68,1581098400000,0.005551,0.005557,0.005519,0.00552,1624.0,2020-02-07 18:00:00
69,1581094800000,0.005626,0.005633,0.005532,0.005532,5780.0,2020-02-07 17:00:00
70,1581091200000,0.00556,0.005623,0.005542,0.005573,3330.0,2020-02-07 16:00:00
71,1581087600000,0.005536,0.005577,0.005525,0.005577,4026.0,2020-02-07 15:00:00
72,1581084000000,0.005473,0.005587,0.005455,0.00556,5146.0,2020-02-07 14:00:00
73,1581080400000,0.005452,0.005552,0.005413,0.005479,29104.0,2020-02-07 13:00:00
74,1581076800000,0.005505,0.00553,0.005465,0.005486,24537.0,2020-02-07 12:00:00
75,1581073200000,0.005452,0.005525,0.005381,0.005482,20244.0,2020-02-07 11:00:00
76,1581069600000,0.005669,0.005669,0.005472,0.005472,51126.0,2020-02-07 10:00:00
77,1581066000000,0.005743,0.005751,0.005644,0.005654,9034.0,2020-02-07 09:00:00
78,1581062400000,0.005731,0.005738,0.005718,0.005738,407.0,2020-02-07 08:00:00
79,1581058800000,0.005779,0.005779,0.005665,0.005718,4086.0,2020-02-07 07:00:00
80,1581055200000,0.005803,0.005803,0.005754,0.005784,4086.0,2020-02-07 06:00:00
81,1581051600000,0.005829,0.005829,0.00578,0.005828,6598.0,2020-02-07 05:00:00
82,1581048000000,0.005876,0.005917,0.005811,0.005841,5118.0,2020-02-07 04:00:00
83,1581044400000,0.00593,0.00593,0.005828,0.005851,3333.0,2020-02-07 03:00:00
84,1581040800000,0.005956,0.005984,0.005942,0.005942,482.0,2020-02-07 02:00:00
85,1581037200000,0.005924,0.005955,0.005923,0.005926,893.0,2020-02-07 01:00:00
86,1581033600000,0.006,0.006,0.005924,0.005924,529.0,2020-02-07 00:00:00
87,1581030000000,0.005981,0.006007,0.005943,0.006007,210.0,2020-02-06 23:00:00
88,1581026400000,0.006031,0.006045,0.005984,0.005984,1935.0,2020-02-06 22:00:00
89,1581022800000,0.005979,0.006028,0.005963,0.005984,6514.0,2020-02-06 21:00:00
90,1581019200000,0.005898,0.005968,0.005893,0.005968,322.0,2020-02-06 20:00:00
91,1581015600000,0.005958,0.005958,0.005864,0.005913,1010.0,2020-02-06 19:00:00
92,1581012000000,0.005988,0.006003,0.005898,0.005937,2203.0,2020-02-06 18:00:00
93,1581008400000,0.005931,0.006016,0.005913,0.00598,3123.0,2020-02-06 17:00:00
94,1581004800000,0.005885,0.005908,0.005817,0.005879,28865.0,2020-02-06 16:00:00
95,1581001200000,0.005933,0.00594,0.005882,0.005929,19891.0,2020-02-06 15:00:00
96,1580997600000,0.00591,0.005937,0.00586,0.0059,8617.0,2020-02-06 14:00:00
97,1580994000000,0.005915,0.006058,0.00589,0.00591,3415.0,2020-02-06 13:00:00
98,1580990400000,0.00608,0.00608,0.005909,0.005909,20113.0,2020-02-06 12:00:00
99,1580986800000,0.006075,0.006096,0.00603,0.006096,3506.0,2020-02-06 11:00:00
100,1580983200000,0.006077,0.006151,0.006076,0.006091,17959.0,2020-02-06 10:00:00
