,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.01979,0.01979,0.01944,0.01949,1960.4,2020-02-10 15:00:00
1,1581343200000,0.01978,0.01992,0.01958,0.01979,5164.8,2020-02-10 14:00:00
2,1581339600000,0.01957,0.01978,0.01942,0.01966,1596.2,2020-02-10 13:00:00
3,1581336000000,0.01981,0.01984,0.01969,0.01977,1570.7,2020-02-10 12:00:00
4,1581332400000,0.01947,0.02011,0.01947,0.01986,626.2,2020-02-10 11:00:00
5,1581328800000,0.01959,0.01994,0.01945,0.01952,684.8,2020-02-10 10:00:00
6,1581325200000,0.01955,0.01985,0.01932,0.01954,3931.2,2020-02-10 09:00:00
7,1581321600000,0.01967,0.01968,0.01897,0.01956,18577.8,2020-02-10 08:00:00
8,1581318000000,0.01983,0.01988,0.01964,0.0198,1412.3,2020-02-10 07:00:00
9,1581314400000,0.02091,0.02098,0.01946,0.01988,15473.5,2020-02-10 06:00:00
10,1581310800000,0.02103,0.02107,0.02083,0.02093,990.4,2020-02-10 05:00:00
11,1581307200000,0.02083,0.02089,0.02077,0.02089,32.7,2020-02-10 04:00:00
12,1581303600000,0.02062,0.02105,0.02059,0.02105,830.8,2020-02-10 03:00:00
13,1581300000000,0.02051,0.02076,0.02051,0.0207,360.3,2020-02-10 02:00:00
14,1581296400000,0.02036,0.02039,0.02031,0.02039,222.0,2020-02-10 01:00:00
15,1581292800000,0.02016,0.02075,0.02013,0.02047,6724.2,2020-02-10 00:00:00
16,1581289200000,0.02082,0.02082,0.02022,0.02025,495.0,2020-02-09 23:00:00
17,1581285600000,0.02086,0.02088,0.02077,0.02088,45.8,2020-02-09 22:00:00
18,1581282000000,0.02059,0.02086,0.02049,0.02082,2837.7,2020-02-09 21:00:00
19,1581278400000,0.02095,0.02095,0.02051,0.02059,1697.6,2020-02-09 20:00:00
20,1581274800000,0.02117,0.02117,0.02085,0.02091,343.3,2020-02-09 19:00:00
21,1581271200000,0.02112,0.02131,0.02103,0.02131,3856.2,2020-02-09 18:00:00
22,1581267600000,0.02097,0.02108,0.02072,0.02102,441.5,2020-02-09 17:00:00
23,1581264000000,0.02115,0.02123,0.02082,0.02097,5544.4,2020-02-09 16:00:00
24,1581260400000,0.02133,0.0215,0.02119,0.02127,1912.3,2020-02-09 15:00:00
25,1581256800000,0.02146,0.0217,0.02126,0.02145,3828.8,2020-02-09 14:00:00
26,1581253200000,0.02146,0.02164,0.02119,0.02146,2911.5,2020-02-09 13:00:00
27,1581249600000,0.02143,0.02159,0.02143,0.02148,70.8,2020-02-09 12:00:00
28,1581246000000,0.02137,0.02149,0.02132,0.02143,75.8,2020-02-09 11:00:00
29,1581242400000,0.02147,0.02149,0.02147,0.02149,62.2,2020-02-09 10:00:00
30,1581238800000,0.02123,0.02163,0.02123,0.02155,459.5,2020-02-09 09:00:00
31,1581235200000,0.02121,0.02146,0.02118,0.02129,332.9,2020-02-09 08:00:00
32,1581231600000,0.02106,0.02127,0.02098,0.02121,391.2,2020-02-09 07:00:00
33,1581228000000,0.02092,0.02099,0.02092,0.02099,1930.5,2020-02-09 06:00:00
34,1581224400000,0.02086,0.02104,0.02085,0.02092,199.7,2020-02-09 05:00:00
35,1581220800000,0.02105,0.02142,0.02085,0.02091,1358.7,2020-02-09 04:00:00
36,1581217200000,0.02212,0.02212,0.02105,0.02106,3886.9,2020-02-09 03:00:00
37,1581210000000,0.02204,0.02219,0.02204,0.02206,45.2,2020-02-09 01:00:00
38,1581206400000,0.02228,0.02228,0.02192,0.02198,1122.8,2020-02-09 00:00:00
39,1581202800000,0.0223,0.02235,0.0223,0.0223,407.7,2020-02-08 23:00:00
40,1581199200000,0.02232,0.0226,0.02225,0.02228,5258.7,2020-02-08 22:00:00
41,1581195600000,0.02293,0.02293,0.02232,0.02238,5802.4,2020-02-08 21:00:00
42,1581192000000,0.02299,0.02299,0.02276,0.02298,896.0,2020-02-08 20:00:00
43,1581188400000,0.02324,0.02324,0.02289,0.02299,2313.3,2020-02-08 19:00:00
44,1581184800000,0.02297,0.02373,0.02297,0.02316,7480.8,2020-02-08 18:00:00
45,1581181200000,0.02258,0.02308,0.02245,0.02308,12935.4,2020-02-08 17:00:00
46,1581177600000,0.02254,0.02267,0.02238,0.02267,2377.2,2020-02-08 16:00:00
47,1581174000000,0.02267,0.02291,0.02254,0.02256,2009.4,2020-02-08 15:00:00
48,1581170400000,0.02288,0.02306,0.02258,0.02262,622.0,2020-02-08 14:00:00
49,1581166800000,0.02292,0.02301,0.02282,0.02282,3676.7,2020-02-08 13:00:00
50,1581163200000,0.02292,0.02292,0.02284,0.02284,36.8,2020-02-08 12:00:00
51,1581159600000,0.02302,0.02302,0.02282,0.02299,259.6,2020-02-08 11:00:00
52,1581156000000,0.02289,0.02301,0.02269,0.02269,1356.0,2020-02-08 10:00:00
53,1581152400000,0.02285,0.02305,0.02277,0.02298,318.1,2020-02-08 09:00:00
54,1581148800000,0.02285,0.02299,0.02265,0.02282,895.9,2020-02-08 08:00:00
55,1581145200000,0.02263,0.02282,0.02254,0.0228,1516.4,2020-02-08 07:00:00
56,1581141600000,0.02252,0.0226,0.0224,0.02257,1487.9,2020-02-08 06:00:00
57,1581138000000,0.02273,0.02291,0.02241,0.02259,945.1,2020-02-08 05:00:00
58,1581134400000,0.02274,0.02276,0.0226,0.02265,1684.8,2020-02-08 04:00:00
59,1581130800000,0.02429,0.02429,0.02197,0.02298,37552.0,2020-02-08 03:00:00
60,1581127200000,0.02392,0.02426,0.02392,0.02417,178.0,2020-02-08 02:00:00
61,1581123600000,0.02437,0.0244,0.02384,0.02384,1231.3,2020-02-08 01:00:00
62,1581120000000,0.02387,0.02427,0.02371,0.02427,1375.5,2020-02-08 00:00:00
63,1581116400000,0.02405,0.02405,0.0238,0.0239,722.7,2020-02-07 23:00:00
64,1581112800000,0.02461,0.02464,0.02397,0.02423,3501.7,2020-02-07 22:00:00
65,1581109200000,0.02409,0.0247,0.02398,0.02462,3867.7,2020-02-07 21:00:00
66,1581105600000,0.0241,0.02547,0.02388,0.02411,22758.4,2020-02-07 20:00:00
67,1581102000000,0.02399,0.02494,0.0239,0.02417,17713.7,2020-02-07 19:00:00
68,1581098400000,0.02391,0.02399,0.02386,0.02399,2817.4,2020-02-07 18:00:00
69,1581094800000,0.02407,0.02417,0.02384,0.02395,294.1,2020-02-07 17:00:00
70,1581091200000,0.02395,0.02529,0.02383,0.02408,5028.8,2020-02-07 16:00:00
71,1581087600000,0.02381,0.02413,0.02381,0.02395,523.3,2020-02-07 15:00:00
72,1581084000000,0.02397,0.02407,0.02369,0.02386,729.8,2020-02-07 14:00:00
73,1581080400000,0.02397,0.02399,0.02367,0.02397,2124.3,2020-02-07 13:00:00
74,1581076800000,0.02396,0.02425,0.02382,0.02399,836.7,2020-02-07 12:00:00
75,1581073200000,0.02396,0.0244,0.02378,0.02396,7549.9,2020-02-07 11:00:00
76,1581069600000,0.02465,0.0247,0.02396,0.02397,8510.4,2020-02-07 10:00:00
77,1581066000000,0.02465,0.02465,0.0244,0.02465,1235.4,2020-02-07 09:00:00
78,1581062400000,0.02449,0.0247,0.02436,0.02465,4019.0,2020-02-07 08:00:00
79,1581058800000,0.0247,0.0247,0.02433,0.02445,10707.6,2020-02-07 07:00:00
80,1581055200000,0.02465,0.02517,0.02465,0.02475,809.3,2020-02-07 06:00:00
81,1581051600000,0.02474,0.02489,0.02466,0.02473,1054.7,2020-02-07 05:00:00
82,1581048000000,0.02488,0.02529,0.02477,0.02477,1361.7,2020-02-07 04:00:00
83,1581044400000,0.0251,0.02516,0.02479,0.02502,4216.8,2020-02-07 03:00:00
84,1581040800000,0.02509,0.02525,0.025,0.0251,498.1,2020-02-07 02:00:00
85,1581037200000,0.02532,0.02532,0.02503,0.02505,7452.3,2020-02-07 01:00:00
86,1581033600000,0.02538,0.0256,0.02531,0.02532,1923.0,2020-02-07 00:00:00
87,1581030000000,0.02514,0.02536,0.02503,0.02536,1414.4,2020-02-06 23:00:00
88,1581026400000,0.02523,0.02533,0.02512,0.02533,5053.1,2020-02-06 22:00:00
89,1581022800000,0.02532,0.02544,0.02513,0.02513,560.8,2020-02-06 21:00:00
90,1581019200000,0.02528,0.02534,0.02508,0.02522,830.8,2020-02-06 20:00:00
91,1581015600000,0.02523,0.02525,0.02478,0.02518,13679.1,2020-02-06 19:00:00
92,1581012000000,0.02532,0.02548,0.02514,0.02515,4890.0,2020-02-06 18:00:00
93,1581008400000,0.02588,0.02592,0.02518,0.02525,17207.9,2020-02-06 17:00:00
94,1581004800000,0.0261,0.02651,0.02567,0.02601,5059.5,2020-02-06 16:00:00
95,1581001200000,0.02583,0.02622,0.02559,0.02609,2710.2,2020-02-06 15:00:00
96,1580997600000,0.02642,0.02642,0.0258,0.0259,803.0,2020-02-06 14:00:00
97,1580994000000,0.02644,0.02686,0.02629,0.02642,1834.1,2020-02-06 13:00:00
98,1580990400000,0.0271,0.0271,0.02644,0.02646,597.1,2020-02-06 12:00:00
99,1580986800000,0.02718,0.02732,0.02695,0.02703,521.6,2020-02-06 11:00:00
100,1580983200000,0.0272,0.02754,0.02707,0.02722,608.1,2020-02-06 10:00:00
101,1580979600000,0.02716,0.0273,0.02702,0.02712,458.0,2020-02-06 09:00:00
102,1580976000000,0.027,0.02725,0.027,0.02725,295.3,2020-02-06 08:00:00
103,1580972400000,0.02765,0.02765,0.02693,0.027,768.1,2020-02-06 07:00:00
104,1580968800000,0.02754,0.02791,0.02754,0.02767,306.3,2020-02-06 06:00:00
105,1580965200000,0.02718,0.02773,0.02717,0.0277,637.3,2020-02-06 05:00:00
106,1580961600000,0.02707,0.02712,0.02698,0.02706,477.4,2020-02-06 04:00:00
107,1580958000000,0.02721,0.02721,0.0271,0.02715,135.9,2020-02-06 03:00:00
108,1580954400000,0.02745,0.02754,0.02717,0.02718,392.1,2020-02-06 02:00:00
109,1580950800000,0.02861,0.02865,0.02725,0.02726,1829.5,2020-02-06 01:00:00
110,1580947200000,0.02765,0.02861,0.02756,0.02861,1684.7,2020-02-06 00:00:00
111,1580943600000,0.02624,0.02785,0.02623,0.02765,3858.2,2020-02-05 23:00:00
112,1580940000000,0.02599,0.02629,0.0259,0.02629,319.7,2020-02-05 22:00:00
113,1580936400000,0.02625,0.02661,0.02599,0.02613,5913.4,2020-02-05 21:00:00
114,1580932800000,0.02624,0.0264,0.02615,0.02625,265.6,2020-02-05 20:00:00
115,1580929200000,0.02626,0.02626,0.02599,0.02624,207.8,2020-02-05 19:00:00
116,1580925600000,0.02629,0.02635,0.02578,0.02623,17097.2,2020-02-05 18:00:00
117,1580922000000,0.02627,0.02651,0.02615,0.02651,1137.5,2020-02-05 17:00:00
118,1580918400000,0.02687,0.02707,0.02624,0.02624,11485.3,2020-02-05 16:00:00
119,1580914800000,0.02675,0.02686,0.02675,0.02686,432.0,2020-02-05 15:00:00
120,1580911200000,0.02649,0.02677,0.02641,0.02675,5722.4,2020-02-05 14:00:00
121,1580907600000,0.02642,0.02653,0.02614,0.0265,749.6,2020-02-05 13:00:00
122,1580904000000,0.02618,0.02653,0.02608,0.02653,425.7,2020-02-05 12:00:00
123,1580900400000,0.02588,0.02631,0.02588,0.02631,401.1,2020-02-05 11:00:00
124,1580896800000,0.027,0.02743,0.0258,0.02588,11048.8,2020-02-05 10:00:00
125,1580893200000,0.02775,0.02775,0.02673,0.02704,6740.0,2020-02-05 09:00:00
126,1580889600000,0.02773,0.02787,0.02765,0.02787,1521.8,2020-02-05 08:00:00
127,1580886000000,0.02784,0.02809,0.0277,0.02791,1500.8,2020-02-05 07:00:00
128,1580882400000,0.02815,0.02815,0.02787,0.02787,233.4,2020-02-05 06:00:00
129,1580878800000,0.02857,0.02857,0.0282,0.02824,660.4,2020-02-05 05:00:00
130,1580875200000,0.02836,0.02836,0.02822,0.02829,124.3,2020-02-05 04:00:00
131,1580871600000,0.02796,0.02866,0.02788,0.02866,384.1,2020-02-05 03:00:00
132,1580868000000,0.02845,0.02845,0.02769,0.02774,1339.7,2020-02-05 02:00:00
133,1580864400000,0.0286,0.02865,0.02846,0.02865,283.6,2020-02-05 01:00:00
134,1580860800000,0.02907,0.02907,0.02863,0.02863,305.9,2020-02-05 00:00:00
135,1580857200000,0.02849,0.02922,0.02849,0.02921,752.9,2020-02-04 23:00:00
136,1580853600000,0.02842,0.02853,0.0283,0.02849,625.8,2020-02-04 22:00:00
137,1580850000000,0.0285,0.0286,0.02836,0.02836,1016.1,2020-02-04 21:00:00
138,1580846400000,0.02865,0.02865,0.02855,0.02855,41.6,2020-02-04 20:00:00
139,1580842800000,0.02887,0.02887,0.02868,0.02868,391.8,2020-02-04 19:00:00
140,1580839200000,0.0286,0.02887,0.02841,0.02887,1321.9,2020-02-04 18:00:00
141,1580835600000,0.02903,0.02925,0.02866,0.02866,940.2,2020-02-04 17:00:00
142,1580832000000,0.02917,0.02962,0.02905,0.02905,1116.7,2020-02-04 16:00:00
143,1580828400000,0.02906,0.02938,0.0289,0.02896,6937.8,2020-02-04 15:00:00
144,1580824800000,0.029,0.02927,0.02882,0.02927,963.3,2020-02-04 14:00:00
145,1580821200000,0.02875,0.02898,0.02865,0.0288,315.2,2020-02-04 13:00:00
146,1580817600000,0.02972,0.02972,0.02864,0.02877,2626.1,2020-02-04 12:00:00
147,1580814000000,0.0296,0.03,0.02944,0.0295,9654.7,2020-02-04 11:00:00
148,1580810400000,0.03062,0.03062,0.02879,0.0296,6911.3,2020-02-04 10:00:00
149,1580806800000,0.02873,0.03093,0.0286,0.03072,5681.9,2020-02-04 09:00:00
150,1580803200000,0.02764,0.0296,0.02764,0.02877,3895.0,2020-02-04 08:00:00
151,1580799600000,0.02738,0.02758,0.02736,0.02755,720.4,2020-02-04 07:00:00
152,1580796000000,0.02726,0.0275,0.0272,0.02738,887.4,2020-02-04 06:00:00
153,1580792400000,0.02738,0.0274,0.02713,0.02716,354.5,2020-02-04 05:00:00
154,1580788800000,0.0271,0.02738,0.0271,0.02738,224.8,2020-02-04 04:00:00
155,1580785200000,0.02672,0.02706,0.02672,0.02705,371.3,2020-02-04 03:00:00
156,1580781600000,0.02667,0.02667,0.02667,0.02667,39.0,2020-02-04 02:00:00
157,1580778000000,0.02696,0.02696,0.02667,0.02667,273.9,2020-02-04 01:00:00
158,1580774400000,0.0275,0.0275,0.02696,0.02702,1302.6,2020-02-04 00:00:00
159,1580770800000,0.02786,0.02786,0.02752,0.02771,109.2,2020-02-03 23:00:00
160,1580767200000,0.02768,0.02768,0.02768,0.02768,136.1,2020-02-03 22:00:00
161,1580763600000,0.02768,0.02768,0.02768,0.02768,0.0,2020-02-03 21:00:00
162,1580760000000,0.02784,0.02793,0.02759,0.02768,81.4,2020-02-03 20:00:00
163,1580756400000,0.02731,0.02787,0.02731,0.02787,610.3,2020-02-03 19:00:00
164,1580752800000,0.02753,0.02753,0.0273,0.02736,252.6,2020-02-03 18:00:00
165,1580749200000,0.02801,0.02801,0.02735,0.02739,4512.6,2020-02-03 17:00:00
166,1580745600000,0.02811,0.02819,0.02797,0.02797,71.6,2020-02-03 16:00:00
167,1580742000000,0.02804,0.02845,0.02782,0.02829,3816.2,2020-02-03 15:00:00
168,1580738400000,0.02806,0.0283,0.02775,0.02794,1865.4,2020-02-03 14:00:00
169,1580734800000,0.02748,0.02826,0.02745,0.02808,10511.1,2020-02-03 13:00:00
170,1580731200000,0.02739,0.0275,0.02725,0.02725,516.8,2020-02-03 12:00:00
171,1580727600000,0.0273,0.0273,0.02717,0.02721,242.5,2020-02-03 11:00:00
172,1580724000000,0.02716,0.0277,0.02716,0.02748,3053.8,2020-02-03 10:00:00
173,1580720400000,0.02714,0.02716,0.02714,0.02716,1565.1,2020-02-03 09:00:00
174,1580716800000,0.02708,0.02714,0.027,0.02714,1322.2,2020-02-03 08:00:00
175,1580713200000,0.02666,0.02705,0.02666,0.02705,398.9,2020-02-03 07:00:00
176,1580709600000,0.0268,0.02714,0.0265,0.0266,850.8,2020-02-03 06:00:00
177,1580706000000,0.02676,0.02677,0.02676,0.02677,1350.4,2020-02-03 05:00:00
178,1580702400000,0.02663,0.02677,0.02639,0.02677,1640.9,2020-02-03 04:00:00
179,1580698800000,0.02649,0.0268,0.02649,0.0268,123.8,2020-02-03 03:00:00
180,1580695200000,0.02633,0.02651,0.02618,0.02651,1535.4,2020-02-03 02:00:00
181,1580691600000,0.02654,0.02654,0.02636,0.02652,335.7,2020-02-03 01:00:00
182,1580688000000,0.02657,0.02673,0.0265,0.02673,1024.3,2020-02-03 00:00:00
183,1580684400000,0.02678,0.02678,0.02678,0.02678,0.0,2020-02-02 23:00:00
184,1580680800000,0.02677,0.02684,0.02651,0.02678,1384.6,2020-02-02 22:00:00
185,1580677200000,0.02701,0.02701,0.02682,0.02698,716.2,2020-02-02 21:00:00
186,1580673600000,0.02707,0.0274,0.0267,0.02708,1193.0,2020-02-02 20:00:00
187,1580670000000,0.02633,0.02706,0.02626,0.02706,573.6,2020-02-02 19:00:00
188,1580666400000,0.0271,0.0273,0.0264,0.02645,3724.3,2020-02-02 18:00:00
189,1580662800000,0.02679,0.02708,0.02679,0.02708,1302.5,2020-02-02 17:00:00
190,1580659200000,0.02622,0.0268,0.02622,0.0268,1098.0,2020-02-02 16:00:00
191,1580655600000,0.02616,0.02616,0.02592,0.02609,780.2,2020-02-02 15:00:00
192,1580652000000,0.02636,0.02636,0.02595,0.02621,2188.2,2020-02-02 14:00:00
193,1580648400000,0.02665,0.02678,0.02633,0.0264,2527.0,2020-02-02 13:00:00
194,1580644800000,0.02693,0.02693,0.02658,0.02689,970.2,2020-02-02 12:00:00
195,1580641200000,0.02664,0.0272,0.02664,0.02716,1018.7,2020-02-02 11:00:00
196,1580637600000,0.02662,0.02662,0.02648,0.02648,171.4,2020-02-02 10:00:00
197,1580634000000,0.02606,0.02662,0.02605,0.02662,2233.0,2020-02-02 09:00:00
198,1580630400000,0.02615,0.02629,0.02613,0.02626,578.1,2020-02-02 08:00:00
199,1580626800000,0.02617,0.02617,0.02616,0.02616,621.8,2020-02-02 07:00:00
200,1580623200000,0.02623,0.02626,0.02616,0.02616,549.0,2020-02-02 06:00:00
201,1580619600000,0.02633,0.02645,0.02615,0.02616,758.7,2020-02-02 05:00:00
202,1580616000000,0.02652,0.02652,0.02652,0.02652,4.5,2020-02-02 04:00:00
203,1580612400000,0.0266,0.0266,0.02637,0.02639,1265.1,2020-02-02 03:00:00
204,1580608800000,0.02664,0.02664,0.02639,0.02639,750.6,2020-02-02 02:00:00
205,1580605200000,0.02666,0.02688,0.02665,0.02668,359.7,2020-02-02 01:00:00
206,1580601600000,0.02677,0.02689,0.02677,0.02684,98.0,2020-02-02 00:00:00
207,1580598000000,0.0267,0.02682,0.0266,0.02682,807.7,2020-02-01 23:00:00
208,1580594400000,0.02672,0.02672,0.02672,0.02672,90.9,2020-02-01 22:00:00
209,1580590800000,0.02653,0.0266,0.02653,0.0266,208.0,2020-02-01 21:00:00
210,1580587200000,0.02652,0.02652,0.02652,0.02652,7.4,2020-02-01 20:00:00
211,1580583600000,0.02647,0.0266,0.02627,0.0264,799.5,2020-02-01 19:00:00
212,1580580000000,0.0266,0.0266,0.02625,0.02627,339.9,2020-02-01 18:00:00
213,1580576400000,0.02699,0.02699,0.0266,0.02675,376.5,2020-02-01 17:00:00
214,1580572800000,0.02689,0.02713,0.02689,0.02713,553.7,2020-02-01 16:00:00
215,1580569200000,0.02688,0.02714,0.02675,0.02714,162.2,2020-02-01 15:00:00
216,1580565600000,0.02661,0.02709,0.02647,0.02696,6992.0,2020-02-01 14:00:00
217,1580562000000,0.02638,0.02671,0.02627,0.02661,1438.6,2020-02-01 13:00:00
218,1580558400000,0.02615,0.02653,0.02615,0.02653,7396.9,2020-02-01 12:00:00
219,1580554800000,0.02677,0.02677,0.02616,0.02616,7461.2,2020-02-01 11:00:00
220,1580551200000,0.02677,0.02713,0.02672,0.02699,8330.5,2020-02-01 10:00:00
221,1580547600000,0.02729,0.0275,0.02682,0.02682,1723.8,2020-02-01 09:00:00
222,1580544000000,0.02617,0.02729,0.02617,0.02729,14010.8,2020-02-01 08:00:00
223,1580540400000,0.02601,0.02614,0.02572,0.02604,2018.6,2020-02-01 07:00:00
224,1580536800000,0.02619,0.02649,0.02595,0.02605,1984.4,2020-02-01 06:00:00
225,1580533200000,0.02574,0.0262,0.02574,0.0262,957.0,2020-02-01 05:00:00
226,1580529600000,0.02529,0.02566,0.02529,0.02566,525.7,2020-02-01 04:00:00
227,1580526000000,0.02503,0.02515,0.02503,0.02515,71.2,2020-02-01 03:00:00
228,1580522400000,0.02561,0.02569,0.02506,0.02523,491.7,2020-02-01 02:00:00
229,1580518800000,0.02518,0.02564,0.02515,0.02564,819.0,2020-02-01 01:00:00
230,1580515200000,0.02557,0.02557,0.02528,0.02543,149.9,2020-02-01 00:00:00
231,1580511600000,0.02582,0.02582,0.02555,0.02581,2081.6,2020-01-31 23:00:00
232,1580508000000,0.02558,0.02648,0.02509,0.02594,11534.1,2020-01-31 22:00:00
233,1580504400000,0.02594,0.0265,0.02565,0.02565,3184.2,2020-01-31 21:00:00
234,1580500800000,0.02533,0.02594,0.02513,0.02589,1213.6,2020-01-31 20:00:00
235,1580497200000,0.02521,0.0253,0.0252,0.0253,691.0,2020-01-31 19:00:00
236,1580493600000,0.0254,0.0254,0.02491,0.02512,1887.8,2020-01-31 18:00:00
237,1580490000000,0.025,0.02598,0.025,0.02548,4481.6,2020-01-31 17:00:00
238,1580486400000,0.02442,0.02493,0.02442,0.02493,2656.3,2020-01-31 16:00:00
239,1580482800000,0.02466,0.0249,0.02318,0.02445,17135.6,2020-01-31 15:00:00
240,1580479200000,0.02461,0.02484,0.02451,0.02457,1658.9,2020-01-31 14:00:00
241,1580475600000,0.02439,0.02518,0.02438,0.02465,10919.8,2020-01-31 13:00:00
242,1580472000000,0.02406,0.02492,0.02397,0.02438,6989.9,2020-01-31 12:00:00
243,1580468400000,0.02356,0.02411,0.02331,0.02411,10689.1,2020-01-31 11:00:00
244,1580464800000,0.02319,0.0235,0.02319,0.0235,822.7,2020-01-31 10:00:00
245,1580461200000,0.02313,0.02324,0.02301,0.02305,464.1,2020-01-31 09:00:00
246,1580457600000,0.02319,0.02328,0.02319,0.02319,20.1,2020-01-31 08:00:00
247,1580454000000,0.0231,0.02342,0.02297,0.0231,933.1,2020-01-31 07:00:00
248,1580450400000,0.02301,0.02301,0.02301,0.02301,0.0,2020-01-31 06:00:00
249,1580446800000,0.02301,0.02301,0.02272,0.02301,726.0,2020-01-31 05:00:00
250,1580443200000,0.02291,0.02313,0.02282,0.02303,1179.4,2020-01-31 04:00:00
251,1580439600000,0.02311,0.02311,0.02273,0.02284,272.9,2020-01-31 03:00:00
252,1580436000000,0.02279,0.02324,0.02279,0.02324,374.4,2020-01-31 02:00:00
253,1580432400000,0.02288,0.02288,0.02246,0.02287,1342.6,2020-01-31 01:00:00
254,1580428800000,0.02288,0.02291,0.0228,0.02289,116.4,2020-01-31 00:00:00
255,1580425200000,0.02301,0.02301,0.02278,0.02291,2995.2,2020-01-30 23:00:00
256,1580421600000,0.02286,0.0232,0.02268,0.02312,6159.8,2020-01-30 22:00:00
257,1580418000000,0.02255,0.02306,0.02238,0.02291,7458.4,2020-01-30 21:00:00
258,1580414400000,0.02278,0.02278,0.02239,0.02242,5555.9,2020-01-30 20:00:00
259,1580410800000,0.02291,0.02324,0.02277,0.02277,1015.7,2020-01-30 19:00:00
260,1580407200000,0.02328,0.0233,0.02298,0.02298,3908.3,2020-01-30 18:00:00
261,1580403600000,0.02328,0.02328,0.02312,0.02327,1991.8,2020-01-30 17:00:00
262,1580400000000,0.02346,0.02346,0.02326,0.02337,727.9,2020-01-30 16:00:00
263,1580396400000,0.02359,0.02359,0.0235,0.0235,62.1,2020-01-30 15:00:00
264,1580392800000,0.02373,0.02389,0.02363,0.02366,6267.9,2020-01-30 14:00:00
265,1580389200000,0.02365,0.02371,0.02352,0.02365,540.7,2020-01-30 13:00:00
266,1580385600000,0.02374,0.02383,0.02364,0.02364,160.7,2020-01-30 12:00:00
267,1580382000000,0.02371,0.0239,0.02371,0.02383,1548.3,2020-01-30 11:00:00
268,1580378400000,0.02356,0.02366,0.02356,0.02358,144.3,2020-01-30 10:00:00
269,1580374800000,0.02337,0.02358,0.02337,0.02342,203.6,2020-01-30 09:00:00
270,1580371200000,0.02346,0.02346,0.02334,0.02334,1823.2,2020-01-30 08:00:00
271,1580367600000,0.02374,0.02374,0.02345,0.02347,1929.4,2020-01-30 07:00:00
272,1580364000000,0.0237,0.02386,0.0237,0.02386,493.4,2020-01-30 06:00:00
273,1580360400000,0.02375,0.02375,0.02375,0.02375,100.0,2020-01-30 05:00:00
274,1580356800000,0.02374,0.02374,0.02374,0.02374,113.1,2020-01-30 04:00:00
275,1580353200000,0.02372,0.02388,0.02372,0.02388,1230.6,2020-01-30 03:00:00
276,1580349600000,0.02359,0.02374,0.02359,0.02372,169.9,2020-01-30 02:00:00
277,1580346000000,0.02385,0.02389,0.02359,0.02359,297.2,2020-01-30 01:00:00
278,1580342400000,0.02374,0.02385,0.02374,0.02385,223.3,2020-01-30 00:00:00
279,1580338800000,0.02373,0.02387,0.02349,0.0236,7955.3,2020-01-29 23:00:00
280,1580335200000,0.0234,0.02373,0.02321,0.02373,6592.4,2020-01-29 22:00:00
281,1580331600000,0.02356,0.02364,0.0234,0.02354,4233.5,2020-01-29 21:00:00
282,1580328000000,0.02365,0.0238,0.02356,0.02356,87.5,2020-01-29 20:00:00
283,1580324400000,0.02375,0.02375,0.0235,0.0235,3845.8,2020-01-29 19:00:00
284,1580320800000,0.02385,0.02392,0.02372,0.02375,1865.1,2020-01-29 18:00:00
285,1580317200000,0.02392,0.02404,0.02385,0.02385,655.9,2020-01-29 17:00:00
286,1580313600000,0.02438,0.02438,0.02395,0.02396,2370.9,2020-01-29 16:00:00
287,1580310000000,0.02392,0.02495,0.02392,0.02439,4972.9,2020-01-29 15:00:00
288,1580306400000,0.02373,0.02392,0.02372,0.02392,681.7,2020-01-29 14:00:00
289,1580302800000,0.02383,0.02392,0.02373,0.02373,531.3,2020-01-29 13:00:00
290,1580299200000,0.02383,0.02383,0.02383,0.02383,9.3,2020-01-29 12:00:00
291,1580295600000,0.02365,0.02396,0.02365,0.02374,962.5,2020-01-29 11:00:00
292,1580292000000,0.02374,0.02386,0.02354,0.02354,978.5,2020-01-29 10:00:00
293,1580288400000,0.02359,0.02372,0.0234,0.02365,1976.6,2020-01-29 09:00:00
294,1580284800000,0.02365,0.0237,0.02358,0.02358,1245.7,2020-01-29 08:00:00
295,1580281200000,0.02365,0.02367,0.02353,0.02365,1067.2,2020-01-29 07:00:00
296,1580277600000,0.02367,0.02367,0.02342,0.02356,1142.6,2020-01-29 06:00:00
297,1580274000000,0.02371,0.02371,0.02367,0.02367,27.9,2020-01-29 05:00:00
298,1580270400000,0.0238,0.02381,0.02367,0.0237,523.7,2020-01-29 04:00:00
299,1580266800000,0.02392,0.02392,0.02374,0.0238,1071.6,2020-01-29 03:00:00
300,1580263200000,0.02408,0.02418,0.024,0.02402,1307.6,2020-01-29 02:00:00
301,1580259600000,0.02402,0.02409,0.02392,0.02409,939.2,2020-01-29 01:00:00
302,1580256000000,0.02392,0.02402,0.0238,0.02392,1001.1,2020-01-29 00:00:00
303,1580252400000,0.02432,0.02447,0.02366,0.02392,7805.3,2020-01-28 23:00:00
304,1580248800000,0.02447,0.02447,0.02432,0.02432,654.9,2020-01-28 22:00:00
